Timer,Value
"0","0"
"0.023","0"
"0.039","0"
"0.039","0"
"0.047","0"
"0.047","0"
"0.055","0"
"0.055","0"
"0.062","0"
"0.062","0"
"0.07","0"
"0.07","0"
"0.085","0"
"0.085","0"
"0.126","0"
"0.127","0"
"0.14","0"
"0.141","0"
"0.157","0"
"0.157","0"
"0.173","0"
"0.173","0"
"0.18","0"
"0.181","0"
"0.189","0"
"0.19","0"
"0.228","0"
"0.229","0"
"0.245","0"
"0.245","0"
"0.252","0"
"0.252","0"
"0.259","0"
"0.259","0"
"0.266","0"
"0.266","0"
"0.272","0"
"0.272","0"
"0.282","0"
"0.284","0"
"0.303","0"
"0.303","0"
"0.31","0"
"0.31","0"
"0.317","0"
"0.317","0"
"0.325","0"
"0.325","0"
"0.353","0"
"0.353","0"
"0.361","0"
"0.361","0"
"0.368","0"
"0.369","0"
"0.375","0"
"0.375","0"
"0.382","0"
"0.382","0"
"0.388","0"
"0.388","0"
"0.395","0"
"0.395","0"
"0.402","0"
"0.402","0"
"0.408","0"
"0.408","0"
"0.415","0"
"0.415","0"
"0.422","0"
"0.422","0"
"0.429","0"
"0.429","0"
"0.435","0"
"0.436","0"
"0.442","0"
"0.442","0"
"0.449","0"
"0.449","0"
"0.457","0"
"0.457","0"
"0.464","0"
"0.464","0"
"0.47","0"
"0.471","0"
"0.477","0"
"0.477","0"
"0.484","0"
"0.484","0"
"0.49","0"
"0.49","0"
"0.497","0"
"0.497","0"
"0.503","0"
"0.504","0"
"0.511","0"
"0.511","0"
"0.519","0"
"0.519","0"
"0.526","0"
"0.526","0"
"0.542","0"
"0.542","0"
"0.557","0"
"0.557","0"
"0.575","0"
"0.575","0"
"0.583","0"
"0.583","0"
"0.589","0"
"0.59","0"
"0.596","0"
"0.597","0"
"0.606","0"
"0.606","0"
"0.613","0"
"0.613","0"
"0.619","0"
"0.62","0"
"0.626","0"
"0.626","0"
"0.633","0"
"0.633","0"
"0.639","0"
"0.64","0"
"0.646","0"
"0.646","0"
"0.653","0"
"0.653","0"
"0.66","0"
"0.66","0"
"0.666","0"
"0.666","0"
"0.673","0"
"0.673","0"
"0.686","0"
"0.687","0"
"0.696","0"
"0.696","0"
"0.732","0"
"0.734","0"
"0.754","0"
"0.754","0"
"0.765","0"
"0.765","0"
"0.788","0"
"0.789","0"
"0.805","0"
"0.806","0"
"0.813","0"
"0.814","0"
"0.82","0"
"0.82","0"
"0.827","0"
"0.827","0"
"0.834","0"
"0.834","0"
"0.84","0"
"0.841","0"
"0.868","0"
"0.87","0"
"0.89","0"
"0.89","0"
"0.898","0"
"0.898","0"
"0.904","0"
"0.904","0"
"0.911","0"
"0.911","0"
"0.918","0"
"0.918","0"
"0.925","0"
"0.925","0"
"0.933","0"
"0.933","0"
"0.941","0"
"0.942","0"
"0.978","0"
"0.979","0"
"1.004","0"
"1.004","0"
"1.02","0"
"1.02","0"
"1.027","0"
"1.03","0"
"1.043","0"
"1.043","0"
"1.05","0"
"1.051","0"
"1.057","0"
"1.057","0"
"1.065","0"
"1.065","0"
"1.071","0"
"1.071","0"
"1.079","0"
"1.079","0"
"1.096","0"
"1.096","0"
"1.113","0"
"1.113","0"
"1.12","0"
"1.12","0"
"1.127","0"
"1.127","0"
"1.147","0"
"1.147","0"
"1.154","0"
"1.154","0"
"1.182","0"
"1.182","0"
"1.208","0"
"1.208","0"
"1.216","0"
"1.216","0"
"1.223","0"
"1.223","0"
"1.239","0"
"1.239","0"
"1.254","0"
"1.255","0"
"1.262","0"
"1.262","0"
"1.269","0"
"1.269","0"
"1.275","0"
"1.276","0"
"1.283","0"
"1.283","0"
"1.29","0"
"1.29","0"
"1.306","0"
"1.306","0"
"1.314","0"
"1.314","0"
"1.32","0"
"1.321","0"
"1.327","0"
"1.327","0"
"1.334","0"
"1.334","0"
"1.341","0"
"1.341","0"
"1.349","0"
"1.35","0"
"1.368","0"
"1.375","0"
"1.387","0"
"1.387","0"
"1.394","0"
"1.394","0"
"1.411","0"
"1.411","0"
"1.418","0"
"1.418","0"
"1.424","0"
"1.424","0"
"1.432","0"
"1.432","0"
"1.438","0"
"1.438","0"
"1.454","0"
"1.454","0"
"1.464","0"
"1.468","0"
"1.481","0"
"1.482","0"
"1.494","0"
"1.494","0"
"1.502","0"
"1.502","0"
"1.508","0"
"1.508","0"
"1.515","0"
"1.515","0"
"1.522","0"
"1.522","0"
"1.53","0"
"1.532","0"
"1.545","0"
"1.545","0"
"1.552","0"
"1.552","0"
"1.56","0"
"1.56","0"
"1.587","0"
"1.587","0"
"1.604","0"
"1.605","0"
"1.621","0"
"1.621","0"
"1.636","0"
"1.636","0"
"1.643","0"
"1.644","0"
"1.659","0"
"1.659","0"
"1.666","0"
"1.666","0"
"1.673","0"
"1.673","0"
"1.68","0"
"1.68","0"
"1.687","0"
"1.687","0"
"1.693","0"
"1.694","0"
"1.7","0"
"1.7","0"
"1.706","0"
"1.706","0"
"1.713","0"
"1.713","0"
"1.719","0"
"1.72","0"
"1.726","0"
"1.726","0"
"1.732","0"
"1.732","0"
"1.739","0"
"1.739","0"
"1.745","0"
"1.745","0"
"1.752","0"
"1.752","0"
"1.761","0"
"1.761","0"
"1.768","0"
"1.768","0"
"1.775","0"
"1.776","0"
"1.85","0"
"1.85","0"
"1.859","0"
"1.86","0"
"1.867","0"
"1.867","0"
"1.873","0"
"1.874","0"
"1.88","0"
"1.88","0"
"1.886","0"
"1.887","0"
"1.896","0"
"1.897","0"
"1.908","0"
"1.908","0"
"1.915","0"
"1.915","0"
"1.922","0"
"1.922","0"
"1.928","0"
"1.929","0"
"1.935","0"
"1.935","0"
"1.942","0"
"1.942","0"
"1.948","0"
"1.949","0"
"1.955","0"
"1.955","0"
"1.961","0"
"1.962","0"
"1.968","0"
"1.968","0"
"1.975","0"
"1.975","0"
"1.983","0"
"1.983","0"
"1.989","0"
"1.99","0"
"1.996","0"
"1.996","0"
"2.022","0"
"2.022","0"
"2.048","0"
"2.048","0"
"2.055","0"
"2.055","0"
"2.062","0"
"2.062","0"
"2.068","0"
"2.068","0"
"2.075","0"
"2.075","0"
"2.107","0"
"2.108","0"
