Timer,Value
"0","0"
"0.01225","0"
"0.0245","0"
"0.03675","0"
"0.049","0"
"0.06125","0"
"0.0735","0"
"0.08575","0"
"0.098","0"
"0.1091","0"
"0.1182","0"
"0.1273","0"
"0.1364","0"
"0.1455","0"
"0.1546","0"
"0.1637","0"
"0.1728","0"
"0.1819","0"
"0.191","0"
"0.20708333","0"
"0.21416667","0"
"0.22125","0"
"0.22833333","0"
"0.23541667","0"
"0.2425","0"
"0.24958333","0"
"0.25666667","0"
"0.26375","0"
"0.27083333","0"
"0.27791667","0"
"0.285","0"
"0.307","0"
"0.314","0"
"0.321","0"
"0.328","0"
"0.335","0"
"0.342","0"
"0.349","0"
"0.356","0"
"0.363","0"
"0.37","0"
"0.377","0"
"0.384","0"
"0.4047","0"
"0.4094","0"
"0.4141","0"
"0.4188","0"
"0.4235","0"
"0.4282","0"
"0.4329","0"
"0.4376","0"
"0.4423","0"
"0.447","0"
"0.4517","0"
"0.4564","0"
"0.4611","0"
"0.4658","0"
"0.4705","0"
"0.4752","0"
"0.4799","0"
"0.4846","0"
"0.4893","0"
"0.494","0"
"0.50361538","0"
"0.50723077","0"
"0.51084615","0"
"0.51446154","0"
"0.51807692","0"
"0.52169231","0"
"0.52530769","0"
"0.52892308","0"
"0.53253846","0"
"0.53615385","0"
"0.53976923","0"
"0.54338462","0"
"0.547","0"
"0.55061538","0"
"0.55423077","0"
"0.55784615","0"
"0.56146154","0"
"0.56507692","0"
"0.56869231","0"
"0.57230769","0"
"0.57592308","0"
"0.57953846","0"
"0.58315385","0"
"0.58676923","0"
"0.59038462","0"
"0.594","0"
"0.60373077","0"
"0.60746154","0"
"0.61119231","0"
"0.61492308","0"
"0.61865385","0"
"0.62238462","0"
"0.62611538","0"
"0.62984615","0"
"0.63357692","0"
"0.63730769","0"
"0.64103846","0"
"0.64476923","0"
"0.6485","0"
"0.65223077","0"
"0.65596154","0"
"0.65969231","0"
"0.66342308","0"
"0.66715385","0"
"0.67088462","0"
"0.67461538","0"
"0.67834615","0"
"0.68207692","0"
"0.68580769","0"
"0.68953846","0"
"0.69326923","0"
"0.697","0"
"0.70369231","0"
"0.70738462","0"
"0.71107692","0"
"0.71476923","0"
"0.71846154","0"
"0.72215385","0"
"0.72584615","0"
"0.72953846","0"
"0.73323077","0"
"0.73692308","0"
"0.74061538","0"
"0.74430769","0"
"0.748","0"
"0.75169231","0"
"0.75538462","0"
"0.75907692","0"
"0.76276923","0"
"0.76646154","0"
"0.77015385","0"
"0.77384615","0"
"0.77753846","0"
"0.78123077","0"
"0.78492308","0"
"0.78861538","0"
"0.79230769","0"
"0.796","0"
"0.80369231","0"
"0.80738462","0"
"0.81107692","0"
"0.81476923","0"
"0.81846154","0"
"0.82215385","0"
"0.82584615","0"
"0.82953846","0"
"0.83323077","0"
"0.83692308","0"
"0.84061538","0"
"0.84430769","0"
"0.848","0"
"0.85169231","0"
"0.85538462","0"
"0.85907692","0"
"0.86276923","0"
"0.86646154","0"
"0.87015385","0"
"0.87384615","0"
"0.87753846","0"
"0.88123077","0"
"0.88492308","0"
"0.88861538","0"
"0.89230769","0"
"0.896","0"
"0.90357692","0"
"0.90715385","0"
"0.91073077","0"
"0.91430769","0"
"0.91788462","0"
"0.92146154","0"
"0.92503846","0"
"0.92861538","0"
"0.93219231","0"
"0.93576923","0"
"0.93934615","0"
"0.94292308","0"
"0.9465","0"
"0.95007692","0"
"0.95365385","0"
"0.95723077","0"
"0.96080769","0"
"0.96438462","0"
"0.96796154","0"
"0.97153846","0"
"0.97511538","0"
"0.97869231","0"
"0.98226923","0"
"0.98584615","0"
"0.98942308","0"
"0.993","0"
"1.00471429","0"
"1.00942857","0"
"1.01414286","0"
"1.01885714","0"
"1.02357143","0"
"1.02828571","0"
"1.033","0"
"1.03771429","0"
"1.04242857","0"
"1.04714286","0"
"1.05185714","0"
"1.05657143","0"
"1.06128571","0"
"1.066","0"
"1.07071429","0"
"1.07542857","0"
"1.08014286","0"
"1.08485714","0"
"1.08957143","0"
"1.09428571","0"
"1.099","0"
"1.1","0"
"1.1061875","0"
"1.112375","0"
"1.1185625","0"
"1.12475","0"
"1.1309375","0"
"1.137125","0"
"1.1433125","0"
"1.1495","0"
"1.1556875","0"
"1.161875","0"
"1.1680625","0"
"1.17425","0"
"1.1804375","0"
"1.186625","0"
"1.1928125","0"
"1.199","0"
"1.20766667","0"
"1.21533333","0"
"1.223","0"
"1.23066667","0"
"1.23833333","0"
"1.246","0"
"1.25366667","0"
"1.26133333","0"
"1.269","0"
"1.27666667","0"
"1.28433333","0"
"1.292","0"
"1.30527778","0"
"1.31055556","0"
"1.31583333","0"
"1.32111111","0"
"1.32638889","0"
"1.33166667","0"
"1.33694444","0"
"1.34222222","0"
"1.3475","0"
"1.35277778","0"
"1.35805556","0"
"1.36333333","0"
"1.36861111","0"
"1.37388889","0"
"1.37916667","0"
"1.38444444","0"
"1.38972222","0"
"1.395","0"
"1.40575","0"
"1.4115","0"
"1.41725","0"
"1.423","0"
"1.42875","0"
"1.4345","0"
"1.44025","0"
"1.446","0"
"1.45175","0"
"1.4575","0"
"1.46325","0"
"1.469","0"
"1.47475","0"
"1.4805","0"
"1.48625","0"
"1.492","0"
"1.50538889","0"
"1.51077778","0"
"1.51616667","0"
"1.52155556","0"
"1.52694444","0"
"1.53233333","0"
"1.53772222","0"
"1.54311111","0"
"1.5485","0"
"1.55388889","0"
"1.55927778","0"
"1.56466667","0"
"1.57005556","0"
"1.57544444","0"
"1.58083333","0"
"1.58622222","0"
"1.59161111","0"
"1.597","0"
"1.606","0"
"1.612","0"
"1.618","0"
"1.624","0"
"1.63","0"
"1.636","0"
"1.642","0"
"1.648","0"
"1.654","0"
"1.66","0"
"1.666","0"
"1.672","0"
"1.678","0"
"1.684","0"
"1.69","0"
"1.696","0"
"1.70404167","0"
"1.70808333","0"
"1.712125","0"
"1.71616667","0"
"1.72020833","0"
"1.72425","0"
"1.72829167","0"
"1.73233333","0"
"1.736375","0"
"1.74041667","0"
"1.74445833","0"
"1.7485","0"
"1.75254167","0"
