Timer,AX,AY,AZ,GX,GY,GZ,A
"7","2.3785","0.762","-1.7085","2.119","1.133","0","357.25"
"14","0.3785","-0.238","1.2915","2.119","1.133","0","357.25"
"21","0.3785","-0.238","1.2915","-0.881","-1.867","0","357.25"
"28","-0.6215","-0.238","0.291499999999999","-0.881","-1.867","0","357.25"
"35","-0.6215","-0.238","0.291499999999999","1.119","-2.867","0","357.25"
"42","-0.6215","-1.238","-0.708500000000001","1.119","-2.867","0","357.25"
"49","-0.6215","-1.238","-0.708500000000001","1.119","2.133","0","357.25"
"56","-0.6215","-0.238","-2.7085","1.119","2.133","0","357.25"
"63","-0.6215","-0.238","-2.7085","1.119","2.133","0","357.25"
"70","-0.6215","-0.238","0.291499999999999","1.119","2.133","0","357.25"
"77","-0.6215","-0.238","0.291499999999999","0.119","-1.867","0","357.25"
"84","0.3785","0.762","1.2915","0.119","-1.867","0","357.25"
"91","0.3785","0.762","1.2915","-0.881","2.133","0","357.25"
"98","0.3785","0.762","2.2915","-0.881","2.133","0","357.25"
"104.94444","0.3785","0.762","2.2915","0.119","-0.867","0","357.25"
"109.88889","0.3785","-0.238","-0.708500000000001","0.119","-0.867","0","357.25"
"114.83333","0.3785","-0.238","-0.708500000000001","-0.881","0.133","0","357.25"
"119.77778","0.3785","-1.238","-2.7085","-0.881","0.133","0","357.25"
"124.72222","0.3785","-1.238","-2.7085","3.119","-0.867","0","357.25"
"129.66667","-0.6215","-0.238","-0.708500000000001","3.119","-0.867","0","357.25"
"134.61111","-0.6215","-0.238","-0.708500000000001","1.119","-1.867","0","357.25"
"139.55556","0.3785","-0.238","2.2915","1.119","-1.867","0","357.25"
"144.5","0.3785","-0.238","2.2915","0.119","-0.867","0","357.25"
"149.44444","0.3785","0.762","1.2915","0.119","-0.867","0","357.25"
"154.38889","0.3785","0.762","1.2915","3.119","-0.867","0","357.25"
"159.33333","-0.6215","-1.238","1.2915","3.119","-0.867","0","357.25"
"164.27778","-0.6215","-1.238","1.2915","3.119","-1.867","0","357.25"
"169.22222","1.3785","-2.238","0.291499999999999","3.119","-1.867","0","357.25"
"174.16667","1.3785","-2.238","0.291499999999999","0.119","-1.867","0","357.25"
"179.11111","0.3785","0.762","-0.708500000000001","0.119","-1.867","0","357.25"
"184.05556","0.3785","0.762","-0.708500000000001","4.119","-1.867","0","357.25"
"189","-0.6215","1.762","0.291499999999999","4.119","-1.867","0","357.25"
"200","-0.6215","1.762","0.291499999999999","1.119","-1.867","0","357.25"
"200","0.3785","0.762","1.2915","1.119","-1.867","0","357.25"
"204.95","0.3785","0.762","1.2915","2.119","-2.867","0","357.25"
"209.9","-0.6215","-0.238","0.291499999999999","2.119","-2.867","0","357.25"
"214.85","-0.6215","-0.238","0.291499999999999","5.119","-0.867","0","357.25"
"219.8","-0.6215","-2.238","-0.708500000000001","5.119","-0.867","0","357.25"
"224.75","-0.6215","-2.238","-0.708500000000001","2.119","2.133","0","357.25"
"229.7","0.3785","-0.238","1.2915","2.119","2.133","0","357.25"
"234.65","0.3785","-0.238","1.2915","-0.881","-0.867","0","357.25"
"239.6","0.3785","-0.238","0.291499999999999","-0.881","-0.867","0","357.25"
"244.55","0.3785","-0.238","0.291499999999999","1.119","-0.867","0","357.25"
"249.5","0.3785","-1.238","0.291499999999999","1.119","-0.867","0","357.25"
"254.45","0.3785","-1.238","0.291499999999999","2.119","-0.867","0","357.25"
"259.4","2.3785","-0.238","2.2915","2.119","-0.867","0","357.25"
"264.35","2.3785","-0.238","2.2915","2.119","-0.867","0","357.25"
"269.3","0.3785","0.762","-0.708500000000001","2.119","-0.867","0","357.25"
"274.25","0.3785","0.762","-0.708500000000001","-0.881","0.133","0","357.25"
"279.2","0.3785","-2.238","1.2915","-0.881","0.133","0","357.25"
"284.15","0.3785","-2.238","1.2915","2.119","-0.867","0","357.25"
"289.1","0.3785","-0.238","0.291499999999999","2.119","-0.867","0","357.25"
"294.05","0.3785","-0.238","0.291499999999999","3.119","-0.867","0","357.25"
"299","0.3785","-1.238","0.291499999999999","3.119","-0.867","0","357.25"
"304.94444","0.3785","-1.238","0.291499999999999","1.119","-1.867","0","357.25"
"309.88889","0.3785","-2.238","0.291499999999999","1.119","-1.867","0","357.25"
"314.83333","0.3785","-2.238","0.291499999999999","0.119","0.133","0","357.25"
"319.77778","0.3785","-1.238","-0.708500000000001","0.119","0.133","0","357.25"
"324.72222","0.3785","-1.238","-0.708500000000001","3.119","-1.867","0","357.25"
"329.66667","-0.6215","0.762","0.291499999999999","3.119","-1.867","0","357.25"
"334.61111","-0.6215","0.762","0.291499999999999","5.119","-0.867","0","357.25"
"339.55556","-1.6215","0.762","-1.7085","5.119","-0.867","0","357.25"
"344.5","-1.6215","0.762","-1.7085","2.119","0.133","0","357.25"
"349.44444","1.3785","0.762","3.2915","2.119","0.133","0","357.25"
