Timer,AX,AY,AZ,GX,GY,GZ,A
"7","2","4","-32","2","1","0","357.25"
"14","0","3","-29","2","1","0","357.25"
"21","0","3","-29","-1","-2","0","357.25"
"28","-1","3","-30","-1","-2","0","357.25"
"35","-1","3","-30","1","-3","0","357.25"
"42","-1","2","-31","1","-3","0","357.25"
"49","-1","2","-31","1","2","0","357.25"
"56","-1","3","-33","1","2","0","357.25"
"63","-1","3","-33","1","2","0","357.25"
"70","-1","3","-30","1","2","0","357.25"
"77","-1","3","-30","0","-2","0","357.25"
"84","0","4","-29","0","-2","0","357.25"
"91","0","4","-29","-1","2","0","357.25"
"98","0","4","-28","-1","2","0","357.25"
"104.94444","0","4","-28","0","-1","0","357.25"
"109.88889","0","3","-31","0","-1","0","357.25"
"114.83333","0","3","-31","-1","0","0","357.25"
"119.77778","0","2","-33","-1","0","0","357.25"
"124.72222","0","2","-33","3","-1","0","357.25"
"129.66667","-1","3","-31","3","-1","0","357.25"
"134.61111","-1","3","-31","1","-2","0","357.25"
"139.55556","0","3","-28","1","-2","0","357.25"
"144.5","0","3","-28","0","-1","0","357.25"
"149.44444","0","4","-29","0","-1","0","357.25"
"154.38889","0","4","-29","3","-1","0","357.25"
"159.33333","-1","2","-29","3","-1","0","357.25"
"164.27778","-1","2","-29","3","-2","0","357.25"
"169.22222","1","1","-30","3","-2","0","357.25"
"174.16667","1","1","-30","0","-2","0","357.25"
"179.11111","0","4","-31","0","-2","0","357.25"
"184.05556","0","4","-31","4","-2","0","357.25"
"189","-1","5","-30","4","-2","0","357.25"
"200","-1","5","-30","1","-2","0","357.25"
"200","0","4","-29","1","-2","0","357.25"
"204.95","0","4","-29","2","-3","0","357.25"
"209.9","-1","3","-30","2","-3","0","357.25"
"214.85","-1","3","-30","5","-1","0","357.25"
"219.8","-1","1","-31","5","-1","0","357.25"
"224.75","-1","1","-31","2","2","0","357.25"
"229.7","0","3","-29","2","2","0","357.25"
"234.65","0","3","-29","-1","-1","0","357.25"
"239.6","0","3","-30","-1","-1","0","357.25"
"244.55","0","3","-30","1","-1","0","357.25"
"249.5","0","2","-30","1","-1","0","357.25"
"254.45","0","2","-30","2","-1","0","357.25"
"259.4","2","3","-28","2","-1","0","357.25"
"264.35","2","3","-28","2","-1","0","357.25"
"269.3","0","4","-31","2","-1","0","357.25"
"274.25","0","4","-31","-1","0","0","357.25"
"279.2","0","1","-29","-1","0","0","357.25"
"284.15","0","1","-29","2","-1","0","357.25"
"289.1","0","3","-30","2","-1","0","357.25"
"294.05","0","3","-30","3","-1","0","357.25"
"299","0","2","-30","3","-1","0","357.25"
"304.94444","0","2","-30","1","-2","0","357.25"
"309.88889","0","1","-30","1","-2","0","357.25"
"314.83333","0","1","-30","0","0","0","357.25"
"319.77778","0","2","-31","0","0","0","357.25"
"324.72222","0","2","-31","3","-2","0","357.25"
"329.66667","-1","4","-30","3","-2","0","357.25"
