Timer,X,Y,Z
"49","3595","12602","4899"
"49","3595","12602","4899"
"49","3595","12602","4899"
"49","3595","12602","4899"
"49","3595","12602","4899"
"49","3595","12602","4899"
"49","3595","12602","4899"
"49","3595","12602","4899"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"115","3634","12675","4853"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"168","3628","12710","4632"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"230","3631","12640","4956"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"296","3639","12624","4896"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"349","3592","12600","4894"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"409","3615","12684","4790"
"470","3638","12609","4879"
"470","3638","12609","4879"
"470","3638","12609","4879"
"470","3638","12609","4879"
"470","3638","12609","4879"
