Timer,AX,AY,AZ,GX,GY,GZ,A
"41","-6","-2","-29","2","0","0","359.9375"
"45","-6","-2","-29","0","-1","0","359.9375"
"53","-7","0","-30","0","-1","0","359.9375"
"53","-7","0","-30","0","1","0","359.9375"
"61","-6","-2","-32","0","1","0","359.9375"
"62","-6","-2","-32","1","-2","0","359.9375"
"70","-6","-2","-32","1","-2","0","359.9375"
"70","-6","-2","-32","1","1","0","359.9375"
"82","-5","0","-31","1","1","0","359.9375"
"82","-5","0","-31","-3","1","0","359.9375"
"90","-5","-1","-32","-3","1","0","359.9375"
"94","-5","-1","-32","1","2","0","359.9375"
"102","-5","-1","-32","1","2","0","359.9375"
"103","-5","-1","-32","-3","-3","0","359.9375"
"111","-5","-1","-28","-3","-3","0","359.9375"
"115","-5","-1","-28","1","0","0","359.9375"
"119","-5","-1","-28","1","0","0","359.9375"
"119","-5","-1","-28","-3","0","0","359.9375"
"131","-6","-2","-29","-3","0","0","359.9375"
"135","-6","-2","-29","-2","-2","0","359.9375"
"143","-4","0","-29","-2","-2","0","359.9375"
"144","-4","0","-29","0","-1","0","359.9375"
"152","-4","0","-30","0","-1","0","359.9375"
"152","-4","0","-30","0","0","0","359.9375"
"164","-5","-1","-29","0","0","0","359.9375"
"164","-5","-1","-29","0","-1","0","359.9375"
"168","-5","-1","-29","0","-1","0","359.9375"
"172","-5","-1","-29","-3","2","0","359.9375"
"180","-5","-3","-30","-3","2","0","359.9375"
"184","-5","-3","-30","3","2","0","359.9375"
"193","-4","1","-33","3","2","0","359.9375"
"193","-4","1","-33","2","0","0","359.9375"
"201","-7","-1","-31","2","0","0","359.9375"
"205","-7","-1","-31","-1","-1","0","359.9375"
"213","-6","-3","-29","-1","-1","0","359.9375"
"213","-6","-3","-29","-1","2","0","359.9375"
"221","-6","-3","-29","-1","2","0","359.9375"
"221","-6","-3","-29","0","0","0","359.9375"
"234","-5","0","-31","0","0","0","359.9375"
"234","-5","0","-31","1","-1","0","359.9375"
"242","-6","1","-31","1","-1","0","359.9375"
"242","-6","1","-31","2","1","0","359.9375"
"254","-6","-2","-32","2","1","0","359.9375"
"254","-6","-2","-32","-3","1","0","359.9375"
"262","-7","-4","-31","-3","1","0","359.9375"
"263","-7","-4","-31","0","0","0","359.9375"
"271","-7","-4","-31","0","0","0","359.9375"
"271","-7","-4","-31","0","-1","0","359.9375"
"283","-5","0","-31","0","-1","0","359.9375"
"283","-5","0","-31","0","-1","0","359.9375"
"291","-5","0","-33","0","-1","0","359.9375"
