Timer,X,Y,Z
"5.76471","3469","2182","3669"
"11.52941","3469","2182","3669"
"17.29412","3469","2182","3669"
"23.05882","3469","2182","3669"
"28.82353","3469","2182","3669"
"34.58824","3469","2182","3669"
"40.35294","3469","2182","3669"
"46.11765","3469","2182","3669"
"51.88235","3469","2182","3669"
"57.64706","3469","2182","3669"
"63.41176","3469","2182","3669"
"69.17647","3439","2392","640"
"74.94118","3439","2392","640"
"80.70588","3439","2392","640"
"86.47059","3439","2392","640"
"92.23529","3439","2392","640"
"98","3439","2392","640"
"105.11111","3439","2392","640"
"110.22222","3439","2392","640"
"115.33333","3439","2392","640"
"120.44444","3439","2392","640"
"125.55556","3439","2392","640"
"130.66667","3439","2392","640"
"135.77778","3449","2397","672"
"140.88889","3449","2397","672"
"146","3449","2397","672"
"151.11111","3449","2397","672"
"156.22222","3449","2397","672"
"161.33333","3449","2397","672"
"166.44444","3449","2397","672"
"171.55556","3449","2397","672"
"176.66667","3449","2397","672"
"181.77778","3449","2397","672"
"186.88889","3449","2397","672"
"192","3449","2397","672"
"200","3443","2398","657"
"204.71429","3443","2398","657"
"209.42857","3443","2398","657"
"214.14286","3443","2398","657"
"218.85714","3443","2398","657"
"223.57143","3443","2398","657"
"228.28571","3443","2398","657"
"233","3443","2398","657"
"237.71429","3443","2398","657"
"242.42857","3443","2398","657"
"247.14286","3443","2398","657"
"251.85714","3443","2398","657"
"256.57143","3449","2392","693"
"261.28571","3449","2392","693"
"266","3449","2392","693"
"270.71429","3449","2392","693"
"275.42857","3449","2392","693"
"280.14286","3449","2392","693"
"284.85714","3449","2392","693"
"289.57143","3449","2392","693"
"294.28571","3449","2392","693"
"299","3449","2392","693"
"305.10526","3449","2392","693"
"310.21053","3449","2392","693"
"315.31579","3442","2393","649"
"320.42105","3442","2393","649"
"325.52632","3442","2393","649"
"330.63158","3442","2393","649"
"335.73684","3442","2393","649"
"340.84211","3442","2393","649"
"345.94737","3442","2393","649"
"351.05263","3442","2393","649"
"356.15789","3442","2393","649"
"361.26316","3442","2393","649"
"366.36842","3442","2393","649"
"371.47368","3442","2393","649"
"376.57895","3442","2402","653"
"381.68421","3442","2402","653"
"386.78947","3442","2402","653"
"391.89474","3442","2402","653"
"397","3442","2402","653"
"404.95","3442","2402","653"
"409.9","3442","2402","653"
"414.85","3442","2402","653"
"419.8","3442","2402","653"
"424.75","3442","2402","653"
"429.7","3442","2402","653"
"434.65","3442","2402","653"
"439.6","3472","2188","3670"
"444.55","3472","2188","3670"
"449.5","3472","2188","3670"
"454.45","3472","2188","3670"
"459.4","3472","2188","3670"
"464.35","3472","2188","3670"
"469.3","3472","2188","3670"
"474.25","3472","2188","3670"
"479.2","3472","2188","3670"
"484.15","3472","2188","3670"
"489.1","3472","2188","3670"
"494.05","3472","2188","3670"
"499","3470","2196","3688"
"500","3470","2196","3688"
"505.15789","3470","2196","3688"
"510.31579","3470","2196","3688"
"515.47368","3470","2196","3688"
"520.63158","3470","2196","3688"
"525.78947","3470","2196","3688"
"530.94737","3470","2196","3688"
"536.10526","3470","2196","3688"
"541.26316","3470","2196","3688"
"546.42105","3470","2196","3688"
"551.57895","3470","2196","3688"
"556.73684","3420","2397","649"
"561.89474","3420","2397","649"
"567.05263","3420","2397","649"
"572.21053","3420","2397","649"
"577.36842","3420","2397","649"
"582.52632","3420","2397","649"
"587.68421","3420","2397","649"
"592.84211","3420","2397","649"
"598","3420","2397","649"
"604.84211","3420","2397","649"
"609.68421","3420","2397","649"
"614.52632","3420","2397","649"
"619.36842","3487","2192","3684"
"624.21053","3487","2192","3684"
"629.05263","3487","2192","3684"
"633.89474","3487","2192","3684"
"638.73684","3487","2192","3684"
"643.57895","3487","2192","3684"
"648.42105","3487","2192","3684"
"653.26316","3487","2192","3684"
"658.10526","3487","2192","3684"
"662.94737","3487","2192","3684"
"667.78947","3487","2192","3684"
"672.63158","3487","2192","3684"
"677.47368","3469","2220","3662"
"682.31579","3469","2220","3662"
"687.15789","3469","2220","3662"
"692","3469","2220","3662"
"700","3469","2220","3662"
"700","3469","2220","3662"
"705.21053","3469","2220","3662"
"710.42105","3469","2220","3662"
"715.63158","3469","2220","3662"
"720.84211","3469","2220","3662"
"726.05263","3469","2220","3662"
"731.26316","3469","2220","3662"
"736.47368","3452","2381","547"
"741.68421","3452","2381","547"
"746.89474","3452","2381","547"
"752.10526","3452","2381","547"
"757.31579","3452","2381","547"
"762.52632","3452","2381","547"
"767.73684","3452","2381","547"
"772.94737","3452","2381","547"
"778.15789","3452","2381","547"
"783.36842","3452","2381","547"
"788.57895","3452","2381","547"
"793.78947","3452","2381","547"
"799","3452","2381","547"
"804.89474","3522","2445","418"
"809.78947","3522","2445","418"
"814.68421","3522","2445","418"
"819.57895","3522","2445","418"
"824.47368","3522","2445","418"
"829.36842","3522","2445","418"
"834.26316","3522","2445","418"
"839.15789","3522","2445","418"
"844.05263","3522","2445","418"
"848.94737","3522","2445","418"
"853.84211","3522","2445","418"
"858.73684","3405","2380","651"
"863.63158","3405","2380","651"
"868.52632","3405","2380","651"
"873.42105","3405","2380","651"
"878.31579","3405","2380","651"
"883.21053","3405","2380","651"
"888.10526","3405","2380","651"
"893","3405","2380","651"
"904.71429","3405","2380","651"
"909.42857","3405","2380","651"
"914.14286","3405","2380","651"
"918.85714","3405","2380","651"
"923.57143","3445","2401","574"
"928.28571","3445","2401","574"
"933","3445","2401","574"
"937.71429","3445","2401","574"
"942.42857","3445","2401","574"
"947.14286","3445","2401","574"
