Timer,AX,AY,AZ,GX,GY,GZ,A
"49","0","-4","-28","1","-2","0","173.25"
"67","0","-4","-28","-1","-1","0","173.25"
"67","0","-6","-29","-1","-1","0","173.25"
"83","0","-6","-29","1","-1","0","173.25"
"83","-1","-4","-29","1","-1","0","173.25"
"99","-1","-4","-29","2","-1","0","173.25"
"99","-1","-5","-30","2","-1","0","173.25"
"115","-1","-5","-30","-2","-2","0","173.25"
"115","-2","-3","-27","-2","-2","0","173.25"
"130","-2","-3","-27","4","-3","0","173.25"
"130","-2","-3","-27","4","-3","0","173.25"
"137","-2","-3","-27","2","0","0","173.25"
"137","-1","-3","-30","2","0","0","173.25"
"144","-1","-3","-30","0","-2","0","173.25"
"144","-1","-6","-30","0","-2","0","173.25"
"150","-1","-6","-30","-1","-2","0","173.25"
"151","-3","-3","-30","-1","-2","0","173.25"
"157","-3","-3","-30","1","-2","0","173.25"
"157","0","-7","-29","1","-2","0","173.25"
"164","0","-7","-29","0","-3","0","173.25"
"164","0","-7","-29","0","-3","0","173.25"
"171","0","-7","-29","-1","-2","0","173.25"
"171","-1","-5","-32","-1","-2","0","173.25"
"177","-1","-5","-32","-1","-1","0","173.25"
"178","-1","-5","-32","-1","-1","0","173.25"
"184","-1","-5","-32","-1","-2","0","173.25"
"184","-1","-4","-29","-1","-2","0","173.25"
"192","-1","-4","-29","3","-1","0","173.25"
"192","0","-4","-30","3","-1","0","173.25"
"200","0","-4","-30","0","-2","0","173.25"
"200","0","-4","-30","0","-2","0","173.25"
"208","0","-4","-30","0","1","0","173.25"
"208","-2","-5","-27","0","1","0","173.25"
"215","-2","-5","-27","1","0","0","173.25"
"215","-2","-5","-27","1","0","0","173.25"
"222","-2","-5","-27","2","-3","0","173.25"
"222","-2","-3","-30","2","-3","0","173.25"
"230","-2","-3","-30","3","-3","0","173.25"
"231","0","-4","-30","3","-3","0","173.25"
"238","0","-4","-30","-2","1","0","173.25"
"239","0","-4","-30","-2","1","0","173.25"
"246","0","-4","-30","0","0","0","173.25"
"246","-2","-5","-30","0","0","0","173.25"
"263","-2","-5","-30","-2","-2","0","173.25"
"264","0","-4","-30","-2","-2","0","173.25"
"279","0","-4","-30","1","-3","0","173.25"
"280","-2","-3","-32","1","-3","0","173.25"
"296","-2","-3","-32","-1","-2","0","173.25"
"297","0","-5","-31","-1","-2","0","173.25"
"304","0","-5","-31","2","-1","0","173.25"
"304","0","-5","-31","2","-1","0","173.25"
"312","0","-5","-31","-1","-2","0","173.25"
"312","-1","-6","-30","-1","-2","0","173.25"
"319","-1","-6","-30","-1","-1","0","173.25"
"319","0","-4","-30","-1","-1","0","173.25"
"335","0","-4","-30","-1","0","0","173.25"
"335","0","-5","-32","-1","0","0","173.25"
"341","0","-5","-32","1","1","0","173.25"
"342","-2","-6","-29","1","1","0","173.25"
"349","-2","-6","-29","2","-1","0","173.25"
"349","-2","-6","-29","2","-1","0","173.25"
"355","-2","-6","-29","1","1","0","173.25"
"356","-2","-5","-29","1","1","0","173.25"
"362","-2","-5","-29","1","1","0","173.25"
"362","-2","-4","-30","1","1","0","173.25"
"369","-2","-4","-30","-3","1","0","173.25"
"369","-1","-4","-29","-3","1","0","173.25"
"376","-1","-4","-29","0","1","0","173.25"
"376","-2","-4","-31","0","1","0","173.25"
"383","-2","-4","-31","1","-1","0","173.25"
"383","0","-7","-32","1","-1","0","173.25"
"391","0","-7","-32","-1","0","0","173.25"
"391","-2","-5","-30","-1","0","0","173.25"
"398","-2","-5","-30","2","-2","0","173.25"
"398","-3","-4","-31","2","-2","0","173.25"
"405","-3","-4","-31","-1","-1","0","173.25"
"405","-3","-4","-31","-1","-1","0","173.25"
"413","-3","-4","-31","3","1","0","173.25"
"413","0","-6","-28","3","1","0","173.25"
"421","0","-6","-28","1","2","0","173.25"
"421","-1","-2","-31","1","2","0","173.25"
"428","-1","-2","-31","1","-1","0","173.25"
"428","-2","-4","-29","1","-1","0","173.25"
"435","-2","-4","-29","0","1","0","173.25"
"435","-3","-5","-31","0","1","0","173.25"
"445","-3","-5","-31","1","3","0","173.25"
"445","-2","-4","-30","1","3","0","173.25"
"457","-2","-4","-30","-2","1","0","173.25"
"458","-2","-3","-30","-2","1","0","173.25"
"470","-2","-3","-30","2","1","0","173.25"
"470","-1","-7","-27","2","1","0","173.25"
"486","-1","-7","-27","3","3","0","173.25"
"488","-2","-4","-32","3","3","0","173.25"
"502","-2","-4","-32","1","0","0","173.25"
"502","-1","-6","-31","1","0","0","173.25"
"518","-1","-6","-31","-2","3","0","173.25"
"518","0","-4","-32","-2","3","0","173.25"
"534","0","-4","-32","0","3","0","173.25"
"534","1","-7","-30","0","3","0","173.25"
"541","1","-7","-30","3","3","0","173.25"
"541","-2","-4","-31","3","3","0","173.25"
"548","-2","-4","-31","0","3","0","173.25"
"548","-2","-5","-31","0","3","0","173.25"
"555","-2","-5","-31","0","1","0","173.25"
"555","0","-6","-31","0","1","0","173.25"
"562","0","-6","-31","1","-1","0","173.25"
"562","-2","-5","-32","1","-1","0","173.25"
"568","-2","-5","-32","1","2","0","173.25"
"568","-1","-5","-30","1","2","0","173.25"
"575","-1","-5","-30","0","2","0","173.25"
"575","-1","-4","-30","0","2","0","173.25"
"582","-1","-4","-30","0","3","0","173.25"
"582","-1","-3","-30","0","3","0","173.25"
"590","-1","-3","-30","5","1","0","173.25"
"590","0","-4","-31","5","1","0","173.25"
"598","0","-4","-31","-3","0","0","173.25"
"599","-1","-4","-32","-3","0","0","173.25"
"606","-1","-4","-32","-1","3","0","173.25"
"606","0","-5","-30","-1","3","0","173.25"
"613","0","-5","-30","-1","2","0","173.25"
"613","-1","-5","-29","-1","2","0","173.25"
"622","-1","-5","-29","-2","2","0","173.25"
"622","0","-3","-27","-2","2","0","173.25"
"631","0","-3","-27","2","-2","0","173.25"
"631","-3","-7","-28","2","-2","0","173.25"
