Timer,X,Y,Z
"34","8869","7664","644"
"34","8869","7664","644"
"34","8869","7664","644"
"34","8869","7664","644"
"34","8869","7664","644"
"34","8869","7664","644"
"34","8869","7664","644"
"98","8904","7710","602"
"98","8904","7710","602"
"98","8904","7710","602"
"98","8904","7710","602"
"98","8904","7710","602"
"98","8904","7710","602"
"98","8904","7710","602"
"158","8918","7668","619"
"158","8918","7668","619"
"158","8918","7668","619"
"158","8918","7668","619"
"158","8918","7668","619"
"207","8827","7691","547"
"207","8827","7691","547"
"207","8827","7691","547"
"207","8827","7691","547"
"207","8827","7691","547"
"207","8827","7691","547"
"207","8827","7691","547"
"207","8827","7691","547"
"269","8887","7669","611"
"269","8887","7669","611"
"269","8887","7669","611"
"269","8887","7669","611"
"269","8887","7669","611"
"269","8887","7669","611"
"317","8854","7693","608"
"317","8854","7693","608"
"317","8854","7693","608"
"317","8854","7693","608"
"317","8854","7693","608"
"317","8854","7693","608"
"317","8854","7693","608"
"374","8889","7701","570"
"374","8889","7701","570"
"374","8889","7701","570"
"374","8889","7701","570"
"374","8889","7701","570"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"427","8892","7668","689"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"486","8885","7667","620"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"540","8868","7641","700"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"595","8868","7684","596"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"652","8894","7700","610"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"705","8861","7660","621"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"759","8866","7711","573"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"817","8863","7654","641"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"873","8861","7664","661"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"927","8858","7680","609"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"985","8822","7697","727"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1038","8851","7645","669"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1096","8857","7713","575"
"1149","8871","7711","565"
"1149","8871","7711","565"
"1149","8871","7711","565"
"1149","8871","7711","565"
"1149","8871","7711","565"
"1149","8871","7711","565"
"1149","8871","7711","565"
"1149","8871","7711","565"
