Timer,AX,AY,AZ,GX,GY,GZ,A
"16","-2","0","-31","-2","2","5","265.5"
"16","-1","-2","-30","-2","2","5","265.5"
"24","-1","-2","-30","2","-1","5","265.5"
"24","0","-2","-32","2","-1","5","265.5"
"32","0","-2","-32","0","-1","5","265.5"
"32","0","-1","-29","0","-1","5","265.5"
"40","0","-1","-29","0","0","5","265.5"
"40","-1","0","-31","0","0","5","265.5"
"47","-1","0","-31","0","3","5","265.5"
"48","-1","0","-31","0","3","5","265.5"
"55","-1","0","-31","1","0","5","265.5"
"55","-3","0","-29","1","0","5","265.5"
"63","-3","0","-29","1","1","5","265.5"
"63","0","0","-33","1","1","5","265.5"
"71","0","0","-33","2","1","5","265.5"
"71","0","-1","-30","2","1","5","265.5"
"78","0","-1","-30","1","1","5","265.5"
"78","0","-1","-31","1","1","5","265.5"
"86","0","-1","-31","-1","-1","5","265.5"
"86","0","-1","-31","-1","-1","5","265.5"
"93","0","-1","-31","1","0","5","265.5"
"94","0","-1","-31","1","0","5","265.5"
"102","0","-1","-31","-2","2","5","265.5"
"102","-2","0","-30","-2","2","5","265.5"
"111","-2","0","-30","0","-1","5","265.5"
"111","0","0","-28","0","-1","5","265.5"
"119","0","0","-28","-1","0","5","265.5"
"120","0","0","-30","-1","0","5","265.5"
"128","0","0","-30","-2","-1","5","265.5"
"129","0","0","-30","-2","-1","5","265.5"
"139","0","0","-30","-3","-3","5","265.5"
"139","-1","-1","-26","-3","-3","5","265.5"
"147","-1","-1","-26","-2","3","5","265.5"
"147","0","-1","-31","-2","3","5","265.5"
"157","0","-1","-31","-1","1","5","265.5"
"157","-1","0","-30","-1","1","5","265.5"
"165","-1","0","-30","1","0","5","265.5"
"165","0","0","-31","1","0","5","265.5"
"173","0","0","-31","2","-2","5","265.5"
"173","0","0","-31","2","-2","5","265.5"
"181","0","0","-31","1","2","5","265.5"
"181","0","-3","-30","1","2","5","265.5"
"188","0","-3","-30","0","3","5","265.5"
"188","-1","0","-32","0","3","5","265.5"
"196","-1","0","-32","0","0","5","265.5"
"196","0","-1","-29","0","0","5","265.5"
"203","0","-1","-29","0","-2","5","265.5"
"204","0","0","-31","0","-2","5","265.5"
"211","0","0","-31","-2","0","5","265.5"
"211","0","0","-31","-2","0","5","265.5"
"219","0","0","-31","1","1","5","265.5"
"219","0","-2","-29","1","1","5","265.5"
"226","0","-2","-29","1","-1","5","265.5"
"227","-1","0","-32","1","-1","5","265.5"
"234","-1","0","-32","0","0","5","265.5"
"235","-1","-1","-31","0","0","5","265.5"
"242","-1","-1","-31","0","3","5","265.5"
"242","0","-2","-30","0","3","5","265.5"
"250","0","-2","-30","-2","1","5","265.5"
"250","0","-2","-30","-2","1","5","265.5"
"257","0","-2","-30","-2","0","5","265.5"
"258","0","-1","-30","-2","0","5","265.5"
"265","0","-1","-30","1","0","5","265.5"
"265","0","0","-30","1","0","5","265.5"
"273","0","0","-30","1","-1","5","265.5"
"274","0","0","-32","1","-1","5","265.5"
"282","0","0","-32","0","2","5","265.5"
"282","-2","-1","-31","0","2","5","265.5"
"294","-2","-1","-31","1","-1","5","265.5"
"294","-2","-1","-31","1","-1","5","265.5"
"302","-2","-1","-31","0","2","5","265.5"
"303","-2","0","-32","0","2","5","265.5"
"316","-2","0","-32","1","0","5","265.5"
"317","-2","-2","-34","1","0","5","265.5"
"334","-2","-2","-34","2","1","5","265.5"
"334","0","0","-30","2","1","5","265.5"
"354","0","0","-30","-1","-1","5","265.5"
"355","-1","-1","-31","-1","-1","5","265.5"
"384","-1","-1","-31","2","-2","5","265.5"
"384","-1","-1","-31","2","-2","5","265.5"
"397","-1","-1","-31","1","-1","5","265.5"
"397","0","-1","-28","1","-1","5","265.5"
"405","0","-1","-28","-1","3","5","265.5"
"405","0","-1","-28","-1","3","5","265.5"
"412","0","-1","-28","-3","-1","5","265.5"
"412","1","-4","-28","-3","-1","5","265.5"
"420","1","-4","-28","-3","2","5","265.5"
"420","-1","-2","-29","-3","2","5","265.5"
"428","-1","-2","-29","1","-1","5","265.5"
"428","-1","-2","-29","1","-1","5","265.5"
"436","-1","-2","-29","0","-1","5","265.5"
"436","0","0","-27","0","-1","5","265.5"
