Timer,X,Y,Z
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"16","8899","7644","476"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"71","8951","7623","507"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"128","8914","7658","390"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"181","8934","7608","500"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"238","8891","7643","510"
"294","8899","7616","533"
"294","8899","7616","533"
"294","8899","7616","533"
"294","8899","7616","533"
"294","8899","7616","533"
"294","8899","7616","533"
"294","8899","7616","533"
"354","8948","7613","519"
"354","8948","7613","519"
"354","8948","7613","519"
"354","8948","7613","519"
"354","8948","7613","519"
"354","8948","7613","519"
"354","8948","7613","519"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"409","8908","7680","410"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"464","8926","7587","540"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"520","8883","7734","387"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"577","8934","7646","540"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"630","8912","7580","603"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"688","8871","7682","440"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"748","8940","7629","521"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"798","8931","7639","499"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"851","8933","7704","444"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"909","8945","7620","580"
"966","8936","7662","470"
"966","8936","7662","470"
"966","8936","7662","470"
"966","8936","7662","470"
"966","8936","7662","470"
"966","8936","7662","470"
"966","8936","7662","470"
"966","8936","7662","470"
"966","8936","7662","470"
"1022","8917","7661","482"
"1022","8917","7661","482"
"1022","8917","7661","482"
"1022","8917","7661","482"
"1022","8917","7661","482"
"1022","8917","7661","482"
"1022","8917","7661","482"
"1022","8917","7661","482"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1079","8911","7690","413"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1138","8892","7676","440"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1192","8894","7676","447"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1249","8961","7690","437"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1302","8941","7629","560"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1360","8959","7693","448"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1413","8935","7608","539"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1466","8904","7645","439"
"1526","8905","7634","504"
"1526","8905","7634","504"
