Timer,X,Y,Z
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"39","3705","2397","816"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"97","3690","2417","798"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"158","3704","2440","890"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"220","3705","2440","879"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"277","3700","2437","875"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"338","3702","2424","798"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"400","3709","2418","879"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"457","3704","2432","837"
"519","3716","2429","833"
"519","3716","2429","833"
"519","3716","2429","833"
"519","3716","2429","833"
"519","3716","2429","833"
"519","3716","2429","833"
"519","3716","2429","833"
