Timer,AX,AY,AZ,GX,GY,GZ,A
"2","6","1","-33","-1","1","1","354.125"
"2","6","1","-33","-3","1","1","354.125"
"10","7","0","-31","-3","1","1","354.125"
"14","7","0","-31","-1","0","1","354.125"
"22","7","0","-26","-1","0","1","354.125"
"23","7","0","-26","-2","0","1","354.125"
"31","6","3","-28","-2","0","1","354.125"
"31","6","3","-28","1","1","1","354.125"
"43","4","3","-31","1","1","1","354.125"
"43","4","3","-31","-1","2","1","354.125"
"51","7","-1","-30","-1","2","1","354.125"
"51","7","-1","-30","-3","-2","1","354.125"
"59","9","0","-28","-3","-2","1","354.125"
"63","9","0","-28","0","0","1","354.125"
"71","7","2","-28","0","0","1","354.125"
"72","7","2","-28","0","-1","1","354.125"
"80","7","0","-31","0","-1","1","354.125"
"84","7","0","-31","-3","0","1","354.125"
"92","7","0","-28","-3","0","1","354.125"
"92","7","0","-28","-1","1","1","354.125"
"100","6","-1","-29","-1","1","1","354.125"
"104","6","-1","-29","2","1","1","354.125"
"113","7","3","-27","2","1","1","354.125"
"113","7","3","-27","2","1","1","354.125"
"121","7","2","-32","2","1","1","354.125"
"125","7","2","-32","-1","-3","1","354.125"
"133","6","0","-29","-1","-3","1","354.125"
"133","6","0","-29","0","1","1","354.125"
"141","8","0","-28","0","1","1","354.125"
"141","8","0","-28","1","2","1","354.125"
"153","6","2","-33","1","2","1","354.125"
"154","6","2","-33","0","0","1","354.125"
"162","6","-1","-33","0","0","1","354.125"
"162","6","-1","-33","-3","0","1","354.125"
"170","7","-2","-26","-3","0","1","354.125"
"174","7","-2","-26","0","-1","1","354.125"
"182","7","2","-27","0","-1","1","354.125"
"182","7","2","-27","1","0","1","354.125"
"190","2","0","-30","1","0","1","354.125"
"194","2","0","-30","0","2","1","354.125"
"203","6","-1","-32","0","2","1","354.125"
"203","6","-1","-32","-1","1","1","354.125"
"211","6","0","-28","-1","1","1","354.125"
"215","6","0","-28","3","1","1","354.125"
"223","5","4","-30","3","1","1","354.125"
"223","5","4","-30","2","0","1","354.125"
"231","5","2","-30","2","0","1","354.125"
"232","5","2","-30","1","-2","1","354.125"
"244","4","-2","-30","1","-2","1","354.125"
"244","4","-2","-30","1","1","1","354.125"
"252","7","2","-28","1","1","1","354.125"
"252","7","2","-28","0","3","1","354.125"
"260","6","4","-29","0","3","1","354.125"
"264","6","4","-29","1","4","1","354.125"
"272","5","2","-31","1","4","1","354.125"
"273","5","2","-31","2","-1","1","354.125"
"280","6","-1","-28","2","-1","1","354.125"
"290","6","-1","-28","-1","1","1","354.125"
"293","7","2","-27","-1","1","1","354.125"
"293","7","2","-27","2","3","1","354.125"
"301","6","3","-31","2","3","1","354.125"
"305","6","3","-31","0","4","1","354.125"
"313","4","2","-30","0","4","1","354.125"
"314","4","2","-30","-1","3","1","354.125"
"321","7","-1","-26","-1","3","1","354.125"
"325","7","-1","-26","-1","5","1","354.125"
"334","7","2","-28","-1","5","1","354.125"
"334","7","2","-28","2","3","1","354.125"
"342","6","4","-29","2","3","1","354.125"
"342","6","4","-29","3","3","1","354.125"
"350","5","-1","-33","3","3","1","354.125"
"354","5","-1","-33","0","0","1","354.125"
"362","7","0","-29","0","0","1","354.125"
"363","7","0","-29","0","-1","1","354.125"
"370","7","2","-30","0","-1","1","354.125"
"375","7","2","-30","0","0","1","354.125"
"383","3","-3","-32","0","0","1","354.125"
"383","3","-3","-32","-3","1","1","354.125"
"391","0","6","-31","-3","1","1","354.125"
"395","0","6","-31","-1","0","1","354.125"
"403","7","0","-34","-1","0","1","354.125"
"404","7","0","-34","-1","1","1","354.125"
"412","0","-5","-33","-1","1","1","354.125"
"415","0","-5","-33","-5","-1","1","354.125"
"424","4","10","-30","-5","-1","1","354.125"
"424","4","10","-30","5","-4","1","354.125"
"432","4","5","-31","5","-4","1","354.125"
"432","4","5","-31","1","0","1","354.125"
"444","3","-3","-29","1","0","1","354.125"
"444","3","-3","-29","-3","1","1","354.125"
"453","11","-1","-26","-3","1","1","354.125"
"453","11","-1","-26","1","2","1","354.125"
"461","3","3","-33","1","2","1","354.125"
"465","3","3","-33","5","1","1","354.125"
"473","9","-2","-24","5","1","1","354.125"
"473","9","-2","-24","-1","1","1","354.125"
"481","6","0","-28","-1","1","1","354.125"
"485","6","0","-28","0","1","1","354.125"
"494","5","0","-30","0","1","1","354.125"
"494","5","0","-30","-1","3","1","354.125"
"502","11","-2","-26","-1","3","1","354.125"
"506","11","-2","-26","-2","1","1","354.125"
"514","5","2","-29","-2","1","1","354.125"
"514","5","2","-29","2","2","1","354.125"
"522","4","-2","-30","2","2","1","354.125"
"526","4","-2","-30","-2","3","1","354.125"
"534","8","0","-27","-2","3","1","354.125"
"535","8","0","-27","-4","0","1","354.125"
"543","3","4","-28","-4","0","1","354.125"
"543","3","4","-28","-1","0","1","354.125"
"551","6","-1","-29","-1","0","1","354.125"
"555","6","-1","-29","-3","2","1","354.125"
"563","7","0","-30","-3","2","1","354.125"
"563","7","0","-30","1","1","1","354.125"
"571","4","4","-28","1","1","1","354.125"
"575","4","4","-28","-1","0","1","354.125"
"583","8","1","-29","-1","0","1","354.125"
"584","8","1","-29","1","-3","1","354.125"
"592","7","3","-29","1","-3","1","354.125"
"596","7","3","-29","-4","1","1","354.125"
"604","4","0","-30","-4","1","1","354.125"
"604","4","0","-30","-3","1","1","354.125"
"612","5","1","-28","-3","1","1","354.125"
"616","5","1","-28","-1","3","1","354.125"
"624","4","6","-32","-1","3","1","354.125"
"625","4","6","-32","-3","0","1","354.125"
"633","13","-3","-21","-3","0","1","354.125"
"633","13","-3","-21","-3","0","1","354.125"
"641","4","2","-28","-3","0","1","354.125"
"645","4","2","-28","0","1","1","354.125"
"653","1","5","-37","0","1","1","354.125"
"653","1","5","-37","1","4","1","354.125"
"661","12","-3","-23","1","4","1","354.125"
"665","12","-3","-23","1","-1","1","354.125"
"674","8","2","-29","1","-1","1","354.125"
"674","8","2","-29","0","-1","1","354.125"
"682","5","1","-28","0","-1","1","354.125"
"686","5","1","-28","0","-1","1","354.125"
"694","10","-3","-26","0","-1","1","354.125"
"695","10","-3","-26","-2","1","1","354.125"
"702","6","-1","-31","-2","1","1","354.125"
"706","6","-1","-31","-1","3","1","354.125"
"715","8","2","-28","-1","3","1","354.125"
"715","8","2","-28","-1","3","1","354.125"
"723","3","1","-31","-1","3","1","354.125"
"723","3","1","-31","-1","0","1","354.125"
"731","6","2","-29","-1","0","1","354.125"
"735","6","2","-29","-1","0","1","354.125"
"743","10","1","-29","-1","0","1","354.125"
"744","10","1","-29","-1","0","1","354.125"
"752","7","0","-31","-1","0","1","354.125"
"756","7","0","-31","-1","1","1","354.125"
"764","5","6","-32","-1","1","1","354.125"
"764","5","6","-32","-1","1","1","354.125"
"772","5","2","-30","-1","1","1","354.125"
"776","5","2","-30","4","-1","1","354.125"
"780","5","2","-30","4","-1","1","354.125"
"784","5","2","-30","0","1","1","354.125"
"792","6","0","-30","0","1","1","354.125"
"796","6","0","-30","-1","1","1","354.125"
"805","8","1","-27","-1","1","1","354.125"
"805","8","1","-27","4","2","1","354.125"
"813","2","0","-29","4","2","1","354.125"
"817","2","0","-29","-2","-1","1","354.125"
"825","5","0","-33","-2","-1","1","354.125"
"825","5","0","-33","-1","-3","1","354.125"
"833","5","0","-33","-1","-3","1","354.125"
"834","5","0","-33","1","-4","1","354.125"
"841","-1","7","-32","1","-4","1","354.125"
"846","-1","7","-32","2","0","1","354.125"
"854","4","8","-33","2","0","1","354.125"
"855","4","8","-33","3","-1","1","354.125"
"862","5","-8","-28","3","-1","1","354.125"
"866","5","-8","-28","2","0","1","354.125"
"874","2","6","-32","2","0","1","354.125"
"875","2","6","-32","1","2","1","354.125"
"882","2","6","-32","1","2","1","354.125"
"883","2","6","-32","5","1","1","354.125"
"895","8","1","-26","5","1","1","354.125"
"895","8","1","-26","1","-1","1","354.125"
"903","6","-2","-32","1","-1","1","354.125"
"907","6","-2","-32","-1","-1","1","354.125"
"915","6","-1","-28","-1","-1","1","354.125"
"915","6","-1","-28","1","1","1","354.125"
"923","7","0","-31","1","1","1","354.125"
"924","7","0","-31","5","1","1","354.125"
"932","7","0","-31","5","1","1","354.125"
"932","7","0","-31","1","-1","1","354.125"
"944","8","0","-25","1","-1","1","354.125"
"944","8","0","-25","1","0","1","354.125"
"952","7","5","-31","1","0","1","354.125"
"956","7","5","-31","1","2","1","354.125"
"965","7","1","-28","1","2","1","354.125"
"965","7","1","-28","3","1","1","354.125"
"973","8","0","-25","3","1","1","354.125"
"977","8","0","-25","0","1","1","354.125"
"985","8","0","-25","0","1","1","354.125"
"985","8","0","-25","1","1","1","354.125"
"993","5","0","-27","1","1","1","354.125"
"997","5","0","-27","1","1","1","354.125"
"1005","8","2","-30","1","1","1","354.125"
"1005","8","2","-30","0","1","1","354.125"
"1014","7","2","-31","0","1","1","354.125"
"1014","7","2","-31","-1","0","1","354.125"
"1026","5","0","-27","-1","0","1","354.125"
"1026","5","0","-27","3","1","1","354.125"
"1030","5","0","-27","3","1","1","354.125"
"1034","5","0","-27","1","1","1","354.125"
"1042","8","0","-28","1","1","1","354.125"
"1046","8","0","-28","-1","1","1","354.125"
"1054","8","2","-31","-1","1","1","354.125"
"1055","8","2","-31","-1","2","1","354.125"
"1063","7","2","-32","-1","2","1","354.125"
"1067","7","2","-32","1","-2","1","354.125"
"1075","9","2","-27","1","-2","1","354.125"
"1075","9","2","-27","-1","0","1","354.125"
"1083","9","2","-27","-1","0","1","354.125"
"1084","9","2","-27","-1","2","1","354.125"
"1096","7","-1","-30","-1","2","1","354.125"
"1096","7","-1","-30","2","-1","1","354.125"
"1104","6","0","-30","2","-1","1","354.125"
"1104","6","0","-30","2","2","1","354.125"
"1116","5","2","-30","2","2","1","354.125"
"1116","5","2","-30","1","1","1","354.125"
"1124","6","2","-29","1","1","1","354.125"
"1124","6","2","-29","4","1","1","354.125"
"1132","6","2","-29","4","1","1","354.125"
"1133","6","2","-29","1","1","1","354.125"
"1145","6","-2","-28","1","1","1","354.125"
"1145","6","-2","-28","1","1","1","354.125"
"1153","4","0","-31","1","1","1","354.125"
"1157","4","0","-31","-1","1","1","354.125"
"1165","6","0","-29","-1","1","1","354.125"
"1165","6","0","-29","0","3","1","354.125"
"1173","6","4","-28","0","3","1","354.125"
"1178","6","4","-28","3","0","1","354.125"
"1182","6","4","-28","3","0","1","354.125"
"1182","6","4","-28","2","-2","1","354.125"
"1194","3","0","-31","2","-2","1","354.125"
"1198","3","0","-31","3","-1","1","354.125"
