Timer,AX,AY,AZ,GX,GY,GZ,A
"1","-3","0","-32","-1","3","0","355"
"2","-2","-1","-28","-1","3","0","355"
"51","-2","-1","-28","-1","2","0","355"
"52","-3","2","-28","-1","2","0","355"
"84","-3","2","-28","-1","2","0","355"
"86","-2","4","-33","-1","2","0","355"
"125","-2","4","-33","2","2","0","355"
"127","-2","4","-33","2","2","0","355"
"170","-2","4","-33","1","1","0","355"
"172","0","6","-33","1","1","0","355"
"225","0","6","-33","-3","-1","0","355"
"226","-5","7","-32","-3","-1","0","355"
"266","-5","7","-32","-3","0","0","355"
"269","0","0","-28","-3","0","0","355"
"332","0","0","-28","-2","4","0","355"
"333","-2","5","-30","-2","4","0","355"
"376","-2","5","-30","-2","1","0","355"
"378","-2","5","-30","-2","1","0","355"
"427","-2","5","-30","-3","0","0","355"
"428","0","0","-30","-3","0","0","355"
"477","0","0","-30","0","-2","0","355"
"480","-3","5","-33","0","-2","0","355"
"518","-3","5","-33","-1","0","0","355"
"518","-1","4","-32","-1","0","0","355"
"564","-1","4","-32","-2","-2","0","355"
"565","-4","-1","-30","-2","-2","0","355"
"609","-4","-1","-30","3","-1","0","355"
"610","-4","-1","-30","3","-1","0","355"
"660","-4","-1","-30","-3","-1","0","355"
"660","-1","5","-29","-3","-1","0","355"
"701","-1","5","-29","1","-2","0","355"
"702","-1","-2","-35","1","-2","0","355"
"739","-1","-2","-35","0","-1","0","355"
"740","1","-2","-31","0","-1","0","355"
"777","1","-2","-31","-2","-1","0","355"
"779","0","5","-31","-2","-1","0","355"
"824","0","5","-31","-3","-2","0","355"
"825","0","5","-31","-3","-2","0","355"
"892","0","5","-31","-4","0","0","355"
"893","-1","0","-28","-4","0","0","355"
"953","-1","0","-28","0","-2","0","355"
"954","-1","0","-28","0","-2","0","355"
"987","-1","0","-28","-1","-2","0","355"
"989","-1","0","-31","-1","-2","0","355"
"1024","-1","0","-31","-1","-1","0","355"
"1025","-2","1","-32","-1","-1","0","355"
"1051","-2","1","-32","2","0","0","355"
"1052","-2","1","-32","2","0","0","355"
"1102","-2","1","-32","0","-2","0","355"
"1102","-1","0","-33","0","-2","0","355"
"1121","-1","0","-33","2","-4","0","355"
"1122","-1","0","-33","2","-4","0","355"
"1158","-1","0","-33","-4","-1","0","355"
"1159","0","0","-31","-4","-1","0","355"
"1234","0","0","-31","-1","-1","0","355"
"1235","-3","3","-30","-1","-1","0","355"
"1286","-3","3","-30","1","-2","0","355"
"1287","-3","3","-30","1","-2","0","355"
"1332","-3","3","-30","0","1","0","355"
"1333","-2","-2","-28","0","1","0","355"
"1378","-2","-2","-28","-3","-1","0","355"
"1380","-1","0","-30","-3","-1","0","355"
"1418","-1","0","-30","-1","-1","0","355"
"1419","-3","2","-33","-1","-1","0","355"
"1452","-3","2","-33","-1","0","0","355"
"1453","0","0","-30","-1","0","0","355"
"1474","0","0","-30","4","-3","0","355"
"1475","0","0","-30","4","-3","0","355"
"1499","0","0","-30","-1","-3","0","355"
"1500","-3","2","-32","-1","-3","0","355"
"1546","-3","2","-32","0","-1","0","355"
"1547","-2","2","-30","0","-1","0","355"
"1582","-2","2","-30","2","0","0","355"
"1584","-1","1","-31","2","0","0","355"
"1619","-1","1","-31","-3","2","0","355"
"1619","-2","2","-29","-3","2","0","355"
"1633","-2","2","-29","0","0","0","355"
"1633","-2","2","-29","0","0","0","355"
"1648","-2","2","-29","0","-2","0","355"
"1648","-2","2","-31","0","-2","0","355"
"1671","-2","2","-31","-1","-4","0","355"
"1672","-1","2","-31","-1","-4","0","355"
"1708","-1","2","-31","-2","1","0","355"
"1709","0","2","-32","-2","1","0","355"
"1753","0","2","-32","-1","-2","0","355"
"1753","-1","0","-30","-1","-2","0","355"
"1788","-1","0","-30","-1","-1","0","355"
"1789","0","-1","-29","-1","-1","0","355"
"1815","0","-1","-29","0","-1","0","355"
"1817","0","1","-29","0","-1","0","355"
"1838","0","1","-29","2","-1","0","355"
"1839","0","0","-31","2","-1","0","355"
"1867","0","0","-31","-1","-1","0","355"
"1868","0","3","-31","-1","-1","0","355"
"1884","0","3","-31","-2","1","0","355"
"1886","0","3","-31","-2","1","0","355"
"1929","0","3","-31","3","-1","0","355"
"1930","-2","2","-31","3","-1","0","355"
"1991","-2","2","-31","0","-1","0","355"
"1992","-2","2","-30","0","-1","0","355"
"2035","-2","2","-30","0","-1","0","355"
"2036","-1","3","-32","0","-1","0","355"
"2065","-1","3","-32","1","0","0","355"
"2066","0","3","-32","1","0","0","355"
"2073","0","3","-32","0","0","0","355"
"2073","0","4","-31","0","0","0","355"
"2088","0","4","-31","0","0","0","355"
"2089","0","2","-32","0","0","0","355"
"2111","0","2","-32","1","0","0","355"
"2112","-3","0","-31","1","0","0","355"
"2133","-3","0","-31","-2","1","0","355"
"2134","0","2","-30","-2","1","0","355"
"2182","0","2","-30","-2","-2","0","355"
"2183","0","1","-32","-2","-2","0","355"
"2226","0","1","-32","-2","1","0","355"
"2227","-2","2","-32","-2","1","0","355"
"2261","-2","2","-32","-1","0","0","355"
"2263","-2","0","-30","-1","0","0","355"
"2294","-2","0","-30","-1","-2","0","355"
"2294","0","0","-27","-1","-2","0","355"
"2309","0","0","-27","-2","0","0","355"
"2310","-1","1","-31","-2","0","0","355"
"2331","-1","1","-31","0","3","0","355"
"2332","0","1","-33","0","3","0","355"
"2353","0","1","-33","0","1","0","355"
"2353","-2","2","-32","0","1","0","355"
"2376","-2","2","-32","0","2","0","355"
"2376","0","0","-32","0","2","0","355"
"2412","0","0","-32","2","-4","0","355"
"2414","-1","3","-27","2","-4","0","355"
"2450","-1","3","-27","-1","-1","0","355"
"2451","0","2","-31","-1","-1","0","355"
"2487","0","2","-31","1","1","0","355"
"2489","-1","4","-32","1","1","0","355"
"2520","-1","4","-32","0","1","0","355"
"2521","-1","4","-32","0","1","0","355"
"2531","-1","4","-32","-3","3","0","355"
"2533","0","1","-29","-3","3","0","355"
"2549","0","1","-29","-4","-1","0","355"
"2549","0","1","-31","-4","-1","0","355"
"2563","0","1","-31","-5","1","0","355"
"2563","-1","1","-28","-5","1","0","355"
"2585","-1","1","-28","-2","1","0","355"
"2586","0","1","-30","-2","1","0","355"
"2630","0","1","-30","0","2","0","355"
"2632","-1","0","-31","0","2","0","355"
"2678","-1","0","-31","1","-1","0","355"
"2680","0","-1","-32","1","-1","0","355"
"2740","0","-1","-32","-4","1","0","355"
"2741","1","0","-31","-4","1","0","355"
"2778","1","0","-31","0","2","0","355"
"2779","0","1","-31","0","2","0","355"
"2821","0","1","-31","3","0","0","355"
"2822","-1","1","-33","3","0","0","355"
"2881","-1","1","-33","1","1","0","355"
"2882","-2","3","-28","1","1","0","355"
"2923","-2","3","-28","0","1","0","355"
"2924","-2","2","-30","0","1","0","355"
"2964","-2","2","-30","-1","-1","0","355"
"2965","-1","2","-31","-1","-1","0","355"
"2994","-1","2","-31","-1","0","0","355"
"2995","0","2","-31","-1","0","0","355"
"3039","0","2","-31","-2","0","0","355"
"3040","-1","4","-32","-2","0","0","355"
"3091","-1","4","-32","-1","-1","0","355"
"3092","0","2","-31","-1","-1","0","355"
"3134","0","2","-31","0","0","0","355"
"3136","-2","2","-30","0","0","0","355"
"3168","-2","2","-30","1","-1","0","355"
"3169","-2","2","-29","1","-1","0","355"
"3204","-2","2","-29","1","1","0","355"
"3206","0","2","-31","1","1","0","355"
"3243","0","2","-31","-3","1","0","355"
"3244","-1","0","-32","-3","1","0","355"
"3276","-1","0","-32","-1","2","0","355"
"3277","-1","1","-31","-1","2","0","355"
"3335","-1","1","-31","1","3","0","355"
"3336","0","0","-29","1","3","0","355"
"3368","0","0","-29","0","1","0","355"
"3369","0","0","-31","0","1","0","355"
"3387","0","0","-31","-2","1","0","355"
"3388","-1","2","-28","-2","1","0","355"
"3451","-1","2","-28","1","1","0","355"
"3452","-1","0","-31","1","1","0","355"
"3524","-1","0","-31","-1","1","0","355"
"3526","0","1","-32","-1","1","0","355"
"3578","0","1","-32","4","0","0","355"
"3579","0","2","-30","4","0","0","355"
"3620","0","2","-30","0","0","0","355"
"3621","-1","0","-31","0","0","0","355"
"3662","-1","0","-31","0","-2","0","355"
"3663","0","1","-29","0","-2","0","355"
"3713","0","1","-29","1","0","0","355"
"3715","-1","3","-35","1","0","0","355"
"3763","-1","3","-35","0","0","0","355"
"3765","-1","2","-31","0","0","0","355"
"3807","-1","2","-31","1","0","0","355"
"3808","-1","3","-30","1","0","0","355"
"3839","-1","3","-30","-2","-2","0","355"
"3840","0","2","-29","-2","-2","0","355"
"3864","0","2","-29","-1","0","0","355"
"3865","0","1","-30","-1","0","0","355"
"3886","0","1","-30","3","1","0","355"
"3886","0","0","-30","3","1","0","355"
"3901","0","0","-30","1","2","0","355"
"3901","0","0","-33","1","2","0","355"
"3923","0","0","-33","2","2","0","355"
"3924","-1","0","-29","2","2","0","355"
"3956","-1","0","-29","1","0","0","355"
"3958","0","0","-29","1","0","0","355"
"4010","0","0","-29","1","-2","0","355"
"4011","0","0","-30","1","-2","0","355"
"4062","0","0","-30","-2","0","0","355"
