Timer,AX,AY,AZ,GX,GY,GZ,A
"47","2","0","-26","0","2","-1","187.5"
"47","2","0","-26","1","2","-1","187.5"
"58","0","0","-29","1","2","-1","187.5"
"59","0","0","-29","1","-1","-1","187.5"
"67","1","-2","-29","1","-1","-1","187.5"
"67","1","-2","-29","3","0","-1","187.5"
"75","0","-1","-27","3","0","-1","187.5"
"79","0","-1","-27","3","-1","-1","187.5"
"87","0","-3","-25","3","-1","-1","187.5"
"88","0","-3","-25","-1","3","-1","187.5"
"95","0","-1","-27","-1","3","-1","187.5"
"100","0","-1","-27","0","2","-1","187.5"
"108","0","-2","-27","0","2","-1","187.5"
"108","0","-2","-27","2","3","-1","187.5"
"116","-1","0","-27","2","3","-1","187.5"
"120","-1","0","-27","0","0","-1","187.5"
"128","0","-3","-29","0","0","-1","187.5"
"129","0","-3","-29","2","0","-1","187.5"
"136","-1","0","-28","2","0","-1","187.5"
"140","-1","0","-28","-1","1","-1","187.5"
"149","1","-1","-29","-1","1","-1","187.5"
"149","1","-1","-29","-1","0","-1","187.5"
"157","2","-1","-28","-1","0","-1","187.5"
"157","2","-1","-28","1","0","-1","187.5"
"169","-1","-2","-28","1","0","-1","187.5"
"169","-1","-2","-28","3","-1","-1","187.5"
"177","1","-1","-28","3","-1","-1","187.5"
"178","1","-1","-28","1","1","-1","187.5"
"185","0","-3","-28","1","1","-1","187.5"
"190","0","-3","-28","4","0","-1","187.5"
"198","1","-3","-27","4","0","-1","187.5"
"198","1","-3","-27","1","-2","-1","187.5"
"206","1","0","-28","1","-2","-1","187.5"
"210","1","0","-28","0","0","-1","187.5"
"218","0","0","-31","0","0","-1","187.5"
"219","0","0","-31","2","2","-1","187.5"
"227","0","-1","-28","2","2","-1","187.5"
"230","0","-1","-28","-2","-1","-1","187.5"
"239","0","-3","-30","-2","-1","-1","187.5"
"239","0","-3","-30","-1","-1","-1","187.5"
"247","0","-3","-27","-1","-1","-1","187.5"
"247","0","-3","-27","1","1","-1","187.5"
"259","0","-1","-28","1","1","-1","187.5"
"259","0","-1","-28","5","-1","-1","187.5"
"268","0","0","-30","5","-1","-1","187.5"
"268","0","0","-30","1","2","-1","187.5"
"276","0","-4","-28","1","2","-1","187.5"
"280","0","-4","-28","0","3","-1","187.5"
"288","0","-2","-30","0","3","-1","187.5"
"288","0","-2","-30","0","3","-1","187.5"
"296","0","-1","-27","0","3","-1","187.5"
"300","0","-1","-27","3","0","-1","187.5"
"309","-1","1","-30","3","0","-1","187.5"
"309","-1","1","-30","4","1","-1","187.5"
"317","0","-1","-28","4","1","-1","187.5"
"321","0","-1","-28","-1","1","-1","187.5"
"329","0","-1","-30","-1","1","-1","187.5"
"329","0","-1","-30","-4","2","-1","187.5"
"337","1","0","-28","-4","2","-1","187.5"
"341","1","0","-28","1","1","-1","187.5"
"349","2","0","-29","1","1","-1","187.5"
"349","2","0","-29","2","-1","-1","187.5"
"358","-1","-1","-27","2","-1","-1","187.5"
"358","-1","-1","-27","-1","1","-1","187.5"
"366","1","0","-30","-1","1","-1","187.5"
"370","1","0","-30","1","2","-1","187.5"
"378","0","0","-29","1","2","-1","187.5"
"379","0","0","-29","0","2","-1","187.5"
"386","1","-3","-26","0","2","-1","187.5"
"390","1","-3","-26","0","-1","-1","187.5"
"398","1","-2","-26","0","-1","-1","187.5"
"399","1","-2","-26","0","1","-1","187.5"
"407","0","-2","-29","0","1","-1","187.5"
"411","0","-2","-29","1","1","-1","187.5"
"419","-1","-2","-28","1","1","-1","187.5"
"419","-1","-2","-28","3","0","-1","187.5"
"427","0","0","-30","3","0","-1","187.5"
"428","0","0","-30","-1","1","-1","187.5"
"439","1","-2","-27","-1","1","-1","187.5"
"440","1","-2","-27","2","1","-1","187.5"
"448","0","-3","-28","2","1","-1","187.5"
"448","0","-3","-28","2","1","-1","187.5"
"456","0","0","-28","2","1","-1","187.5"
"460","0","0","-28","-1","-1","-1","187.5"
"468","0","1","-29","-1","-1","-1","187.5"
"468","0","1","-29","0","0","-1","187.5"
"477","1","-3","-29","0","0","-1","187.5"
"480","1","-3","-29","-4","-2","-1","187.5"
"489","0","-2","-25","-4","-2","-1","187.5"
"489","0","-2","-25","-1","0","-1","187.5"
"497","2","-1","-27","-1","0","-1","187.5"
"501","2","-1","-27","0","-2","-1","187.5"
"509","0","-2","-29","0","-2","-1","187.5"
"510","0","-2","-29","-1","0","-1","187.5"
"517","0","-2","-31","-1","0","-1","187.5"
"521","0","-2","-31","-2","-4","-1","187.5"
"530","-1","-2","-30","-2","-4","-1","187.5"
"530","-1","-2","-30","2","-1","-1","187.5"
"538","2","-1","-28","2","-1","-1","187.5"
"542","2","-1","-28","0","0","-1","187.5"
"546","1","0","-29","0","0","-1","187.5"
"550","1","0","-29","0","0","-1","187.5"
"558","2","0","-28","0","0","-1","187.5"
"559","2","0","-28","-2","-1","-1","187.5"
"566","1","-1","-29","-2","-1","-1","187.5"
"571","1","-1","-29","-1","-1","-1","187.5"
"579","1","-1","-28","-1","-1","-1","187.5"
"579","1","-1","-28","-1","2","-1","187.5"
"587","0","1","-28","-1","2","-1","187.5"
"591","0","1","-28","2","-1","-1","187.5"
"599","0","-2","-28","2","-1","-1","187.5"
"599","0","-2","-28","-1","0","-1","187.5"
"607","0","0","-29","-1","0","-1","187.5"
"611","0","0","-29","-3","1","-1","187.5"
"620","0","1","-30","-3","1","-1","187.5"
"620","0","1","-30","3","0","-1","187.5"
"628","0","0","-28","3","0","-1","187.5"
"628","0","0","-28","2","2","-1","187.5"
"640","0","-1","-31","2","2","-1","187.5"
"640","0","-1","-31","-1","1","-1","187.5"
"648","0","0","-26","-1","1","-1","187.5"
"649","0","0","-26","-1","1","-1","187.5"
"657","3","0","-29","-1","1","-1","187.5"
"661","3","0","-29","0","0","-1","187.5"
"669","0","-1","-29","0","0","-1","187.5"
"669","0","-1","-29","0","-2","-1","187.5"
"677","2","-2","-28","0","-2","-1","187.5"
"681","2","-2","-28","-3","0","-1","187.5"
"690","0","0","-28","-3","0","-1","187.5"
"690","0","0","-28","-3","0","-1","187.5"
"697","0","0","-28","-3","0","-1","187.5"
"698","0","0","-28","-3","0","-1","187.5"
"710","0","-2","-28","-3","0","-1","187.5"
"710","0","-2","-28","-1","-1","-1","187.5"
"718","1","-4","-31","-1","-1","-1","187.5"
"722","1","-4","-31","1","-2","-1","187.5"
"730","0","-2","-31","1","-2","-1","187.5"
"730","0","-2","-31","-1","-1","-1","187.5"
"739","4","0","-27","-1","-1","-1","187.5"
"739","4","0","-27","0","-2","-1","187.5"
"747","4","0","-27","0","-2","-1","187.5"
"751","4","0","-27","0","-2","-1","187.5"
"759","4","-2","-24","0","-2","-1","187.5"
"759","4","-2","-24","-1","0","-1","187.5"
"767","-1","-2","-30","-1","0","-1","187.5"
"771","-1","-2","-30","1","-2","-1","187.5"
"780","0","0","-28","1","-2","-1","187.5"
"780","0","0","-28","0","-1","-1","187.5"
"788","0","-1","-29","0","-1","-1","187.5"
"792","0","-1","-29","0","3","-1","187.5"
"796","0","-1","-29","0","3","-1","187.5"
"800","0","-1","-29","0","3","-1","187.5"
"808","0","-3","-28","0","3","-1","187.5"
"812","0","-3","-28","-1","3","-1","187.5"
"820","2","0","-28","-1","3","-1","187.5"
"821","2","0","-28","1","1","-1","187.5"
"829","2","-1","-29","1","1","-1","187.5"
"832","2","-1","-29","-2","-2","-1","187.5"
"841","2","-3","-29","-2","-2","-1","187.5"
"841","2","-3","-29","-2","-2","-1","187.5"
"845","2","-3","-29","-2","-2","-1","187.5"
"849","2","-3","-29","2","-3","-1","187.5"
"857","0","0","-29","2","-3","-1","187.5"
"861","0","0","-29","-2","-1","-1","187.5"
"870","0","-2","-30","-2","-1","-1","187.5"
"870","0","-2","-30","-1","3","-1","187.5"
"878","1","-1","-28","-1","3","-1","187.5"
"882","1","-1","-28","-1","3","-1","187.5"
"890","0","-1","-28","-1","3","-1","187.5"
"890","0","-1","-28","-1","-1","-1","187.5"
"898","0","-1","-28","-1","-1","-1","187.5"
"898","0","-1","-28","1","-2","-1","187.5"
"911","1","-2","-29","1","-2","-1","187.5"
"911","1","-2","-29","-1","-2","-1","187.5"
"919","0","0","-33","-1","-2","-1","187.5"
"919","0","0","-33","0","0","-1","187.5"
"931","0","-1","-28","0","0","-1","187.5"
"931","0","-1","-28","1","-2","-1","187.5"
"939","0","-4","-28","1","-2","-1","187.5"
"940","0","-4","-28","-1","1","-1","187.5"
"947","0","-4","-28","-1","1","-1","187.5"
"948","0","-4","-28","-1","2","-1","187.5"
"960","0","-1","-26","-1","2","-1","187.5"
"960","0","-1","-26","3","0","-1","187.5"
"968","0","-3","-30","3","0","-1","187.5"
"972","0","-3","-30","1","0","-1","187.5"
"980","0","-2","-30","1","0","-1","187.5"
"980","0","-2","-30","-4","1","-1","187.5"
"989","2","0","-27","-4","1","-1","187.5"
"992","2","0","-27","-4","1","-1","187.5"
"997","2","0","-27","-4","1","-1","187.5"
"997","2","0","-27","0","0","-1","187.5"
"1009","0","-1","-30","0","0","-1","187.5"
"1013","0","-1","-30","0","-1","-1","187.5"
"1021","1","-1","-28","0","-1","-1","187.5"
"1021","1","-1","-28","0","0","-1","187.5"
"1030","1","-2","-29","0","0","-1","187.5"
"1030","1","-2","-29","-3","2","-1","187.5"
"1042","0","0","-28","-3","2","-1","187.5"
"1042","0","0","-28","-2","0","-1","187.5"
"1046","0","0","-28","-2","0","-1","187.5"
"1050","0","0","-28","1","3","-1","187.5"
"1058","-1","-1","-30","1","3","-1","187.5"
"1062","-1","-1","-30","0","-1","-1","187.5"
"1070","0","0","-31","0","-1","-1","187.5"
"1071","0","0","-31","-2","0","-1","187.5"
"1078","0","0","-30","-2","0","-1","187.5"
"1082","0","0","-30","-1","-2","-1","187.5"
"1091","2","-2","-29","-1","-2","-1","187.5"
"1091","2","-2","-29","1","2","-1","187.5"
"1099","2","-2","-29","1","2","-1","187.5"
"1099","2","-2","-29","-3","-2","-1","187.5"
"1111","1","0","-27","-3","-2","-1","187.5"
"1112","1","0","-27","-4","1","-1","187.5"
"1120","2","-1","-29","-4","1","-1","187.5"
"1123","2","-1","-29","-2","-1","-1","187.5"
"1131","0","-1","-29","-2","-1","-1","187.5"
"1131","0","-1","-29","-1","0","-1","187.5"
"1139","0","-3","-26","-1","0","-1","187.5"
"1139","0","-3","-26","-2","1","-1","187.5"
"1147","0","-3","-26","-2","1","-1","187.5"
"1147","0","-3","-26","-3","1","-1","187.5"
"1160","0","-3","-27","-3","1","-1","187.5"
"1160","0","-3","-27","2","0","-1","187.5"
"1168","0","-2","-30","2","0","-1","187.5"
"1172","0","-2","-30","0","-3","-1","187.5"
