Timer,X,Y,Z
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"40","3863","1966","3580"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"97","3797","2190","549"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"159","3813","1954","3592"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"220","3829","2192","631"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"278","3790","2138","774"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"339","3814","2144","703"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"397","3800","2150","626"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"458","3811","1976","3671"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"519","3794","2183","718"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"577","3754","2142","759"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"638","3798","2138","858"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"700","3816","1969","3520"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"761","3793","2160","769"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"822","3787","2173","831"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
"884","3821","1946","3617"
