Timer,X,Y,Z
"14.14286","3595","12602","4899"
"28.28571","3595","12602","4899"
"42.42857","3595","12602","4899"
"56.57143","3595","12602","4899"
"70.71429","3595","12602","4899"
"84.85714","3595","12602","4899"
"99","3595","12602","4899"
"104.18182","3595","12602","4899"
"108.36364","3634","12675","4853"
"112.54545","3634","12675","4853"
"116.72727","3634","12675","4853"
"120.90909","3634","12675","4853"
"125.09091","3634","12675","4853"
"129.27273","3634","12675","4853"
"133.45455","3634","12675","4853"
"137.63636","3634","12675","4853"
"141.81818","3634","12675","4853"
"146","3634","12675","4853"
"150.18182","3634","12675","4853"
"154.36364","3634","12675","4853"
"158.54545","3634","12675","4853"
"162.72727","3628","12710","4632"
"166.90909","3628","12710","4632"
"171.09091","3628","12710","4632"
"175.27273","3628","12710","4632"
"179.45455","3628","12710","4632"
"183.63636","3628","12710","4632"
"187.81818","3628","12710","4632"
"192","3628","12710","4632"
"200","3628","12710","4632"
"200","3628","12710","4632"
"205.38889","3628","12710","4632"
"210.77778","3628","12710","4632"
"216.16667","3628","12710","4632"
"221.55556","3628","12710","4632"
"226.94444","3628","12710","4632"
"232.33333","3628","12710","4632"
"237.72222","3628","12710","4632"
"243.11111","3631","12640","4956"
"248.5","3631","12640","4956"
"253.88889","3631","12640","4956"
"259.27778","3631","12640","4956"
"264.66667","3631","12640","4956"
"270.05556","3631","12640","4956"
"275.44444","3631","12640","4956"
"280.83333","3631","12640","4956"
"286.22222","3631","12640","4956"
"291.61111","3631","12640","4956"
"297","3639","12624","4896"
"303.76923","3639","12624","4896"
"307.53846","3639","12624","4896"
"311.30769","3639","12624","4896"
"315.07692","3639","12624","4896"
"318.84615","3639","12624","4896"
"322.61538","3639","12624","4896"
"326.38462","3639","12624","4896"
"330.15385","3639","12624","4896"
"333.92308","3639","12624","4896"
"337.69231","3639","12624","4896"
"341.46154","3639","12624","4896"
"345.23077","3592","12600","4894"
"349","3592","12600","4894"
"352.76923","3592","12600","4894"
"356.53846","3592","12600","4894"
"360.30769","3592","12600","4894"
"364.07692","3592","12600","4894"
"367.84615","3592","12600","4894"
"371.61538","3592","12600","4894"
"375.38462","3592","12600","4894"
"379.15385","3592","12600","4894"
"382.92308","3592","12600","4894"
"386.69231","3592","12600","4894"
"390.46154","3592","12600","4894"
"394.23077","3592","12600","4894"
"398","3592","12600","4894"
"404.88889","3592","12600","4894"
"409.77778","3592","12600","4894"
"414.66667","3615","12684","4790"
"419.55556","3615","12684","4790"
"424.44444","3615","12684","4790"
"429.33333","3615","12684","4790"
"434.22222","3615","12684","4790"
