Timer,X,Y,Z
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"23","3513","13104","1052"
"85","3462","13226","848"
"85","3462","13226","848"
"85","3462","13226","848"
"85","3462","13226","848"
"85","3462","13226","848"
"151","3499","13131","939"
"151","3499","13131","939"
"151","3499","13131","939"
"151","3499","13131","939"
"151","3499","13131","939"
"151","3499","13131","939"
"151","3499","13131","939"
"151","3499","13131","939"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"213","3505","12911","992"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"266","3736","12631","4909"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"325","3736","12681","4681"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"385","3538","13013","1041"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"449","3776","12633","4901"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"504","3778","12646","4791"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"567","3775","12668","4904"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"627","3718","12648","4847"
"687","3504","12975","1157"
"687","3504","12975","1157"
"687","3504","12975","1157"
"687","3504","12975","1157"
"687","3504","12975","1157"
"687","3504","12975","1157"
"754","3652","12976","2694"
"754","3652","12976","2694"
"754","3652","12976","2694"
"754","3652","12976","2694"
"754","3652","12976","2694"
"754","3652","12976","2694"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"806","3747","12695","4751"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"870","3501","12980","1160"
"933","3526","12940","1172"
"933","3526","12940","1172"
"933","3526","12940","1172"
"933","3526","12940","1172"
"933","3526","12940","1172"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1001","3506","12954","1209"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1051","3542","13103","1110"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1113","3565","12984","1150"
"1182","3682","12934","2767"
"1182","3682","12934","2767"
"1182","3682","12934","2767"
"1182","3682","12934","2767"
"1182","3682","12934","2767"
"1182","3682","12934","2767"
"1182","3682","12934","2767"
"1231","3471","12840","1205"
"1231","3471","12840","1205"
"1231","3471","12840","1205"
