Timer,X,Y,Z
"4.08333","8910","7747","525"
"8.16667","8910","7747","525"
"12.25","8910","7747","525"
"16.33333","8910","7747","525"
"20.41667","8910","7747","525"
"24.5","8910","7747","525"
"28.58333","8910","7747","525"
"32.66667","8910","7747","525"
"36.75","8910","7747","525"
"40.83333","8910","7747","525"
"44.91667","8910","7747","525"
"49","8910","7747","525"
"53.08333","8910","7747","525"
"57.16667","8910","7747","525"
"61.25","8897","7692","603"
"65.33333","8897","7692","603"
"69.41667","8897","7692","603"
"73.5","8897","7692","603"
"77.58333","8897","7692","603"
"81.66667","8897","7692","603"
"85.75","8897","7692","603"
"89.83333","8897","7692","603"
"93.91667","8897","7692","603"
"98","8897","7692","603"
"104.09091","8897","7692","603"
"108.18182","8897","7692","603"
"112.27273","8897","7692","603"
"116.36364","8897","7692","603"
"120.45455","8897","7692","603"
"124.54545","8912","7734","576"
"128.63636","8912","7734","576"
"132.72727","8912","7734","576"
"136.81818","8912","7734","576"
"140.90909","8912","7734","576"
"145","8912","7734","576"
"149.09091","8912","7734","576"
"153.18182","8912","7734","576"
"157.27273","8912","7734","576"
"161.36364","8912","7734","576"
"165.45455","8912","7734","576"
"169.54545","8912","7734","576"
"173.63636","8912","7734","576"
"177.72727","8868","7766","500"
"181.81818","8868","7766","500"
"185.90909","8868","7766","500"
"190","8868","7766","500"
"200","8868","7766","500"
"200","8868","7766","500"
"205.05556","8868","7766","500"
"210.11111","8868","7766","500"
"215.16667","8868","7766","500"
"220.22222","8868","7766","500"
"225.27778","8868","7766","500"
"230.33333","8857","7761","457"
"235.38889","8857","7761","457"
"240.44444","8857","7761","457"
"245.5","8857","7761","457"
"250.55556","8857","7761","457"
"255.61111","8857","7761","457"
"260.66667","8857","7761","457"
"265.72222","8857","7761","457"
"270.77778","8857","7761","457"
"275.83333","8857","7761","457"
"280.88889","8857","7761","457"
"285.94444","8897","7738","518"
"291","8897","7738","518"
"305.22222","8897","7738","518"
"310.44444","8897","7738","518"
"315.66667","8897","7738","518"
"320.88889","8897","7738","518"
"326.11111","8897","7738","518"
"331.33333","8897","7738","518"
"336.55556","8897","7738","518"
"341.77778","8897","7738","518"
