Timer,AX,AY,AZ,GX,GY,GZ,A
"12.25","0","-3","-31","3","-1","1","264.1875"
"24.5","-1","-2","-32","3","-1","1","264.1875"
"36.75","-1","-2","-32","2","-1","1","264.1875"
"49","-2","-4","-32","2","-1","1","264.1875"
"61.25","-2","-4","-32","2","-3","1","264.1875"
"73.5","1","-2","-27","2","-3","1","264.1875"
"85.75","1","-2","-27","0","-1","1","264.1875"
"98","-1","-4","-30","0","-1","1","264.1875"
"109.1","-1","-4","-30","1","0","1","264.1875"
"118.2","-3","-1","-30","1","0","1","264.1875"
"127.3","-3","-1","-30","0","-2","1","264.1875"
"136.4","0","-8","-31","0","-2","1","264.1875"
"145.5","0","-8","-31","1","-2","1","264.1875"
"154.6","-1","-3","-27","1","-2","1","264.1875"
"163.7","-1","-3","-27","6","1","1","264.1875"
"172.8","-3","-4","-32","6","1","1","264.1875"
"181.9","-3","-4","-32","-2","0","1","264.1875"
"191","2","-3","-31","-2","0","1","264.1875"
"207.08333","2","-3","-31","1","0","1","264.1875"
"214.16667","-3","-2","-30","1","0","1","264.1875"
"221.25","-3","-2","-30","-3","0","1","264.1875"
"228.33333","0","-4","-29","-3","0","1","264.1875"
"235.41667","0","-4","-29","-2","2","1","264.1875"
"242.5","0","-3","-30","-2","2","1","264.1875"
"249.58333","0","-3","-30","-2","2","1","264.1875"
"256.66667","0","-5","-30","-2","2","1","264.1875"
"263.75","0","-5","-30","-1","0","1","264.1875"
"270.83333","-2","-3","-30","-1","0","1","264.1875"
"277.91667","-2","-3","-30","2","0","1","264.1875"
"285","-2","0","-31","2","0","1","264.1875"
"307","-2","0","-31","-1","0","1","264.1875"
"314","0","-4","-28","-1","0","1","264.1875"
"321","0","-4","-28","2","1","1","264.1875"
"328","-4","-7","-29","2","1","1","264.1875"
"335","-4","-7","-29","2","0","1","264.1875"
"342","1","-2","-24","2","0","1","264.1875"
"349","1","-2","-24","2","1","1","264.1875"
"356","0","-2","-30","2","1","1","264.1875"
"363","0","-2","-30","0","-1","1","264.1875"
"370","-3","-1","-32","0","-1","1","264.1875"
"377","-3","-1","-32","0","-1","1","264.1875"
"384","-1","-6","-27","0","-1","1","264.1875"
"404.7","-1","-6","-27","3","-1","1","264.1875"
"409.4","0","-4","-29","3","-1","1","264.1875"
"414.1","0","-4","-29","0","-2","1","264.1875"
"418.8","-1","-3","-30","0","-2","1","264.1875"
"423.5","-1","-3","-30","2","0","1","264.1875"
"428.2","-2","-5","-29","2","0","1","264.1875"
"432.9","-2","-5","-29","1","3","1","264.1875"
"437.6","-2","-3","-31","1","3","1","264.1875"
"442.3","-2","-3","-31","0","0","1","264.1875"
"447","1","-2","-26","0","0","1","264.1875"
"451.7","1","-2","-26","2","-2","1","264.1875"
"456.4","-3","-4","-33","2","-2","1","264.1875"
"461.1","-3","-4","-33","-1","2","1","264.1875"
"465.8","-1","-7","-27","-1","2","1","264.1875"
"470.5","-1","-7","-27","3","-1","1","264.1875"
"475.2","1","-7","-27","3","-1","1","264.1875"
"479.9","1","-7","-27","0","-2","1","264.1875"
"484.6","-1","-4","-33","0","-2","1","264.1875"
"489.3","-1","-4","-33","-2","-1","1","264.1875"
"494","-1","-2","-29","-2","-1","1","264.1875"
"503.61538","-1","-2","-29","1","-1","1","264.1875"
"507.23077","0","-2","-26","1","-1","1","264.1875"
"510.84615","0","-2","-26","0","-3","1","264.1875"
"514.46154","-3","-3","-30","0","-3","1","264.1875"
"518.07692","-3","-3","-30","1","-1","1","264.1875"
"521.69231","-1","-4","-28","1","-1","1","264.1875"
"525.30769","-1","-4","-28","4","0","1","264.1875"
"528.92308","-2","-3","-30","4","0","1","264.1875"
"532.53846","-2","-3","-30","-1","-2","1","264.1875"
"536.15385","-1","-4","-28","-1","-2","1","264.1875"
"539.76923","-1","-4","-28","3","0","1","264.1875"
"543.38462","2","-5","-28","3","0","1","264.1875"
"547","2","-5","-28","-2","-1","1","264.1875"
"550.61538","-2","-6","-29","-2","-1","1","264.1875"
"554.23077","-2","-6","-29","0","1","1","264.1875"
"557.84615","-3","-7","-30","0","1","1","264.1875"
"561.46154","-3","-7","-30","4","0","1","264.1875"
"565.07692","0","-1","-30","4","0","1","264.1875"
"568.69231","0","-1","-30","2","-3","1","264.1875"
"572.30769","-1","-2","-28","2","-3","1","264.1875"
"575.92308","-1","-2","-28","3","-1","1","264.1875"
"579.53846","0","-3","-29","3","-1","1","264.1875"
"583.15385","0","-3","-29","2","0","1","264.1875"
"586.76923","0","-3","-29","2","0","1","264.1875"
"590.38462","0","-3","-29","-1","2","1","264.1875"
"594","-1","-2","-30","-1","2","1","264.1875"
"603.73077","-1","-2","-30","0","4","1","264.1875"
"607.46154","-1","-4","-30","0","4","1","264.1875"
"611.19231","-1","-4","-30","-1","-1","1","264.1875"
"614.92308","0","-2","-28","-1","-1","1","264.1875"
"618.65385","0","-2","-28","0","0","1","264.1875"
"622.38462","0","-4","-27","0","0","1","264.1875"
"626.11538","0","-4","-27","2","0","1","264.1875"
"629.84615","-1","-8","-30","2","0","1","264.1875"
"633.57692","-1","-8","-30","1","0","1","264.1875"
"637.30769","-3","-2","-30","1","0","1","264.1875"
"641.03846","-3","-2","-30","2","-2","1","264.1875"
"644.76923","0","-4","-34","2","-2","1","264.1875"
"648.5","0","-4","-34","2","-2","1","264.1875"
"652.23077","-4","-3","-32","2","-2","1","264.1875"
"655.96154","-4","-3","-32","4","-1","1","264.1875"
"659.69231","2","-4","-26","4","-1","1","264.1875"
"663.42308","2","-4","-26","0","0","1","264.1875"
