Timer,AX,AY,AZ,GX,GY,GZ,A
"4.27273","-2","0","-31","-2","2","5","265.5"
"8.54545","-1","-2","-30","-2","2","5","265.5"
"12.81818","-1","-2","-30","2","-1","5","265.5"
"17.09091","0","-2","-32","2","-1","5","265.5"
"21.36364","0","-2","-32","0","-1","5","265.5"
"25.63636","0","-1","-29","0","-1","5","265.5"
"29.90909","0","-1","-29","0","0","5","265.5"
"34.18182","-1","0","-31","0","0","5","265.5"
"38.45455","-1","0","-31","0","3","5","265.5"
"42.72727","-1","0","-31","0","3","5","265.5"
"47","-1","0","-31","1","0","5","265.5"
"51.27273","-3","0","-29","1","0","5","265.5"
"55.54545","-3","0","-29","1","1","5","265.5"
"59.81818","0","0","-33","1","1","5","265.5"
"64.09091","0","0","-33","2","1","5","265.5"
"68.36364","0","-1","-30","2","1","5","265.5"
"72.63636","0","-1","-30","1","1","5","265.5"
"76.90909","0","-1","-31","1","1","5","265.5"
"81.18182","0","-1","-31","-1","-1","5","265.5"
"85.45455","0","-1","-31","-1","-1","5","265.5"
"89.72727","0","-1","-31","1","0","5","265.5"
"94","0","-1","-31","1","0","5","265.5"
"104","0","-1","-31","-2","2","5","265.5"
"108","-2","0","-30","-2","2","5","265.5"
"112","-2","0","-30","0","-1","5","265.5"
"116","0","0","-28","0","-1","5","265.5"
"120","0","0","-28","-1","0","5","265.5"
"124","0","0","-30","-1","0","5","265.5"
"128","0","0","-30","-2","-1","5","265.5"
"132","0","0","-30","-2","-1","5","265.5"
"136","0","0","-30","-3","-3","5","265.5"
"140","-1","-1","-26","-3","-3","5","265.5"
"144","-1","-1","-26","-2","3","5","265.5"
"148","0","-1","-31","-2","3","5","265.5"
"152","0","-1","-31","-1","1","5","265.5"
"156","-1","0","-30","-1","1","5","265.5"
"160","-1","0","-30","1","0","5","265.5"
"164","0","0","-31","1","0","5","265.5"
"168","0","0","-31","2","-2","5","265.5"
"172","0","0","-31","2","-2","5","265.5"
"176","0","0","-31","1","2","5","265.5"
"180","0","-3","-30","1","2","5","265.5"
"184","0","-3","-30","0","3","5","265.5"
"188","-1","0","-32","0","3","5","265.5"
"192","-1","0","-32","0","0","5","265.5"
"196","0","-1","-29","0","0","5","265.5"
"203.91667","0","-1","-29","0","-2","5","265.5"
"207.83333","0","0","-31","0","-2","5","265.5"
"211.75","0","0","-31","-2","0","5","265.5"
"215.66667","0","0","-31","-2","0","5","265.5"
"219.58333","0","0","-31","1","1","5","265.5"
"223.5","0","-2","-29","1","1","5","265.5"
"227.41667","0","-2","-29","1","-1","5","265.5"
"231.33333","-1","0","-32","1","-1","5","265.5"
"235.25","-1","0","-32","0","0","5","265.5"
"239.16667","-1","-1","-31","0","0","5","265.5"
"243.08333","-1","-1","-31","0","3","5","265.5"
"247","0","-2","-30","0","3","5","265.5"
"250.91667","0","-2","-30","-2","1","5","265.5"
"254.83333","0","-2","-30","-2","1","5","265.5"
"258.75","0","-2","-30","-2","0","5","265.5"
"262.66667","0","-1","-30","-2","0","5","265.5"
"266.58333","0","-1","-30","1","0","5","265.5"
"270.5","0","0","-30","1","0","5","265.5"
"274.41667","0","0","-30","1","-1","5","265.5"
"278.33333","0","0","-32","1","-1","5","265.5"
"282.25","0","0","-32","0","2","5","265.5"
"286.16667","-2","-1","-31","0","2","5","265.5"
"290.08333","-2","-1","-31","1","-1","5","265.5"
"294","-2","-1","-31","1","-1","5","265.5"
"308.08333","-2","-1","-31","0","2","5","265.5"
"316.16667","-2","0","-32","0","2","5","265.5"
"324.25","-2","0","-32","1","0","5","265.5"
"332.33333","-2","-2","-34","1","0","5","265.5"
"340.41667","-2","-2","-34","2","1","5","265.5"
"348.5","0","0","-30","2","1","5","265.5"
"356.58333","0","0","-30","-1","-1","5","265.5"
"364.66667","-1","-1","-31","-1","-1","5","265.5"
"372.75","-1","-1","-31","2","-2","5","265.5"
"380.83333","-1","-1","-31","2","-2","5","265.5"
"388.91667","-1","-1","-31","1","-1","5","265.5"
"397","0","-1","-28","1","-1","5","265.5"
"404","0","-1","-28","-1","3","5","265.5"
"408","0","-1","-28","-1","3","5","265.5"
"412","0","-1","-28","-3","-1","5","265.5"
"416","1","-4","-28","-3","-1","5","265.5"
"420","1","-4","-28","-3","2","5","265.5"
"424","-1","-2","-29","-3","2","5","265.5"
"428","-1","-2","-29","1","-1","5","265.5"
"432","-1","-2","-29","1","-1","5","265.5"
"436","-1","-2","-29","0","-1","5","265.5"
"440","0","0","-27","0","-1","5","265.5"
"444","0","0","-27","-1","-2","5","265.5"
"448","-1","0","-32","-1","-2","5","265.5"
"452","-1","0","-32","-1","-2","5","265.5"
"456","0","0","-32","-1","-2","5","265.5"
"460","0","0","-32","-2","-2","5","265.5"
"464","-1","-4","-31","-2","-2","5","265.5"
"468","-1","-4","-31","-1","2","5","265.5"
"472","-1","-4","-31","-1","2","5","265.5"
"476","-1","-4","-31","-2","1","5","265.5"
"480","0","-1","-31","-2","1","5","265.5"
"484","0","-1","-31","2","-1","5","265.5"
"488","0","-1","-31","2","-1","5","265.5"
"492","0","-1","-31","1","0","5","265.5"
"496","0","-2","-31","1","0","5","265.5"
"504","0","-2","-31","-1","1","5","265.5"
"508","-3","-3","-32","-1","1","5","265.5"
"512","-3","-3","-32","2","0","5","265.5"
"516","-3","-3","-32","2","0","5","265.5"
"520","-3","-3","-32","1","-2","5","265.5"
"524","0","0","-29","1","-2","5","265.5"
"528","0","0","-29","1","0","5","265.5"
"532","1","-2","-30","1","0","5","265.5"
"536","1","-2","-30","0","1","5","265.5"
"540","-1","-2","-33","0","1","5","265.5"
"544","-1","-2","-33","1","0","5","265.5"
"548","0","-1","-31","1","0","5","265.5"
"552","0","-1","-31","3","0","5","265.5"
"556","1","-3","-29","3","0","5","265.5"
"560","1","-3","-29","-1","-3","5","265.5"
"564","-1","0","-31","-1","-3","5","265.5"
"568","-1","0","-31","2","1","5","265.5"
"572","1","-2","-30","2","1","5","265.5"
"576","1","-2","-30","2","-2","5","265.5"
"580","-1","-3","-32","2","-2","5","265.5"
"584","-1","-3","-32","0","-2","5","265.5"
"588","0","0","-32","0","-2","5","265.5"
"592","0","0","-32","1","-3","5","265.5"
"596","1","-2","-24","1","-3","5","265.5"
"604.66667","1","-2","-24","1","-2","5","265.5"
"609.33333","0","-2","-31","1","-2","5","265.5"
"614","0","-2","-31","-1","-1","5","265.5"
"618.66667","-1","0","-29","-1","-1","5","265.5"
"623.33333","-1","0","-29","0","-1","5","265.5"
"628","0","-1","-31","0","-1","5","265.5"
"632.66667","0","-1","-31","0","0","5","265.5"
"637.33333","1","0","-32","0","0","5","265.5"
"642","1","0","-32","-1","1","5","265.5"
"646.66667","0","0","-31","-1","1","5","265.5"
"651.33333","0","0","-31","0","0","5","265.5"
"656","0","0","-30","0","0","5","265.5"
"660.66667","0","0","-30","-1","-3","5","265.5"
"665.33333","-2","-1","-28","-1","-3","5","265.5"
"670","-2","-1","-28","-2","2","5","265.5"
"674.66667","0","-1","-32","-2","2","5","265.5"
"679.33333","0","-1","-32","-1","0","5","265.5"
"684","0","-2","-26","-1","0","5","265.5"
"688.66667","0","-2","-26","-3","1","5","265.5"
"693.33333","0","-1","-31","-3","1","5","265.5"
"698","0","-1","-31","-2","0","5","265.5"
"700","0","-2","-31","-2","0","5","265.5"
"704.9","0","-2","-31","-1","-2","5","265.5"
"709.8","-3","0","-29","-1","-2","5","265.5"
"714.7","-3","0","-29","1","-3","5","265.5"
"719.6","1","-1","-31","1","-3","5","265.5"
"724.5","1","-1","-31","0","-1","5","265.5"
"729.4","-3","-3","-31","0","-1","5","265.5"
"734.3","-3","-3","-31","-1","0","5","265.5"
"739.2","1","0","-31","-1","0","5","265.5"
"744.1","1","0","-31","-1","1","5","265.5"
"749","3","0","-29","-1","1","5","265.5"
"753.9","3","0","-29","1","2","5","265.5"
"758.8","1","-3","-30","1","2","5","265.5"
"763.7","1","-3","-30","-2","0","5","265.5"
"768.6","1","2","-33","-2","0","5","265.5"
"773.5","1","2","-33","2","-1","5","265.5"
"778.4","-2","-11","-28","2","-1","5","265.5"
"783.3","-2","-11","-28","-3","-1","5","265.5"
"788.2","-1","-2","-30","-3","-1","5","265.5"
"793.1","-1","-2","-30","3","-1","5","265.5"
"798","-2","-1","-31","3","-1","5","265.5"
"804.8","-2","-1","-31","3","0","5","265.5"
"809.6","0","0","-27","3","0","5","265.5"
"814.4","0","0","-27","-1","-3","5","265.5"
"819.2","1","2","-31","-1","-3","5","265.5"
"824","1","2","-31","-2","1","5","265.5"
"828.8","-4","-1","-31","-2","1","5","265.5"
"833.6","-4","-1","-31","-1","1","5","265.5"
"838.4","2","0","-29","-1","1","5","265.5"
"843.2","2","0","-29","-1","-2","5","265.5"
"848","3","0","-28","-1","-2","5","265.5"
"852.8","3","0","-28","-1","-1","5","265.5"
"857.6","-3","0","-30","-1","-1","5","265.5"
"862.4","-3","0","-30","-2","0","5","265.5"
"867.2","0","-3","-29","-2","0","5","265.5"
"872","0","-3","-29","-2","0","5","265.5"
"876.8","0","-2","-31","-2","0","5","265.5"
"881.6","0","-2","-31","-1","0","5","265.5"
"886.4","0","0","-30","-1","0","5","265.5"
"891.2","0","0","-30","1","-3","5","265.5"
"896","0","-3","-28","1","-3","5","265.5"
"904.95","0","-3","-28","2","0","5","265.5"
"909.9","-2","-1","-29","2","0","5","265.5"
"914.85","-2","-1","-29","1","-1","5","265.5"
"919.8","-1","-2","-32","1","-1","5","265.5"
"924.75","-1","-2","-32","-1","1","5","265.5"
"929.7","-1","0","-29","-1","1","5","265.5"
"934.65","-1","0","-29","-2","-4","5","265.5"
"939.6","2","0","-28","-2","-4","5","265.5"
"944.55","2","0","-28","-3","-2","5","265.5"
"949.5","1","-3","-31","-3","-2","5","265.5"
"954.45","1","-3","-31","-1","1","5","265.5"
"959.4","-4","-2","-29","-1","1","5","265.5"
"964.35","-4","-2","-29","-1","0","5","265.5"
"969.3","0","-1","-32","-1","0","5","265.5"
"974.25","0","-1","-32","0","-1","5","265.5"
"979.2","-1","0","-31","0","-1","5","265.5"
"984.15","-1","0","-31","2","0","5","265.5"
"989.1","1","0","-28","2","0","5","265.5"
"994.05","1","0","-28","1","-2","5","265.5"
"999","-3","-3","-31","1","-2","5","265.5"
"1006.78571","-3","-3","-31","-1","0","5","265.5"
"1013.57143","0","0","-30","-1","0","5","265.5"
"1020.35714","0","0","-30","-1","-1","5","265.5"
"1027.14286","-1","-4","-30","-1","-1","5","265.5"
