Timer,AX,AY,AZ,GX,GY,GZ,A
"5.76471","3","1","-29","0","-2","1","355.4375"
"11.52941","3","-1","-32","0","-2","1","355.4375"
"17.29412","3","-1","-32","1","1","1","355.4375"
"23.05882","7","-2","-33","1","1","1","355.4375"
"28.82353","7","-2","-33","-4","-2","1","355.4375"
"34.58824","5","-2","-32","-4","-2","1","355.4375"
"40.35294","5","-2","-32","-2","1","1","355.4375"
"46.11765","2","0","-31","-2","1","1","355.4375"
"51.88235","2","0","-31","-1","-1","1","355.4375"
"57.64706","2","0","-32","-1","-1","1","355.4375"
"63.41176","2","0","-32","0","0","1","355.4375"
"69.17647","3","-3","-30","0","0","1","355.4375"
"74.94118","3","-3","-30","0","0","1","355.4375"
"80.70588","1","-2","-33","0","0","1","355.4375"
"86.47059","1","-2","-33","-2","0","1","355.4375"
"92.23529","2","-1","-32","-2","0","1","355.4375"
"98","2","-1","-32","-3","0","1","355.4375"
"105.11111","3","-3","-32","-3","0","1","355.4375"
"110.22222","3","-3","-32","-4","-2","1","355.4375"
"115.33333","4","-2","-30","-4","-2","1","355.4375"
"120.44444","4","-2","-30","-3","1","1","355.4375"
"125.55556","6","-1","-29","-3","1","1","355.4375"
"130.66667","6","-1","-29","-4","2","1","355.4375"
"135.77778","1","-6","-31","-4","2","1","355.4375"
"140.88889","1","-6","-31","-3","1","1","355.4375"
"146","2","-2","-30","-3","1","1","355.4375"
"151.11111","2","-2","-30","-3","1","1","355.4375"
"156.22222","4","-2","-27","-3","1","1","355.4375"
"161.33333","4","-2","-27","1","0","1","355.4375"
"166.44444","1","-1","-29","1","0","1","355.4375"
"171.55556","1","-1","-29","-2","0","1","355.4375"
"176.66667","4","0","-31","-2","0","1","355.4375"
"181.77778","4","0","-31","-1","2","1","355.4375"
"186.88889","2","-5","-35","-1","2","1","355.4375"
"192","2","-5","-35","-1","0","1","355.4375"
"200","-1","0","-39","-1","0","1","355.4375"
"204.71429","-1","0","-39","-1","0","1","355.4375"
"209.42857","7","-8","-30","-1","0","1","355.4375"
"214.14286","7","-8","-30","0","1","1","355.4375"
"218.85714","0","-3","-32","0","1","1","355.4375"
"223.57143","0","-3","-32","-2","-1","1","355.4375"
"228.28571","0","-2","-31","-2","-1","1","355.4375"
"233","0","-2","-31","5","2","1","355.4375"
"237.71429","6","-9","-29","5","2","1","355.4375"
"242.42857","6","-9","-29","-2","2","1","355.4375"
"247.14286","0","4","-33","-2","2","1","355.4375"
"251.85714","0","4","-33","-3","-1","1","355.4375"
"256.57143","6","1","-29","-3","-1","1","355.4375"
"261.28571","6","1","-29","2","-1","1","355.4375"
"266","6","-2","-26","2","-1","1","355.4375"
"270.71429","6","-2","-26","-3","2","1","355.4375"
"275.42857","1","3","-32","-3","2","1","355.4375"
"280.14286","1","3","-32","-1","1","1","355.4375"
"284.85714","5","-3","-32","-1","1","1","355.4375"
