Timer,AX,AY,AZ,GX,GY,GZ,A
"0","1","1","-28","0","2","-1","355.8125"
"5","1","1","-28","4","0","-1","355.8125"
"10","0","0","-30","4","0","-1","355.8125"
"15","0","0","-30","3","1","-1","355.8125"
"20","1","-2","-31","3","1","-1","355.8125"
"25","1","-2","-31","-1","0","-1","355.8125"
"30","0","1","-28","-1","0","-1","355.8125"
"35","0","1","-28","3","0","-1","355.8125"
"40","2","0","-26","3","0","-1","355.8125"
"45","2","0","-26","0","1","-1","355.8125"
"50","0","-1","-29","0","1","-1","355.8125"
"55","0","-1","-29","-3","-2","-1","355.8125"
"60","0","-1","-29","-3","-2","-1","355.8125"
"65","0","-1","-29","0","-3","-1","355.8125"
"70","1","3","-29","0","-3","-1","355.8125"
"75","1","3","-29","0","1","-1","355.8125"
"80","0","0","-29","0","1","-1","355.8125"
"85","0","0","-29","0","2","-1","355.8125"
"90","0","0","-29","0","2","-1","355.8125"
"95","0","0","-29","-1","0","-1","355.8125"
"104.7","3","0","-29","-1","0","-1","355.8125"
"109.4","3","0","-29","0","0","-1","355.8125"
"114.1","1","0","-30","0","0","-1","355.8125"
"118.8","1","0","-30","1","1","-1","355.8125"
"123.5","1","1","-29","1","1","-1","355.8125"
"128.2","1","1","-29","2","0","-1","355.8125"
"132.9","0","-2","-29","2","0","-1","355.8125"
"137.6","0","-2","-29","0","-1","-1","355.8125"
"142.3","0","0","-26","0","-1","-1","355.8125"
"147","0","0","-26","-2","1","-1","355.8125"
"151.7","1","3","-30","-2","1","-1","355.8125"
"156.4","1","3","-30","-1","3","-1","355.8125"
"161.1","1","0","-31","-1","3","-1","355.8125"
"165.8","1","0","-31","0","1","-1","355.8125"
"170.5","2","0","-27","0","1","-1","355.8125"
"175.2","2","0","-27","-1","2","-1","355.8125"
"179.9","0","1","-29","-1","2","-1","355.8125"
"184.6","0","1","-29","1","0","-1","355.8125"
"189.3","0","0","-32","1","0","-1","355.8125"
"194","0","0","-32","0","1","-1","355.8125"
"204.8","2","0","-28","0","1","-1","355.8125"
"209.6","2","0","-28","-1","0","-1","355.8125"
"214.4","3","0","-28","-1","0","-1","355.8125"
"219.2","3","0","-28","1","1","-1","355.8125"
"224","1","0","-31","1","1","-1","355.8125"
"228.8","1","0","-31","0","0","-1","355.8125"
"233.6","0","1","-29","0","0","-1","355.8125"
"238.4","0","1","-29","-1","1","-1","355.8125"
"243.2","2","0","-30","-1","1","-1","355.8125"
"248","2","0","-30","-3","0","-1","355.8125"
"252.8","0","-2","-30","-3","0","-1","355.8125"
"257.6","0","-2","-30","1","-1","-1","355.8125"
"262.4","2","1","-31","1","-1","-1","355.8125"
"267.2","2","1","-31","3","-1","-1","355.8125"
"272","0","1","-32","3","-1","-1","355.8125"
"276.8","0","1","-32","3","0","-1","355.8125"
"281.6","1","-2","-30","3","0","-1","355.8125"
"286.4","1","-2","-30","-4","1","-1","355.8125"
"291.2","3","0","-26","-4","1","-1","355.8125"
"296","3","0","-26","2","2","-1","355.8125"
"304.7","0","2","-32","2","2","-1","355.8125"
"309.4","0","2","-32","1","3","-1","355.8125"
"314.1","0","2","-28","1","3","-1","355.8125"
"318.8","0","2","-28","-1","1","-1","355.8125"
"323.5","0","3","-31","-1","1","-1","355.8125"
"328.2","0","3","-31","-1","0","-1","355.8125"
"332.9","2","-2","-31","-1","0","-1","355.8125"
"337.6","2","-2","-31","-4","2","-1","355.8125"
"342.3","2","4","-30","-4","2","-1","355.8125"
"347","2","4","-30","0","1","-1","355.8125"
