Timer,AX,AY,AZ,GX,GY,GZ,A
"18.75","-3","7","-32","-1","-1","0","355"
"37.5","0","-3","-32","-1","-1","0","355"
"56.25","0","-3","-32","5","0","0","355"
"75","0","-3","-32","5","0","0","355"
"118.5","0","-3","-32","-1","-1","0","355"
"137","-5","4","-31","-1","-1","0","355"
"208","-5","4","-31","-5","0","0","355"
"216","-1","0","-32","-5","0","0","355"
"319.25","-1","0","-32","2","1","0","355"
"338.5","1","-6","-26","2","1","0","355"
"357.75","1","-6","-26","3","1","0","355"
"377","-1","5","-33","3","1","0","355"
"417.5","-1","5","-33","-2","-1","0","355"
"435","-1","5","-33","-2","-1","0","355"
"452.5","-1","5","-33","4","0","0","355"
"470","0","-3","-28","4","0","0","355"
"513","0","-3","-28","-1","-3","0","355"
"526","0","1","-32","-1","-3","0","355"
"539","0","1","-32","-1","0","0","355"
"552","-3","7","-33","-1","0","0","355"
"565","-3","7","-33","3","-2","0","355"
"578","-2","-5","-29","3","-2","0","355"
"614","-2","-5","-29","3","1","0","355"
"628","-2","-5","-29","3","1","0","355"
"642","-2","-5","-29","-1","-3","0","355"
"656","-1","5","-28","-1","-3","0","355"
"670","-1","5","-28","-4","-2","0","355"
"684","0","-4","-30","-4","-2","0","355"
"711.625","0","-4","-30","4","1","0","355"
"723.25","-1","-2","-29","4","1","0","355"
"734.875","-1","-2","-29","0","3","0","355"
"746.5","0","5","-29","0","3","0","355"
"758.125","0","5","-29","-2","-3","0","355"
"769.75","0","5","-29","-2","-3","0","355"
"781.375","0","5","-29","-2","0","0","355"
"793","-1","0","-29","-2","0","0","355"
"819","-1","0","-29","0","1","0","355"
"838","-2","3","-33","0","1","0","355"
"857","-2","3","-33","-3","0","0","355"
"876","-3","5","-32","-3","0","0","355"
"912.16667","-3","5","-32","1","1","0","355"
"924.33333","-1","-3","-28","1","1","0","355"
"936.5","-1","-3","-28","3","-2","0","355"
"948.66667","-1","-3","-28","3","-2","0","355"
"960.83333","-1","-3","-28","-4","-2","0","355"
"973","-1","5","-30","-4","-2","0","355"
"1015.5","-1","5","-30","-2","-1","0","355"
"1031","-1","-1","-31","-2","-1","0","355"
"1046.5","-1","-1","-31","-1","0","0","355"
"1062","0","0","-32","-1","0","0","355"
"1077.5","0","0","-32","-1","1","0","355"
"1093","1","3","-32","-1","1","0","355"
"1113.16667","1","3","-32","2","-2","0","355"
"1126.33333","1","3","-32","2","-2","0","355"
"1139.5","1","3","-32","-1","-1","0","355"
"1152.66667","-1","-1","-30","-1","-1","0","355"
"1165.83333","-1","-1","-30","-1","-3","0","355"
"1179","-4","2","-34","-1","-3","0","355"
"1214","-4","2","-34","-4","-2","0","355"
"1228","-2","4","-31","-4","-2","0","355"
"1242","-2","4","-31","2","-1","0","355"
"1256","0","0","-29","2","-1","0","355"
"1270","0","0","-29","-1","-3","0","355"
"1284","0","0","-29","-1","-3","0","355"
"1311.25","0","0","-29","-4","0","0","355"
"1322.5","0","5","-30","-4","0","0","355"
"1333.75","0","5","-30","-1","-3","0","355"
"1345","0","-1","-31","-1","-3","0","355"
"1356.25","0","-1","-31","2","-2","0","355"
"1367.5","0","3","-31","2","-2","0","355"
"1378.75","0","3","-31","-2","-1","0","355"
"1390","-2","4","-30","-2","-1","0","355"
"1415.25","-2","4","-30","0","0","0","355"
"1430.5","-2","4","-30","0","0","0","355"
"1445.75","-2","4","-30","2","-2","0","355"
"1461","0","1","-30","2","-2","0","355"
"1514.83333","0","1","-30","0","1","0","355"
"1529.66667","-2","2","-32","0","1","0","355"
"1544.5","-2","2","-32","0","1","0","355"
"1559.33333","-1","0","-32","0","1","0","355"
"1574.16667","-1","0","-32","2","-1","0","355"
"1589","-2","0","-28","2","-1","0","355"
"1607.75","-2","0","-28","3","0","0","355"
"1615.5","-2","0","-28","3","0","0","355"
"1623.25","-2","0","-28","1","-1","0","355"
"1631","0","0","-29","1","-1","0","355"
"1638.75","0","0","-29","0","3","0","355"
"1646.5","0","0","-33","0","3","0","355"
"1654.25","0","0","-33","2","-1","0","355"
"1662","-1","3","-33","2","-1","0","355"
"1717.75","-1","3","-33","-4","0","0","355"
"1735.5","-1","3","-26","-4","0","0","355"
"1753.25","-1","3","-26","-2","2","0","355"
"1771","-1","3","-26","-2","2","0","355"
"1812.66667","-1","3","-26","-2","-1","0","355"
"1825.33333","-1","3","-32","-2","-1","0","355"
"1838","-1","3","-32","-1","-1","0","355"
"1850.66667","-2","4","-31","-1","-1","0","355"
"1863.33333","-2","4","-31","-2","0","0","355"
"1876","-1","1","-32","-2","0","0","355"
"1916","-1","1","-32","-1","0","0","355"
"1932","-1","0","-29","-1","0","0","355"
"1948","-1","0","-29","-1","3","0","355"
"1964","-1","0","-29","-1","3","0","355"
"1980","-1","0","-29","3","1","0","355"
"1996","0","1","-27","3","1","0","355"
"2012.25","0","1","-27","2","1","0","355"
"2024.5","0","1","-33","2","1","0","355"
"2036.75","0","1","-33","1","1","0","355"
"2049","0","2","-32","1","1","0","355"
"2061.25","0","2","-32","-1","-2","0","355"
"2073.5","-2","0","-33","-1","-2","0","355"
"2085.75","-2","0","-33","2","0","0","355"
"2098","-2","0","-33","2","0","0","355"
"2113","-2","0","-33","0","0","0","355"
"2126","-2","0","-29","0","0","0","355"
"2139","-2","0","-29","0","-1","0","355"
"2152","0","1","-31","0","-1","0","355"
"2165","0","1","-31","-1","3","0","355"
"2178","0","0","-31","-1","3","0","355"
"2220.75","0","0","-31","1","1","0","355"
"2241.5","-2","0","-29","1","1","0","355"
"2262.25","-2","0","-29","0","-1","0","355"
"2283","-2","0","-29","0","-1","0","355"
"2317.5","-2","0","-29","-1","1","0","355"
"2335","0","0","-29","-1","1","0","355"
"2352.5","0","0","-29","2","0","0","355"
"2370","0","3","-33","2","0","0","355"
"2416.33333","0","3","-33","2","1","0","355"
"2432.66667","-2","2","-31","2","1","0","355"
"2449","-2","2","-31","0","1","0","355"
"2465.33333","-3","2","-27","0","1","0","355"
"2481.66667","-3","2","-27","3","1","0","355"
"2498","-3","2","-27","3","1","0","355"
"2519","-3","2","-27","-2","0","0","355"
"2538","0","2","-29","-2","0","0","355"
"2557","0","2","-29","-1","2","0","355"
"2576","-1","0","-33","-1","2","0","355"
"2613.5","-1","0","-33","0","-2","0","355"
"2627","0","0","-31","0","-2","0","355"
"2640.5","0","0","-31","1","-1","0","355"
"2654","0","0","-32","1","-1","0","355"
"2667.5","0","0","-32","-4","0","0","355"
"2681","0","0","-32","-4","0","0","355"
"2710.5","0","0","-32","-1","1","0","355"
"2721","0","0","-30","-1","1","0","355"
"2731.5","0","0","-30","0","0","0","355"
"2742","0","1","-31","0","0","0","355"
"2752.5","0","1","-31","2","-1","0","355"
"2763","-1","2","-31","2","-1","0","355"
"2773.5","-1","2","-31","3","-1","0","355"
"2784","-3","2","-32","3","-1","0","355"
"2815.16667","-3","2","-32","-3","0","0","355"
"2830.33333","-3","2","-32","-3","0","0","355"
"2845.5","-3","2","-32","-1","-4","0","355"
"2860.66667","0","2","-30","-1","-4","0","355"
"2875.83333","0","2","-30","1","-1","0","355"
"2891","0","5","-34","1","-1","0","355"
"2910.16667","0","5","-34","2","-1","0","355"
"2920.33333","0","2","-31","2","-1","0","355"
"2930.5","0","2","-31","0","1","0","355"
"2940.66667","0","0","-28","0","1","0","355"
"2950.83333","0","0","-28","-2","-2","0","355"
"2961","0","0","-28","-2","-2","0","355"
"3000","0","0","-28","-2","-3","0","355"
"3015","0","1","-30","-2","-3","0","355"
"3030","0","1","-30","0","4","0","355"
"3045","0","1","-33","0","4","0","355"
"3060","0","1","-33","2","1","0","355"
"3075","0","1","-29","2","1","0","355"
"3111.375","0","1","-29","0","2","0","355"
"3122.75","0","0","-31","0","2","0","355"
"3134.125","0","0","-31","-2","-1","0","355"
"3145.5","0","0","-31","-2","-1","0","355"
"3156.875","0","0","-31","0","1","0","355"
"3168.25","-2","0","-31","0","1","0","355"
"3179.625","-2","0","-31","1","0","0","355"
"3191","-1","0","-31","1","0","0","355"
"3223","-1","0","-31","0","0","0","355"
"3246","-2","4","-31","0","0","0","355"
"3269","-2","4","-31","1","0","0","355"
"3292","-1","2","-29","1","0","0","355"
"3321.75","-1","2","-29","1","-2","0","355"
"3343.5","-1","2","-29","1","-2","0","355"
"3365.25","-1","2","-29","-1","-2","0","355"
"3387","0","2","-30","-1","-2","0","355"
"3417.25","0","2","-30","0","1","0","355"
"3434.5","0","2","-30","0","1","0","355"
"3451.75","0","2","-30","0","2","0","355"
"3469","0","1","-29","0","2","0","355"
"3511.125","0","1","-29","2","0","0","355"
"3522.25","0","1","-30","2","0","0","355"
"3533.375","0","1","-30","1","1","0","355"
"3544.5","0","1","-30","1","1","0","355"
"3555.625","0","1","-30","-2","0","0","355"
"3566.75","0","2","-30","-2","0","0","355"
"3577.875","0","2","-30","0","-2","0","355"
"3589","0","2","-30","0","-2","0","355"
"3615.33333","0","2","-30","-1","1","0","355"
"3630.66667","0","3","-30","-1","1","0","355"
"3646","0","3","-30","-2","1","0","355"
"3661.33333","0","1","-32","-2","1","0","355"
"3676.66667","0","1","-32","1","1","0","355"
"3692","0","1","-32","1","1","0","355"
"3720","0","1","-32","1","0","0","355"
"3740","0","0","-30","1","0","0","355"
"3760","0","0","-30","-1","-1","0","355"
"3780","-2","0","-33","-1","-1","0","355"
"3815.25","-2","0","-33","2","-1","0","355"
"3830.5","-2","0","-33","2","-1","0","355"
"3845.75","-2","0","-33","-2","0","0","355"
"3861","-3","1","-32","-2","0","0","355"
"3915.5","-3","1","-32","0","1","0","355"
"3931","-3","1","-32","0","1","0","355"
"3946.5","-3","1","-32","0","0","0","355"
"3962","-2","1","-29","0","0","0","355"
"3977.5","-2","1","-29","-1","3","0","355"
"3993","0","2","-30","-1","3","0","355"
"4018.75","0","2","-30","1","-2","0","355"
"4037.5","0","3","-31","1","-2","0","355"
"4056.25","0","3","-31","-1","-1","0","355"
"4075","0","1","-28","-1","-1","0","355"
"4118.75","0","1","-28","-1","0","0","355"
"4137.5","-1","3","-28","-1","0","0","355"
"4156.25","-1","3","-28","-4","1","0","355"
"4175","-2","1","-31","-4","1","0","355"
"4210.83333","-2","1","-31","-1","0","0","355"
"4221.66667","-4","0","-31","-1","0","0","355"
"4232.5","-4","0","-31","-3","1","0","355"
"4243.33333","-2","0","-32","-3","1","0","355"
"4254.16667","-2","0","-32","-2","0","0","355"
"4265","0","1","-31","-2","0","0","355"
"4319.6","0","1","-31","-3","0","0","355"
"4339.2","0","0","-29","-3","0","0","355"
"4358.8","0","0","-29","-1","2","0","355"
"4378.4","0","0","-30","-1","2","0","355"
"4398","0","0","-30","-1","-3","0","355"
"4400","-1","0","-30","-1","-3","0","355"
"4414.16667","-1","0","-30","0","0","0","355"
"4428.33333","-1","0","-32","0","0","0","355"
"4442.5","-1","0","-32","-2","1","0","355"
"4456.66667","-1","1","-30","-2","1","0","355"
"4470.83333","-1","1","-30","-1","-1","0","355"
"4485","0","2","-32","-1","-1","0","355"
"4523","0","2","-32","0","1","0","355"
"4546","0","1","-30","0","1","0","355"
"4569","0","1","-30","1","-1","0","355"
"4592","-2","4","-30","1","-1","0","355"
"4623.75","-2","4","-30","0","-3","0","355"
"4647.5","0","1","-32","0","-3","0","355"
"4671.25","0","1","-32","2","0","0","355"
"4695","-3","2","-30","2","0","0","355"
"4735","-3","2","-30","-2","1","0","355"
"4770","-1","1","-29","-2","1","0","355"
"4816.75","-1","1","-29","3","-1","0","355"
"4833.5","-1","0","-26","3","-1","0","355"
"4850.25","-1","0","-26","2","1","0","355"
"4867","-2","0","-31","2","1","0","355"
"4911.83333","-2","0","-31","2","0","0","355"
"4923.66667","0","1","-29","2","0","0","355"
"4935.5","0","1","-29","0","0","0","355"
"4947.33333","0","1","-32","0","0","0","355"
"4959.16667","0","1","-32","0","3","0","355"
"4971","-1","1","-30","0","3","0","355"
"5014.66667","-1","1","-30","1","0","0","355"
"5029.33333","0","1","-28","1","0","0","355"
"5044","0","1","-28","-2","-1","0","355"
"5058.66667","0","2","-29","-2","-1","0","355"
"5073.33333","0","2","-29","0","-1","0","355"
"5088","-1","3","-34","0","-1","0","355"
"5117.75","-1","3","-34","-2","-1","0","355"
"5135.5","-1","1","-30","-2","-1","0","355"
"5153.25","-1","1","-30","1","-1","0","355"
"5171","0","1","-29","1","-1","0","355"
"5218.5","0","1","-29","0","0","0","355"
"5237","-3","2","-30","0","0","0","355"
"5255.5","-3","2","-30","1","2","0","355"
"5274","0","0","-28","1","2","0","355"
"5311.66667","0","0","-28","-1","1","0","355"
"5323.33333","-2","3","-30","-1","1","0","355"
"5335","-2","3","-30","1","-1","0","355"
"5346.66667","0","3","-31","1","-1","0","355"
"5358.33333","0","3","-31","1","-1","0","355"
"5370","-2","2","-31","1","-1","0","355"
"5413.75","-2","2","-31","-2","-2","0","355"
"5427.5","0","2","-29","-2","-2","0","355"
"5441.25","0","2","-29","0","-1","0","355"
"5455","-2","2","-33","0","-1","0","355"
"5511.125","-2","2","-33","0","1","0","355"
"5522.25","0","1","-33","0","1","0","355"
"5533.375","0","1","-33","-2","1","0","355"
"5544.5","0","0","-30","-2","1","0","355"
"5555.625","0","0","-30","1","-1","0","355"
"5566.75","0","1","-31","1","-1","0","355"
"5577.875","0","1","-31","0","0","0","355"
"5589","0","0","-29","0","0","0","355"
"5613.16667","0","0","-29","3","0","0","355"
"5626.33333","0","0","-31","3","0","0","355"
"5639.5","0","0","-31","0","0","0","355"
"5652.66667","0","0","-31","0","0","0","355"
"5665.83333","0","0","-31","2","2","0","355"
"5679","0","1","-32","2","2","0","355"
"5713.5","0","1","-32","1","-1","0","355"
"5727","0","2","-31","1","-1","0","355"
"5740.5","0","2","-31","0","0","0","355"
"5754","0","4","-29","0","0","0","355"
"5767.5","0","4","-29","-3","0","0","355"
"5781","0","2","-31","-3","0","0","355"
"5814.16667","0","2","-31","1","-2","0","355"
"5828.33333","0","2","-31","1","-2","0","355"
"5842.5","0","2","-31","1","1","0","355"
"5856.66667","0","2","-29","1","1","0","355"
"5870.83333","0","2","-29","2","3","0","355"
"5885","-1","2","-30","2","3","0","355"
"5923.75","-1","2","-30","-1","2","0","355"
"5947.5","-1","0","-31","-1","2","0","355"
"5971.25","-1","0","-31","0","-2","0","355"
"5995","0","2","-33","0","-2","0","355"
"6019.5","0","2","-33","2","2","0","355"
"6039","-1","1","-34","2","2","0","355"
"6058.5","-1","1","-34","2","3","0","355"
"6078","-1","0","-32","2","3","0","355"
"6117","-1","0","-32","0","0","0","355"
"6134","0","2","-30","0","0","0","355"
"6151","0","2","-30","2","0","0","355"
"6168","-3","0","-29","2","0","0","355"
"6219.25","-3","0","-29","0","4","0","355"
"6238.5","0","1","-30","0","4","0","355"
"6257.75","0","1","-30","-2","1","0","355"
"6277","-1","0","-31","-2","1","0","355"
"6315.83333","-1","0","-31","-2","1","0","355"
"6331.66667","0","2","-28","-2","1","0","355"
"6347.5","0","2","-28","0","0","0","355"
"6363.33333","0","3","-28","0","0","0","355"
"6379.16667","0","3","-28","1","-2","0","355"
"6395","-2","2","-28","1","-2","0","355"
"6420","-2","2","-28","-1","0","0","355"
"6440","-1","0","-30","-1","0","0","355"
"6460","-1","0","-30","0","-2","0","355"
"6480","0","2","-30","0","-2","0","355"
"6515.5","0","2","-30","-3","0","0","355"
"6531","0","1","-31","-3","0","0","355"
"6546.5","0","1","-31","-4","-1","0","355"
"6562","-2","2","-34","-4","-1","0","355"
"6577.5","-2","2","-34","-1","0","0","355"
"6593","0","1","-29","-1","0","0","355"
"6619.25","0","1","-29","1","0","0","355"
"6638.5","-1","2","-28","1","0","0","355"
"6657.75","-1","2","-28","1","0","0","355"
"6677","0","1","-33","1","0","0","355"
"6713.16667","0","1","-33","2","0","0","355"
"6726.33333","-4","0","-29","2","0","0","355"
"6739.5","-4","0","-29","1","2","0","355"
"6752.66667","0","3","-28","1","2","0","355"
"6765.83333","0","3","-28","-2","1","0","355"
"6779","0","1","-27","-2","1","0","355"
"6816.25","0","1","-27","-1","1","0","355"
"6832.5","-2","3","-28","-1","1","0","355"
"6848.75","-2","3","-28","-2","1","0","355"
"6865","-1","1","-32","-2","1","0","355"
"6913.25","-1","1","-32","-2","-1","0","355"
"6926.5","-1","2","-29","-2","-1","0","355"
"6939.75","-1","2","-29","-1","-2","0","355"
"6953","0","3","-32","-1","-2","0","355"
"7023","0","3","-32","2","2","0","355"
"7046","0","4","-30","2","2","0","355"
"7069","0","4","-30","-5","2","0","355"
"7092","-3","0","-31","-5","2","0","355"
