Timer,AX,AY,AZ,GX,GY,GZ,A
"6.53846","-3","-1","-32","-2","-2","-1","173"
"13.07692","-3","-1","-32","0","1","-1","173"
"19.61538","0","0","-29","0","1","-1","173"
"26.15385","0","0","-29","1","-1","-1","173"
"32.69231","-1","0","-26","1","-1","-1","173"
"39.23077","-1","0","-26","2","1","-1","173"
"45.76923","0","-1","-29","2","1","-1","173"
"52.30769","0","-1","-29","0","-1","-1","173"
"58.84615","-1","-2","-30","0","-1","-1","173"
"65.38462","-1","-2","-30","0","0","-1","173"
"71.92308","0","0","-31","0","0","-1","173"
"78.46154","0","0","-31","-3","1","-1","173"
"85","0","-2","-31","-3","1","-1","173"
"107.5","0","-2","-31","0","2","-1","173"
"115","0","0","-29","0","2","-1","173"
"122.5","0","0","-29","-2","2","-1","173"
"130","0","-1","-28","-2","2","-1","173"
"137.5","0","-1","-28","-2","2","-1","173"
"145","0","-1","-27","-2","2","-1","173"
"152.5","0","-1","-27","-2","2","-1","173"
"160","0","-1","-30","-2","2","-1","173"
"167.5","0","-1","-30","-1","3","-1","173"
"175","0","-1","-26","-1","3","-1","173"
"182.5","0","-1","-26","1","-3","-1","173"
"190","1","-1","-28","1","-3","-1","173"
"206","1","-1","-28","-2","-1","-1","173"
"212","-1","-1","-28","-2","-1","-1","173"
"218","-1","-1","-28","-4","1","-1","173"
"224","0","0","-28","-4","1","-1","173"
"230","0","0","-28","0","0","-1","173"
"236","0","0","-30","0","0","-1","173"
"242","0","0","-30","-2","2","-1","173"
"248","0","-2","-30","-2","2","-1","173"
"254","0","-2","-30","-5","-2","-1","173"
"260","-1","-1","-32","-5","-2","-1","173"
"266","-1","-1","-32","-2","1","-1","173"
"272","-1","-1","-32","-2","1","-1","173"
"278","-1","-1","-32","-2","1","-1","173"
"284","0","1","-30","-2","1","-1","173"
"304.31818","0","1","-30","1","0","-1","173"
"308.63636","0","-3","-30","1","0","-1","173"
"312.95455","0","-3","-30","0","0","-1","173"
"317.27273","-1","-1","-29","0","0","-1","173"
"321.59091","-1","-1","-29","2","-1","-1","173"
"325.90909","1","-2","-25","2","-1","-1","173"
"330.22727","1","-2","-25","2","1","-1","173"
"334.54545","1","-2","-25","2","1","-1","173"
"338.86364","1","-2","-25","2","1","-1","173"
"343.18182","-1","0","-29","2","1","-1","173"
"347.5","-1","0","-29","2","-1","-1","173"
"351.81818","0","-1","-32","2","-1","-1","173"
"356.13636","0","-1","-32","0","2","-1","173"
"360.45455","0","-2","-30","0","2","-1","173"
"364.77273","0","-2","-30","0","1","-1","173"
"369.09091","0","0","-29","0","1","-1","173"
"373.40909","0","0","-29","-2","0","-1","173"
"377.72727","0","-1","-30","-2","0","-1","173"
"382.04545","0","-1","-30","-2","0","-1","173"
"386.36364","-2","0","-27","-2","0","-1","173"
"390.68182","-2","0","-27","-1","0","-1","173"
"395","1","0","-32","-1","0","-1","173"
"403.23333","1","0","-32","0","-2","-1","173"
"406.46667","-1","0","-29","0","-2","-1","173"
"409.7","-1","0","-29","5","0","-1","173"
"412.93333","0","0","-28","5","0","-1","173"
"416.16667","0","0","-28","5","0","-1","173"
"419.4","0","0","-29","5","0","-1","173"
"422.63333","0","0","-29","5","0","-1","173"
"425.86667","0","0","-30","5","0","-1","173"
"429.1","0","0","-30","-1","2","-1","173"
"432.33333","-2","-1","-31","-1","2","-1","173"
"435.56667","-2","-1","-31","-1","1","-1","173"
"438.8","0","-2","-31","-1","1","-1","173"
"442.03333","0","-2","-31","-1","1","-1","173"
"445.26667","-1","0","-30","-1","1","-1","173"
"448.5","-1","0","-30","2","0","-1","173"
"451.73333","-1","0","-30","2","0","-1","173"
"454.96667","-1","0","-30","1","0","-1","173"
"458.2","0","-3","-29","1","0","-1","173"
"461.43333","0","-3","-29","-2","2","-1","173"
"464.66667","0","-2","-31","-2","2","-1","173"
"467.9","0","-2","-31","0","-2","-1","173"
"471.13333","0","1","-27","0","-2","-1","173"
"474.36667","0","1","-27","3","0","-1","173"
"477.6","0","-3","-29","3","0","-1","173"
"480.83333","0","-3","-29","3","0","-1","173"
"484.06667","0","-3","-29","3","0","-1","173"
"487.3","0","-3","-29","3","1","-1","173"
"490.53333","0","-3","-32","3","1","-1","173"
"493.76667","0","-3","-32","1","-1","-1","173"
"497","1","0","-30","1","-1","-1","173"
"504.85","1","0","-30","0","0","-1","173"
"509.7","1","0","-32","0","0","-1","173"
"514.55","1","0","-32","0","0","-1","173"
"519.4","0","-3","-31","0","0","-1","173"
"524.25","0","-3","-31","0","-1","-1","173"
"529.1","0","-3","-31","0","-1","-1","173"
"533.95","0","-3","-31","0","1","-1","173"
