Timer,X,Y,Z
"6.53846","3513","13104","1052"
"13.07692","3513","13104","1052"
"19.61538","3513","13104","1052"
"26.15385","3513","13104","1052"
"32.69231","3513","13104","1052"
"39.23077","3513","13104","1052"
"45.76923","3513","13104","1052"
"52.30769","3513","13104","1052"
"58.84615","3513","13104","1052"
"65.38462","3513","13104","1052"
"71.92308","3513","13104","1052"
"78.46154","3513","13104","1052"
"85","3462","13226","848"
"107.5","3462","13226","848"
"115","3462","13226","848"
"122.5","3462","13226","848"
"130","3462","13226","848"
"137.5","3499","13131","939"
"145","3499","13131","939"
"152.5","3499","13131","939"
"160","3499","13131","939"
"167.5","3499","13131","939"
"175","3499","13131","939"
"182.5","3499","13131","939"
"190","3499","13131","939"
"206","3505","12911","992"
"212","3505","12911","992"
"218","3505","12911","992"
"224","3505","12911","992"
"230","3505","12911","992"
"236","3505","12911","992"
"242","3505","12911","992"
"248","3505","12911","992"
"254","3505","12911","992"
"260","3505","12911","992"
"266","3736","12631","4909"
"272","3736","12631","4909"
"278","3736","12631","4909"
"284","3736","12631","4909"
"304.31818","3736","12631","4909"
"308.63636","3736","12631","4909"
"312.95455","3736","12631","4909"
"317.27273","3736","12631","4909"
"321.59091","3736","12631","4909"
"325.90909","3736","12631","4909"
"330.22727","3736","12631","4909"
"334.54545","3736","12681","4681"
"338.86364","3736","12681","4681"
"343.18182","3736","12681","4681"
"347.5","3736","12681","4681"
"351.81818","3736","12681","4681"
"356.13636","3736","12681","4681"
"360.45455","3736","12681","4681"
"364.77273","3736","12681","4681"
"369.09091","3736","12681","4681"
"373.40909","3736","12681","4681"
"377.72727","3736","12681","4681"
"382.04545","3538","13013","1041"
"386.36364","3538","13013","1041"
"390.68182","3538","13013","1041"
"395","3538","13013","1041"
"403.23333","3538","13013","1041"
"406.46667","3538","13013","1041"
"409.7","3538","13013","1041"
"412.93333","3538","13013","1041"
"416.16667","3538","13013","1041"
"419.4","3538","13013","1041"
"422.63333","3538","13013","1041"
"425.86667","3538","13013","1041"
"429.1","3538","13013","1041"
"432.33333","3538","13013","1041"
"435.56667","3538","13013","1041"
"438.8","3538","13013","1041"
"442.03333","3538","13013","1041"
"445.26667","3538","13013","1041"
"448.5","3538","13013","1041"
"451.73333","3776","12633","4901"
"454.96667","3776","12633","4901"
"458.2","3776","12633","4901"
"461.43333","3776","12633","4901"
"464.66667","3776","12633","4901"
"467.9","3776","12633","4901"
"471.13333","3776","12633","4901"
"474.36667","3776","12633","4901"
"477.6","3776","12633","4901"
"480.83333","3776","12633","4901"
"484.06667","3776","12633","4901"
"487.3","3776","12633","4901"
"490.53333","3776","12633","4901"
"493.76667","3776","12633","4901"
"497","3776","12633","4901"
"504.85","3776","12633","4901"
"509.7","3776","12633","4901"
"514.55","3778","12646","4791"
"519.4","3778","12646","4791"
"524.25","3778","12646","4791"
"529.1","3778","12646","4791"
"533.95","3778","12646","4791"
"538.8","3778","12646","4791"
"543.65","3778","12646","4791"
"548.5","3778","12646","4791"
"553.35","3778","12646","4791"
"558.2","3778","12646","4791"
"563.05","3775","12668","4904"
"567.9","3775","12668","4904"
"572.75","3775","12668","4904"
"577.6","3775","12668","4904"
"582.45","3775","12668","4904"
"587.3","3775","12668","4904"
"592.15","3775","12668","4904"
"597","3775","12668","4904"
"603.69231","3775","12668","4904"
"607.38462","3775","12668","4904"
"611.07692","3775","12668","4904"
"614.76923","3775","12668","4904"
"618.46154","3775","12668","4904"
"622.15385","3775","12668","4904"
"625.84615","3775","12668","4904"
"629.53846","3775","12668","4904"
"633.23077","3718","12648","4847"
"636.92308","3718","12648","4847"
"640.61538","3718","12648","4847"
"644.30769","3718","12648","4847"
"648","3718","12648","4847"
"651.69231","3718","12648","4847"
"655.38462","3718","12648","4847"
"659.07692","3718","12648","4847"
"662.76923","3718","12648","4847"
"666.46154","3718","12648","4847"
"670.15385","3718","12648","4847"
"673.84615","3718","12648","4847"
"677.53846","3718","12648","4847"
"681.23077","3718","12648","4847"
"684.92308","3718","12648","4847"
"688.61538","3504","12975","1157"
"692.30769","3504","12975","1157"
"696","3504","12975","1157"
"711.125","3504","12975","1157"
"722.25","3504","12975","1157"
"733.375","3504","12975","1157"
"744.5","3652","12976","2694"
"755.625","3652","12976","2694"
"766.75","3652","12976","2694"
"777.875","3652","12976","2694"
"789","3652","12976","2694"
"805.44444","3652","12976","2694"
"810.88889","3747","12695","4751"
"816.33333","3747","12695","4751"
"821.77778","3747","12695","4751"
"827.22222","3747","12695","4751"
"832.66667","3747","12695","4751"
"838.11111","3747","12695","4751"
"843.55556","3747","12695","4751"
"849","3747","12695","4751"
"854.44444","3747","12695","4751"
"859.88889","3747","12695","4751"
"865.33333","3747","12695","4751"
"870.77778","3747","12695","4751"
"876.22222","3501","12980","1160"
"881.66667","3501","12980","1160"
"887.11111","3501","12980","1160"
"892.55556","3501","12980","1160"
"898","3501","12980","1160"
"905.64286","3501","12980","1160"
"911.28571","3501","12980","1160"
"916.92857","3501","12980","1160"
"922.57143","3501","12980","1160"
"928.21429","3501","12980","1160"
"933.85714","3501","12980","1160"
"939.5","3501","12980","1160"
"945.14286","3501","12980","1160"
"950.78571","3501","12980","1160"
"956.42857","3526","12940","1172"
"962.07143","3526","12940","1172"
"967.71429","3526","12940","1172"
"973.35714","3526","12940","1172"
"979","3526","12940","1172"
"1004.8","3506","12954","1209"
"1009.6","3506","12954","1209"
"1014.4","3506","12954","1209"
"1019.2","3506","12954","1209"
"1024","3506","12954","1209"
"1028.8","3506","12954","1209"
"1033.6","3506","12954","1209"
"1038.4","3506","12954","1209"
"1043.2","3506","12954","1209"
"1048","3542","13103","1110"
"1052.8","3542","13103","1110"
"1057.6","3542","13103","1110"
"1062.4","3542","13103","1110"
"1067.2","3542","13103","1110"
"1072","3542","13103","1110"
"1076.8","3542","13103","1110"
"1081.6","3542","13103","1110"
"1086.4","3542","13103","1110"
"1091.2","3542","13103","1110"
"1096","3542","13103","1110"
"1106.83333","3542","13103","1110"
"1113.66667","3565","12984","1150"
"1120.5","3565","12984","1150"
"1127.33333","3565","12984","1150"
"1134.16667","3565","12984","1150"
"1141","3565","12984","1150"
"1147.83333","3565","12984","1150"
"1154.66667","3565","12984","1150"
"1161.5","3565","12984","1150"
"1168.33333","3565","12984","1150"
"1175.16667","3565","12984","1150"
"1182","3682","12934","2767"
"1204.5","3682","12934","2767"
"1209","3682","12934","2767"
"1213.5","3682","12934","2767"
"1218","3682","12934","2767"
"1222.5","3682","12934","2767"
"1227","3682","12934","2767"
"1231.5","3471","12840","1205"
"1236","3471","12840","1205"
"1240.5","3471","12840","1205"
"1245","3471","12840","1205"
"1249.5","3471","12840","1205"
"1254","3471","12840","1205"
"1258.5","3471","12840","1205"
"1263","3471","12840","1205"
"1267.5","3471","12840","1205"
"1272","3471","12840","1205"
"1276.5","3471","12840","1205"
"1281","3471","12840","1205"
"1285.5","3497","12909","1208"
"1290","3497","12909","1208"
"1304.7","3497","12909","1208"
"1309.4","3497","12909","1208"
"1314.1","3497","12909","1208"
"1318.8","3497","12909","1208"
"1323.5","3497","12909","1208"
"1328.2","3497","12909","1208"
"1332.9","3497","12909","1208"
"1337.6","3497","12909","1208"
"1342.3","3497","12909","1208"
"1347","3497","12909","1208"
"1351.7","3497","12909","1208"
"1356.4","3497","12909","1208"
"1361.1","3773","12678","4833"
"1365.8","3773","12678","4833"
"1370.5","3773","12678","4833"
"1375.2","3773","12678","4833"
"1379.9","3773","12678","4833"
"1384.6","3773","12678","4833"
"1389.3","3773","12678","4833"
"1394","3773","12678","4833"
"1405.22222","3773","12678","4833"
"1410.44444","3479","12978","1004"
"1415.66667","3479","12978","1004"
"1420.88889","3479","12978","1004"
"1426.11111","3479","12978","1004"
