Timer,AX,AY,AZ,GX,GY,GZ,A
"14.33333","-3","0","-32","-1","3","0","355"
"28.66667","-2","-1","-28","-1","3","0","355"
"43","-2","-1","-28","-1","2","0","355"
"57.33333","-3","2","-28","-1","2","0","355"
"71.66667","-3","2","-28","-1","2","0","355"
"86","-2","4","-33","-1","2","0","355"
"118","-2","4","-33","2","2","0","355"
"136","-2","4","-33","2","2","0","355"
"154","-2","4","-33","1","1","0","355"
"172","0","6","-33","1","1","0","355"
"217.25","0","6","-33","-3","-1","0","355"
"234.5","-5","7","-32","-3","-1","0","355"
"251.75","-5","7","-32","-3","0","0","355"
"269","0","0","-28","-3","0","0","355"
"319.5","0","0","-28","-2","4","0","355"
"339","-2","5","-30","-2","4","0","355"
"358.5","-2","5","-30","-2","1","0","355"
"378","-2","5","-30","-2","1","0","355"
"420","-2","5","-30","-3","0","0","355"
"440","0","0","-30","-3","0","0","355"
"460","0","0","-30","0","-2","0","355"
"480","-3","5","-33","0","-2","0","355"
"516.25","-3","5","-33","-1","0","0","355"
"532.5","-1","4","-32","-1","0","0","355"
"548.75","-1","4","-32","-2","-2","0","355"
"565","-4","-1","-30","-2","-2","0","355"
"615","-4","-1","-30","3","-1","0","355"
"630","-4","-1","-30","3","-1","0","355"
"645","-4","-1","-30","-3","-1","0","355"
"660","-1","5","-29","-3","-1","0","355"
"713.16667","-1","5","-29","1","-2","0","355"
"726.33333","-1","-2","-35","1","-2","0","355"
"739.5","-1","-2","-35","0","-1","0","355"
"752.66667","1","-2","-31","0","-1","0","355"
"765.83333","1","-2","-31","-2","-1","0","355"
"779","0","5","-31","-2","-1","0","355"
"823.25","0","5","-31","-3","-2","0","355"
"846.5","0","5","-31","-3","-2","0","355"
"869.75","0","5","-31","-4","0","0","355"
"893","-1","0","-28","-4","0","0","355"
"922.25","-1","0","-28","0","-2","0","355"
"944.5","-1","0","-28","0","-2","0","355"
"966.75","-1","0","-28","-1","-2","0","355"
"989","-1","0","-31","-1","-2","0","355"
"1013","-1","0","-31","-1","-1","0","355"
"1026","-2","1","-32","-1","-1","0","355"
"1039","-2","1","-32","2","0","0","355"
"1052","-2","1","-32","2","0","0","355"
"1109.83333","-2","1","-32","0","-2","0","355"
"1119.66667","-1","0","-33","0","-2","0","355"
"1129.5","-1","0","-33","2","-4","0","355"
"1139.33333","-1","0","-33","2","-4","0","355"
"1149.16667","-1","0","-33","-4","-1","0","355"
"1159","0","0","-31","-4","-1","0","355"
"1221.75","0","0","-31","-1","-1","0","355"
"1243.5","-3","3","-30","-1","-1","0","355"
"1265.25","-3","3","-30","1","-2","0","355"
"1287","-3","3","-30","1","-2","0","355"
"1320","-3","3","-30","0","1","0","355"
"1340","-2","-2","-28","0","1","0","355"
"1360","-2","-2","-28","-3","-1","0","355"
"1380","-1","0","-30","-3","-1","0","355"
"1414.14286","-1","0","-30","-1","-1","0","355"
"1428.28571","-3","2","-33","-1","-1","0","355"
"1442.42857","-3","2","-33","-1","0","0","355"
"1456.57143","0","0","-30","-1","0","0","355"
"1470.71429","0","0","-30","4","-3","0","355"
"1484.85714","0","0","-30","4","-3","0","355"
"1499","0","0","-30","-1","-3","0","355"
"1500","-3","2","-32","-1","-3","0","355"
"1521","-3","2","-32","0","-1","0","355"
"1542","-2","2","-30","0","-1","0","355"
"1563","-2","2","-30","2","0","0","355"
"1584","-1","1","-31","2","0","0","355"
"1609","-1","1","-31","-3","2","0","355"
"1618","-2","2","-29","-3","2","0","355"
"1627","-2","2","-29","0","0","0","355"
"1636","-2","2","-29","0","0","0","355"
"1645","-2","2","-29","0","-2","0","355"
"1654","-2","2","-31","0","-2","0","355"
"1663","-2","2","-31","-1","-4","0","355"
"1672","-1","2","-31","-1","-4","0","355"
"1714.83333","-1","2","-31","-2","1","0","355"
"1729.66667","0","2","-32","-2","1","0","355"
"1744.5","0","2","-32","-1","-2","0","355"
"1759.33333","-1","0","-30","-1","-2","0","355"
"1774.16667","-1","0","-30","-1","-1","0","355"
"1789","0","-1","-29","-1","-1","0","355"
"1810.75","0","-1","-29","0","-1","0","355"
"1821.5","0","1","-29","0","-1","0","355"
"1832.25","0","1","-29","2","-1","0","355"
"1843","0","0","-31","2","-1","0","355"
"1853.75","0","0","-31","-1","-1","0","355"
"1864.5","0","3","-31","-1","-1","0","355"
"1875.25","0","3","-31","-2","1","0","355"
"1886","0","3","-31","-2","1","0","355"
"1923","0","3","-31","3","-1","0","355"
"1946","-2","2","-31","3","-1","0","355"
"1969","-2","2","-31","0","-1","0","355"
"1992","-2","2","-30","0","-1","0","355"
"2011.125","-2","2","-30","0","-1","0","355"
"2022.25","-1","3","-32","0","-1","0","355"
"2033.375","-1","3","-32","1","0","0","355"
"2044.5","0","3","-32","1","0","0","355"
"2055.625","0","3","-32","0","0","0","355"
"2066.75","0","4","-31","0","0","0","355"
"2077.875","0","4","-31","0","0","0","355"
"2089","0","2","-32","0","0","0","355"
"2113.83333","0","2","-32","1","0","0","355"
"2127.66667","-3","0","-31","1","0","0","355"
"2141.5","-3","0","-31","-2","1","0","355"
"2155.33333","0","2","-30","-2","1","0","355"
"2169.16667","0","2","-30","-2","-2","0","355"
"2183","0","1","-32","-2","-2","0","355"
"2215.66667","0","1","-32","-2","1","0","355"
"2231.33333","-2","2","-32","-2","1","0","355"
"2247","-2","2","-32","-1","0","0","355"
"2262.66667","-2","0","-30","-1","0","0","355"
"2278.33333","-2","0","-30","-1","-2","0","355"
"2294","0","0","-27","-1","-2","0","355"
"2309.5","0","0","-27","-2","0","0","355"
"2319","-1","1","-31","-2","0","0","355"
"2328.5","-1","1","-31","0","3","0","355"
"2338","0","1","-33","0","3","0","355"
"2347.5","0","1","-33","0","1","0","355"
"2357","-2","2","-32","0","1","0","355"
"2366.5","-2","2","-32","0","2","0","355"
"2376","0","0","-32","0","2","0","355"
"2414.83333","0","0","-32","2","-4","0","355"
"2429.66667","-1","3","-27","2","-4","0","355"
"2444.5","-1","3","-27","-1","-1","0","355"
"2459.33333","0","2","-31","-1","-1","0","355"
"2474.16667","0","2","-31","1","1","0","355"
"2489","-1","4","-32","1","1","0","355"
"2508.6","-1","4","-32","0","1","0","355"
"2517.2","-1","4","-32","0","1","0","355"
"2525.8","-1","4","-32","-3","3","0","355"
"2534.4","0","1","-29","-3","3","0","355"
"2543","0","1","-29","-4","-1","0","355"
"2551.6","0","1","-31","-4","-1","0","355"
"2560.2","0","1","-31","-5","1","0","355"
"2568.8","-1","1","-28","-5","1","0","355"
"2577.4","-1","1","-28","-2","1","0","355"
"2586","0","1","-30","-2","1","0","355"
"2620","0","1","-30","0","2","0","355"
"2640","-1","0","-31","0","2","0","355"
"2660","-1","0","-31","1","-1","0","355"
"2680","0","-1","-32","1","-1","0","355"
"2719.75","0","-1","-32","-4","1","0","355"
"2739.5","1","0","-31","-4","1","0","355"
"2759.25","1","0","-31","0","2","0","355"
"2779","0","1","-31","0","2","0","355"
"2820.5","0","1","-31","3","0","0","355"
"2841","-1","1","-33","3","0","0","355"
"2861.5","-1","1","-33","1","1","0","355"
"2882","-2","3","-28","1","1","0","355"
"2915.83333","-2","3","-28","0","1","0","355"
"2931.66667","-2","2","-30","0","1","0","355"
"2947.5","-2","2","-30","-1","-1","0","355"
