Timer,AX,AY,AZ,GX,GY,GZ,A
"4.75","-4","0","-28","-3","0","0","359.9375"
"9.5","-4","0","-28","-6","0","0","359.9375"
"14.25","-4","0","-28","-6","0","0","359.9375"
"19","-4","0","-28","0","-2","0","359.9375"
"23.75","-2","-5","-30","0","-2","0","359.9375"
"28.5","-2","-5","-30","1","-1","0","359.9375"
"33.25","0","-3","-27","1","-1","0","359.9375"
"38","0","-3","-27","1","-1","0","359.9375"
"42.75","0","0","-28","1","-1","0","359.9375"
"47.5","0","0","-28","1","-1","0","359.9375"
"52.25","-2","-3","-31","1","-1","0","359.9375"
"57","-2","-3","-31","1","0","0","359.9375"
"61.75","-2","-3","-31","1","0","0","359.9375"
"66.5","-2","-3","-31","-2","-3","0","359.9375"
"71.25","-1","-3","-28","-2","-3","0","359.9375"
"76","-1","-3","-28","-5","0","0","359.9375"
"80.75","-3","0","-31","-5","0","0","359.9375"
"85.5","-3","0","-31","0","1","0","359.9375"
"90.25","0","-1","-30","0","1","0","359.9375"
"95","0","-1","-30","0","1","0","359.9375"
"104.75","0","-3","-29","0","1","0","359.9375"
"109.5","0","-3","-29","-1","-3","0","359.9375"
"114.25","0","-3","-29","-1","-3","0","359.9375"
"119","0","-3","-29","1","-3","0","359.9375"
"123.75","-1","-2","-31","1","-3","0","359.9375"
"128.5","-1","-2","-31","0","0","0","359.9375"
"133.25","-3","-3","-29","0","0","0","359.9375"
"138","-3","-3","-29","-1","-1","0","359.9375"
"142.75","-1","-2","-28","-1","-1","0","359.9375"
"147.5","-1","-2","-28","1","-2","0","359.9375"
"152.25","-3","0","-32","1","-2","0","359.9375"
"157","-3","0","-32","0","1","0","359.9375"
"161.75","-3","0","-32","0","1","0","359.9375"
"166.5","-3","0","-32","1","2","0","359.9375"
"171.25","-2","-5","-27","1","2","0","359.9375"
"176","-2","-5","-27","0","0","0","359.9375"
"180.75","-1","1","-29","0","0","0","359.9375"
"185.5","-1","1","-29","0","0","0","359.9375"
"190.25","-4","1","-30","0","0","0","359.9375"
"195","-4","1","-30","2","-1","0","359.9375"
"204.8","-5","-1","-30","2","-1","0","359.9375"
"209.6","-5","-1","-30","-1","0","0","359.9375"
"214.4","-5","-1","-30","-1","0","0","359.9375"
"219.2","-5","-1","-30","-3","0","0","359.9375"
"224","0","2","-28","-3","0","0","359.9375"
"228.8","0","2","-28","2","0","0","359.9375"
"233.6","-4","2","-31","2","0","0","359.9375"
"238.4","-4","2","-31","2","0","0","359.9375"
"243.2","-1","-2","-30","2","0","0","359.9375"
"248","-1","-2","-30","-3","2","0","359.9375"
"252.8","0","0","-25","-3","2","0","359.9375"
"257.6","0","0","-25","-3","0","0","359.9375"
"262.4","0","0","-25","-3","0","0","359.9375"
"267.2","0","0","-25","-3","3","0","359.9375"
"272","-3","1","-28","-3","3","0","359.9375"
"276.8","-3","1","-28","3","0","0","359.9375"
"281.6","0","-3","-31","3","0","0","359.9375"
"286.4","0","-3","-31","0","0","0","359.9375"
"291.2","0","-2","-29","0","0","0","359.9375"
"296","0","-2","-29","0","1","0","359.9375"
"304.75","-3","1","-28","0","1","0","359.9375"
"309.5","-3","1","-28","0","2","0","359.9375"
"314.25","-3","1","-28","0","2","0","359.9375"
"319","-3","1","-28","-1","1","0","359.9375"
"323.75","-1","-4","-31","-1","1","0","359.9375"
"328.5","-1","-4","-31","2","3","0","359.9375"
"333.25","-2","-2","-30","2","3","0","359.9375"
"338","-2","-2","-30","0","2","0","359.9375"
"342.75","-2","0","-30","0","2","0","359.9375"
"347.5","-2","0","-30","0","-2","0","359.9375"
"352.25","-3","-2","-29","0","-2","0","359.9375"
"357","-3","-2","-29","0","-3","0","359.9375"
"361.75","-3","-2","-29","0","-3","0","359.9375"
"366.5","-3","-2","-29","0","1","0","359.9375"
"371.25","-1","-3","-26","0","1","0","359.9375"
"376","-1","-3","-26","-1","2","0","359.9375"
"380.75","-2","2","-32","-1","2","0","359.9375"
"385.5","-2","2","-32","0","1","0","359.9375"
"390.25","-3","-1","-32","0","1","0","359.9375"
"395","-3","-1","-32","1","1","0","359.9375"
"404.85","-3","-4","-29","1","1","0","359.9375"
"409.7","-3","-4","-29","0","1","0","359.9375"
"414.55","-3","-4","-29","0","1","0","359.9375"
"419.4","-3","-4","-29","-5","-2","0","359.9375"
"424.25","-2","3","-30","-5","-2","0","359.9375"
"429.1","-2","3","-30","-3","-1","0","359.9375"
"433.95","-6","-3","-34","-3","-1","0","359.9375"
"438.8","-6","-3","-34","3","-3","0","359.9375"
"443.65","-2","-6","-28","3","-3","0","359.9375"
"448.5","-2","-6","-28","-5","1","0","359.9375"
"453.35","-2","1","-28","-5","1","0","359.9375"
"458.2","-2","1","-28","-1","0","0","359.9375"
"463.05","-2","1","-28","-1","0","0","359.9375"
"467.9","-2","1","-28","4","-1","0","359.9375"
"472.75","-2","-3","-30","4","-1","0","359.9375"
"477.6","-2","-3","-30","-1","1","0","359.9375"
"482.45","-5","-6","-29","-1","1","0","359.9375"
"487.3","-5","-6","-29","-3","-1","0","359.9375"
"492.15","0","1","-30","-3","-1","0","359.9375"
"497","0","1","-30","0","0","0","359.9375"
"504.8","-3","5","-31","0","0","0","359.9375"
"509.6","-3","5","-31","1","0","0","359.9375"
"514.4","-3","5","-31","1","0","0","359.9375"
"519.2","-3","5","-31","0","1","0","359.9375"
"524","-2","-3","-29","0","1","0","359.9375"
"528.8","-2","-3","-29","1","1","0","359.9375"
"533.6","-2","1","-32","1","1","0","359.9375"
"538.4","-2","1","-32","0","0","0","359.9375"
"543.2","-3","0","-31","0","0","0","359.9375"
"548","-3","0","-31","1","1","0","359.9375"
"552.8","-1","-4","-29","1","1","0","359.9375"
"557.6","-1","-4","-29","3","-1","0","359.9375"
"562.4","-1","-4","-29","3","-1","0","359.9375"
"567.2","-1","-4","-29","-2","-5","0","359.9375"
"572","-3","0","-29","-2","-5","0","359.9375"
"576.8","-3","0","-29","1","0","0","359.9375"
"581.6","-2","1","-32","1","0","0","359.9375"
"586.4","-2","1","-32","0","0","0","359.9375"
"591.2","0","-4","-26","0","0","0","359.9375"
"596","0","-4","-26","-2","-1","0","359.9375"
"604.85","0","0","-27","-2","-1","0","359.9375"
"609.7","0","0","-27","1","-2","0","359.9375"
"614.55","0","0","-27","1","-2","0","359.9375"
"619.4","0","0","-27","0","0","0","359.9375"
"624.25","-1","-3","-31","0","0","0","359.9375"
"629.1","-1","-3","-31","0","0","0","359.9375"
"633.95","-1","-3","-31","0","0","0","359.9375"
"638.8","-1","-3","-31","-2","0","0","359.9375"
"643.65","0","0","-27","-2","0","0","359.9375"
"648.5","0","0","-27","-4","-1","0","359.9375"
"653.35","-4","2","-27","-4","-1","0","359.9375"
"658.2","-4","2","-27","3","-1","0","359.9375"
