Timer,X,Y,Z
"9.9","3532","2470","638"
"19.8","3532","2470","638"
"29.7","3532","2470","638"
"39.6","3532","2470","638"
"49.5","3532","2470","638"
"59.4","3532","2470","638"
"69.3","3532","2470","638"
"79.2","3532","2470","638"
"89.1","3532","2470","638"
"99","3532","2470","638"
"105.10526","3556","2238","3655"
"110.21053","3556","2238","3655"
"115.31579","3556","2238","3655"
"120.42105","3556","2238","3655"
"125.52632","3556","2238","3655"
"130.63158","3556","2238","3655"
"135.73684","3556","2238","3655"
"140.84211","3556","2238","3655"
"145.94737","3556","2238","3655"
"151.05263","3556","2238","3655"
"156.15789","3556","2238","3655"
"161.26316","3556","2238","3655"
"166.36842","3525","2460","687"
"171.47368","3525","2460","687"
"176.57895","3525","2460","687"
"181.68421","3525","2460","687"
"186.78947","3525","2460","687"
"191.89474","3525","2460","687"
"197","3525","2460","687"
"204.95","3525","2460","687"
"209.9","3525","2460","687"
"214.85","3525","2460","687"
"219.8","3525","2460","687"
"224.75","3525","2460","687"
"229.7","3525","2460","687"
"234.65","3516","2463","713"
"239.6","3516","2463","713"
"244.55","3516","2463","713"
"249.5","3516","2463","713"
"254.45","3516","2463","713"
"259.4","3516","2463","713"
"264.35","3516","2463","713"
"269.3","3516","2463","713"
"274.25","3516","2463","713"
"279.2","3516","2463","713"
"284.15","3516","2463","713"
"289.1","3559","2446","648"
"294.05","3559","2446","648"
"299","3559","2446","648"
"300","3559","2446","648"
"305.15789","3559","2446","648"
"310.31579","3559","2446","648"
"315.47368","3559","2446","648"
"320.63158","3559","2446","648"
"325.78947","3559","2446","648"
"330.94737","3559","2446","648"
"336.10526","3559","2446","648"
"341.26316","3559","2446","648"
"346.42105","3559","2446","648"
"351.57895","3559","2446","648"
"356.73684","3549","2242","3665"
"361.89474","3549","2242","3665"
"367.05263","3549","2242","3665"
"372.21053","3549","2242","3665"
"377.36842","3549","2242","3665"
"382.52632","3549","2242","3665"
"387.68421","3549","2242","3665"
"392.84211","3549","2242","3665"
"398","3549","2242","3665"
"404.84211","3549","2242","3665"
"409.68421","3549","2242","3665"
"414.52632","3557","2258","3634"
"419.36842","3557","2258","3634"
"424.21053","3557","2258","3634"
"429.05263","3557","2258","3634"
"433.89474","3557","2258","3634"
"438.73684","3557","2258","3634"
"443.57895","3557","2258","3634"
"448.42105","3557","2258","3634"
"453.26316","3557","2258","3634"
"458.10526","3557","2258","3634"
"462.94737","3557","2258","3634"
"467.78947","3557","2258","3634"
"472.63158","3557","2258","3634"
"477.47368","3564","2270","3620"
"482.31579","3564","2270","3620"
"487.15789","3564","2270","3620"
"492","3564","2270","3620"
"500","3564","2270","3620"
"500","3564","2270","3620"
"504.95","3564","2270","3620"
"509.9","3564","2270","3620"
"514.85","3564","2270","3620"
"519.8","3564","2270","3620"
"524.75","3515","2452","733"
"529.7","3515","2452","733"
"534.65","3515","2452","733"
"539.6","3515","2452","733"
"544.55","3515","2452","733"
"549.5","3515","2452","733"
"554.45","3515","2452","733"
"559.4","3515","2452","733"
"564.35","3515","2452","733"
"569.3","3515","2452","733"
"574.25","3515","2452","733"
"579.2","3515","2452","733"
"584.15","3515","2452","733"
"589.1","3538","2462","666"
"594.05","3538","2462","666"
"599","3538","2462","666"
"604.85","3538","2462","666"
"609.7","3538","2462","666"
"614.55","3538","2462","666"
"619.4","3538","2462","666"
"624.25","3538","2462","666"
"629.1","3538","2462","666"
"633.95","3538","2462","666"
"638.8","3538","2462","666"
"643.65","3538","2462","666"
"648.5","3538","2462","666"
"653.35","3685","2558","253"
"658.2","3685","2558","253"
"663.05","3685","2558","253"
"667.9","3685","2558","253"
"672.75","3685","2558","253"
"677.6","3685","2558","253"
"682.45","3685","2558","253"
"687.3","3685","2558","253"
"692.15","3685","2558","253"
"697","3685","2558","253"
"704.95","3685","2558","253"
"709.9","3685","2558","253"
"714.85","3566","2276","3751"
"719.8","3566","2276","3751"
"724.75","3566","2276","3751"
"729.7","3566","2276","3751"
"734.65","3566","2276","3751"
"739.6","3566","2276","3751"
"744.55","3566","2276","3751"
"749.5","3566","2276","3751"
"754.45","3566","2276","3751"
"759.4","3566","2276","3751"
"764.35","3566","2276","3751"
"769.3","3566","2276","3751"
"774.25","3566","2276","3751"
"779.2","3504","2434","677"
"784.15","3504","2434","677"
"789.1","3504","2434","677"
"794.05","3504","2434","677"
"799","3504","2434","677"
"804.9","3504","2434","677"
"809.8","3504","2434","677"
"814.7","3504","2434","677"
"819.6","3504","2434","677"
"824.5","3504","2434","677"
"829.4","3504","2434","677"
"834.3","3504","2434","677"
"839.2","3504","2434","677"
"844.1","3581","2250","3578"
"849","3581","2250","3578"
"853.9","3581","2250","3578"
"858.8","3581","2250","3578"
"863.7","3581","2250","3578"
"868.6","3581","2250","3578"
"873.5","3581","2250","3578"
"878.4","3581","2250","3578"
"883.3","3581","2250","3578"
"888.2","3581","2250","3578"
"893.1","3588","2251","3654"
"898","3588","2251","3654"
"905.05263","3588","2251","3654"
"910.10526","3588","2251","3654"
"915.15789","3588","2251","3654"
"920.21053","3588","2251","3654"
"925.26316","3588","2251","3654"
"930.31579","3588","2251","3654"
"935.36842","3588","2251","3654"
"940.42105","3588","2251","3654"
"945.47368","3588","2251","3654"
"950.52632","3588","2251","3654"
"955.57895","3588","2251","3654"
"960.63158","3537","2461","723"
"965.68421","3537","2461","723"
"970.73684","3537","2461","723"
"975.78947","3537","2461","723"
"980.84211","3537","2461","723"
"985.89474","3537","2461","723"
"990.94737","3537","2461","723"
"996","3537","2461","723"
"1000","3537","2461","723"
"1004.9","3537","2461","723"
"1009.8","3537","2461","723"
"1014.7","3537","2461","723"
"1019.6","3537","2461","723"
"1024.5","3534","2458","839"
"1029.4","3534","2458","839"
"1034.3","3534","2458","839"
"1039.2","3534","2458","839"
"1044.1","3534","2458","839"
"1049","3534","2458","839"
"1053.9","3534","2458","839"
"1058.8","3534","2458","839"
"1063.7","3534","2458","839"
"1068.6","3534","2458","839"
"1073.5","3530","2484","600"
"1078.4","3530","2484","600"
"1083.3","3530","2484","600"
"1088.2","3530","2484","600"
"1093.1","3530","2484","600"
"1098","3530","2484","600"
"1104.85","3530","2484","600"
"1109.7","3530","2484","600"
"1114.55","3530","2484","600"
"1119.4","3530","2484","600"
"1124.25","3530","2484","600"
"1129.1","3530","2484","600"
"1133.95","3530","2484","600"
"1138.8","3571","2250","3705"
"1143.65","3571","2250","3705"
"1148.5","3571","2250","3705"
"1153.35","3571","2250","3705"
"1158.2","3571","2250","3705"
"1163.05","3571","2250","3705"
"1167.9","3571","2250","3705"
"1172.75","3571","2250","3705"
"1177.6","3571","2250","3705"
"1182.45","3571","2250","3705"
"1187.3","3571","2250","3705"
"1192.15","3571","2250","3705"
"1197","3571","2250","3705"
"1204.95","3659","2525","371"
"1209.9","3659","2525","371"
"1214.85","3659","2525","371"
"1219.8","3659","2525","371"
"1224.75","3659","2525","371"
"1229.7","3659","2525","371"
"1234.65","3659","2525","371"
"1239.6","3659","2525","371"
"1244.55","3659","2525","371"
"1249.5","3659","2525","371"
"1254.45","3659","2525","371"
"1259.4","3659","2525","371"
"1264.35","3555","2469","606"
"1269.3","3555","2469","606"
"1274.25","3555","2469","606"
"1279.2","3555","2469","606"
"1284.15","3555","2469","606"
"1289.1","3555","2469","606"
"1294.05","3555","2469","606"
"1299","3555","2469","606"
"1304.85","3555","2469","606"
"1309.7","3555","2469","606"
"1314.55","3555","2469","606"
"1319.4","3555","2469","606"
"1324.25","3564","2272","3657"
"1329.1","3564","2272","3657"
"1333.95","3564","2272","3657"
"1338.8","3564","2272","3657"
"1343.65","3564","2272","3657"
"1348.5","3564","2272","3657"
"1353.35","3564","2272","3657"
"1358.2","3564","2272","3657"
"1363.05","3564","2272","3657"
"1367.9","3564","2272","3657"
"1372.75","3564","2272","3657"
"1377.6","3564","2272","3657"
"1382.45","3548","2272","3620"
"1387.3","3548","2272","3620"
"1392.15","3548","2272","3620"
"1397","3548","2272","3620"
"1404.95","3548","2272","3620"
"1409.9","3548","2272","3620"
"1414.85","3548","2272","3620"
"1419.8","3548","2272","3620"
"1424.75","3548","2272","3620"
"1429.7","3548","2272","3620"
"1434.65","3548","2272","3620"
"1439.6","3548","2272","3620"
"1444.55","3563","2240","3676"
"1449.5","3563","2240","3676"
"1454.45","3563","2240","3676"
"1459.4","3563","2240","3676"
"1464.35","3563","2240","3676"
"1469.3","3563","2240","3676"
"1474.25","3563","2240","3676"
"1479.2","3563","2240","3676"
"1484.15","3563","2240","3676"
"1489.1","3563","2240","3676"
"1494.05","3563","2240","3676"
"1499","3563","2240","3676"
"1504.9","3575","2252","3686"
"1509.8","3575","2252","3686"
"1514.7","3575","2252","3686"
"1519.6","3575","2252","3686"
"1524.5","3575","2252","3686"
"1529.4","3575","2252","3686"
"1534.3","3575","2252","3686"
"1539.2","3575","2252","3686"
"1544.1","3575","2252","3686"
"1549","3575","2252","3686"
"1553.9","3575","2252","3686"
"1558.8","3575","2252","3686"
"1563.7","3556","2247","3670"
"1568.6","3556","2247","3670"
"1573.5","3556","2247","3670"
"1578.4","3556","2247","3670"
"1583.3","3556","2247","3670"
"1588.2","3556","2247","3670"
"1593.1","3556","2247","3670"
"1598","3556","2247","3670"
"1604.8","3556","2247","3670"
"1609.6","3556","2247","3670"
"1614.4","3556","2247","3670"
"1619.2","3556","2247","3670"
"1624","3560","2230","3686"
"1628.8","3560","2230","3686"
"1633.6","3560","2230","3686"
"1638.4","3560","2230","3686"
"1643.2","3560","2230","3686"
"1648","3560","2230","3686"
"1652.8","3560","2230","3686"
"1657.6","3560","2230","3686"
"1662.4","3560","2230","3686"
"1667.2","3560","2230","3686"
"1672","3560","2230","3686"
"1676.8","3560","2230","3686"
"1681.6","3575","2268","3658"
"1686.4","3575","2268","3658"
"1691.2","3575","2268","3658"
"1696","3575","2268","3658"
"1704.95","3575","2268","3658"
"1709.9","3575","2268","3658"
"1714.85","3575","2268","3658"
"1719.8","3575","2268","3658"
"1724.75","3575","2268","3658"
"1729.7","3575","2268","3658"
"1734.65","3575","2268","3658"
"1739.6","3575","2268","3658"
"1744.55","3552","2237","3600"
"1749.5","3552","2237","3600"
"1754.45","3552","2237","3600"
"1759.4","3552","2237","3600"
"1764.35","3552","2237","3600"
"1769.3","3552","2237","3600"
"1774.25","3552","2237","3600"
"1779.2","3552","2237","3600"
"1784.15","3552","2237","3600"
"1789.1","3552","2237","3600"
