Timer,AX,AY,AZ,GX,GY,GZ,A
"4.6","6","1","-33","-1","1","1","354.125"
"9.2","6","1","-33","-3","1","1","354.125"
"13.8","7","0","-31","-3","1","1","354.125"
"18.4","7","0","-31","-1","0","1","354.125"
"23","7","0","-26","-1","0","1","354.125"
"27.6","7","0","-26","-2","0","1","354.125"
"32.2","6","3","-28","-2","0","1","354.125"
"36.8","6","3","-28","1","1","1","354.125"
"41.4","4","3","-31","1","1","1","354.125"
"46","4","3","-31","-1","2","1","354.125"
"50.6","7","-1","-30","-1","2","1","354.125"
"55.2","7","-1","-30","-3","-2","1","354.125"
"59.8","9","0","-28","-3","-2","1","354.125"
"64.4","9","0","-28","0","0","1","354.125"
"69","7","2","-28","0","0","1","354.125"
"73.6","7","2","-28","0","-1","1","354.125"
"78.2","7","0","-31","0","-1","1","354.125"
"82.8","7","0","-31","-3","0","1","354.125"
"87.4","7","0","-28","-3","0","1","354.125"
"92","7","0","-28","-1","1","1","354.125"
"100","6","-1","-29","-1","1","1","354.125"
"104.94737","6","-1","-29","2","1","1","354.125"
"109.89474","7","3","-27","2","1","1","354.125"
"114.84211","7","3","-27","2","1","1","354.125"
"119.78947","7","2","-32","2","1","1","354.125"
"124.73684","7","2","-32","-1","-3","1","354.125"
"129.68421","6","0","-29","-1","-3","1","354.125"
"134.63158","6","0","-29","0","1","1","354.125"
"139.57895","8","0","-28","0","1","1","354.125"
"144.52632","8","0","-28","1","2","1","354.125"
"149.47368","6","2","-33","1","2","1","354.125"
"154.42105","6","2","-33","0","0","1","354.125"
"159.36842","6","-1","-33","0","0","1","354.125"
"164.31579","6","-1","-33","-3","0","1","354.125"
"169.26316","7","-2","-26","-3","0","1","354.125"
"174.21053","7","-2","-26","0","-1","1","354.125"
"179.15789","7","2","-27","0","-1","1","354.125"
"184.10526","7","2","-27","1","0","1","354.125"
"189.05263","2","0","-30","1","0","1","354.125"
"194","2","0","-30","0","2","1","354.125"
"204.65","6","-1","-32","0","2","1","354.125"
"209.3","6","-1","-32","-1","1","1","354.125"
"213.95","6","0","-28","-1","1","1","354.125"
"218.6","6","0","-28","3","1","1","354.125"
"223.25","5","4","-30","3","1","1","354.125"
"227.9","5","4","-30","2","0","1","354.125"
"232.55","5","2","-30","2","0","1","354.125"
"237.2","5","2","-30","1","-2","1","354.125"
"241.85","4","-2","-30","1","-2","1","354.125"
"246.5","4","-2","-30","1","1","1","354.125"
"251.15","7","2","-28","1","1","1","354.125"
"255.8","7","2","-28","0","3","1","354.125"
"260.45","6","4","-29","0","3","1","354.125"
"265.1","6","4","-29","1","4","1","354.125"
"269.75","5","2","-31","1","4","1","354.125"
"274.4","5","2","-31","2","-1","1","354.125"
"279.05","6","-1","-28","2","-1","1","354.125"
"283.7","6","-1","-28","-1","1","1","354.125"
"288.35","7","2","-27","-1","1","1","354.125"
"293","7","2","-27","2","3","1","354.125"
"304.75","6","3","-31","2","3","1","354.125"
"309.5","6","3","-31","0","4","1","354.125"
"314.25","4","2","-30","0","4","1","354.125"
"319","4","2","-30","-1","3","1","354.125"
"323.75","7","-1","-26","-1","3","1","354.125"
"328.5","7","-1","-26","-1","5","1","354.125"
"333.25","7","2","-28","-1","5","1","354.125"
"338","7","2","-28","2","3","1","354.125"
"342.75","6","4","-29","2","3","1","354.125"
"347.5","6","4","-29","3","3","1","354.125"
"352.25","5","-1","-33","3","3","1","354.125"
"357","5","-1","-33","0","0","1","354.125"
"361.75","7","0","-29","0","0","1","354.125"
"366.5","7","0","-29","0","-1","1","354.125"
"371.25","7","2","-30","0","-1","1","354.125"
"376","7","2","-30","0","0","1","354.125"
"380.75","3","-3","-32","0","0","1","354.125"
"385.5","3","-3","-32","-3","1","1","354.125"
"390.25","0","6","-31","-3","1","1","354.125"
"395","0","6","-31","-1","0","1","354.125"
"404.7","7","0","-34","-1","0","1","354.125"
"409.4","7","0","-34","-1","1","1","354.125"
"414.1","0","-5","-33","-1","1","1","354.125"
"418.8","0","-5","-33","-5","-1","1","354.125"
"423.5","4","10","-30","-5","-1","1","354.125"
"428.2","4","10","-30","5","-4","1","354.125"
"432.9","4","5","-31","5","-4","1","354.125"
"437.6","4","5","-31","1","0","1","354.125"
"442.3","3","-3","-29","1","0","1","354.125"
