Timer,AX,AY,AZ,GX,GY,GZ,A
"5.70588","0","3","-31","3","0","-1","188.4375"
"11.41176","0","2","-30","3","0","-1","188.4375"
"17.11765","0","2","-30","2","1","-1","188.4375"
"22.82353","1","1","-27","2","1","-1","188.4375"
"28.52941","1","1","-27","-1","-1","-1","188.4375"
"34.23529","1","2","-30","-1","-1","-1","188.4375"
"39.94118","1","2","-30","0","1","-1","188.4375"
"45.64706","0","3","-31","0","1","-1","188.4375"
"51.35294","0","3","-31","-1","2","-1","188.4375"
"57.05882","-1","2","-29","-1","2","-1","188.4375"
"62.76471","-1","2","-29","2","2","-1","188.4375"
"68.47059","1","3","-28","2","2","-1","188.4375"
"74.17647","1","3","-28","1","0","-1","188.4375"
"79.88235","0","1","-30","1","0","-1","188.4375"
"85.58824","0","1","-30","3","2","-1","188.4375"
"91.29412","0","1","-30","3","2","-1","188.4375"
"97","0","1","-30","0","0","-1","188.4375"
"104.9","2","3","-27","0","0","-1","188.4375"
"109.8","2","3","-27","0","0","-1","188.4375"
"114.7","-1","3","-30","0","0","-1","188.4375"
"119.6","-1","3","-30","3","2","-1","188.4375"
"124.5","0","4","-30","3","2","-1","188.4375"
"129.4","0","4","-30","-2","2","-1","188.4375"
"134.3","3","0","-27","-2","2","-1","188.4375"
"139.2","3","0","-27","-3","2","-1","188.4375"
"144.1","1","3","-28","-3","2","-1","188.4375"
"149","1","3","-28","0","2","-1","188.4375"
"153.9","0","2","-29","0","2","-1","188.4375"
"158.8","0","2","-29","2","0","-1","188.4375"
"163.7","0","2","-28","2","0","-1","188.4375"
"168.6","0","2","-28","2","1","-1","188.4375"
"173.5","1","1","-27","2","1","-1","188.4375"
"178.4","1","1","-27","2","0","-1","188.4375"
"183.3","0","3","-30","2","0","-1","188.4375"
"188.2","0","3","-30","3","3","-1","188.4375"
"193.1","2","4","-30","3","3","-1","188.4375"
"198","2","4","-30","1","0","-1","188.4375"
"204.85","0","0","-27","1","0","-1","188.4375"
"209.7","0","0","-27","1","0","-1","188.4375"
"214.55","0","4","-29","1","0","-1","188.4375"
"219.4","0","4","-29","0","5","-1","188.4375"
"224.25","2","2","-29","0","5","-1","188.4375"
"229.1","2","2","-29","-2","1","-1","188.4375"
"233.95","0","3","-30","-2","1","-1","188.4375"
"238.8","0","3","-30","-3","0","-1","188.4375"
"243.65","0","1","-29","-3","0","-1","188.4375"
"248.5","0","1","-29","-2","2","-1","188.4375"
"253.35","0","0","-29","-2","2","-1","188.4375"
"258.2","0","0","-29","2","1","-1","188.4375"
"263.05","0","2","-27","2","1","-1","188.4375"
"267.9","0","2","-27","-1","1","-1","188.4375"
"272.75","0","2","-28","-1","1","-1","188.4375"
"277.6","0","2","-28","-1","1","-1","188.4375"
"282.45","1","0","-30","-1","1","-1","188.4375"
"287.3","1","0","-30","0","1","-1","188.4375"
"292.15","0","1","-29","0","1","-1","188.4375"
"297","0","1","-29","-1","3","-1","188.4375"
"304.95","2","1","-28","-1","3","-1","188.4375"
"309.9","2","1","-28","1","-1","-1","188.4375"
"314.85","1","1","-30","1","-1","-1","188.4375"
"319.8","1","1","-30","-2","2","-1","188.4375"
"324.75","2","1","-27","-2","2","-1","188.4375"
"329.7","2","1","-27","-1","2","-1","188.4375"
"334.65","1","1","-28","-1","2","-1","188.4375"
"339.6","1","1","-28","-2","3","-1","188.4375"
"344.55","1","3","-30","-2","3","-1","188.4375"
"349.5","1","3","-30","-1","3","-1","188.4375"
"354.45","1","1","-27","-1","3","-1","188.4375"
"359.4","1","1","-27","-4","3","-1","188.4375"
"364.35","1","0","-29","-4","3","-1","188.4375"
"369.3","1","0","-29","-1","1","-1","188.4375"
"374.25","2","1","-28","-1","1","-1","188.4375"
"379.2","2","1","-28","2","-1","-1","188.4375"
"384.15","0","3","-32","2","-1","-1","188.4375"
"389.1","0","3","-32","1","0","-1","188.4375"
"394.05","0","1","-30","1","0","-1","188.4375"
"399","0","1","-30","0","-1","-1","188.4375"
"404.9","-1","0","-27","0","-1","-1","188.4375"
"409.8","-1","0","-27","4","-3","-1","188.4375"
"414.7","1","2","-29","4","-3","-1","188.4375"
"419.6","1","2","-29","-1","-1","-1","188.4375"
"424.5","1","3","-27","-1","-1","-1","188.4375"
"429.4","1","3","-27","0","-1","-1","188.4375"
"434.3","1","2","-31","0","-1","-1","188.4375"
"439.2","1","2","-31","-1","0","-1","188.4375"
"444.1","0","0","-28","-1","0","-1","188.4375"
"449","0","0","-28","-1","-1","-1","188.4375"
