Timer,AX,AY,AZ,GX,GY,GZ,A
"8.36364","4","1","-27","0","1","1","192.0625"
"16.72727","3","0","-29","0","1","1","192.0625"
"25.09091","3","0","-29","2","0","1","192.0625"
"33.45455","2","0","-24","2","0","1","192.0625"
"41.81818","2","0","-24","-2","0","1","192.0625"
"50.18182","3","1","-29","-2","0","1","192.0625"
"58.54545","3","1","-29","2","-2","1","192.0625"
"66.90909","3","0","-27","2","-2","1","192.0625"
"75.27273","3","0","-27","1","0","1","192.0625"
"83.63636","4","0","-27","1","0","1","192.0625"
"92","4","0","-27","0","0","1","192.0625"
"100","5","1","-28","0","0","1","192.0625"
"100","5","1","-28","0","0","1","192.0625"
"105.15789","3","0","-30","0","0","1","192.0625"
"110.31579","3","0","-30","-2","-2","1","192.0625"
"115.47368","3","0","-31","-2","-2","1","192.0625"
"120.63158","3","0","-31","-3","3","1","192.0625"
"125.78947","3","0","-30","-3","3","1","192.0625"
"130.94737","3","0","-30","-2","2","1","192.0625"
"136.10526","4","0","-31","-2","2","1","192.0625"
"141.26316","4","0","-31","1","0","1","192.0625"
"146.42105","3","0","-27","1","0","1","192.0625"
"151.57895","3","0","-27","1","1","1","192.0625"
"156.73684","4","-1","-27","1","1","1","192.0625"
"161.89474","4","-1","-27","0","-1","1","192.0625"
"167.05263","2","0","-30","0","-1","1","192.0625"
"172.21053","2","0","-30","-1","0","1","192.0625"
"177.36842","4","0","-28","-1","0","1","192.0625"
"182.52632","4","0","-28","3","1","1","192.0625"
"187.68421","4","0","-27","3","1","1","192.0625"
"192.84211","4","0","-27","2","-1","1","192.0625"
"198","2","1","-29","2","-1","1","192.0625"
"204.84211","2","1","-29","-1","-1","1","192.0625"
"209.68421","3","2","-29","-1","-1","1","192.0625"
"214.52632","3","2","-29","1","-3","1","192.0625"
"219.36842","3","0","-32","1","-3","1","192.0625"
"224.21053","3","0","-32","-1","0","1","192.0625"
"229.05263","4","1","-30","-1","0","1","192.0625"
"233.89474","4","1","-30","-1","4","1","192.0625"
"238.73684","5","1","-28","-1","4","1","192.0625"
"243.57895","5","1","-28","3","1","1","192.0625"
"248.42105","3","0","-28","3","1","1","192.0625"
"253.26316","3","0","-28","0","-3","1","192.0625"
"258.10526","3","1","-31","0","-3","1","192.0625"
"262.94737","3","1","-31","-3","1","1","192.0625"
"267.78947","4","1","-30","-3","1","1","192.0625"
"272.63158","4","1","-30","2","0","1","192.0625"
"277.47368","2","0","-29","2","0","1","192.0625"
"282.31579","2","0","-29","0","1","1","192.0625"
"287.15789","3","3","-31","0","1","1","192.0625"
"292","3","3","-31","0","1","1","192.0625"
"304.5","3","2","-28","0","1","1","192.0625"
"309","3","2","-28","0","-1","1","192.0625"
"313.5","2","0","-28","0","-1","1","192.0625"
"318","2","0","-28","-1","-2","1","192.0625"
"322.5","3","1","-31","-1","-2","1","192.0625"
"327","3","1","-31","-2","-1","1","192.0625"
"331.5","4","0","-30","-2","-1","1","192.0625"
"336","4","0","-30","-1","0","1","192.0625"
"340.5","3","0","-28","-1","0","1","192.0625"
"345","3","0","-28","-1","2","1","192.0625"
"349.5","4","0","-29","-1","2","1","192.0625"
"354","4","0","-29","1","-2","1","192.0625"
"358.5","5","1","-30","1","-2","1","192.0625"
"363","5","1","-30","2","2","1","192.0625"
"367.5","2","0","-31","2","2","1","192.0625"
"372","2","0","-31","-3","-1","1","192.0625"
"376.5","3","0","-30","-3","-1","1","192.0625"
"381","3","0","-30","-4","0","1","192.0625"
"385.5","3","0","-28","-4","0","1","192.0625"
"390","3","0","-28","0","-3","1","192.0625"
"394.5","3","1","-27","0","-3","1","192.0625"
"399","3","1","-27","1","-1","1","192.0625"
"405.16667","3","2","-27","1","-1","1","192.0625"
"410.33333","3","2","-27","-1","0","1","192.0625"
"415.5","3","0","-28","-1","0","1","192.0625"
"420.66667","3","0","-28","-1","-2","1","192.0625"
"425.83333","4","0","-29","-1","-2","1","192.0625"
"431","4","0","-29","-1","-2","1","192.0625"
"436.16667","3","2","-29","-1","-2","1","192.0625"
"441.33333","3","2","-29","0","0","1","192.0625"
"446.5","3","3","-29","0","0","1","192.0625"
"451.66667","3","3","-29","1","1","1","192.0625"
"456.83333","4","0","-28","1","1","1","192.0625"
"462","4","0","-28","0","1","1","192.0625"
"467.16667","3","0","-32","0","1","1","192.0625"
"472.33333","3","0","-32","2","1","1","192.0625"
"477.5","3","0","-31","2","1","1","192.0625"
"482.66667","3","0","-31","0","0","1","192.0625"
"487.83333","4","0","-28","0","0","1","192.0625"
"493","4","0","-28","1","1","1","192.0625"
"504.6","3","0","-30","1","1","1","192.0625"
"509.2","3","0","-30","1","0","1","192.0625"
"513.8","3","0","-27","1","0","1","192.0625"
"518.4","3","0","-27","0","-2","1","192.0625"
"523","3","2","-28","0","-2","1","192.0625"
"527.6","3","2","-28","1","0","1","192.0625"
"532.2","1","2","-28","1","0","1","192.0625"
"536.8","1","2","-28","1","-1","1","192.0625"
"541.4","3","0","-30","1","-1","1","192.0625"
"546","3","0","-30","0","0","1","192.0625"
"550.6","4","0","-28","0","0","1","192.0625"
"555.2","4","0","-28","-1","-2","1","192.0625"
"559.8","3","3","-28","-1","-2","1","192.0625"
"564.4","3","3","-28","0","-2","1","192.0625"
"569","3","0","-31","0","-2","1","192.0625"
"573.6","3","0","-31","-2","0","1","192.0625"
"578.2","5","0","-28","-2","0","1","192.0625"
"582.8","5","0","-28","-3","0","1","192.0625"
"587.4","4","1","-31","-3","0","1","192.0625"
"592","4","1","-31","1","-1","1","192.0625"
"600","4","1","-31","1","-1","1","192.0625"
"600","4","1","-31","-2","2","1","192.0625"
"605.22222","3","0","-27","-2","2","1","192.0625"
"610.44444","3","0","-27","2","-1","1","192.0625"
"615.66667","3","-1","-26","2","-1","1","192.0625"
"620.88889","3","-1","-26","-1","-2","1","192.0625"
"626.11111","5","1","-28","-1","-2","1","192.0625"
"631.33333","5","1","-28","-1","-2","1","192.0625"
"636.55556","3","0","-27","-1","-2","1","192.0625"
"641.77778","3","0","-27","-3","-2","1","192.0625"
"647","3","3","-30","-3","-2","1","192.0625"
"652.22222","3","3","-30","2","-2","1","192.0625"
