Timer,X,Y,Z
"8.36364","3790","2202","759"
"16.72727","3790","2202","759"
"25.09091","3790","2202","759"
"33.45455","3790","2202","759"
"41.81818","3790","2202","759"
"50.18182","3790","2202","759"
"58.54545","3790","2202","759"
"66.90909","3790","2202","759"
"75.27273","3790","2202","759"
"83.63636","3790","2202","759"
"92","3790","2202","759"
"100","3836","2204","744"
"100","3836","2204","744"
"105.15789","3836","2204","744"
"110.31579","3836","2204","744"
"115.47368","3836","2204","744"
"120.63158","3836","2204","744"
"125.78947","3836","2204","744"
"130.94737","3836","2204","744"
"136.10526","3836","2204","744"
"141.26316","3836","2204","744"
"146.42105","3836","2204","744"
"151.57895","3836","2204","744"
"156.73684","3836","2204","744"
"161.89474","3842","2212","682"
"167.05263","3842","2212","682"
"172.21053","3842","2212","682"
"177.36842","3842","2212","682"
"182.52632","3842","2212","682"
"187.68421","3842","2212","682"
"192.84211","3842","2212","682"
"198","3842","2212","682"
"204.84211","3842","2212","682"
"209.68421","3842","2212","682"
"214.52632","3842","2212","682"
"219.36842","3842","2212","682"
"224.21053","3856","2199","617"
"229.05263","3856","2199","617"
"233.89474","3856","2199","617"
"238.73684","3856","2199","617"
"243.57895","3856","2199","617"
"248.42105","3856","2199","617"
"253.26316","3856","2199","617"
"258.10526","3856","2199","617"
"262.94737","3856","2199","617"
"267.78947","3856","2199","617"
"272.63158","3856","2199","617"
"277.47368","3728","2149","1060"
"282.31579","3728","2149","1060"
"287.15789","3728","2149","1060"
"292","3728","2149","1060"
"304.5","3728","2149","1060"
"309","3728","2149","1060"
"313.5","3728","2149","1060"
"318","3728","2149","1060"
"322.5","3728","2149","1060"
"327","3728","2149","1060"
"331.5","3728","2149","1060"
"336","3728","2149","1060"
"340.5","3728","2149","1060"
"345","3740","2164","908"
"349.5","3740","2164","908"
"354","3740","2164","908"
"358.5","3740","2164","908"
"363","3740","2164","908"
"367.5","3740","2164","908"
"372","3740","2164","908"
"376.5","3740","2164","908"
"381","3740","2164","908"
"385.5","3740","2164","908"
"390","3740","2164","908"
"394.5","3740","2164","908"
"399","3740","2164","908"
"405.16667","3827","1998","3566"
"410.33333","3827","1998","3566"
"415.5","3827","1998","3566"
"420.66667","3827","1998","3566"
"425.83333","3827","1998","3566"
"431","3827","1998","3566"
"436.16667","3827","1998","3566"
"441.33333","3827","1998","3566"
"446.5","3827","1998","3566"
"451.66667","3827","1998","3566"
"456.83333","3839","2015","3573"
"462","3839","2015","3573"
"467.16667","3839","2015","3573"
"472.33333","3839","2015","3573"
"477.5","3839","2015","3573"
"482.66667","3839","2015","3573"
"487.83333","3839","2015","3573"
"493","3839","2015","3573"
"504.6","3839","2015","3573"
"509.2","3839","2015","3573"
"513.8","3839","2015","3573"
"518.4","3839","2015","3573"
"523","3839","2015","3573"
"527.6","3828","2211","663"
"532.2","3828","2211","663"
"536.8","3828","2211","663"
"541.4","3828","2211","663"
"546","3828","2211","663"
"550.6","3828","2211","663"
"555.2","3828","2211","663"
"559.8","3828","2211","663"
"564.4","3828","2211","663"
"569","3828","2211","663"
"573.6","3828","2211","663"
"578.2","3828","2211","663"
"582.8","3809","2185","747"
"587.4","3809","2185","747"
"592","3809","2185","747"
"600","3809","2185","747"
"600","3809","2185","747"
"605.22222","3809","2185","747"
"610.44444","3809","2185","747"
"615.66667","3809","2185","747"
"620.88889","3809","2185","747"
"626.11111","3809","2185","747"
"631.33333","3809","2185","747"
"636.55556","3811","2219","774"
"641.77778","3811","2219","774"
"647","3811","2219","774"
"652.22222","3811","2219","774"
"657.44444","3811","2219","774"
"662.66667","3811","2219","774"
"667.88889","3811","2219","774"
"673.11111","3811","2219","774"
"678.33333","3811","2219","774"
"683.55556","3811","2219","774"
"688.77778","3811","2219","774"
"694","3811","2219","774"
"704.6","3834","2210","653"
"709.2","3834","2210","653"
"713.8","3834","2210","653"
"718.4","3834","2210","653"
"723","3834","2210","653"
"727.6","3834","2210","653"
"732.2","3834","2210","653"
"736.8","3834","2210","653"
"741.4","3834","2210","653"
"746","3834","2210","653"
"750.6","3834","2210","653"
"755.2","3834","2210","653"
"759.8","3834","2210","653"
"764.4","3853","2200","711"
"769","3853","2200","711"
"773.6","3853","2200","711"
"778.2","3853","2200","711"
"782.8","3853","2200","711"
"787.4","3853","2200","711"
"792","3853","2200","711"
"800","3853","2200","711"
"804.78947","3853","2200","711"
"809.57895","3853","2200","711"
"814.36842","3853","2200","711"
"819.15789","3815","2000","3497"
"823.94737","3815","2000","3497"
"828.73684","3815","2000","3497"
"833.52632","3815","2000","3497"
"838.31579","3815","2000","3497"
"843.10526","3815","2000","3497"
"847.89474","3815","2000","3497"
"852.68421","3815","2000","3497"
"857.47368","3815","2000","3497"
"862.26316","3815","2000","3497"
"867.05263","3815","2000","3497"
"871.84211","3815","2000","3497"
"876.63158","3886","1980","3697"
"881.42105","3886","1980","3697"
"886.21053","3886","1980","3697"
"891","3886","1980","3697"
"904.65","3886","1980","3697"
"909.3","3886","1980","3697"
"913.95","3886","1980","3697"
"918.6","3886","1980","3697"
"923.25","3886","1980","3697"
"927.9","3886","1980","3697"
"932.55","3886","1980","3697"
"937.2","3886","1980","3697"
"941.85","3886","1980","3697"
"946.5","3828","2210","656"
"951.15","3828","2210","656"
"955.8","3828","2210","656"
"960.45","3828","2210","656"
"965.1","3828","2210","656"
"969.75","3828","2210","656"
"974.4","3828","2210","656"
"979.05","3828","2210","656"
"983.7","3828","2210","656"
"988.35","3828","2210","656"
"993","3828","2210","656"
"1004.71429","3854","2019","3574"
"1009.42857","3854","2019","3574"
"1014.14286","3854","2019","3574"
"1018.85714","3854","2019","3574"
"1023.57143","3854","2019","3574"
"1028.28571","3854","2019","3574"
"1033","3854","2019","3574"
"1037.71429","3854","2019","3574"
"1042.42857","3854","2019","3574"
"1047.14286","3854","2019","3574"
"1051.85714","3854","2019","3574"
"1056.57143","3854","2019","3574"
"1061.28571","3823","2176","766"
"1066","3823","2176","766"
"1070.71429","3823","2176","766"
"1075.42857","3823","2176","766"
"1080.14286","3823","2176","766"
"1084.85714","3823","2176","766"
"1089.57143","3823","2176","766"
"1094.28571","3823","2176","766"
"1099","3823","2176","766"
"1104.94737","3823","2176","766"
"1109.89474","3823","2176","766"
