Timer,X,Y,Z
"12.25","8869","7664","644"
"24.5","8869","7664","644"
"36.75","8869","7664","644"
"49","8869","7664","644"
"61.25","8869","7664","644"
"73.5","8869","7664","644"
"85.75","8869","7664","644"
"98","8904","7710","602"
"109.1","8904","7710","602"
"118.2","8904","7710","602"
"127.3","8904","7710","602"
"136.4","8904","7710","602"
"145.5","8904","7710","602"
"154.6","8904","7710","602"
"163.7","8918","7668","619"
"172.8","8918","7668","619"
"181.9","8918","7668","619"
"191","8918","7668","619"
"207.08333","8918","7668","619"
"214.16667","8827","7691","547"
"221.25","8827","7691","547"
"228.33333","8827","7691","547"
"235.41667","8827","7691","547"
"242.5","8827","7691","547"
"249.58333","8827","7691","547"
"256.66667","8827","7691","547"
"263.75","8827","7691","547"
"270.83333","8887","7669","611"
"277.91667","8887","7669","611"
"285","8887","7669","611"
"307","8887","7669","611"
"314","8887","7669","611"
"321","8887","7669","611"
"328","8854","7693","608"
"335","8854","7693","608"
"342","8854","7693","608"
"349","8854","7693","608"
"356","8854","7693","608"
"363","8854","7693","608"
"370","8854","7693","608"
"377","8889","7701","570"
"384","8889","7701","570"
"404.7","8889","7701","570"
"409.4","8889","7701","570"
"414.1","8889","7701","570"
"418.8","8892","7668","689"
"423.5","8892","7668","689"
"428.2","8892","7668","689"
"432.9","8892","7668","689"
"437.6","8892","7668","689"
"442.3","8892","7668","689"
"447","8892","7668","689"
"451.7","8892","7668","689"
"456.4","8892","7668","689"
"461.1","8892","7668","689"
"465.8","8892","7668","689"
"470.5","8892","7668","689"
"475.2","8892","7668","689"
"479.9","8892","7668","689"
"484.6","8885","7667","620"
"489.3","8885","7667","620"
"494","8885","7667","620"
"503.61538","8885","7667","620"
"507.23077","8885","7667","620"
"510.84615","8885","7667","620"
"514.46154","8885","7667","620"
"518.07692","8885","7667","620"
"521.69231","8885","7667","620"
"525.30769","8885","7667","620"
"528.92308","8885","7667","620"
"532.53846","8885","7667","620"
"536.15385","8885","7667","620"
"539.76923","8885","7667","620"
"543.38462","8868","7641","700"
"547","8868","7641","700"
"550.61538","8868","7641","700"
"554.23077","8868","7641","700"
"557.84615","8868","7641","700"
"561.46154","8868","7641","700"
"565.07692","8868","7641","700"
"568.69231","8868","7641","700"
"572.30769","8868","7641","700"
"575.92308","8868","7641","700"
