Timer,X,Y,Z
"4.27273","8899","7644","476"
"8.54545","8899","7644","476"
"12.81818","8899","7644","476"
"17.09091","8899","7644","476"
"21.36364","8899","7644","476"
"25.63636","8899","7644","476"
"29.90909","8899","7644","476"
"34.18182","8899","7644","476"
"38.45455","8899","7644","476"
"42.72727","8899","7644","476"
"47","8899","7644","476"
"51.27273","8899","7644","476"
"55.54545","8899","7644","476"
"59.81818","8899","7644","476"
"64.09091","8899","7644","476"
"68.36364","8951","7623","507"
"72.63636","8951","7623","507"
"76.90909","8951","7623","507"
"81.18182","8951","7623","507"
"85.45455","8951","7623","507"
"89.72727","8951","7623","507"
"94","8951","7623","507"
"104","8951","7623","507"
"108","8951","7623","507"
"112","8951","7623","507"
"116","8951","7623","507"
"120","8951","7623","507"
"124","8951","7623","507"
"128","8951","7623","507"
"132","8914","7658","390"
"136","8914","7658","390"
"140","8914","7658","390"
"144","8914","7658","390"
"148","8914","7658","390"
"152","8914","7658","390"
"156","8914","7658","390"
"160","8914","7658","390"
"164","8914","7658","390"
"168","8914","7658","390"
"172","8914","7658","390"
"176","8914","7658","390"
"180","8934","7608","500"
"184","8934","7608","500"
"188","8934","7608","500"
"192","8934","7608","500"
"196","8934","7608","500"
"203.91667","8934","7608","500"
"207.83333","8934","7608","500"
"211.75","8934","7608","500"
"215.66667","8934","7608","500"
"219.58333","8934","7608","500"
"223.5","8934","7608","500"
"227.41667","8934","7608","500"
"231.33333","8934","7608","500"
"235.25","8934","7608","500"
"239.16667","8934","7608","500"
"243.08333","8891","7643","510"
"247","8891","7643","510"
"250.91667","8891","7643","510"
"254.83333","8891","7643","510"
"258.75","8891","7643","510"
"262.66667","8891","7643","510"
"266.58333","8891","7643","510"
"270.5","8891","7643","510"
"274.41667","8891","7643","510"
"278.33333","8891","7643","510"
"282.25","8891","7643","510"
"286.16667","8891","7643","510"
"290.08333","8891","7643","510"
"294","8891","7643","510"
"308.08333","8899","7616","533"
"316.16667","8899","7616","533"
"324.25","8899","7616","533"
"332.33333","8899","7616","533"
"340.41667","8899","7616","533"
"348.5","8899","7616","533"
"356.58333","8899","7616","533"
"364.66667","8948","7613","519"
"372.75","8948","7613","519"
"380.83333","8948","7613","519"
"388.91667","8948","7613","519"
"397","8948","7613","519"
"404","8948","7613","519"
"408","8948","7613","519"
"412","8908","7680","410"
"416","8908","7680","410"
"420","8908","7680","410"
"424","8908","7680","410"
"428","8908","7680","410"
"432","8908","7680","410"
"436","8908","7680","410"
"440","8908","7680","410"
"444","8908","7680","410"
"448","8908","7680","410"
"452","8908","7680","410"
"456","8908","7680","410"
"460","8908","7680","410"
"464","8926","7587","540"
"468","8926","7587","540"
"472","8926","7587","540"
"476","8926","7587","540"
"480","8926","7587","540"
"484","8926","7587","540"
"488","8926","7587","540"
"492","8926","7587","540"
"496","8926","7587","540"
"504","8926","7587","540"
"508","8926","7587","540"
"512","8926","7587","540"
"516","8926","7587","540"
"520","8926","7587","540"
"524","8883","7734","387"
"528","8883","7734","387"
