Timer,AX,AY,AZ,GX,GY,GZ,A
"5.22222","-1","1","0","-1","1","0","359.9375"
"10.44444","-1","1","0","-1","1","0","359.9375"
"15.66667","-3","2","0","-3","2","0","359.9375"
"20.88889","-3","2","0","-3","2","0","359.9375"
"26.11111","-1","2","0","-1","2","0","359.9375"
"31.33333","-1","2","0","-1","2","0","359.9375"
"36.55556","-2","1","0","-2","1","0","359.9375"
"41.77778","-2","1","0","-2","1","0","359.9375"
"47","-2","-2","0","-2","-2","0","359.9375"
"52.22222","-2","-2","0","-2","-2","0","359.9375"
"57.44444","2","0","0","2","0","0","359.9375"
"62.66667","2","0","0","2","0","0","359.9375"
"67.88889","-2","-1","0","-2","-1","0","359.9375"
"73.11111","-2","-1","0","-2","-1","0","359.9375"
"78.33333","-6","-3","0","-6","-3","0","359.9375"
"83.55556","-6","-3","0","-6","-3","0","359.9375"
"88.77778","0","-1","0","0","-1","0","359.9375"
"94","0","-1","0","0","-1","0","359.9375"
"100","-3","4","0","-3","4","0","359.9375"
"100","-3","4","0","-3","4","0","359.9375"
"102.91176","3","3","0","3","3","0","359.9375"
"105.82353","3","3","0","3","3","0","359.9375"
"108.73529","4","-1","0","4","-1","0","359.9375"
"111.64706","4","-1","0","4","-1","0","359.9375"
"114.55882","4","0","0","4","0","0","359.9375"
"117.47059","4","0","0","4","0","0","359.9375"
"120.38235","1","1","0","1","1","0","359.9375"
"123.29412","1","1","0","1","1","0","359.9375"
"126.20588","3","2","0","3","2","0","359.9375"
"129.11765","3","2","0","3","2","0","359.9375"
"132.02941","0","-1","0","0","-1","0","359.9375"
"134.94118","0","-1","0","0","-1","0","359.9375"
"137.85294","0","-1","0","0","-1","0","359.9375"
"140.76471","0","-1","0","0","-1","0","359.9375"
"143.67647","1","0","0","1","0","0","359.9375"
"146.58824","1","0","0","1","0","0","359.9375"
"149.5","-1","1","0","-1","1","0","359.9375"
"152.41176","-1","1","0","-1","1","0","359.9375"
"155.32353","3","2","0","3","2","0","359.9375"
"158.23529","3","2","0","3","2","0","359.9375"
"161.14706","1","-2","0","1","-2","0","359.9375"
"164.05882","1","-2","0","1","-2","0","359.9375"
"166.97059","0","-2","0","0","-2","0","359.9375"
"169.88235","0","-2","0","0","-2","0","359.9375"
"172.79412","-1","0","0","-1","0","0","359.9375"
"175.70588","-1","0","0","-1","0","0","359.9375"
"178.61765","0","-3","0","0","-3","0","359.9375"
"181.52941","0","-3","0","0","-3","0","359.9375"
"184.44118","2","-1","0","2","-1","0","359.9375"
"187.35294","2","-1","0","2","-1","0","359.9375"
"190.26471","0","-2","0","0","-2","0","359.9375"
"193.17647","0","-2","0","0","-2","0","359.9375"
"196.08824","0","0","0","0","0","0","359.9375"
"199","0","0","0","0","0","0","359.9375"
"203.3","-2","-2","0","-2","-2","0","359.9375"
"206.6","-2","-2","0","-2","-2","0","359.9375"
"209.9","-2","-4","0","-2","-4","0","359.9375"
"213.2","-2","-4","0","-2","-4","0","359.9375"
"216.5","-3","0","0","-3","0","0","359.9375"
"219.8","-3","0","0","-3","0","0","359.9375"
"223.1","-2","0","0","-2","0","0","359.9375"
"226.4","-2","0","0","-2","0","0","359.9375"
"229.7","-2","-1","0","-2","-1","0","359.9375"
"233","-2","-1","0","-2","-1","0","359.9375"
"236.3","-1","0","0","-1","0","0","359.9375"
"239.6","-1","0","0","-1","0","0","359.9375"
"242.9","-1","-1","0","-1","-1","0","359.9375"
"246.2","-1","-1","0","-1","-1","0","359.9375"
"249.5","-4","-1","0","-4","-1","0","359.9375"
"252.8","-4","-1","0","-4","-1","0","359.9375"
"256.1","-2","0","0","-2","0","0","359.9375"
"259.4","-2","0","0","-2","0","0","359.9375"
"262.7","0","-1","0","0","-1","0","359.9375"
"266","0","-1","0","0","-1","0","359.9375"
"269.3","-1","-3","0","-1","-3","0","359.9375"
"272.6","-1","-3","0","-1","-3","0","359.9375"
"275.9","-1","0","0","-1","0","0","359.9375"
"279.2","-1","0","0","-1","0","0","359.9375"
"282.5","-2","1","0","-2","1","0","359.9375"
"285.8","-2","1","0","-2","1","0","359.9375"
"289.1","-2","-1","0","-2","-1","0","359.9375"
"292.4","-2","-1","0","-2","-1","0","359.9375"
"295.7","-1","1","0","-1","1","0","359.9375"
"299","-1","1","0","-1","1","0","359.9375"
"302.79412","0","0","0","0","0","0","359.9375"
"305.58824","0","0","0","0","0","0","359.9375"
"308.38235","-1","-2","0","-1","-2","0","359.9375"
"311.17647","-1","-2","0","-1","-2","0","359.9375"
"313.97059","-4","-3","0","-4","-3","0","359.9375"
"316.76471","-4","-3","0","-4","-3","0","359.9375"
"319.55882","-1","0","0","-1","0","0","359.9375"
"322.35294","-1","0","0","-1","0","0","359.9375"
"325.14706","0","-1","0","0","-1","0","359.9375"
"327.94118","0","-1","0","0","-1","0","359.9375"
"330.73529","2","-1","0","2","-1","0","359.9375"
"333.52941","2","-1","0","2","-1","0","359.9375"
"336.32353","1","-1","0","1","-1","0","359.9375"
"339.11765","1","-1","0","1","-1","0","359.9375"
"341.91176","1","-2","0","1","-2","0","359.9375"
"344.70588","1","-2","0","1","-2","0","359.9375"
"347.5","-1","-2","0","-1","-2","0","359.9375"
"350.29412","-1","-2","0","-1","-2","0","359.9375"
"353.08824","-2","1","0","-2","1","0","359.9375"
"355.88235","-2","1","0","-2","1","0","359.9375"
"358.67647","2","-1","0","2","-1","0","359.9375"
"361.47059","2","-1","0","2","-1","0","359.9375"
"364.26471","0","-1","0","0","-1","0","359.9375"
