Timer,X,Y,Z
"30","3309","2304","1116"
"5","3309","2304","1116"
"10","3309","2304","1116"
"15","3309","2304","1116"
"20","3309","2304","1116"
"25","3309","2304","1116"
"30","3309","2304","1116"
"35","3309","2304","1116"
"40","3309","2304","1116"
"45","3309","2304","1116"
"50","3309","2304","1116"
"55","3309","2304","1116"
"60","3309","2304","1116"
"65","3309","2304","1116"
"70","3309","2304","1116"
"75","3309","2304","1116"
"80","3299","2283","1131"
"85","3299","2283","1131"
"90","3299","2283","1131"
"95","3299","2283","1131"
"103.09375","3299","2283","1131"
"106.1875","3299","2283","1131"
"109.28125","3299","2283","1131"
"112.375","3299","2283","1131"
"115.46875","3299","2283","1131"
"118.5625","3299","2283","1131"
"121.65625","3299","2283","1131"
"124.75","3299","2283","1131"
"127.84375","3299","2283","1131"
"130.9375","3299","2283","1131"
"134.03125","3299","2283","1131"
"137.125","3232","2316","926"
"140.21875","3232","2316","926"
"143.3125","3232","2316","926"
"146.40625","3232","2316","926"
"149.5","3232","2316","926"
"152.59375","3232","2316","926"
"155.6875","3232","2316","926"
"158.78125","3232","2316","926"
"161.875","3232","2316","926"
"164.96875","3232","2316","926"
"168.0625","3232","2316","926"
"171.15625","3232","2316","926"
"174.25","3232","2316","926"
"177.34375","3232","2316","926"
"180.4375","3232","2316","926"
"183.53125","3232","2316","926"
"186.625","3232","2316","926"
"189.71875","3208","2341","859"
"192.8125","3208","2341","859"
"195.90625","3208","2341","859"
"199","3208","2341","859"
"203.1","3208","2341","859"
"206.2","3208","2341","859"
"209.3","3208","2341","859"
"212.4","3208","2341","859"
"215.5","3208","2341","859"
"218.6","3208","2341","859"
"221.7","3208","2341","859"
"224.8","3208","2341","859"
"227.9","3208","2341","859"
"231","3208","2341","859"
"234.1","3208","2341","859"
"237.2","3208","2341","859"
"240.3","3208","2341","859"
"243.4","3208","2341","859"
"246.5","3208","2341","859"
"249.6","3208","2341","859"
"252.7","3309","2283","974"
"255.8","3309","2283","974"
"258.9","3309","2283","974"
"262","3309","2283","974"
"265.1","3309","2283","974"
"268.2","3309","2283","974"
"271.3","3309","2283","974"
"274.4","3309","2283","974"
"277.5","3309","2283","974"
"280.6","3309","2283","974"
"283.7","3309","2283","974"
"286.8","3309","2283","974"
"289.9","3309","2283","974"
"293","3309","2283","974"
"300","3309","2283","974"
"300","3282","2298","936"
"303.03125","3282","2298","936"
"306.0625","3282","2298","936"
"309.09375","3282","2298","936"
"312.125","3282","2298","936"
"315.15625","3282","2298","936"
"318.1875","3282","2298","936"
"321.21875","3282","2298","936"
"324.25","3282","2298","936"
"327.28125","3282","2298","936"
"330.3125","3282","2298","936"
"333.34375","3282","2298","936"
"336.375","3282","2298","936"
"339.40625","3282","2298","936"
"342.4375","3282","2298","936"
"345.46875","3282","2298","936"
"348.5","3282","2298","936"
"351.53125","3282","2298","936"
"354.5625","3282","2298","936"
"357.59375","3464","2126","2683"
"360.625","3464","2126","2683"
"363.65625","3464","2126","2683"
"366.6875","3464","2126","2683"
"369.71875","3464","2126","2683"
"372.75","3464","2126","2683"
"375.78125","3464","2126","2683"
"378.8125","3464","2126","2683"
"381.84375","3464","2126","2683"
"384.875","3464","2126","2683"
"387.90625","3464","2126","2683"
"390.9375","3464","2126","2683"
"393.96875","3464","2126","2683"
"397","3464","2126","2683"
"402.9375","3464","2126","2683"
"405.875","3464","2126","2683"
"408.8125","3464","2126","2683"
"411.75","3464","2126","2683"
"414.6875","3285","2315","968"
"417.625","3285","2315","968"
"420.5625","3285","2315","968"
"423.5","3285","2315","968"
"426.4375","3285","2315","968"
"429.375","3285","2315","968"
"432.3125","3285","2315","968"
"435.25","3285","2315","968"
"438.1875","3285","2315","968"
"441.125","3285","2315","968"
"444.0625","3285","2315","968"
"447","3285","2315","968"
"449.9375","3285","2315","968"
"452.875","3285","2315","968"
"455.8125","3285","2315","968"
"458.75","3285","2315","968"
"461.6875","3285","2315","968"
"464.625","3285","2315","968"
"467.5625","3323","2272","1204"
"470.5","3323","2272","1204"
"473.4375","3323","2272","1204"
"476.375","3323","2272","1204"
"479.3125","3323","2272","1204"
"482.25","3323","2272","1204"
"485.1875","3323","2272","1204"
"488.125","3323","2272","1204"
"491.0625","3323","2272","1204"
"494","3323","2272","1204"
"502.96875","3323","2272","1204"
"505.9375","3323","2272","1204"
"508.90625","3323","2272","1204"
"511.875","3323","2272","1204"
"514.84375","3323","2272","1204"
"517.8125","3323","2272","1204"
"520.78125","3265","2325","1047"
"523.75","3265","2325","1047"
"526.71875","3265","2325","1047"
"529.6875","3265","2325","1047"
"532.65625","3265","2325","1047"
"535.625","3265","2325","1047"
"538.59375","3265","2325","1047"
"541.5625","3265","2325","1047"
"544.53125","3265","2325","1047"
"547.5","3265","2325","1047"
"550.46875","3265","2325","1047"
"553.4375","3265","2325","1047"
"556.40625","3265","2325","1047"
"559.375","3265","2325","1047"
"562.34375","3265","2325","1047"
"565.3125","3265","2325","1047"
"568.28125","3265","2325","1047"
"571.25","3265","2325","1047"
"574.21875","3314","2272","1121"
"577.1875","3314","2272","1121"
"580.15625","3314","2272","1121"
"583.125","3314","2272","1121"
"586.09375","3314","2272","1121"
"589.0625","3314","2272","1121"
"592.03125","3314","2272","1121"
"595","3314","2272","1121"
"602.75","3314","2272","1121"
"605.5","3314","2272","1121"
"608.25","3314","2272","1121"
"611","3314","2272","1121"
"613.75","3314","2272","1121"
"616.5","3314","2272","1121"
"619.25","3314","2272","1121"
"622","3314","2272","1121"
"624.75","3314","2272","1121"
"627.5","3314","2272","1121"
"630.25","3314","2272","1121"
"633","3252","2326","1000"
"635.75","3252","2326","1000"
"638.5","3252","2326","1000"
"641.25","3252","2326","1000"
"644","3252","2326","1000"
"646.75","3252","2326","1000"
"649.5","3252","2326","1000"
"652.25","3252","2326","1000"
"655","3252","2326","1000"
"657.75","3252","2326","1000"
"660.5","3252","2326","1000"
"663.25","3252","2326","1000"
"666","3252","2326","1000"
"668.75","3252","2326","1000"
"671.5","3252","2326","1000"
"674.25","3252","2326","1000"
"677","3252","2326","1000"
"679.75","3252","2326","1000"
"682.5","3252","2326","1000"
"685.25","3252","2326","1000"
"688","3289","2307","981"
"690.75","3289","2307","981"
"693.5","3289","2307","981"
"696.25","3289","2307","981"
"699","3289","2307","981"
"703.16667","3289","2307","981"
"706.33333","3289","2307","981"
"709.5","3289","2307","981"
"712.66667","3289","2307","981"
"715.83333","3289","2307","981"
"719","3289","2307","981"
"722.16667","3289","2307","981"
"725.33333","3289","2307","981"
"728.5","3289","2307","981"
"731.66667","3289","2307","981"
"734.83333","3289","2307","981"
"738","3289","2307","981"
"741.16667","3286","2307","1001"
"744.33333","3286","2307","1001"
"747.5","3286","2307","1001"
"750.66667","3286","2307","1001"
"753.83333","3286","2307","1001"
"757","3286","2307","1001"
"760.16667","3286","2307","1001"
"763.33333","3286","2307","1001"
"766.5","3286","2307","1001"
"769.66667","3286","2307","1001"
"772.83333","3286","2307","1001"
"776","3286","2307","1001"
"779.16667","3286","2307","1001"
"782.33333","3286","2307","1001"
"785.5","3286","2307","1001"
"788.66667","3286","2307","1001"
"791.83333","3286","2307","1001"
"795","3286","2307","1001"
"802.79412","3245","2323","946"
"805.58824","3245","2323","946"
"808.38235","3245","2323","946"
"811.17647","3245","2323","946"
"813.97059","3245","2323","946"
"816.76471","3245","2323","946"
"819.55882","3245","2323","946"
"822.35294","3245","2323","946"
"825.14706","3245","2323","946"
"827.94118","3245","2323","946"
"830.73529","3245","2323","946"
"833.52941","3245","2323","946"
"836.32353","3245","2323","946"
"839.11765","3245","2323","946"
"841.91176","3245","2323","946"
"844.70588","3245","2323","946"
"847.5","3245","2323","946"
"850.29412","3245","2323","946"
"853.08824","3246","2355","831"
"855.88235","3246","2355","831"
"858.67647","3246","2355","831"
"861.47059","3246","2355","831"
"864.26471","3246","2355","831"
"867.05882","3246","2355","831"
"869.85294","3246","2355","831"
"872.64706","3246","2355","831"
"875.44118","3246","2355","831"
"878.23529","3246","2355","831"
"881.02941","3246","2355","831"
"883.82353","3246","2355","831"
"886.61765","3246","2355","831"
"889.41176","3246","2355","831"
"892.20588","3246","2355","831"
"895","3246","2355","831"
"900","3246","2355","831"
"900","3246","2355","831"
"903.3","3311","2262","1122"
"906.6","3311","2262","1122"
"909.9","3311","2262","1122"
"913.2","3311","2262","1122"
"916.5","3311","2262","1122"
"919.8","3311","2262","1122"
"923.1","3311","2262","1122"
"926.4","3311","2262","1122"
"929.7","3311","2262","1122"
"933","3311","2262","1122"
"936.3","3311","2262","1122"
"939.6","3311","2262","1122"
"942.9","3311","2262","1122"
"946.2","3311","2262","1122"
"949.5","3311","2262","1122"
"952.8","3311","2262","1122"
"956.1","3264","2330","988"
"959.4","3264","2330","988"
"962.7","3264","2330","988"
"966","3264","2330","988"
"969.3","3264","2330","988"
"972.6","3264","2330","988"
"975.9","3264","2330","988"
"979.2","3264","2330","988"
"982.5","3264","2330","988"
"985.8","3264","2330","988"
"989.1","3264","2330","988"
"992.4","3264","2330","988"
"995.7","3264","2330","988"
"999","3264","2330","988"
"1002.96875","3264","2330","988"
"1005.9375","3264","2330","988"
"1008.90625","3264","2330","988"
"1011.875","3264","2330","988"
"1014.84375","3264","2330","988"
"1017.8125","3481","2119","2857"
"1020.78125","3481","2119","2857"
"1023.75","3481","2119","2857"
"1026.71875","3481","2119","2857"
"1029.6875","3481","2119","2857"
"1032.65625","3481","2119","2857"
"1035.625","3481","2119","2857"
"1038.59375","3481","2119","2857"
"1041.5625","3481","2119","2857"
"1044.53125","3481","2119","2857"
"1047.5","3481","2119","2857"
"1050.46875","3481","2119","2857"
"1053.4375","3481","2119","2857"
"1056.40625","3481","2119","2857"
"1059.375","3481","2119","2857"
"1062.34375","3481","2119","2857"
"1065.3125","3481","2119","2857"
"1068.28125","3481","2119","2857"
"1071.25","3481","2119","2857"
"1074.21875","3261","2312","991"
"1077.1875","3261","2312","991"
"1080.15625","3261","2312","991"
"1083.125","3261","2312","991"
"1086.09375","3261","2312","991"
"1089.0625","3261","2312","991"
"1092.03125","3261","2312","991"
"1095","3261","2312","991"
"1103","3261","2312","991"
"1106","3261","2312","991"
"1109","3261","2312","991"
"1112","3261","2312","991"
"1115","3261","2312","991"
"1118","3261","2312","991"
"1121","3261","2312","991"
"1124","3261","2312","991"
"1127","3261","2312","991"
"1130","3261","2312","991"
"1133","3261","2312","991"
"1136","3261","2312","991"
"1139","3261","2312","991"
"1142","3305","2285","1116"
"1145","3305","2285","1116"
"1148","3305","2285","1116"
"1151","3305","2285","1116"
"1154","3305","2285","1116"
"1157","3305","2285","1116"
"1160","3305","2285","1116"
"1163","3305","2285","1116"
"1166","3305","2285","1116"
"1169","3305","2285","1116"
"1172","3305","2285","1116"
"1175","3305","2285","1116"
"1178","3305","2285","1116"
"1181","3305","2285","1116"
"1184","3305","2285","1116"
"1187","3305","2285","1116"
"1190","3491","2114","2405"
"1193","3491","2114","2405"
"1196","3491","2114","2405"
"1202.9375","3491","2114","2405"
"1205.875","3491","2114","2405"
"1208.8125","3491","2114","2405"
"1211.75","3491","2114","2405"
"1214.6875","3491","2114","2405"
"1217.625","3491","2114","2405"
"1220.5625","3491","2114","2405"
"1223.5","3491","2114","2405"
"1226.4375","3491","2114","2405"
"1229.375","3491","2114","2405"
"1232.3125","3491","2114","2405"
"1235.25","3491","2114","2405"
"1238.1875","3491","2114","2405"
"1241.125","3491","2114","2405"
"1244.0625","3427","2145","2845"
"1247","3427","2145","2845"
"1249.9375","3427","2145","2845"
"1252.875","3427","2145","2845"
"1255.8125","3427","2145","2845"
"1258.75","3427","2145","2845"
"1261.6875","3427","2145","2845"
"1264.625","3427","2145","2845"
"1267.5625","3427","2145","2845"
"1270.5","3427","2145","2845"
"1273.4375","3427","2145","2845"
"1276.375","3427","2145","2845"
"1279.3125","3427","2145","2845"
"1282.25","3427","2145","2845"
"1285.1875","3427","2145","2845"
"1288.125","3427","2145","2845"
"1291.0625","3427","2145","2845"
"1294","3427","2145","2845"
"1300","3427","2145","2845"
"1300","3278","2302","1086"
"1303.09375","3278","2302","1086"
"1306.1875","3278","2302","1086"
"1309.28125","3278","2302","1086"
"1312.375","3278","2302","1086"
"1315.46875","3278","2302","1086"
"1318.5625","3278","2302","1086"
"1321.65625","3278","2302","1086"
"1324.75","3278","2302","1086"
"1327.84375","3278","2302","1086"
"1330.9375","3278","2302","1086"
"1334.03125","3278","2302","1086"
"1337.125","3278","2302","1086"
"1340.21875","3278","2302","1086"
"1343.3125","3278","2302","1086"
"1346.40625","3278","2302","1086"
"1349.5","3278","2302","1086"
"1352.59375","3278","2302","1086"
"1355.6875","3278","2302","1086"
"1358.78125","3278","2302","1086"
"1361.875","3364","2245","1234"
"1364.96875","3364","2245","1234"
"1368.0625","3364","2245","1234"
"1371.15625","3364","2245","1234"
"1374.25","3364","2245","1234"
"1377.34375","3364","2245","1234"
"1380.4375","3364","2245","1234"
"1383.53125","3364","2245","1234"
"1386.625","3364","2245","1234"
"1389.71875","3364","2245","1234"
"1392.8125","3364","2245","1234"
"1395.90625","3364","2245","1234"
"1399","3364","2245","1234"
"1403.2","3364","2245","1234"
"1406.4","3364","2245","1234"
"1409.6","3364","2245","1234"
"1412.8","3364","2245","1234"
"1416","3290","2248","1213"
"1419.2","3290","2248","1213"
"1422.4","3290","2248","1213"
"1425.6","3290","2248","1213"
"1428.8","3290","2248","1213"
"1432","3290","2248","1213"
"1435.2","3290","2248","1213"
"1438.4","3290","2248","1213"
"1441.6","3290","2248","1213"
"1444.8","3290","2248","1213"
"1448","3290","2248","1213"
"1451.2","3290","2248","1213"
"1454.4","3290","2248","1213"
"1457.6","3290","2248","1213"
"1460.8","3290","2248","1213"
"1464","3290","2248","1213"
"1467.2","3290","2248","1213"
"1470.4","3314","2293","1077"
"1473.6","3314","2293","1077"
"1476.8","3314","2293","1077"
"1480","3314","2293","1077"
"1483.2","3314","2293","1077"
"1486.4","3314","2293","1077"
"1489.6","3314","2293","1077"
"1492.8","3314","2293","1077"
"1496","3314","2293","1077"
"1503","3314","2293","1077"
"1506","3314","2293","1077"
"1509","3314","2293","1077"
"1512","3314","2293","1077"
"1515","3314","2293","1077"
"1518","3314","2293","1077"
"1521","3314","2293","1077"
"1524","3314","2293","1077"
"1527","3314","2293","1077"
