Timer,AX,AY,AZ,GX,GY,GZ,A
"6.6","-1","0","-1","-1","0","-1","0.1875"
"13.2","0","-1","-1","0","-1","-1","0.1875"
"19.8","0","-1","-1","0","-1","-1","0.1875"
"26.4","-2","-1","-1","-2","-1","-1","0.1875"
"33","-2","-1","-1","-2","-1","-1","0.1875"
"39.6","-2","0","-1","-2","0","-1","0.1875"
"46.2","-2","0","-1","-2","0","-1","0.1875"
"52.8","5","1","-1","5","1","-1","0.1875"
"59.4","5","1","-1","5","1","-1","0.1875"
"66","-2","-3","-1","-2","-3","-1","0.1875"
"72.6","-2","-3","-1","-2","-3","-1","0.1875"
"79.2","1","-1","-1","1","-1","-1","0.1875"
"85.8","1","-1","-1","1","-1","-1","0.1875"
"92.4","0","1","-1","0","1","-1","0.1875"
"99","0","1","-1","0","1","-1","0.1875"
"102.85294","-1","0","-1","-1","0","-1","0.1875"
"105.70588","-1","0","-1","-1","0","-1","0.1875"
"108.55882","1","0","-1","1","0","-1","0.1875"
"111.41176","1","0","-1","1","0","-1","0.1875"
"114.26471","0","1","-1","0","1","-1","0.1875"
"117.11765","0","1","-1","0","1","-1","0.1875"
"119.97059","-1","-2","-1","-1","-2","-1","0.1875"
"122.82353","-1","-2","-1","-1","-2","-1","0.1875"
"125.67647","-1","-3","-1","-1","-3","-1","0.1875"
"128.52941","-1","-3","-1","-1","-3","-1","0.1875"
"131.38235","-2","-1","-1","-2","-1","-1","0.1875"
"134.23529","-2","-1","-1","-2","-1","-1","0.1875"
"137.08824","-2","3","-1","-2","3","-1","0.1875"
"139.94118","-2","3","-1","-2","3","-1","0.1875"
"142.79412","0","-1","-1","0","-1","-1","0.1875"
"145.64706","0","-1","-1","0","-1","-1","0.1875"
"148.5","0","-1","-1","0","-1","-1","0.1875"
"151.35294","0","-1","-1","0","-1","-1","0.1875"
"154.20588","-2","2","-1","-2","2","-1","0.1875"
"157.05882","-2","2","-1","-2","2","-1","0.1875"
"159.91176","2","1","-1","2","1","-1","0.1875"
"162.76471","2","1","-1","2","1","-1","0.1875"
"165.61765","1","0","-1","1","0","-1","0.1875"
"168.47059","1","0","-1","1","0","-1","0.1875"
"171.32353","3","-1","-1","3","-1","-1","0.1875"
"174.17647","3","-1","-1","3","-1","-1","0.1875"
"177.02941","0","-2","-1","0","-2","-1","0.1875"
"179.88235","0","-2","-1","0","-2","-1","0.1875"
"182.73529","1","0","-1","1","0","-1","0.1875"
"185.58824","1","0","-1","1","0","-1","0.1875"
"188.44118","0","1","-1","0","1","-1","0.1875"
"191.29412","0","1","-1","0","1","-1","0.1875"
"194.14706","5","-1","-1","5","-1","-1","0.1875"
"197","5","-1","-1","5","-1","-1","0.1875"
"203","0","0","-1","0","0","-1","0.1875"
"206","0","0","-1","0","0","-1","0.1875"
"209","2","-2","-1","2","-2","-1","0.1875"
"212","2","-2","-1","2","-2","-1","0.1875"
"215","-4","4","-1","-4","4","-1","0.1875"
"218","-4","4","-1","-4","4","-1","0.1875"
"221","-2","3","-1","-2","3","-1","0.1875"
"224","-2","3","-1","-2","3","-1","0.1875"
"227","0","-1","-1","0","-1","-1","0.1875"
"230","0","-1","-1","0","-1","-1","0.1875"
"233","1","-3","-1","1","-3","-1","0.1875"
"236","1","-3","-1","1","-3","-1","0.1875"
"239","2","2","-1","2","2","-1","0.1875"
"242","2","2","-1","2","2","-1","0.1875"
"245","-3","1","-1","-3","1","-1","0.1875"
"248","-3","1","-1","-3","1","-1","0.1875"
"251","0","-1","-1","0","-1","-1","0.1875"
"254","0","-1","-1","0","-1","-1","0.1875"
"257","0","1","-1","0","1","-1","0.1875"
"260","0","1","-1","0","1","-1","0.1875"
"263","0","-2","-1","0","-2","-1","0.1875"
"266","0","-2","-1","0","-2","-1","0.1875"
"269","3","-1","-1","3","-1","-1","0.1875"
"272","3","-1","-1","3","-1","-1","0.1875"
"275","-1","2","-1","-1","2","-1","0.1875"
"278","-1","2","-1","-1","2","-1","0.1875"
"281","-3","2","-1","-3","2","-1","0.1875"
"284","-3","2","-1","-3","2","-1","0.1875"
"287","-1","1","-1","-1","1","-1","0.1875"
"290","-1","1","-1","-1","1","-1","0.1875"
"293","-5","1","-1","-5","1","-1","0.1875"
"296","-5","1","-1","-5","1","-1","0.1875"
"302.91176","1","1","-1","1","1","-1","0.1875"
"305.82353","1","1","-1","1","1","-1","0.1875"
"308.73529","-1","0","-1","-1","0","-1","0.1875"
"311.64706","-1","0","-1","-1","0","-1","0.1875"
"314.55882","-4","1","-1","-4","1","-1","0.1875"
"317.47059","-4","1","-1","-4","1","-1","0.1875"
"320.38235","1","-2","-1","1","-2","-1","0.1875"
"323.29412","1","-2","-1","1","-2","-1","0.1875"
"326.20588","0","1","-1","0","1","-1","0.1875"
"329.11765","0","1","-1","0","1","-1","0.1875"
"332.02941","-1","2","-1","-1","2","-1","0.1875"
"334.94118","-1","2","-1","-1","2","-1","0.1875"
"337.85294","5","0","-1","5","0","-1","0.1875"
"340.76471","5","0","-1","5","0","-1","0.1875"
"343.67647","3","1","-1","3","1","-1","0.1875"
"346.58824","3","1","-1","3","1","-1","0.1875"
"349.5","1","-1","-1","1","-1","-1","0.1875"
"352.41176","1","-1","-1","1","-1","-1","0.1875"
"355.32353","1","2","-1","1","2","-1","0.1875"
"358.23529","1","2","-1","1","2","-1","0.1875"
"361.14706","1","0","-1","1","0","-1","0.1875"
"364.05882","1","0","-1","1","0","-1","0.1875"
"366.97059","0","0","-1","0","0","-1","0.1875"
"369.88235","0","0","-1","0","0","-1","0.1875"
"372.79412","1","0","-1","1","0","-1","0.1875"
"375.70588","1","0","-1","1","0","-1","0.1875"
"378.61765","0","0","-1","0","0","-1","0.1875"
"381.52941","0","0","-1","0","0","-1","0.1875"
"384.44118","0","2","-1","0","2","-1","0.1875"
"387.35294","0","2","-1","0","2","-1","0.1875"
"390.26471","3","0","-1","3","0","-1","0.1875"
"393.17647","3","0","-1","3","0","-1","0.1875"
"396.08824","0","-2","-1","0","-2","-1","0.1875"
"399","0","-2","-1","0","-2","-1","0.1875"
"403.26667","-2","0","-1","-2","0","-1","0.1875"
"406.53333","-2","0","-1","-2","0","-1","0.1875"
"409.8","0","1","-1","0","1","-1","0.1875"
"413.06667","0","1","-1","0","1","-1","0.1875"
"416.33333","1","-1","-1","1","-1","-1","0.1875"
"419.6","1","-1","-1","1","-1","-1","0.1875"
"422.86667","-1","-1","-1","-1","-1","-1","0.1875"
"426.13333","-1","-1","-1","-1","-1","-1","0.1875"
"429.4","0","1","-1","0","1","-1","0.1875"
"432.66667","0","1","-1","0","1","-1","0.1875"
"435.93333","0","-1","-1","0","-1","-1","0.1875"
"439.2","0","-1","-1","0","-1","-1","0.1875"
"442.46667","-2","-1","-1","-2","-1","-1","0.1875"
"445.73333","-2","-1","-1","-2","-1","-1","0.1875"
