Timer,AX,AY,AZ,GX,GY,GZ
"1004","10,56","4,56","-28,44","-1,966","-1,092","1,005"
"1004","10,56","4,56","-28,44","-1,966","-2,092","2,005"
"1012","10,56","6,56","-25,44","-1,966","-2,092","2,005"
"1016","10,56","6,56","-25,44","1,034","-1,092","1,005"
"1024","5,56","5,56","-33,44","1,034","-1,092","1,005"
"1024","5,56","5,56","-33,44","-2,966","0,908","1,005"
"1032","11,56","3,56","-27,44","-2,966","0,908","1,005"
"1036","11,56","3,56","-27,44","-3,966","-4,092","0,005"
"1044","8,56","4,56","-30,44","-3,966","-4,092","0,005"
"1045","8,56","4,56","-30,44","-3,966","-1,092","-0,995"
"1053","13,56","2,56","-26,44","-3,966","-1,092","-0,995"
"1057","13,56","2,56","-26,44","-1,966","-3,092","0,005"
"1065","9,56","4,56","-31,44","-1,966","-3,092","0,005"
"1065","9,56","4,56","-31,44","-1,966","-1,092","-0,995"
"1073","14,56","-0,44","-22,44","-1,966","-1,092","-0,995"
"1073","14,56","-0,44","-22,44","-2,966","-2,092","-0,995"
"1081","9,56","5,56","-27,44","-2,966","-2,092","-0,995"
"1086","9,56","5,56","-27,44","-0,966","-1,092","0,005"
"1094","13,56","6,56","-22,44","-0,966","-1,092","0,005"
"1094","13,56","6,56","-22,44","0,034","-0,092","1,005"
"1102","14,56","5,56","-26,44","0,034","-0,092","1,005"
"1106","14,56","5,56","-26,44","-1,966","-2,092","-0,995"
"1114","14,56","2,56","-23,44","-1,966","-2,092","-0,995"
"1114","14,56","2,56","-23,44","-0,966","-0,092","1,005"
"1122","14,56","5,56","-20,44","-0,966","-0,092","1,005"
"1126","14,56","5,56","-20,44","-2,966","1,908","1,005"
"1134","13,56","7,56","-21,44","-2,966","1,908","1,005"
"1134","13,56","7,56","-21,44","0,034","-0,092","2,005"
"1143","14,56","4,56","-22,44","0,034","-0,092","2,005"
"1143","14,56","4,56","-22,44","-3,966","-2,092","-1,995"
"1155","12,56","4,56","-26,44","-3,966","-2,092","-1,995"
"1155","12,56","4,56","-26,44","0,034","-1,092","1,005"
"1163","13,56","5,56","-25,44","0,034","-1,092","1,005"
"1163","13,56","5,56","-25,44","-0,966","-2,092","1,005"
"1171","9,56","4,56","-29,44","-0,966","-2,092","1,005"
"1175","9,56","4,56","-29,44","-0,966","-2,092","-0,995"
"1184","14,56","0,56","-23,44","-0,966","-2,092","-0,995"
"1184","14,56","0,56","-23,44","-2,966","-2,092","0,005"
"1192","10,56","4,56","-25,44","-2,966","-2,092","0,005"
"1196","10,56","4,56","-25,44","2,034","-1,092","0,005"
"1204","14,56","5,56","-23,44","2,034","-1,092","0,005"
"1204","14,56","5,56","-23,44","1,034","-2,092","-1,995"
"1212","12,56","7,56","-21,44","1,034","-2,092","-1,995"
"1212","12,56","7,56","-21,44","4,034","-0,092","0,005"
"1225","13,56","5,56","-22,44","4,034","-0,092","0,005"
"1225","13,56","5,56","-22,44","1,034","-0,092","0,005"
"1233","14,56","4,56","-21,44","1,034","-0,092","0,005"
"1233","14,56","4,56","-21,44","2,034","0,908","-1,995"
"1245","13,56","5,56","-27,44","2,034","0,908","-1,995"
"1245","13,56","5,56","-27,44","1,034","-1,092","-0,995"
"1253","12,56","4,56","-30,44","1,034","-1,092","-0,995"
"1253","12,56","4,56","-30,44","2,034","-2,092","-0,995"
"1261","13,56","3,56","-26,44","2,034","-2,092","-0,995"
"1265","13,56","3,56","-26,44","2,034","-1,092","-1,995"
"1274","14,56","6,56","-20,44","2,034","-1,092","-1,995"
"1274","14,56","6,56","-20,44","0,034","-1,092","-1,995"
"1282","14,56","6,56","-24,44","0,034","-1,092","-1,995"
"1286","14,56","6,56","-24,44","0,034","-1,092","-0,995"
"1294","12,56","4,56","-23,44","0,034","-1,092","-0,995"
"1294","12,56","4,56","-23,44","-0,966","0,908","0,005"
"1302","9,56","5,56","-30,44","-0,966","0,908","0,005"
"1302","9,56","5,56","-30,44","3,034","2,908","-0,995"
"1315","7,56","5,56","-24,44","3,034","2,908","-0,995"
"1315","7,56","5,56","-24,44","4,034","-0,092","1,005"
"1323","15,56","2,56","-21,44","4,034","-0,092","1,005"
"1323","15,56","2,56","-21,44","4,034","0,908","-0,995"
"1335","10,56","4,56","-24,44","4,034","0,908","-0,995"
"1335","10,56","4,56","-24,44","-0,966","-2,092","-1,995"
"1343","10,56","10,56","-30,44","-0,966","-2,092","-1,995"
"1343","10,56","10,56","-30,44","2,034","-2,092","-1,995"
"1352","12,56","2,56","-25,44","2,034","-2,092","-1,995"
"1356","12,56","2,56","-25,44","2,034","0,908","-0,995"
"1364","9,56","4,56","-22,44","2,034","0,908","-0,995"
"1364","9,56","4,56","-22,44","3,034","1,908","0,005"
"1372","13,56","4,56","-26,44","3,034","1,908","0,005"
"1376","13,56","4,56","-26,44","0,034","1,908","-0,995"
"1385","11,56","4,56","-25,44","0,034","1,908","-0,995"
"1385","11,56","4,56","-25,44","4,034","0,908","1,005"
"1393","11,56","9,56","-25,44","4,034","0,908","1,005"
"1393","11,56","9,56","-25,44","4,034","0,908","-0,995"
"1405","11,56","6,56","-23,44","4,034","0,908","-0,995"
"1405","11,56","6,56","-23,44","2,034","-0,092","-0,995"
"1413","13,56","7,56","-25,44","2,034","-0,092","-0,995"
"1413","13,56","7,56","-25,44","3,034","1,908","-0,995"
"1425","11,56","4,56","-28,44","3,034","1,908","-0,995"
"1426","11,56","4,56","-28,44","0,034","-0,092","0,005"
"1434","14,56","4,56","-20,44","0,034","-0,092","0,005"
"1434","14,56","4,56","-20,44","0,034","-1,092","-0,995"
"1442","10,56","5,56","-26,44","0,034","-1,092","-0,995"
"1446","10,56","5,56","-26,44","-0,966","3,908","1,005"
"1454","11,56","3,56","-28,44","-0,966","3,908","1,005"
"1454","11,56","3,56","-28,44","-0,966","2,908","0,005"
"1462","12,56","5,56","-24,44","-0,966","2,908","0,005"
"1466","12,56","5,56","-24,44","2,034","2,908","1,005"
"1475","11,56","9,56","-24,44","2,034","2,908","1,005"
"1475","11,56","9,56","-24,44","-0,966","1,908","2,005"
"1483","12,56","2,56","-27,44","-0,966","1,908","2,005"
"1483","12,56","2,56","-27,44","0,034","2,908","1,005"
"1495","12,56","6,56","-22,44","0,034","2,908","1,005"
"1495","12,56","6,56","-22,44","5,034","2,908","0,005"
"1503","14,56","9,56","-24,44","5,034","2,908","0,005"
"1504","14,56","9,56","-24,44","-1,966","0,908","1,005"
"1516","9,56","1,56","-27,44","-1,966","0,908","1,005"
"1516","9,56","1,56","-27,44","1,034","3,908","0,005"
"1524","14,56","5,56","-20,44","1,034","3,908","0,005"
"1524","14,56","5,56","-20,44","-0,966","3,908","1,005"
"1536","12,56","6,56","-23,44","-0,966","3,908","1,005"
"1536","12,56","6,56","-23,44","-0,966","1,908","-2,995"
"1544","9,56","4,56","-21,44","-0,966","1,908","-2,995"
"1544","9,56","4,56","-21,44","1,034","5,908","-0,995"
"1552","18,56","5,56","-20,44","1,034","5,908","-0,995"
"1556","18,56","5,56","-20,44","-0,966","3,908","2,005"
"1565","10,56","4,56","-33,44","-0,966","3,908","2,005"
