Timer,AX,AY,AZ,GX,GY,GZ
"1005","0,273","0,273","-28,727","-1,224","2,008","0,856"
"1006","0,273","0,273","-28,727","0,776","0,008","1,856"
"1017","2,273","-0,727","-28,727","0,776","0,008","1,856"
"1017","2,273","-0,727","-28,727","-0,224","-0,992","0,856"
"1025","-1,727","0,273","-29,727","-0,224","-0,992","0,856"
"1029","-1,727","0,273","-29,727","-0,224","1,008","-3,144"
"1037","0,273","-0,727","-32,727","-0,224","1,008","-3,144"
"1037","0,273","-0,727","-32,727","0,776","-0,992","0,856"
"1045","-0,727","-1,727","-29,727","0,776","-0,992","0,856"
"1049","-0,727","-1,727","-29,727","0,776","-0,992","0,856"
"1054","-0,727","-1,727","-29,727","0,776","-0,992","0,856"
"1054","-0,727","-1,727","-29,727","-2,224","-0,992","-0,144"
"1066","2,273","1,273","-29,727","-2,224","-0,992","-0,144"
"1070","2,273","1,273","-29,727","-2,224","-0,992","-1,144"
"1078","-1,727","-1,727","-28,727","-2,224","-0,992","-1,144"
"1078","-1,727","-1,727","-28,727","-0,224","0,008","-2,144"
"1086","0,273","-2,727","-31,727","-0,224","0,008","-2,144"
"1086","0,273","-2,727","-31,727","-0,224","-1,992","1,856"
"1099","-0,727","0,273","-30,727","-0,224","-1,992","1,856"
"1099","-0,727","0,273","-30,727","-2,224","0,008","1,856"
"1103","-0,727","0,273","-30,727","-2,224","0,008","1,856"
"1107","-0,727","0,273","-30,727","-2,224","0,008","1,856"
"1115","0,273","-1,727","-28,727","-2,224","0,008","1,856"
"1119","0,273","-1,727","-28,727","-0,224","-1,992","-0,144"
"1127","2,273","1,273","-31,727","-0,224","-1,992","-0,144"
"1127","2,273","1,273","-31,727","1,776","-0,992","-1,144"
"1135","0,273","-0,727","-30,727","1,776","-0,992","-1,144"
"1139","0,273","-0,727","-30,727","1,776","-0,992","-1,144"
"1148","0,273","0,273","-29,727","1,776","-0,992","-1,144"
"1148","0,273","0,273","-29,727","-0,224","0,008","-2,144"
"1156","0,273","0,273","-29,727","-0,224","0,008","-2,144"
"1156","0,273","0,273","-29,727","-2,224","1,008","-2,144"
"1168","0,273","0,273","-28,727","-2,224","1,008","-2,144"
"1168","0,273","0,273","-28,727","-0,224","1,008","-1,144"
"1177","-0,727","-0,727","-31,727","-0,224","1,008","-1,144"
"1177","-0,727","-0,727","-31,727","1,776","3,008","0,856"
"1189","0,273","-0,727","-29,727","1,776","3,008","0,856"
"1189","0,273","-0,727","-29,727","1,776","3,008","-1,144"
"1197","-0,727","-1,727","-28,727","1,776","3,008","-1,144"
"1197","-0,727","-1,727","-28,727","0,776","0,008","-2,144"
"1205","-0,727","-1,727","-28,727","0,776","0,008","-2,144"
"1205","-0,727","-1,727","-28,727","0,776","0,008","-2,144"
"1218","-0,727","-0,727","-28,727","0,776","0,008","-2,144"
"1218","-0,727","-0,727","-28,727","1,776","1,008","-2,144"
"1226","0,273","0,273","-29,727","1,776","1,008","-2,144"
"1229","0,273","0,273","-29,727","0,776","-1,992","-1,144"
"1238","0,273","-0,727","-29,727","0,776","-1,992","-1,144"
"1238","0,273","-0,727","-29,727","1,776","1,008","-1,144"
"1246","-1,727","-2,727","-29,727","1,776","1,008","-1,144"
"1250","-1,727","-2,727","-29,727","-0,224","-0,992","-1,144"
