Timer,AX,AY,AZ,GX,GY,GZ
"1001","-11,402","88,598","-47,402","28,044","-10,003","35,828"
"1001","-11,402","88,598","-47,402","2,044","-5,003","41,828"
"1001","25,598","-42,402","18,598","2,044","-5,003","41,828"
"1001","25,598","-42,402","18,598","-39,956","-7,003","45,828"
"1001","24,598","-54,402","-16,402","-39,956","-7,003","45,828"
"1001","24,598","-54,402","-16,402","-9,956","-5,003","44,828"
"1001","56,598","-7,402","-42,402","-9,956","-5,003","44,828"
"1001","56,598","-7,402","-42,402","27,044","-10,003","41,828"
"1001","109,598","50,598","-6,402","27,044","-10,003","41,828"
"1001","109,598","50,598","-6,402","26,044","0,997","36,828"
"1001","51,598","53,598","3,598","26,044","0,997","36,828"
"1001","51,598","53,598","3,598","3,044","19,997","40,828"
"1001","-6,402","14,598","-29,402","3,044","19,997","40,828"
"1001","-6,402","14,598","-29,402","-22,956","28,997","38,828"
"1001","13,598","-31,402","-23,402","-22,956","28,997","38,828"
"1001","13,598","-31,402","-23,402","-17,956","18,997","30,828"
"1001","-11,402","-3,402","-30,402","-17,956","18,997","30,828"
"1001","-11,402","-3,402","-30,402","15,044","24,997","25,828"
"1002","-53,402","42,598","-50,402","15,044","24,997","25,828"
"1002","-53,402","42,598","-50,402","26,044","21,997","27,828"
"1002","-19,402","56,598","-27,402","26,044","21,997","27,828"
"1002","-19,402","56,598","-27,402","7,044","10,997","25,828"
"1002","22,598","4,598","-25,402","7,044","10,997","25,828"
"1002","22,598","4,598","-25,402","-7,956","5,997","25,828"
"1002","12,598","5,598","-31,402","-7,956","5,997","25,828"
"1002","12,598","5,598","-31,402","-0,956","-0,003","21,828"
"1002","6,598","27,598","-27,402","-0,956","-0,003","21,828"
"1002","6,598","27,598","-27,402","14,044","-2,003","21,828"
"1002","24,598","36,598","-23,402","14,044","-2,003","21,828"
"1002","24,598","36,598","-23,402","6,044","-3,003","21,828"
"1002","61,598","8,598","-19,402","6,044","-3,003","21,828"
"1002","61,598","8,598","-19,402","-5,956","-0,003","25,828"
"1002","66,598","-3,402","-10,402","-5,956","-0,003","25,828"
"1002","66,598","-3,402","-10,402","-2,956","3,997","26,828"
"1002","83,598","4,598","-2,402","-2,956","3,997","26,828"
"1002","83,598","4,598","-2,402","9,044","9,997","27,828"
"1002","62,598","13,598","-2,402","9,044","9,997","27,828"
"1002","62,598","13,598","-2,402","1,044","17,997","32,828"
"1003","35,598","-9,402","-20,402","1,044","17,997","32,828"
"1003","35,598","-9,402","-20,402","-6,956","20,997","38,828"
"1003","9,598","-8,402","-28,402","-6,956","20,997","38,828"
"1003","9,598","-8,402","-28,402","2,044","17,997","38,828"
"1003","-20,402","4,598","-44,402","2,044","17,997","38,828"
"1003","-20,402","4,598","-44,402","5,044","11,997","43,828"
"1003","-20,402","6,598","-35,402","5,044","11,997","43,828"
"1003","-20,402","6,598","-35,402","1,044","1,997","43,828"
"1003","-23,402","-1,402","-25,402","1,044","1,997","43,828"
"1003","-23,402","-1,402","-25,402","-0,956","-2,003","46,828"
"1003","-22,402","-8,402","-39,402","-0,956","-2,003","46,828"
"1003","-22,402","-8,402","-39,402","6,044","-7,003","44,828"
"1003","24,598","33,598","-19,402","6,044","-7,003","44,828"
"1003","24,598","33,598","-19,402","17,044","-17,003","44,828"
"1003","6,598","36,598","-21,402","17,044","-17,003","44,828"
"1003","6,598","36,598","-21,402","5,044","-13,003","45,828"
"1003","25,598","12,598","-12,402","5,044","-13,003","45,828"
"1003","25,598","12,598","-12,402","-10,956","-18,003","46,828"
"1003","32,598","27,598","-8,402","-10,956","-18,003","46,828"
"1003","32,598","27,598","-8,402","2,044","-5,003","46,828"
"1004","34,598","46,598","-15,402","2,044","-5,003","46,828"
"1004","34,598","46,598","-15,402","11,044","-1,003","41,828"
"1004","18,598","34,598","-23,402","11,044","-1,003","41,828"
"1004","18,598","34,598","-23,402","-5,956","0,997","39,828"
"1004","24,598","15,598","-17,402","-5,956","0,997","39,828"
"1004","24,598","15,598","-17,402","-6,956","7,997","39,828"
"1004","-27,402","5,598","-17,402","-6,956","7,997","39,828"
"1004","-27,402","5,598","-17,402","8,044","13,997","26,828"
"1004","-84,402","48,598","-72,402","8,044","13,997","26,828"
"1004","-84,402","48,598","-72,402","15,044","10,997","24,828"
"1004","-5,402","67,598","-30,402","15,044","10,997","24,828"
"1004","-5,402","67,598","-30,402","10,044","-1,003","21,828"
"1004","-39,402","19,598","-25,402","10,044","-1,003","21,828"
"1004","-39,402","19,598","-25,402","-7,956","-1,003","16,828"
"1004","-30,402","51,598","-31,402","-7,956","-1,003","16,828"
"1004","-30,402","51,598","-31,402","4,044","-10,003","13,828"
"1004","-16,402","82,598","-26,402","4,044","-10,003","13,828"
"1004","-16,402","82,598","-26,402","1,044","-13,003","1,828"
"1004","13,598","-52,402","-16,402","1,044","-13,003","1,828"
"1004","13,598","-52,402","-16,402","1,044","-13,003","1,828"
"1005","18,598","-22,402","-2,402","1,044","-13,003","1,828"
"1005","18,598","-22,402","-2,402","-1,956","-8,003","-4,172"
"1005","12,598","62,598","-24,402","-1,956","-8,003","-4,172"
"1005","12,598","62,598","-24,402","37,044","-7,003","-14,172"
"1005","26,598","69,598","-30,402","37,044","-7,003","-14,172"
"1005","26,598","69,598","-30,402","-13,956","-12,003","-16,172"
"1005","54,598","-47,402","-11,402","-13,956","-12,003","-16,172"
"1005","54,598","-47,402","-11,402","-29,956","-9,003","-5,172"
"1005","58,598","5,598","-12,402","-29,956","-9,003","-5,172"
"1005","58,598","5,598","-12,402","-29,956","-9,003","-5,172"
"1005","60,598","43,598","-16,402","-29,956","-9,003","-5,172"
"1005","60,598","43,598","-16,402","14,044","-4,003","-10,172"
"1005","85,598","-3,402","-30,402","14,044","-4,003","-10,172"
"1005","85,598","-3,402","-30,402","-18,956","0,997","2,828"
"1005","118,598","-21,402","-20,402","-18,956","0,997","2,828"
"1005","118,598","-21,402","-20,402","-10,956","4,997","3,828"
"1005","173,598","-2,402","19,598","-10,956","4,997","3,828"
"1005","173,598","-2,402","19,598","15,044","11,997","1,828"
"1005","173,598","-2,402","19,598","15,044","11,997","1,828"
"1005","173,598","-2,402","19,598","15,044","11,997","1,828"
"1006","62,598","-14,402","-39,402","15,044","11,997","1,828"
"1006","62,598","-14,402","-39,402","4,044","33,997","8,828"
"1006","81,598","-10,402","-21,402","4,044","33,997","8,828"
"1006","81,598","-10,402","-21,402","11,044","28,997","7,828"
"1006","86,598","25,598","-11,402","11,044","28,997","7,828"
"1006","86,598","25,598","-11,402","21,044","35,997","2,828"
"1006","4,598","3,598","-35,402","21,044","35,997","2,828"
"1006","4,598","3,598","-35,402","-8,956","37,997","6,828"
"1006","-5,402","-19,402","-44,402","-8,956","37,997","6,828"
"1006","-5,402","-19,402","-44,402","-8,956","37,997","6,828"
"1006","-13,402","4,598","-54,402","-8,956","37,997","6,828"
"1006","-13,402","4,598","-54,402","19,044","15,997","7,828"
"1006","-15,402","-1,402","-41,402","19,044","15,997","7,828"
"1006","-15,402","-1,402","-41,402","3,044","8,997","12,828"
"1006","-9,402","-7,402","-47,402","3,044","8,997","12,828"
"1006","-9,402","-7,402","-47,402","-7,956","0,997","22,828"
"1006","9,598","28,598","-34,402","-7,956","0,997","22,828"
"1006","9,598","28,598","-34,402","25,044","-6,003","15,828"
"1006","0,598","47,598","-31,402","25,044","-6,003","15,828"
"1006","0,598","47,598","-31,402","-4,956","-14,003","17,828"
"1007","64,598","-65,402","19,598","-4,956","-14,003","17,828"
"1007","64,598","-65,402","19,598","-30,956","-14,003","17,828"
"1007","26,598","-41,402","9,598","-30,956","-14,003","17,828"
"1007","26,598","-41,402","9,598","20,044","4,997","8,828"
"1007","-58,402","31,598","-51,402","20,044","4,997","8,828"
"1007","-58,402","31,598","-51,402","47,044","1,997","4,828"
"1007","-29,402","82,598","-30,402","47,044","1,997","4,828"
"1007","-29,402","82,598","-30,402","15,044","-0,003","4,828"
"1007","-56,402","59,598","-42,402","15,044","-0,003","4,828"
"1007","-56,402","59,598","-42,402","-4,956","3,997","4,828"
"1007","-99,402","52,598","-66,402","-4,956","3,997","4,828"
"1007","-99,402","52,598","-66,402","1,044","-1,003","5,828"
"1007","-67,402","46,598","-50,402","1,044","-1,003","5,828"
"1007","-67,402","46,598","-50,402","-8,956","-23,003","10,828"
"1007","-3,402","47,598","-30,402","-8,956","-23,003","10,828"
"1007","-3,402","47,598","-30,402","-9,956","-35,003","6,828"
"1007","62,598","22,598","-14,402","-9,956","-35,003","6,828"
"1007","62,598","22,598","-14,402","-17,956","-37,003","2,828"
"1007","82,598","-24,402","30,598","-17,956","-37,003","2,828"
"1008","82,598","-24,402","30,598","-18,956","-16,003","0,828"
"1008","-28,402","-8,402","-17,402","-18,956","-16,003","0,828"
"1008","-28,402","-8,402","-17,402","1,044","7,997","-6,172"
"1008","-51,402","-3,402","-48,402","1,044","7,997","-6,172"
"1008","-51,402","-3,402","-48,402","3,044","2,997","-10,172"
"1008","-23,402","-19,402","-40,402","3,044","2,997","-10,172"
"1008","-23,402","-19,402","-40,402","-1,956","-5,003","-11,172"
"1008","-36,402","46,598","-25,402","-1,956","-5,003","-11,172"
"1008","-36,402","46,598","-25,402","20,044","-4,003","-9,172"
"1008","-41,402","52,598","-35,402","20,044","-4,003","-9,172"
"1008","-41,402","52,598","-35,402","6,044","-5,003","-8,172"
"1008","1,598","-3,402","-4,402","6,044","-5,003","-8,172"
"1008","1,598","-3,402","-4,402","-27,956","-13,003","-1,172"
"1008","-4,402","-48,402","-21,402","-27,956","-13,003","-1,172"
"1008","-4,402","-48,402","-21,402","-13,956","-9,003","-0,172"
"1008","2,598","17,598","-34,402","-13,956","-9,003","-0,172"
"1008","2,598","17,598","-34,402","26,044","-8,003","-2,172"
"1008","15,598","66,598","-10,402","26,044","-8,003","-2,172"
"1008","15,598","66,598","-10,402","22,044","-8,003","-3,172"
"1008","-15,402","55,598","-17,402","22,044","-8,003","-3,172"
"1009","-15,402","55,598","-17,402","-12,956","-7,003","-0,172"
"1009","10,598","-30,402","-33,402","-12,956","-7,003","-0,172"
"1009","10,598","-30,402","-33,402","-25,956","-8,003","3,828"
"1009","40,598","-1,402","-13,402","-25,956","-8,003","3,828"
"1009","40,598","-1,402","-13,402","17,044","-13,003","2,828"
"1009","-16,402","43,598","-42,402","17,044","-13,003","2,828"
"1009","-16,402","43,598","-42,402","16,044","-7,003","7,828"
"1009","19,598","11,598","-15,402","16,044","-7,003","7,828"
"1009","19,598","11,598","-15,402","-13,956","-11,003","14,828"
"1009","49,598","2,598","-12,402","-13,956","-11,003","14,828"
"1009","49,598","2,598","-12,402","-6,956","-12,003","16,828"
