Timer,X,Y,Z
"996","8692","7671","182"
"996","8692","7671","182"
"996","8692","7671","182"
"996","8692","7671","182"
"996","8692","7671","182"
"996","8692","7671","182"
"996","8692","7671","182"
"996","8692","7671","182"
"996","8692","7671","182"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1049","8714","7666","193"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1107","8725","7585","267"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1160","8752","7635","247"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1217","8727","7532","323"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1270","8723","7567","348"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1336","8713","7565","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1389","8718","7568","312"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1446","8686","7549","277"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1500","8741","7656","214"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1553","8746","7644","232"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1610","8699","7624","253"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1668","8750","7566","341"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1725","8720","7640","216"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1778","8722","7572","280"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1836","8691","7605","199"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1893","8680","7615","229"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"1946","8682","7600","202"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2004","8721","7655","174"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2057","8668","7644","114"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2114","8702","7591","276"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2171","8693","7583","245"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2225","8699","7559","261"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2282","8688","7584","264"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2335","8674","7606","226"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2389","8640","7661","100"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2446","8698","7607","234"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2503","8661","7523","304"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2561","8600","7581","251"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2614","8596","7659","189"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
"2671","8626","7660","206"
