Timer,X,Y,Z
"9.6","3398","6783","710"
"19.2","3398","6783","710"
"28.8","3398","6783","710"
"38.4","3398","6783","710"
"48","3398","6783","710"
"57.6","3398","6783","710"
"67.2","3398","6783","710"
"76.8","3398","6783","710"
"86.4","3398","6783","710"
"96","3398","6783","710"
"104.7","3398","6783","710"
"109.4","3398","6783","710"
"114.1","3398","6783","710"
"118.8","3398","6783","710"
"123.5","3398","6783","710"
"128.2","3398","6783","710"
"132.9","3398","6783","710"
"137.6","3398","6783","710"
"142.3","3398","6783","710"
"147","3398","6783","710"
"151.7","3398","6783","710"
"156.4","3398","6783","710"
"161.1","3594","6654","1061"
"165.8","3594","6654","1061"
"170.5","3594","6654","1061"
"175.2","3594","6654","1061"
"179.9","3594","6654","1061"
"184.6","3594","6654","1061"
"189.3","3594","6654","1061"
"194","3594","6654","1061"
"204.85","3594","6654","1061"
"209.7","3594","6654","1061"
"214.55","3594","6654","1061"
"219.4","3594","6654","1061"
"224.25","3519","6559","4090"
"229.1","3519","6559","4090"
"233.95","3519","6559","4090"
"238.8","3519","6559","4090"
"243.65","3519","6559","4090"
"248.5","3519","6559","4090"
"253.35","3519","6559","4090"
"258.2","3519","6559","4090"
"263.05","3519","6559","4090"
"267.9","3519","6559","4090"
"272.75","3519","6559","4090"
"277.6","3532","6626","1110"
"282.45","3532","6626","1110"
"287.3","3532","6626","1110"
"292.15","3532","6626","1110"
"297","3532","6626","1110"
"304.75","3532","6626","1110"
"309.5","3532","6626","1110"
"314.25","3532","6626","1110"
"319","3532","6626","1110"
"323.75","3532","6626","1110"
"328.5","3532","6626","1110"
"333.25","3593","6627","1157"
"338","3593","6627","1157"
"342.75","3593","6627","1157"
"347.5","3593","6627","1157"
"352.25","3593","6627","1157"
"357","3593","6627","1157"
"361.75","3593","6627","1157"
"366.5","3593","6627","1157"
"371.25","3593","6627","1157"
"376","3593","6627","1157"
"380.75","3593","6627","1157"
"385.5","3593","6627","1157"
"390.25","3561","6648","1048"
"395","3561","6648","1048"
"404.85","3561","6648","1048"
"409.7","3561","6648","1048"
"414.55","3561","6648","1048"
"419.4","3561","6648","1048"
"424.25","3561","6648","1048"
"429.1","3561","6648","1048"
"433.95","3561","6648","1048"
"438.8","3561","6648","1048"
"443.65","3561","6648","1048"
"448.5","3561","6648","1048"
"453.35","3574","6598","1406"
"458.2","3574","6598","1406"
"463.05","3574","6598","1406"
"467.9","3574","6598","1406"
"472.75","3574","6598","1406"
"477.6","3574","6598","1406"
"482.45","3574","6598","1406"
"487.3","3574","6598","1406"
"492.15","3574","6598","1406"
"497","3574","6598","1406"
"504.8","3565","6657","1096"
"509.6","3565","6657","1096"
"514.4","3565","6657","1096"
"519.2","3565","6657","1096"
"524","3565","6657","1096"
"528.8","3565","6657","1096"
"533.6","3565","6657","1096"
"538.4","3565","6657","1096"
"543.2","3565","6657","1096"
"548","3565","6657","1096"
"552.8","3565","6657","1096"
"557.6","3565","6657","1096"
"562.4","3564","6614","1101"
"567.2","3564","6614","1101"
"572","3564","6614","1101"
"576.8","3564","6614","1101"
"581.6","3564","6614","1101"
"586.4","3564","6614","1101"
"591.2","3564","6614","1101"
"596","3564","6614","1101"
"604.9","3564","6614","1101"
"609.8","3564","6614","1101"
"614.7","3540","6643","1075"
"619.6","3540","6643","1075"
"624.5","3540","6643","1075"
"629.4","3540","6643","1075"
"634.3","3540","6643","1075"
"639.2","3540","6643","1075"
"644.1","3540","6643","1075"
"649","3540","6643","1075"
"653.9","3540","6643","1075"
"658.8","3540","6643","1075"
"663.7","3540","6643","1075"
"668.6","3540","6643","1075"
"673.5","3562","6628","1238"
"678.4","3562","6628","1238"
"683.3","3562","6628","1238"
"688.2","3562","6628","1238"
"693.1","3562","6628","1238"
"698","3562","6628","1238"
"704.85","3562","6628","1238"
"709.7","3562","6628","1238"
"714.55","3562","6628","1238"
"719.4","3562","6628","1238"
"724.25","3553","6621","1140"
"729.1","3553","6621","1140"
"733.95","3553","6621","1140"
"738.8","3553","6621","1140"
"743.65","3553","6621","1140"
"748.5","3553","6621","1140"
"753.35","3553","6621","1140"
"758.2","3553","6621","1140"
"763.05","3553","6621","1140"
"767.9","3553","6621","1140"
"772.75","3553","6621","1140"
"777.6","3553","6621","1140"
"782.45","3596","6608","1102"
"787.3","3596","6608","1102"
"792.15","3596","6608","1102"
"797","3596","6608","1102"
"804.75","3596","6608","1102"
"809.5","3596","6608","1102"
"814.25","3596","6608","1102"
"819","3596","6608","1102"
"823.75","3596","6608","1102"
"828.5","3596","6608","1102"
"833.25","3551","6617","1124"
"838","3551","6617","1124"
"842.75","3551","6617","1124"
"847.5","3551","6617","1124"
"852.25","3551","6617","1124"
"857","3551","6617","1124"
"861.75","3551","6617","1124"
"866.5","3551","6617","1124"
"871.25","3551","6617","1124"
"876","3551","6617","1124"
"880.75","3599","6606","1320"
"885.5","3599","6606","1320"
"890.25","3599","6606","1320"
"895","3599","6606","1320"
"904.85","3599","6606","1320"
"909.7","3599","6606","1320"
"914.55","3599","6606","1320"
"919.4","3599","6606","1320"
"924.25","3599","6606","1320"
"929.1","3599","6606","1320"
"933.95","3599","6606","1320"
"938.8","3599","6606","1320"
"943.65","3553","6611","1069"
"948.5","3553","6611","1069"
"953.35","3553","6611","1069"
"958.2","3553","6611","1069"
"963.05","3553","6611","1069"
"967.9","3553","6611","1069"
"972.75","3553","6611","1069"
"977.6","3553","6611","1069"
"982.45","3553","6611","1069"
"987.3","3553","6611","1069"
"992.15","3553","6611","1069"
"997","3553","6611","1069"
"1004.8","3553","6611","1069"
"1009.6","3553","6611","1069"
"1014.4","3553","6611","1069"
"1019.2","3553","6611","1069"
"1024","3553","6611","1069"
"1028.8","3553","6611","1069"
"1033.6","3553","6611","1069"
"1038.4","3553","6611","1069"
"1043.2","3559","6641","1089"
"1048","3559","6641","1089"
"1052.8","3559","6641","1089"
"1057.6","3559","6641","1089"
"1062.4","3559","6641","1089"
"1067.2","3559","6641","1089"
"1072","3559","6641","1089"
"1076.8","3559","6641","1089"
"1081.6","3559","6641","1089"
"1086.4","3559","6641","1089"
"1091.2","3559","6641","1089"
"1096","3559","6641","1089"
"1104.9","3561","6508","4315"
"1109.8","3561","6508","4315"
"1114.7","3561","6508","4315"
"1119.6","3561","6508","4315"
"1124.5","3561","6508","4315"
"1129.4","3561","6508","4315"
"1134.3","3561","6508","4315"
"1139.2","3561","6508","4315"
"1144.1","3561","6508","4315"
"1149","3561","6508","4315"
"1153.9","3561","6508","4315"
"1158.8","3561","6508","4315"
"1163.7","3523","6643","1061"
"1168.6","3523","6643","1061"
"1173.5","3523","6643","1061"
"1178.4","3523","6643","1061"
"1183.3","3523","6643","1061"
"1188.2","3523","6643","1061"
"1193.1","3523","6643","1061"
"1198","3523","6643","1061"
"1204.85","3523","6643","1061"
"1209.7","3523","6643","1061"
"1214.55","3523","6643","1061"
"1219.4","3562","6618","1114"
"1224.25","3562","6618","1114"
"1229.1","3562","6618","1114"
"1233.95","3562","6618","1114"
"1238.8","3562","6618","1114"
"1243.65","3562","6618","1114"
"1248.5","3562","6618","1114"
"1253.35","3562","6618","1114"
"1258.2","3562","6618","1114"
"1263.05","3562","6618","1114"
"1267.9","3562","6618","1114"
"1272.75","3562","6618","1114"
"1277.6","3562","6618","1114"
"1282.45","3530","6691","970"
"1287.3","3530","6691","970"
"1292.15","3530","6691","970"
"1297","3530","6691","970"
"1304.95","3530","6691","970"
"1309.9","3530","6691","970"
"1314.85","3530","6691","970"
"1319.8","3530","6691","970"
"1324.75","3530","6691","970"
"1329.7","3530","6691","970"
"1334.65","3530","6691","970"
"1339.6","3530","6691","970"
"1344.55","3546","6648","983"
"1349.5","3546","6648","983"
"1354.45","3546","6648","983"
"1359.4","3546","6648","983"
"1364.35","3546","6648","983"
"1369.3","3546","6648","983"
"1374.25","3546","6648","983"
"1379.2","3546","6648","983"
"1384.15","3546","6648","983"
"1389.1","3546","6648","983"
"1394.05","3546","6648","983"
"1399","3546","6648","983"
"1404.85","3555","6629","1023"
"1409.7","3555","6629","1023"
"1414.55","3555","6629","1023"
"1419.4","3555","6629","1023"
"1424.25","3555","6629","1023"
"1429.1","3555","6629","1023"
"1433.95","3555","6629","1023"
"1438.8","3555","6629","1023"
"1443.65","3555","6629","1023"
"1448.5","3555","6629","1023"
"1453.35","3555","6629","1023"
"1458.2","3555","6629","1023"
"1463.05","3508","6713","983"
"1467.9","3508","6713","983"
"1472.75","3508","6713","983"
"1477.6","3508","6713","983"
"1482.45","3508","6713","983"
"1487.3","3508","6713","983"
"1492.15","3508","6713","983"
"1497","3508","6713","983"
"1504.95","3508","6713","983"
"1509.9","3508","6713","983"
"1514.85","3508","6713","983"
"1519.8","3508","6713","983"
"1524.75","3521","6660","1033"
"1529.7","3521","6660","1033"
"1534.65","3521","6660","1033"
"1539.6","3521","6660","1033"
"1544.55","3521","6660","1033"
"1549.5","3521","6660","1033"
"1554.45","3521","6660","1033"
"1559.4","3521","6660","1033"
"1564.35","3521","6660","1033"
"1569.3","3521","6660","1033"
"1574.25","3521","6660","1033"
"1579.2","3521","6660","1033"
"1584.15","3554","6655","1036"
"1589.1","3554","6655","1036"
"1594.05","3554","6655","1036"
"1599","3554","6655","1036"
"1604.9","3554","6655","1036"
"1609.8","3554","6655","1036"
"1614.7","3554","6655","1036"
"1619.6","3554","6655","1036"
"1624.5","3554","6655","1036"
"1629.4","3554","6655","1036"
"1634.3","3554","6655","1036"
"1639.2","3554","6655","1036"
"1644.1","3540","6689","1077"
"1649","3540","6689","1077"
"1653.9","3540","6689","1077"
"1658.8","3540","6689","1077"
"1663.7","3540","6689","1077"
"1668.6","3540","6689","1077"
"1673.5","3540","6689","1077"
"1678.4","3540","6689","1077"
"1683.3","3540","6689","1077"
"1688.2","3540","6689","1077"
"1693.1","3555","6621","1116"
"1698","3555","6621","1116"
"1705.05263","3555","6621","1116"
"1710.10526","3555","6621","1116"
"1715.15789","3555","6621","1116"
"1720.21053","3555","6621","1116"
"1725.26316","3555","6621","1116"
"1730.31579","3555","6621","1116"
"1735.36842","3555","6621","1116"
"1740.42105","3555","6621","1116"
"1745.47368","3555","6621","1116"
"1750.52632","3555","6621","1116"
"1755.57895","3537","6624","1114"
"1760.63158","3537","6624","1114"
"1765.68421","3537","6624","1114"
"1770.73684","3537","6624","1114"
"1775.78947","3537","6624","1114"
"1780.84211","3537","6624","1114"
"1785.89474","3537","6624","1114"
"1790.94737","3537","6624","1114"
"1796","3537","6624","1114"
"1800","3537","6624","1114"
"1804.95","3537","6624","1114"
"1809.9","3537","6624","1114"
"1814.85","3546","6713","1004"
"1819.8","3546","6713","1004"
"1824.75","3546","6713","1004"
