Timer,AX,AY,AZ,GX,GY,GZ,A
"0.21109","-1","-6","-25","-2","2","1","267"
"0.42217","0","-6","-24","-2","2","1","267"
"0.63326","0","-6","-24","-2","1","1","267"
"0.84435","1","1","-27","-2","1","1","267"
"1.05544","1","1","-27","4","0","1","267"
"1.26652","0","-5","-25","4","0","1","267"
"1.47761","0","-5","-25","0","1","1","267"
"1.6887","0","-3","-26","0","1","1","267"
"1.89979","0","-3","-26","0","-1","1","267"
"2.11087","2","5","-24","0","-1","1","267"
"2.32196","2","5","-24","2","-2","1","267"
"2.53305","4","-1","-26","2","-2","1","267"
"2.74414","4","-1","-26","2","2","1","267"
"2.95522","-1","0","-26","2","2","1","267"
"3.16631","-1","0","-26","-2","0","1","267"
"3.3774","0","-3","-24","-2","0","1","267"
"3.58849","0","-3","-24","-2","2","1","267"
"3.79957","0","3","-27","-2","2","1","267"
"4.01066","0","3","-27","-3","-1","1","267"
"4.22175","0","0","-25","-3","-1","1","267"
"4.43284","0","0","-25","-3","-2","1","267"
"4.64392","0","0","-26","-3","-2","1","267"
"4.85501","0","0","-26","-3","0","1","267"
"5.0661","-1","0","-27","-3","0","1","267"
"5.27719","-1","0","-27","-2","0","1","267"
"5.48827","0","-1","-23","-2","0","1","267"
"5.69936","0","-1","-23","1","-1","1","267"
"5.91045","0","2","-26","1","-1","1","267"
"6.12154","0","2","-26","3","1","1","267"
"6.33262","1","-2","-24","3","1","1","267"
"6.54371","1","-2","-24","2","2","1","267"
"6.7548","2","0","-23","2","2","1","267"
"6.96588","2","0","-23","0","3","1","267"
"7.17697","0","1","-25","0","3","1","267"
"7.38806","0","1","-25","3","-1","1","267"
"7.59915","0","-7","-25","3","-1","1","267"
"7.81023","0","-7","-25","0","-3","1","267"
"8.02132","2","-2","-26","0","-3","1","267"
"8.23241","2","-2","-26","5","-1","1","267"
"8.4435","1","0","-23","5","-1","1","267"
"8.65458","1","0","-23","1","0","1","267"
"8.86567","0","-2","-24","1","0","1","267"
"9.07676","0","-2","-24","-4","1","1","267"
"9.28785","2","1","-23","-4","1","1","267"
"9.49893","2","1","-23","0","0","1","267"
"9.71002","1","0","-26","0","0","1","267"
"9.92111","1","0","-26","1","-2","1","267"
"10.1322","0","1","-26","1","-2","1","267"
"10.34328","0","1","-26","1","0","1","267"
"10.55437","2","-2","-24","1","0","1","267"
"10.76546","2","-2","-24","1","0","1","267"
"10.97655","2","-8","-26","1","0","1","267"
"11.18763","2","-8","-26","-1","1","1","267"
"11.39872","1","12","-29","-1","1","1","267"
"11.60981","1","12","-29","4","2","1","267"
"11.8209","0","-4","-26","4","2","1","267"
"12.03198","0","-4","-26","-4","0","1","267"
"12.24307","-1","-11","-23","-4","0","1","267"
"12.45416","-1","-11","-23","-3","4","1","267"
"12.66525","-1","6","-25","-3","4","1","267"
"12.87633","-1","6","-25","-3","4","1","267"
"13.08742","0","-1","-24","-3","4","1","267"
"13.29851","0","-1","-24","2","1","1","267"
"13.50959","-3","-2","-27","2","1","1","267"
"13.72068","-3","-2","-27","-2","2","1","267"
"13.93177","0","7","-24","-2","2","1","267"
"14.14286","0","7","-24","-3","-1","1","267"
"14.35394","1","-5","-23","-3","-1","1","267"
"14.56503","1","-5","-23","-7","0","1","267"
"14.77612","0","3","-26","-7","0","1","267"
"14.98721","0","3","-26","-7","0","1","267"
"15.19829","0","1","-25","-7","0","1","267"
"15.40938","0","1","-25","-1","0","1","267"
"15.62047","4","-3","-22","-1","0","1","267"
"15.83156","4","-3","-22","0","0","1","267"
"16.04264","3","3","-25","0","0","1","267"
"16.25373","3","3","-25","3","2","1","267"
"16.46482","4","1","-21","3","2","1","267"
"16.67591","4","1","-21","0","0","1","267"
"16.88699","4","1","-21","0","0","1","267"
"17.09808","4","1","-21","0","0","1","267"
"17.30917","1","0","-24","0","0","1","267"
"17.52026","1","0","-24","2","-1","1","267"
"17.73134","4","-1","-24","2","-1","1","267"
"17.94243","4","-1","-24","-2","-1","1","267"
"18.15352","1","-1","-24","-2","-1","1","267"
"18.36461","1","-1","-24","-1","0","1","267"
"18.57569","0","1","-25","-1","0","1","267"
"18.78678","0","1","-25","4","-1","1","267"
"18.99787","0","1","-25","4","-1","1","267"
"19.20896","0","1","-25","4","-1","1","267"
"19.42004","-2","-3","-27","4","-1","1","267"
"19.63113","-2","-3","-27","0","1","1","267"
"19.84222","0","3","-25","0","1","1","267"
"20.0533","0","3","-25","3","0","1","267"
"20.26439","-4","-2","-24","3","0","1","267"
"20.47548","-4","-2","-24","-1","-1","1","267"
"20.68657","-4","-1","-27","-1","-1","1","267"
"20.89765","-4","-1","-27","0","-2","1","267"
"21.10874","-4","-1","-27","0","-2","1","267"
"21.31983","-4","-1","-27","0","-2","1","267"
"21.53092","-1","4","-26","0","-2","1","267"
"21.742","-1","4","-26","0","-1","1","267"
"21.95309","-1","0","-27","0","-1","1","267"
"22.16418","-1","0","-27","0","-1","1","267"
"22.37527","2","-4","-26","0","-1","1","267"
"22.58635","2","-4","-26","0","-1","1","267"
"22.79744","2","1","-25","0","-1","1","267"
"23.00853","2","1","-25","0","-1","1","267"
"23.21962","2","1","-25","0","-1","1","267"
"23.4307","2","1","-25","2","2","1","267"
"23.64179","1","-3","-22","2","2","1","267"
"23.85288","1","-3","-22","-2","0","1","267"
"24.06397","0","-3","-26","-2","0","1","267"
"24.27505","0","-3","-26","0","-1","1","267"
"24.48614","2","-1","-25","0","-1","1","267"
"24.69723","2","-1","-25","0","1","1","267"
"24.90832","0","0","-24","0","1","1","267"
"25.1194","0","0","-24","1","-2","1","267"
"25.33049","0","0","-24","1","-2","1","267"
"25.54158","0","0","-24","2","0","1","267"
"25.75267","0","1","-26","2","0","1","267"
"25.96375","0","1","-26","2","-1","1","267"
"26.17484","3","0","-26","2","-1","1","267"
"26.38593","3","0","-26","2","-1","1","267"
"26.59701","0","0","-27","2","-1","1","267"
"26.8081","0","0","-27","3","-2","1","267"
"27.01919","-1","3","-28","3","-2","1","267"
"27.23028","-1","3","-28","0","0","1","267"
"27.44136","-1","3","-28","0","0","1","267"
"27.65245","-1","3","-28","4","-1","1","267"
"27.86354","-4","-2","-26","4","-1","1","267"
"28.07463","-4","-2","-26","1","1","1","267"
"28.28571","3","-1","-25","1","1","1","267"
"28.4968","3","-1","-25","1","0","1","267"
"28.70789","4","6","-24","1","0","1","267"
"28.91898","4","6","-24","1","1","1","267"
"29.13006","0","-1","-25","1","1","1","267"
"29.34115","0","-1","-25","2","2","1","267"
"29.55224","0","-1","-25","2","2","1","267"
"29.76333","0","-1","-25","0","2","1","267"
"29.97441","-1","-1","-25","0","2","1","267"
"30.1855","-1","-1","-25","0","0","1","267"
"30.39659","3","-1","-28","0","0","1","267"
"30.60768","3","-1","-28","0","-1","1","267"
"30.81876","4","1","-24","0","-1","1","267"
"31.02985","4","1","-24","-1","1","1","267"
"31.24094","0","0","-26","-1","1","1","267"
"31.45203","0","0","-26","-2","0","1","267"
"31.66311","0","0","-26","-2","0","1","267"
"31.8742","0","0","-26","-4","1","1","267"
"32.08529","0","-4","-23","-4","1","1","267"
"32.29638","0","-4","-23","-3","2","1","267"
"32.50746","0","-2","-26","-3","2","1","267"
"32.71855","0","-2","-26","-4","-1","1","267"
"32.92964","0","-1","-26","-4","-1","1","267"
"33.14072","0","-1","-26","-2","-1","1","267"
"33.35181","0","-1","-27","-2","-1","1","267"
"33.5629","0","-1","-27","1","-1","1","267"
"33.77399","0","-1","-27","1","-1","1","267"
"33.98507","0","-1","-27","0","-2","1","267"
"34.19616","2","-1","-25","0","-2","1","267"
"34.40725","2","-1","-25","0","-1","1","267"
"34.61834","-1","-2","-27","0","-1","1","267"
"34.82942","-1","-2","-27","-1","0","1","267"
"35.04051","0","2","-27","-1","0","1","267"
"35.2516","0","2","-27","0","-1","1","267"
"35.46269","0","1","-25","0","-1","1","267"
"35.67377","0","1","-25","4","-2","1","267"
"35.88486","0","1","-25","4","-2","1","267"
"36.09595","0","1","-25","-1","-1","1","267"
"36.30704","-2","-1","-26","-1","-1","1","267"
"36.51812","-2","-1","-26","-2","-2","1","267"
"36.72921","1","1","-25","-2","-2","1","267"
"36.9403","1","1","-25","3","-1","1","267"
"37.15139","-1","-4","-27","3","-1","1","267"
"37.36247","-1","-4","-27","-4","1","1","267"
"37.57356","3","3","-22","-4","1","1","267"
"37.78465","3","3","-22","-3","-2","1","267"
"37.99574","3","3","-22","-3","-2","1","267"
"38.20682","3","3","-22","3","0","1","267"
"38.41791","0","-2","-26","3","0","1","267"
"38.629","0","-2","-26","1","-2","1","267"
"38.84009","1","0","-27","1","-2","1","267"
"39.05117","1","0","-27","-2","-1","1","267"
"39.26226","2","-2","-24","-2","-1","1","267"
"39.47335","2","-2","-24","0","0","1","267"
"39.68443","2","-3","-26","0","0","1","267"
"39.89552","2","-3","-26","-2","1","1","267"
"40.10661","2","-3","-26","-2","1","1","267"
"40.3177","2","-3","-26","-2","1","1","267"
"40.52878","0","-1","-24","-2","1","1","267"
"40.73987","0","-1","-24","-2","0","1","267"
"40.95096","-1","-1","-29","-2","0","1","267"
"41.16205","-1","-1","-29","2","1","1","267"
"41.37313","1","1","-25","2","1","1","267"
"41.58422","1","1","-25","1","0","1","267"
"41.79531","2","0","-25","1","0","1","267"
"42.0064","2","0","-25","0","-1","1","267"
"42.21748","2","0","-25","0","-1","1","267"
"42.42857","2","0","-25","2","1","1","267"
"42.63966","0","1","-26","2","1","1","267"
"42.85075","0","1","-26","-3","1","1","267"
"43.06183","1","0","-26","-3","1","1","267"
"43.27292","1","0","-26","-3","1","1","267"
"43.48401","1","6","-25","-3","1","1","267"
"43.6951","1","6","-25","1","0","1","267"
"43.90618","0","0","-25","1","0","1","267"
"44.11727","0","0","-25","0","0","1","267"
"44.32836","0","0","-25","0","0","1","267"
"44.53945","0","0","-25","-3","-1","1","267"
"44.75053","-1","3","-25","-3","-1","1","267"
"44.96162","-1","3","-25","0","-4","1","267"
"45.17271","2","2","-26","0","-4","1","267"
"45.3838","2","2","-26","2","-2","1","267"
"45.59488","0","0","-27","2","-2","1","267"
"45.80597","0","0","-27","3","-1","1","267"
"46.01706","-1","-5","-24","3","-1","1","267"
"46.22814","-1","-5","-24","0","0","1","267"
"46.43923","-1","-5","-24","0","0","1","267"
"46.65032","-1","-5","-24","-3","-2","1","267"
"46.86141","1","-1","-26","-3","-2","1","267"
"47.07249","1","-1","-26","-2","-3","1","267"
"47.28358","0","1","-24","-2","-3","1","267"
"47.49467","0","1","-24","5","-1","1","267"
"47.70576","0","-3","-24","5","-1","1","267"
"47.91684","0","-3","-24","2","-2","1","267"
"48.12793","-1","-4","-26","2","-2","1","267"
"48.33902","-1","-4","-26","-6","0","1","267"
"48.55011","-1","-4","-26","-6","0","1","267"
"48.76119","-1","-4","-26","-7","1","1","267"
"48.97228","4","-1","-22","-7","1","1","267"
"49.18337","4","-1","-22","-3","-1","1","267"
"49.39446","-3","-2","-26","-3","-1","1","267"
"49.60554","-3","-2","-26","2","0","1","267"
"49.81663","3","3","-25","2","0","1","267"
"50.02772","3","3","-25","-2","1","1","267"
"50.23881","2","0","-26","-2","1","1","267"
"50.44989","2","0","-26","3","1","1","267"
"50.66098","2","0","-26","3","1","1","267"
"50.87207","2","0","-26","1","0","1","267"
"51.08316","-3","-5","-24","1","0","1","267"
"51.29424","-3","-5","-24","-4","-2","1","267"
"51.50533","0","10","-32","-4","-2","1","267"
"51.71642","0","10","-32","0","2","1","267"
"51.92751","5","-2","-20","0","2","1","267"
"52.13859","5","-2","-20","5","-1","1","267"
"52.34968","-1","-2","-26","5","-1","1","267"
"52.56077","-1","-2","-26","-4","-1","1","267"
"52.77186","-1","-2","-26","-4","-1","1","267"
"52.98294","-1","-2","-26","-6","3","1","267"
"53.19403","18","0","-19","-6","3","1","267"
"53.40512","18","0","-19","-5","0","1","267"
"53.6162","-21","-6","-36","-5","0","1","267"
"53.82729","-21","-6","-36","7","2","1","267"
"54.03838","28","16","-2","7","2","1","267"
"54.24947","28","16","-2","7","-2","1","267"
"54.46055","3","-29","-24","7","-2","1","267"
"54.67164","3","-29","-24","-1","-3","1","267"
"54.88273","3","-29","-24","-1","-3","1","267"
"55.09382","3","-29","-24","-7","5","1","267"
"55.3049","6","8","-21","-7","5","1","267"
"55.51599","6","8","-21","-10","-6","1","267"
"55.72708","6","8","-21","-10","-6","1","267"
"55.93817","6","8","-21","0","1","1","267"
"56.14925","3","9","-27","0","1","1","267"
"56.36034","3","9","-27","0","0","1","267"
"56.57143","-6","-4","-32","0","0","1","267"
"56.78252","-6","-4","-32","1","-4","1","267"
"56.9936","-6","-4","-32","1","-4","1","267"
"57.20469","-6","-4","-32","1","-1","1","267"
"57.41578","11","5","-19","1","-1","1","267"
"57.62687","11","5","-19","0","-2","1","267"
"57.83795","-6","16","-37","0","-2","1","267"
"58.04904","-6","16","-37","3","-1","1","267"
"58.26013","6","2","-18","3","-1","1","267"
"58.47122","6","2","-18","4","1","1","267"
"58.6823","10","-8","-15","4","1","1","267"
"58.89339","10","-8","-15","4","0","1","267"
"59.10448","10","-8","-15","4","0","1","267"
"59.31557","10","-8","-15","2","2","1","267"
"59.52665","26","26","-12","2","2","1","267"
"59.73774","26","26","-12","5","3","1","267"
"59.94883","26","26","-12","5","3","1","267"
"60.15991","26","26","-12","9","-3","1","267"
"60.371","-4","2","-32","9","-3","1","267"
"60.58209","-4","2","-32","1","1","1","267"
"60.79318","6","15","-21","1","1","1","267"
"61.00426","6","15","-21","-9","-3","1","267"
"61.21535","6","15","-21","-9","-3","1","267"
"61.42644","6","15","-21","5","2","1","267"
"61.63753","2","14","-33","5","2","1","267"
"61.84861","2","14","-33","-6","1","1","267"
"62.0597","1","0","-26","-6","1","1","267"
"62.27079","1","0","-26","-4","0","1","267"
"62.48188","0","-13","-24","-4","0","1","267"
"62.69296","0","-13","-24","3","0","1","267"
"62.90405","0","-3","-24","3","0","1","267"
"63.11514","0","-3","-24","-6","0","1","267"
"63.32623","0","-3","-24","-6","0","1","267"
"63.53731","0","-3","-24","1","1","1","267"
"63.7484","-2","-4","-28","1","1","1","267"
"63.95949","-2","-4","-28","7","0","1","267"
"64.17058","-2","-4","-28","7","0","1","267"
"64.38166","-2","-4","-28","1","-2","1","267"
"64.59275","0","-2","-24","1","-2","1","267"
"64.80384","0","-2","-24","0","0","1","267"
"65.01493","4","5","-24","0","0","1","267"
"65.22601","4","5","-24","4","-1","1","267"
"65.4371","4","5","-24","4","-1","1","267"
