Timer,AX,AY,AZ,GX,GY,GZ,A
"0.22","-1","0","-24","2","1","1","84.25"
"0.44","-3","0","-25","2","1","1","84.25"
"0.66","-3","0","-25","2","2","1","84.25"
"0.88","-3","0","-25","2","2","1","84.25"
"1.1","-3","0","-25","3","0","1","84.25"
"1.32","0","0","-24","3","0","1","84.25"
"1.54","0","0","-24","2","-2","1","84.25"
"1.76","0","0","-25","2","-2","1","84.25"
"1.98","0","0","-25","0","-2","1","84.25"
"2.2","-4","-1","-25","0","-2","1","84.25"
"2.42","-4","-1","-25","-1","3","1","84.25"
"2.64","0","0","-20","-1","3","1","84.25"
"2.86","0","0","-20","1","1","1","84.25"
"3.08","0","0","-20","1","1","1","84.25"
"3.3","0","0","-20","2","-1","1","84.25"
"3.52","0","0","-23","2","-1","1","84.25"
"3.74","0","0","-23","5","0","1","84.25"
"3.96","0","0","-23","5","0","1","84.25"
"4.18","0","0","-23","0","0","1","84.25"
"4.4","2","1","-25","0","0","1","84.25"
"4.62","2","1","-25","-1","1","1","84.25"
"4.84","1","-2","-23","-1","1","1","84.25"
"5.06","1","-2","-23","3","-1","1","84.25"
"5.28","1","-2","-23","3","-1","1","84.25"
"5.5","1","-2","-23","3","0","1","84.25"
"5.72","-2","0","-24","3","0","1","84.25"
"5.94","-2","0","-24","0","0","1","84.25"
"6.16","0","0","-25","0","0","1","84.25"
"6.38","0","0","-25","3","1","1","84.25"
"6.6","0","1","-23","3","1","1","84.25"
"6.82","0","1","-23","-2","0","1","84.25"
"7.04","-2","0","-25","-2","0","1","84.25"
"7.26","-2","0","-25","0","1","1","84.25"
"7.48","-2","0","-25","0","1","1","84.25"
"7.7","-2","0","-25","1","-1","1","84.25"
"7.92","0","0","-22","1","-1","1","84.25"
"8.14","0","0","-22","2","0","1","84.25"
"8.36","0","0","-22","2","0","1","84.25"
"8.58","0","0","-22","4","0","1","84.25"
"8.8","-1","2","-26","4","0","1","84.25"
"9.02","-1","2","-26","0","0","1","84.25"
"9.24","-2","-1","-24","0","0","1","84.25"
"9.46","-2","-1","-24","2","0","1","84.25"
"9.68","-2","-1","-24","2","0","1","84.25"
"9.9","-2","-1","-24","1","-3","1","84.25"
"10.12","0","2","-25","1","-3","1","84.25"
"10.34","0","2","-25","-1","0","1","84.25"
"10.56","-1","1","-28","-1","0","1","84.25"
"10.78","-1","1","-28","2","1","1","84.25"
"11","-2","0","-23","2","1","1","84.25"
"11.22","-2","0","-23","3","-4","1","84.25"
"11.44","0","0","-24","3","-4","1","84.25"
"11.66","0","0","-24","1","0","1","84.25"
"11.88","0","0","-24","1","0","1","84.25"
"12.1","0","0","-24","-1","-2","1","84.25"
"12.32","-1","1","-24","-1","-2","1","84.25"
"12.54","-1","1","-24","-1","0","1","84.25"
"12.76","-1","1","-24","-1","0","1","84.25"
"12.98","-1","1","-24","-1","2","1","84.25"
"13.2","0","-1","-26","-1","2","1","84.25"
"13.42","0","-1","-26","1","-1","1","84.25"
"13.64","0","-1","-23","1","-1","1","84.25"
"13.86","0","-1","-23","-5","0","1","84.25"
"14.08","0","-1","-23","-5","0","1","84.25"
"14.3","0","-1","-23","0","-1","1","84.25"
"14.52","-2","0","-25","0","-1","1","84.25"
"14.74","-2","0","-25","-1","1","1","84.25"
"14.96","0","-1","-26","-1","1","1","84.25"
"15.18","0","-1","-26","-1","0","1","84.25"
"15.4","1","1","-23","-1","0","1","84.25"
"15.62","1","1","-23","-6","-1","1","84.25"
"15.84","0","1","-24","-6","-1","1","84.25"
"16.06","0","1","-24","1","3","1","84.25"
"16.28","0","1","-24","1","3","1","84.25"
"16.5","0","1","-24","1","0","1","84.25"
"16.72","0","0","-21","1","0","1","84.25"
"16.94","0","0","-21","-1","-1","1","84.25"
"17.16","0","0","-21","-1","-1","1","84.25"
"17.38","0","0","-21","-3","1","1","84.25"
"17.6","0","0","-25","-3","1","1","84.25"
"17.82","0","0","-25","-2","2","1","84.25"
"18.04","0","0","-24","-2","2","1","84.25"
"18.26","0","0","-24","-2","1","1","84.25"
"18.48","0","0","-24","-2","1","1","84.25"
"18.7","0","0","-24","-1","0","1","84.25"
"18.92","0","-1","-23","-1","0","1","84.25"
"19.14","0","-1","-23","-1","3","1","84.25"
"19.36","-1","0","-25","-1","3","1","84.25"
"19.58","-1","0","-25","2","0","1","84.25"
"19.8","0","3","-26","2","0","1","84.25"
"20.02","0","3","-26","0","-1","1","84.25"
"20.24","-256","0","-24","0","-1","1","84.25"
"20.46","-256","0","-24","-2","0","1","84.25"
"20.68","-1","0","-24","-2","0","1","84.25"
"20.9","-1","0","-24","2","-4","1","84.25"
"21.12","0","0","-23","2","-4","1","84.25"
"21.34","0","0","-23","2","1","1","84.25"
"21.56","0","0","-23","2","1","1","84.25"
"21.78","0","0","-23","-3","-1","1","84.25"
"22","0","0","-26","-3","-1","1","84.25"
"22.22","0","0","-26","0","0","1","84.25"
"22.44","-2","-1","-23","0","0","1","84.25"
"22.66","-2","-1","-23","-1","1","1","84.25"
"22.88","-2","-1","-23","-1","1","1","84.25"
"23.1","-2","-1","-23","-1","-1","1","84.25"
"23.32","0","0","-24","-1","-1","1","84.25"
"23.54","0","0","-24","-2","0","1","84.25"
"23.76","0","1","-24","-2","0","1","84.25"
"23.98","0","1","-24","-2","0","1","84.25"
"24.2","-2","0","-27","-2","0","1","84.25"
"24.42","-2","0","-27","-2","-1","1","84.25"
"24.64","-1","1","-24","-2","-1","1","84.25"
"24.86","-1","1","-24","1","1","1","84.25"
"25.08","-3","-1","-25","1","1","1","84.25"
"25.3","-3","-1","-25","1","1","1","84.25"
"25.52","3","0","-25","1","1","1","84.25"
"25.74","3","0","-25","1","-2","1","84.25"
"25.96","1","1","-25","1","-2","1","84.25"
"26.18","1","1","-25","1","-3","1","84.25"
"26.4","-4","-1","-25","1","-3","1","84.25"
"26.62","-4","-1","-25","0","-1","1","84.25"
"26.84","-1","1","-25","0","-1","1","84.25"
"27.06","-1","1","-25","-2","-1","1","84.25"
"27.28","2","0","-25","-2","-1","1","84.25"
"27.5","2","0","-25","-2","-2","1","84.25"
"27.72","-1","0","-25","-2","-2","1","84.25"
"27.94","-1","0","-25","-2","-3","1","84.25"
"28.16","-1","0","-24","-2","-3","1","84.25"
"28.38","-1","0","-24","-2","1","1","84.25"
"28.6","-1","0","-25","-2","1","1","84.25"
"28.82","-1","0","-25","-4","1","1","84.25"
"29.04","1","3","-21","-4","1","1","84.25"
"29.26","1","3","-21","-4","-2","1","84.25"
"29.48","0","0","-23","-4","-2","1","84.25"
"29.7","0","0","-23","3","0","1","84.25"
"29.92","-2","0","-27","3","0","1","84.25"
"30.14","-2","0","-27","0","1","1","84.25"
"30.36","-1","-2","-22","0","1","1","84.25"
"30.58","-1","-2","-22","-1","3","1","84.25"
"30.8","0","0","-24","-1","3","1","84.25"
"31.02","0","0","-24","-4","3","1","84.25"
"31.24","0","0","-24","-4","3","1","84.25"
"31.46","0","0","-24","0","-1","1","84.25"
"31.68","-1","-2","-26","0","-1","1","84.25"
"31.9","-1","-2","-26","2","1","1","84.25"
"32.12","-2","-1","-24","2","1","1","84.25"
"32.34","-2","-1","-24","0","0","1","84.25"
"32.56","0","0","-22","0","0","1","84.25"
"32.78","0","0","-22","-2","-1","1","84.25"
"33","0","0","-23","-2","-1","1","84.25"
"33.22","0","0","-23","-1","-1","1","84.25"
"33.44","-2","0","-25","-1","-1","1","84.25"
"33.66","-2","0","-25","1","0","1","84.25"
"33.88","-2","0","-22","1","0","1","84.25"
"34.1","-2","0","-22","0","-1","1","84.25"
"34.32","-1","0","-25","0","-1","1","84.25"
"34.54","-1","0","-25","2","3","1","84.25"
"34.76","2","1","-24","2","3","1","84.25"
"34.98","2","1","-24","2","-2","1","84.25"
"35.2","-1","0","-23","2","-2","1","84.25"
"35.42","-1","0","-23","0","1","1","84.25"
"35.64","-2","0","-25","0","1","1","84.25"
"35.86","-2","0","-25","2","2","1","84.25"
"36.08","0","0","-25","2","2","1","84.25"
"36.3","0","0","-25","-3","0","1","84.25"
"36.52","0","0","-21","-3","0","1","84.25"
"36.74","0","0","-21","2","-1","1","84.25"
"36.96","0","0","-24","2","-1","1","84.25"
"37.18","0","0","-24","0","-2","1","84.25"
"37.4","-2","0","-25","0","-2","1","84.25"
"37.62","-2","0","-25","4","0","1","84.25"
"37.84","0","0","-22","4","0","1","84.25"
"38.06","0","0","-22","0","2","1","84.25"
"38.28","0","0","-26","0","2","1","84.25"
"38.5","0","0","-26","-4","-1","1","84.25"
"38.72","0","0","-20","-4","-1","1","84.25"
"38.94","0","0","-20","-5","-1","1","84.25"
"39.16","-1","0","-26","-5","-1","1","84.25"
"39.38","-1","0","-26","0","-1","1","84.25"
"39.6","0","0","-27","0","-1","1","84.25"
"39.82","0","0","-27","2","2","1","84.25"
"40.04","-1","0","-23","2","2","1","84.25"
"40.26","-1","0","-23","1","0","1","84.25"
"40.48","-2","0","-21","1","0","1","84.25"
"40.7","-2","0","-21","-1","0","1","84.25"
"40.92","-3","0","-25","-1","0","1","84.25"
"41.14","-3","0","-25","-1","0","1","84.25"
"41.36","-1","0","-24","-1","0","1","84.25"
"41.58","-1","0","-24","0","1","1","84.25"
"41.8","-2","-1","-25","0","1","1","84.25"
"42.02","-2","-1","-25","3","-2","1","84.25"
"42.24","0","0","-24","3","-2","1","84.25"
"42.46","0","0","-24","0","-1","1","84.25"
"42.68","-1","0","-26","0","-1","1","84.25"
"42.9","-1","0","-26","-1","-2","1","84.25"
"43.12","0","-1","-23","-1","-2","1","84.25"
"43.34","0","-1","-23","-3","-2","1","84.25"
"43.56","-1","0","-26","-3","-2","1","84.25"
"43.78","-1","0","-26","1","-3","1","84.25"
"44","-4","0","-25","1","-3","1","84.25"
"44.22","-4","0","-25","2","0","1","84.25"
"44.44","0","0","-25","2","0","1","84.25"
"44.66","0","0","-25","2","0","1","84.25"
"44.88","3","0","-25","2","0","1","84.25"
"45.1","3","0","-25","-2","1","1","84.25"
"45.32","0","0","-26","-2","1","1","84.25"
"45.54","0","0","-26","0","0","1","84.25"
"45.76","-3","0","-21","0","0","1","84.25"
"45.98","-3","0","-21","-1","-2","1","84.25"
"46.2","0","0","-23","-1","-2","1","84.25"
"46.42","0","0","-23","-1","1","1","84.25"
"46.64","0","0","-24","-1","1","1","84.25"
