Timer,X,Y,Z
"0.12437","8937","7779","713"
"0.24874","8937","7779","713"
"0.37312","8937","7779","713"
"0.49749","8937","7779","713"
"0.62186","8937","7779","713"
"0.74623","8937","7779","713"
"0.8706","8937","7779","713"
"0.99497","8937","7779","713"
"1.11935","8937","7779","713"
"1.24372","8937","7779","713"
"1.36809","8937","7779","713"
"1.49246","8937","7779","713"
"1.61683","8937","7779","713"
"1.74121","8937","7779","713"
"1.86558","8937","7779","713"
"1.98995","8937","7779","713"
"2.11432","8937","7779","713"
"2.23869","8937","7779","713"
"2.36307","8937","7779","713"
"2.48744","8937","7779","713"
"2.61181","8937","7779","713"
"2.73618","8937","7779","713"
"2.86055","8937","7779","713"
"2.98492","8937","7779","713"
"3.1093","8937","7779","713"
"3.23367","8937","7779","713"
"3.35804","8937","7779","713"
"3.48241","8937","7779","713"
"3.60678","8937","7779","713"
"3.73116","8937","7779","713"
"3.85553","8937","7779","713"
"3.9799","8937","7779","713"
"4.10427","8937","7779","713"
"4.22864","8937","7779","713"
"4.35302","8937","7779","713"
"4.47739","8937","7779","713"
"4.60176","8937","7779","713"
"4.72613","8937","7779","713"
"4.8505","8937","7779","713"
"4.97487","8937","7779","713"
"5.09925","8937","7779","713"
"5.22362","8937","7779","713"
"5.34799","8937","7779","713"
"5.47236","8937","7779","713"
"5.59673","8937","7779","713"
"5.72111","8937","7779","713"
"5.84548","8937","7779","713"
"5.96985","8937","7779","713"
"6.09422","8937","7779","713"
"6.21859","8937","7779","713"
"6.34296","8937","7779","713"
"6.46734","8937","7779","713"
"6.59171","8937","7779","713"
"6.71608","8937","7779","713"
"6.84045","8937","7779","713"
"6.96482","8937","7779","713"
"7.0892","8937","7779","713"
"7.21357","8937","7779","713"
"7.33794","8937","7779","713"
"7.46231","8937","7779","713"
"7.58668","8937","7779","713"
"7.71106","8937","7779","713"
"7.83543","8937","7779","713"
"7.9598","8937","7779","713"
"8.08417","8937","7779","713"
"8.20854","8937","7779","713"
"8.33291","8937","7779","713"
"8.45729","8937","7779","713"
"8.58166","8937","7779","713"
"8.70603","8937","7779","713"
"8.8304","8937","7779","713"
"8.95477","8937","7779","713"
"9.07915","8937","7779","713"
"9.20352","8937","7779","713"
"9.32789","8937","7779","713"
"9.45226","8937","7779","713"
"9.57663","8937","7779","713"
"9.70101","8937","7779","713"
"9.82538","8937","7779","713"
"9.94975","8937","7779","713"
"10.07412","8937","7779","713"
"10.19849","8937","7779","713"
"10.32286","8937","7779","713"
"10.44724","8937","7779","713"
"10.57161","8937","7779","713"
"10.69598","8937","7779","713"
"10.82035","8937","7779","713"
"10.94472","8937","7779","713"
"11.0691","8937","7779","713"
"11.19347","8937","7779","713"
"11.31784","8937","7779","713"
"11.44221","8937","7779","713"
"11.56658","8937","7779","713"
"11.69095","8937","7779","713"
"11.81533","8937","7779","713"
"11.9397","8937","7779","713"
"12.06407","8937","7779","713"
"12.18844","8937","7779","713"
"12.31281","8937","7779","713"
"12.43719","8937","7779","713"
"12.56156","8937","7779","713"
"12.68593","8937","7779","713"
"12.8103","8937","7779","713"
"12.93467","8937","7779","713"
"13.05905","8937","7779","713"
"13.18342","8937","7779","713"
"13.30779","8937","7779","713"
"13.43216","8937","7779","713"
"13.55653","8937","7779","713"
"13.6809","8937","7779","713"
"13.80528","8937","7779","713"
"13.92965","8937","7779","713"
"14.05402","8937","7779","713"
"14.17839","8937","7779","713"
"14.30276","8937","7779","713"
"14.42714","8937","7779","713"
"14.55151","8937","7779","713"
"14.67588","8937","7779","713"
"14.80025","8937","7779","713"
"14.92462","8937","7779","713"
"15.04899","8937","7779","713"
"15.17337","8937","7779","713"
"15.29774","8937","7779","713"
"15.42211","8937","7779","713"
"15.54648","8937","7779","713"
