Timer,X,Y,Z
"4.7","3319","4705","1200"
"9.4","3319","4705","1200"
"14.1","3319","4705","1200"
"18.8","3319","4705","1200"
"23.5","3319","4705","1200"
"28.2","3319","4705","1200"
"32.9","3319","4705","1200"
"37.6","3319","4705","1200"
"42.3","3319","4705","1200"
"47","3319","4705","1200"
"51.7","3319","4705","1200"
"56.4","3319","4705","1200"
"61.1","3319","4705","1200"
"65.8","3319","4705","1200"
"70.5","3338","4741","1065"
"75.2","3338","4741","1065"
"79.9","3338","4741","1065"
"84.6","3338","4741","1065"
"89.3","3338","4741","1065"
"94","3338","4741","1065"
"104.65","3338","4741","1065"
"109.3","3338","4741","1065"
"113.95","3338","4741","1065"
"118.6","3338","4741","1065"
"123.25","3293","4746","1122"
"127.9","3293","4746","1122"
"132.55","3293","4746","1122"
"137.2","3293","4746","1122"
"141.85","3293","4746","1122"
"146.5","3293","4746","1122"
"151.15","3293","4746","1122"
"155.8","3293","4746","1122"
"160.45","3293","4746","1122"
"165.1","3293","4746","1122"
"169.75","3293","4746","1122"
"174.4","3293","4746","1122"
"179.05","3326","4733","1189"
"183.7","3326","4733","1189"
"188.35","3326","4733","1189"
"193","3326","4733","1189"
"204.75","3326","4733","1189"
"209.5","3326","4733","1189"
"214.25","3326","4733","1189"
"219","3326","4733","1189"
"223.75","3326","4733","1189"
"228.5","3326","4733","1189"
"233.25","3326","4733","1189"
"238","3326","4733","1189"
"242.75","3326","4733","1189"
"247.5","3328","4752","1076"
"252.25","3328","4752","1076"
"257","3328","4752","1076"
"261.75","3328","4752","1076"
"266.5","3328","4752","1076"
"271.25","3328","4752","1076"
"276","3328","4752","1076"
"280.75","3328","4752","1076"
"285.5","3328","4752","1076"
"290.25","3328","4752","1076"
"295","3328","4752","1076"
"304.7","3330","4763","1044"
"309.4","3330","4763","1044"
"314.1","3330","4763","1044"
"318.8","3330","4763","1044"
"323.5","3330","4763","1044"
"328.2","3330","4763","1044"
"332.9","3330","4763","1044"
"337.6","3330","4763","1044"
"342.3","3330","4763","1044"
"347","3330","4763","1044"
"351.7","3330","4763","1044"
"356.4","3330","4763","1044"
"361.1","3339","4719","999"
"365.8","3339","4719","999"
"370.5","3339","4719","999"
"375.2","3339","4719","999"
"379.9","3339","4719","999"
"384.6","3339","4719","999"
"389.3","3339","4719","999"
"394","3339","4719","999"
"404.8","3339","4719","999"
"409.6","3339","4719","999"
"414.4","3339","4719","999"
"419.2","3339","4719","999"
"424","3339","4719","999"
"428.8","3319","4736","1093"
"433.6","3319","4736","1093"
"438.4","3319","4736","1093"
"443.2","3319","4736","1093"
"448","3319","4736","1093"
"452.8","3319","4736","1093"
"457.6","3319","4736","1093"
"462.4","3319","4736","1093"
"467.2","3319","4736","1093"
"472","3319","4736","1093"
"476.8","3319","4736","1093"
"481.6","3319","4736","1093"
"486.4","3319","4736","1093"
"491.2","3342","4739","1071"
"496","3342","4739","1071"
"504.75","3342","4739","1071"
"509.5","3342","4739","1071"
"514.25","3342","4739","1071"
"519","3342","4739","1071"
"523.75","3342","4739","1071"
"528.5","3342","4739","1071"
"533.25","3342","4739","1071"
"538","3342","4739","1071"
"542.75","3361","4732","1066"
"547.5","3361","4732","1066"
"552.25","3361","4732","1066"
"557","3361","4732","1066"
"561.75","3361","4732","1066"
"566.5","3361","4732","1066"
"571.25","3361","4732","1066"
"576","3361","4732","1066"
"580.75","3361","4732","1066"
"585.5","3361","4732","1066"
"590.25","3361","4732","1066"
"595","3361","4732","1066"
"604.85","3361","4732","1066"
"609.7","3349","4742","1133"
"614.55","3349","4742","1133"
"619.4","3349","4742","1133"
"624.25","3349","4742","1133"
"629.1","3349","4742","1133"
"633.95","3349","4742","1133"
"638.8","3349","4742","1133"
"643.65","3349","4742","1133"
"648.5","3349","4742","1133"
"653.35","3349","4742","1133"
"658.2","3349","4742","1133"
"663.05","3349","4742","1133"
"667.9","3349","4742","1133"
"672.75","3319","4714","1124"
"677.6","3319","4714","1124"
"682.45","3319","4714","1124"
"687.3","3319","4714","1124"
"692.15","3319","4714","1124"
"697","3319","4714","1124"
"704.75","3319","4714","1124"
"709.5","3319","4714","1124"
"714.25","3319","4714","1124"
"719","3319","4714","1124"
"723.75","3331","4740","1159"
"728.5","3331","4740","1159"
"733.25","3331","4740","1159"
"738","3331","4740","1159"
"742.75","3331","4740","1159"
"747.5","3331","4740","1159"
"752.25","3331","4740","1159"
"757","3331","4740","1159"
"761.75","3331","4740","1159"
"766.5","3331","4740","1159"
"771.25","3331","4740","1159"
"776","3331","4740","1159"
"780.75","3331","4740","1159"
"785.5","3258","4708","1080"
"790.25","3258","4708","1080"
"795","3258","4708","1080"
"804.85","3258","4708","1080"
"809.7","3258","4708","1080"
"814.55","3258","4708","1080"
"819.4","3258","4708","1080"
"824.25","3258","4708","1080"
"829.1","3258","4708","1080"
"833.95","3258","4708","1080"
"838.8","3258","4708","1080"
"843.65","3258","4708","1080"
"848.5","3258","4708","1080"
"853.35","3321","4718","1073"
"858.2","3321","4718","1073"
"863.05","3321","4718","1073"
"867.9","3321","4718","1073"
"872.75","3321","4718","1073"
"877.6","3321","4718","1073"
"882.45","3321","4718","1073"
"887.3","3321","4718","1073"
"892.15","3321","4718","1073"
"897","3321","4718","1073"
"904.8","3348","4731","1064"
"909.6","3348","4731","1064"
"914.4","3348","4731","1064"
"919.2","3348","4731","1064"
"924","3348","4731","1064"
"928.8","3348","4731","1064"
"933.6","3348","4731","1064"
"938.4","3348","4731","1064"
"943.2","3348","4731","1064"
"948","3348","4731","1064"
"952.8","3348","4731","1064"
"957.6","3348","4731","1064"
"962.4","3348","4731","1064"
"967.2","3310","4720","1060"
"972","3310","4720","1060"
"976.8","3310","4720","1060"
"981.6","3310","4720","1060"
