Timer,X,Y,Z
"6.125","3511","6679","1062"
"12.25","3511","6679","1062"
"18.375","3511","6679","1062"
"24.5","3511","6679","1062"
"30.625","3511","6679","1062"
"36.75","3511","6679","1062"
"42.875","3511","6679","1062"
"49","3511","6679","1062"
"55.125","3511","6679","1062"
"61.25","3511","6679","1062"
"67.375","3511","6679","1062"
"73.5","3511","6679","1062"
"79.625","3528","6662","1090"
"85.75","3528","6662","1090"
"91.875","3528","6662","1090"
"98","3528","6662","1090"
"105.16667","3528","6662","1090"
"110.33333","3528","6662","1090"
"115.5","3528","6662","1090"
"120.66667","3528","6662","1090"
"125.83333","3528","6662","1090"
"131","3528","6662","1090"
"136.16667","3528","6662","1090"
"141.33333","3528","6662","1090"
"146.5","3520","6687","1099"
"151.66667","3520","6687","1099"
"156.83333","3520","6687","1099"
"162","3520","6687","1099"
"167.16667","3520","6687","1099"
"172.33333","3520","6687","1099"
"177.5","3520","6687","1099"
"182.66667","3520","6687","1099"
"187.83333","3520","6687","1099"
"193","3520","6687","1099"
"200","3520","6687","1099"
"204.71429","3520","6687","1099"
"209.42857","3488","6672","1072"
"214.14286","3488","6672","1072"
"218.85714","3488","6672","1072"
"223.57143","3488","6672","1072"
"228.28571","3488","6672","1072"
"233","3488","6672","1072"
"237.71429","3488","6672","1072"
"242.42857","3488","6672","1072"
"247.14286","3488","6672","1072"
"251.85714","3488","6672","1072"
"256.57143","3488","6672","1072"
"261.28571","3488","6672","1072"
"266","3577","6650","1135"
"270.71429","3577","6650","1135"
"275.42857","3577","6650","1135"
"280.14286","3577","6650","1135"
"284.85714","3577","6650","1135"
"289.57143","3577","6650","1135"
"294.28571","3577","6650","1135"
"299","3577","6650","1135"
"305.10526","3577","6650","1135"
"310.21053","3577","6650","1135"
"315.31579","3577","6650","1135"
"320.42105","3577","6650","1135"
"325.52632","3545","6655","1086"
"330.63158","3545","6655","1086"
"335.73684","3545","6655","1086"
"340.84211","3545","6655","1086"
"345.94737","3545","6655","1086"
"351.05263","3545","6655","1086"
"356.15789","3545","6655","1086"
"361.26316","3545","6655","1086"
"366.36842","3545","6655","1086"
"371.47368","3545","6655","1086"
"376.57895","3545","6655","1086"
"381.68421","3545","6655","1086"
"386.78947","3489","6678","1034"
"391.89474","3489","6678","1034"
"397","3489","6678","1034"
"405","3489","6678","1034"
"410","3489","6678","1034"
"415","3489","6678","1034"
"420","3489","6678","1034"
"425","3489","6678","1034"
"430","3489","6678","1034"
"435","3489","6678","1034"
"440","3489","6678","1034"
"445","3489","6678","1034"
"450","3528","6696","1110"
"455","3528","6696","1110"
"460","3528","6696","1110"
"465","3528","6696","1110"
"470","3528","6696","1110"
"475","3528","6696","1110"
"480","3528","6696","1110"
"485","3528","6696","1110"
"490","3528","6696","1110"
"495","3528","6696","1110"
"500","3528","6696","1110"
"500","3528","6696","1110"
"504.9","3501","6686","1047"
"509.8","3501","6686","1047"
"514.7","3501","6686","1047"
"519.6","3501","6686","1047"
"524.5","3501","6686","1047"
"529.4","3501","6686","1047"
"534.3","3501","6686","1047"
"539.2","3501","6686","1047"
"544.1","3501","6686","1047"
"549","3501","6686","1047"
"553.9","3501","6686","1047"
"558.8","3501","6686","1047"
"563.7","3509","6671","1067"
"568.6","3509","6671","1067"
"573.5","3509","6671","1067"
"578.4","3509","6671","1067"
"583.3","3509","6671","1067"
"588.2","3509","6671","1067"
"593.1","3509","6671","1067"
"598","3509","6671","1067"
"605.05263","3509","6671","1067"
"610.10526","3509","6671","1067"
"615.15789","3509","6671","1067"
"620.21053","3509","6671","1067"
"625.26316","3524","6684","1010"
"630.31579","3524","6684","1010"
"635.36842","3524","6684","1010"
"640.42105","3524","6684","1010"
"645.47368","3524","6684","1010"
"650.52632","3524","6684","1010"
"655.57895","3524","6684","1010"
"660.63158","3524","6684","1010"
"665.68421","3524","6684","1010"
"670.73684","3524","6684","1010"
"675.78947","3524","6684","1010"
"680.84211","3524","6684","1010"
"685.89474","3545","6693","1024"
"690.94737","3545","6693","1024"
"696","3545","6693","1024"
"700","3545","6693","1024"
"704.9","3545","6693","1024"
"709.8","3545","6693","1024"
"714.7","3545","6693","1024"
"719.6","3545","6693","1024"
"724.5","3545","6693","1024"
"729.4","3545","6693","1024"
"734.3","3545","6693","1024"
"739.2","3545","6693","1024"
"744.1","3508","6700","1094"
"749","3508","6700","1094"
"753.9","3508","6700","1094"
"758.8","3508","6700","1094"
"763.7","3508","6700","1094"
"768.6","3508","6700","1094"
"773.5","3508","6700","1094"
"778.4","3508","6700","1094"
"783.3","3508","6700","1094"
"788.2","3508","6700","1094"
"793.1","3508","6700","1094"
"798","3508","6700","1094"
"804.85","3527","6701","976"
"809.7","3527","6701","976"
"814.55","3527","6701","976"
"819.4","3527","6701","976"
"824.25","3527","6701","976"
"829.1","3527","6701","976"
"833.95","3527","6701","976"
"838.8","3527","6701","976"
"843.65","3527","6701","976"
"848.5","3527","6701","976"
"853.35","3527","6701","976"
"858.2","3527","6701","976"
"863.05","3541","6685","1038"
"867.9","3541","6685","1038"
"872.75","3541","6685","1038"
"877.6","3541","6685","1038"
"882.45","3541","6685","1038"
"887.3","3541","6685","1038"
"892.15","3541","6685","1038"
"897","3541","6685","1038"
"904.95","3541","6685","1038"
"909.9","3541","6685","1038"
"914.85","3541","6685","1038"
"919.8","3541","6685","1038"
"924.75","3541","6685","1038"
"929.7","3539","6674","943"
"934.65","3539","6674","943"
"939.6","3539","6674","943"
"944.55","3539","6674","943"
"949.5","3539","6674","943"
"954.45","3539","6674","943"
"959.4","3539","6674","943"
"964.35","3539","6674","943"
"969.3","3539","6674","943"
"974.25","3539","6674","943"
"979.2","3539","6674","943"
"984.15","3535","6673","989"
"989.1","3535","6673","989"
"994.05","3535","6673","989"
"999","3535","6673","989"
"1004.9","3535","6673","989"
"1009.8","3535","6673","989"
"1014.7","3535","6673","989"
"1019.6","3535","6673","989"
"1024.5","3535","6673","989"
"1029.4","3535","6673","989"
"1034.3","3535","6673","989"
"1039.2","3535","6673","989"
"1044.1","3500","6666","1044"
"1049","3500","6666","1044"
"1053.9","3500","6666","1044"
"1058.8","3500","6666","1044"
"1063.7","3500","6666","1044"
"1068.6","3500","6666","1044"
"1073.5","3500","6666","1044"
"1078.4","3500","6666","1044"
"1083.3","3500","6666","1044"
"1088.2","3500","6666","1044"
"1093.1","3500","6666","1044"
"1098","3500","6666","1044"
"1105.05263","3500","6666","1044"
"1110.10526","3513","6676","1102"
"1115.15789","3513","6676","1102"
"1120.21053","3513","6676","1102"
"1125.26316","3513","6676","1102"
"1130.31579","3513","6676","1102"
"1135.36842","3513","6676","1102"
"1140.42105","3513","6676","1102"
"1145.47368","3513","6676","1102"
"1150.52632","3513","6676","1102"
"1155.57895","3513","6676","1102"
"1160.63158","3513","6676","1102"
"1165.68421","3513","6676","1102"
"1170.73684","3490","6683","1034"
"1175.78947","3490","6683","1034"
"1180.84211","3490","6683","1034"
"1185.89474","3490","6683","1034"
"1190.94737","3490","6683","1034"
"1196","3490","6683","1034"
"1200","3490","6683","1034"
"1204.9","3490","6683","1034"
"1209.8","3490","6683","1034"
"1214.7","3490","6683","1034"
"1219.6","3490","6683","1034"
"1224.5","3482","6675","1058"
"1229.4","3482","6675","1058"
"1234.3","3482","6675","1058"
