Timer,X,Y,Z
"0.11579","3363","2656","712"
"0.23158","3363","2656","712"
"0.34737","3363","2656","712"
"0.46316","3363","2656","712"
"0.57895","3363","2656","712"
"0.69474","3363","2656","712"
"0.81053","3363","2656","712"
"0.92632","3363","2656","712"
"1.04211","3363","2656","712"
"1.15789","3363","2656","712"
"1.27368","3363","2656","712"
"1.38947","3363","2656","712"
"1.50526","3363","2656","712"
"1.62105","3363","2656","712"
"1.73684","3363","2656","712"
"1.85263","3363","2656","712"
"1.96842","3363","2656","712"
"2.08421","3363","2656","712"
"2.2","3363","2656","712"
"2.31579","3363","2656","712"
"2.43158","3363","2656","712"
"2.54737","3363","2656","712"
"2.66316","3363","2656","712"
"2.77895","3363","2656","712"
"2.89474","3363","2656","712"
"3.01053","3363","2656","712"
"3.12632","3363","2656","712"
"3.24211","3363","2656","712"
"3.35789","3363","2656","712"
"3.47368","3363","2656","712"
"3.58947","3363","2656","712"
"3.70526","3363","2656","712"
"3.82105","3363","2656","712"
"3.93684","3363","2656","712"
"4.05263","3363","2656","712"
"4.16842","3363","2656","712"
"4.28421","3363","2656","712"
"4.4","3363","2656","712"
"4.51579","3363","2656","712"
"4.63158","3363","2656","712"
"4.74737","3363","2656","712"
"4.86316","3363","2656","712"
"4.97895","3363","2656","712"
"5.09474","3363","2656","712"
"5.21053","3363","2656","712"
"5.32632","3363","2656","712"
"5.44211","3363","2656","712"
"5.55789","3363","2656","712"
"5.67368","3363","2656","712"
"5.78947","3363","2656","712"
"5.90526","3363","2656","712"
"6.02105","3363","2656","712"
"6.13684","3363","2656","712"
"6.25263","3363","2656","712"
"6.36842","3363","2656","712"
"6.48421","3363","2656","712"
"6.6","3363","2656","712"
"6.71579","3363","2656","712"
"6.83158","3363","2656","712"
"6.94737","3363","2656","712"
"7.06316","3363","2656","712"
"7.17895","3363","2656","712"
"7.29474","3363","2656","712"
"7.41053","3363","2656","712"
"7.52632","3363","2656","712"
"7.64211","3363","2656","712"
"7.75789","3363","2656","712"
"7.87368","3363","2656","712"
"7.98947","3363","2656","712"
"8.10526","3363","2656","712"
"8.22105","3363","2656","712"
"8.33684","3363","2656","712"
"8.45263","3363","2656","712"
"8.56842","3363","2656","712"
"8.68421","3363","2656","712"
"8.8","3363","2656","712"
"8.91579","3363","2656","712"
"9.03158","3363","2656","712"
"9.14737","3363","2656","712"
"9.26316","3363","2656","712"
"9.37895","3363","2656","712"
"9.49474","3363","2656","712"
"9.61053","3363","2656","712"
"9.72632","3363","2656","712"
"9.84211","3363","2656","712"
"9.95789","3363","2656","712"
"10.07368","3363","2656","712"
"10.18947","3363","2656","712"
"10.30526","3363","2656","712"
"10.42105","3363","2656","712"
"10.53684","3363","2656","712"
"10.65263","3363","2656","712"
"10.76842","3363","2656","712"
"10.88421","3363","2656","712"
"11","3363","2656","712"
"11.11579","3363","2656","712"
"11.23158","3363","2656","712"
"11.34737","3363","2656","712"
"11.46316","3363","2656","712"
"11.57895","3363","2656","712"
"11.69474","3363","2656","712"
"11.81053","3363","2656","712"
"11.92632","3363","2656","712"
"12.04211","3363","2656","712"
"12.15789","3363","2656","712"
"12.27368","3363","2656","712"
"12.38947","3363","2656","712"
"12.50526","3363","2656","712"
"12.62105","3363","2656","712"
"12.73684","3363","2656","712"
"12.85263","3363","2656","712"
"12.96842","3363","2656","712"
"13.08421","3363","2656","712"
"13.2","3363","2656","712"
"13.31579","3363","2656","712"
"13.43158","3363","2656","712"
"13.54737","3363","2656","712"
"13.66316","3363","2656","712"
"13.77895","3363","2656","712"
"13.89474","3363","2656","712"
"14.01053","3363","2656","712"
"14.12632","3363","2656","712"
"14.24211","3363","2656","712"
"14.35789","3363","2656","712"
"14.47368","3363","2656","712"
"14.58947","3363","2656","712"
"14.70526","3363","2656","712"
"14.82105","3363","2656","712"
"14.93684","3363","2656","712"
"15.05263","3363","2656","712"
"15.16842","3363","2656","712"
"15.28421","3363","2656","712"
"15.4","3363","2656","712"
"15.51579","3363","2656","712"
"15.63158","3363","2656","712"
"15.74737","3363","2656","712"
"15.86316","3363","2656","712"
"15.97895","3363","2656","712"
"16.09474","3363","2656","712"
"16.21053","3363","2656","712"
"16.32632","3363","2656","712"
"16.44211","3363","2656","712"
"16.55789","3363","2656","712"
"16.67368","3363","2656","712"
"16.78947","3363","2656","712"
"16.90526","3363","2656","712"
"17.02105","3363","2656","712"
"17.13684","3363","2656","712"
"17.25263","3363","2656","712"
"17.36842","3363","2656","712"
"17.48421","3363","2656","712"
"17.6","3363","2656","712"
"17.71579","3363","2656","712"
"17.83158","3363","2656","712"
"17.94737","3363","2656","712"
"18.06316","3363","2656","712"
"18.17895","3363","2656","712"
"18.29474","3363","2656","712"
"18.41053","3363","2656","712"
"18.52632","3363","2656","712"
"18.64211","3363","2656","712"
"18.75789","3363","2656","712"
"18.87368","3363","2656","712"
"18.98947","3363","2656","712"
"19.10526","3363","2656","712"
"19.22105","3363","2656","712"
"19.33684","3363","2656","712"
"19.45263","3363","2656","712"
"19.56842","3363","2656","712"
"19.68421","3363","2656","712"
