Timer,AX,AY,AZ,GX,GY,GZ,A
"0.15517","1","-24","-18","0","-1","-1","3580625"
"0.31034","1","-24","-18","-4","0","-1","3580625"
"0.46552","-13","14","-37","-4","0","-1","3580625"
"0.62069","-13","14","-37","2","2","-1","3580625"
"0.77586","14","5","-16","2","2","-1","3580625"
"0.93103","14","5","-16","4","-6","-1","3580625"
"1.08621","16","-29","-9","4","-6","-1","3580625"
"1.24138","16","-29","-9","-8","-4","-1","3580625"
"1.39655","-8","-17","-33","-8","-4","-1","3580625"
"1.55172","-8","-17","-33","2","1","-1","3580625"
"1.7069","12","0","-12","2","1","-1","3580625"
"1.86207","12","0","-12","7","-3","-1","3580625"
"2.01724","8","-18","-17","7","-3","-1","3580625"
"2.17241","8","-18","-17","-1","0","-1","3580625"
"2.32759","-10","-5","-25","-1","0","-1","3580625"
"2.48276","-10","-5","-25","5","3","-1","3580625"
"2.63793","-13","1","-28","5","3","-1","3580625"
"2.7931","-13","1","-28","3","0","-1","3580625"
"2.94828","-4","-2","-37","3","0","-1","3580625"
"3.10345","-4","-2","-37","1","2","-1","3580625"
"3.25862","11","2","-13","1","2","-1","3580625"
"3.41379","11","2","-13","5","-2","-1","3580625"
"3.56897","14","-7","-6","5","-2","-1","3580625"
"3.72414","14","-7","-6","-1","4","-1","3580625"
"3.87931","-14","6","-39","-1","4","-1","3580625"
"4.03448","-14","6","-39","1","4","-1","3580625"
"4.18966","3","-8","-16","1","4","-1","3580625"
"4.34483","3","-8","-16","-6","-5","-1","3580625"
"4.5","-6","-5","-25","-6","-5","-1","3580625"
"4.65517","-6","-5","-25","3","2","-1","3580625"
"4.81034","-5","-2","-23","3","2","-1","3580625"
"4.96552","-5","-2","-23","2","0","-1","3580625"
"5.12069","6","-23","-13","2","0","-1","3580625"
"5.27586","6","-23","-13","-4","-4","-1","3580625"
"5.43103","-4","-4","-28","-4","-4","-1","3580625"
"5.58621","-4","-4","-28","6","-1","-1","3580625"
"5.74138","3","-16","-27","6","-1","-1","3580625"
"5.89655","3","-16","-27","0","-2","-1","3580625"
"6.05172","6","-11","-24","0","-2","-1","3580625"
"6.2069","6","-11","-24","-1","1","-1","3580625"
"6.36207","3","5","-22","-1","1","-1","3580625"
"6.51724","3","5","-22","5","1","-1","3580625"
"6.67241","8","-7","-17","5","1","-1","3580625"
"6.82759","8","-7","-17","-1","-1","-1","3580625"
"6.98276","15","5","-23","-1","-1","-1","3580625"
"7.13793","15","5","-23","5","3","-1","3580625"
"7.2931","9","13","-24","5","3","-1","3580625"
"7.44828","9","13","-24","2","0","-1","3580625"
"7.60345","8","-11","-20","2","0","-1","3580625"
"7.75862","8","-11","-20","-5","5","-1","3580625"
"7.91379","-4","12","-28","-5","5","-1","3580625"
"8.06897","-4","12","-28","3","6","-1","3580625"
"8.22414","-6","3","-27","3","6","-1","3580625"
"8.37931","-6","3","-27","3","3","-1","3580625"
"8.53448","-4","-12","-22","3","3","-1","3580625"
"8.68966","-4","-12","-22","-5","2","-1","3580625"
"8.84483","-7","4","-29","-5","2","-1","3580625"
"9","-7","4","-29","6","3","-1","3580625"
"9.15517","-11","-9","-28","6","3","-1","3580625"
"9.31034","-11","-9","-28","-2","2","-1","3580625"
"9.46552","13","-16","-17","-2","2","-1","3580625"
"9.62069","13","-16","-17","1","-1","-1","3580625"
"9.77586","-1","-7","-13","1","-1","-1","3580625"
"9.93103","-1","-7","-13","6","1","-1","3580625"
"10.08621","-12","3","-35","6","1","-1","3580625"
"10.24138","-12","3","-35","1","6","-1","3580625"
"10.39655","7","-20","-22","1","6","-1","3580625"
"10.55172","7","-20","-22","-6","-1","-1","3580625"
"10.7069","4","-17","-25","-6","-1","-1","3580625"
"10.86207","4","-17","-25","-1","-1","-1","3580625"
"11.01724","21","0","-22","-1","-1","-1","3580625"
"11.17241","21","0","-22","5","0","-1","3580625"
"11.32759","15","9","-23","5","0","-1","3580625"
"11.48276","15","9","-23","3","5","-1","3580625"
"11.63793","18","11","-21","3","5","-1","3580625"
"11.7931","18","11","-21","3","5","-1","3580625"
"11.94828","1","-21","-19","3","5","-1","3580625"
"12.10345","1","-21","-19","-4","9","-1","3580625"
"12.25862","-14","21","-27","-4","9","-1","3580625"
"12.41379","-14","21","-27","8","10","-1","3580625"
"12.56897","-17","15","-28","8","10","-1","3580625"
"12.72414","-17","15","-28","2","5","-1","3580625"
"12.87931","-20","-11","-39","2","5","-1","3580625"
"13.03448","-20","-11","-39","-7","3","-1","3580625"
"13.18966","4","4","-22","-7","3","-1","3580625"
"13.34483","4","4","-22","0","-3","-1","3580625"
"13.5","10","6","-12","0","-3","-1","3580625"
"13.65517","10","6","-12","5","-1","-1","3580625"
"13.81034","-1","-6","-14","5","-1","-1","3580625"
"13.96552","-1","-6","-14","0","3","-1","3580625"
"14.12069","-9","7","-33","0","3","-1","3580625"
"14.27586","-9","7","-33","-1","5","-1","3580625"
"14.43103","-17","-22","-21","-1","5","-1","3580625"
"14.58621","-17","-22","-21","-7","7","-1","3580625"
"14.74138","-28","-4","-35","-7","7","-1","3580625"
"14.89655","-28","-4","-35","0","9","-1","3580625"
"15.05172","-25","1","-29","0","9","-1","3580625"
"15.2069","-25","1","-29","1","0","-1","3580625"
"15.36207","0","-9","-26","1","0","-1","3580625"
"15.51724","0","-9","-26","-5","-2","-1","3580625"
"15.67241","7","0","-19","-5","-2","-1","3580625"
"15.82759","7","0","-19","3","-1","-1","3580625"
"15.98276","4","0","-20","3","-1","-1","3580625"
"16.13793","4","0","-20","0","0","-1","3580625"
"16.2931","2","1","-18","0","0","-1","3580625"
"16.44828","2","1","-18","1","2","-1","3580625"
"16.60345","-9","1","-30","1","2","-1","3580625"
"16.75862","-9","1","-30","-1","3","-1","3580625"
"16.91379","-5","-4","-24","-1","3","-1","3580625"
"17.06897","-5","-4","-24","0","1","-1","3580625"
"17.22414","-6","-5","-21","0","1","-1","3580625"
"17.37931","-6","-5","-21","0","-2","-1","3580625"
"17.53448","1","6","-28","0","-2","-1","3580625"
"17.68966","1","6","-28","-1","-2","-1","3580625"
"17.84483","4","3","-22","-1","-2","-1","3580625"
"18","4","3","-22","-1","-3","-1","3580625"
"18.15517","10","0","-16","-1","-3","-1","3580625"
"18.31034","10","0","-16","-2","-2","-1","3580625"
"18.46552","-1","-6","-29","-2","-2","-1","3580625"
"18.62069","-1","-6","-29","-5","3","-1","3580625"
"18.77586","0","-2","-33","-5","3","-1","3580625"
"18.93103","0","-2","-33","1","-2","-1","3580625"
"19.08621","9","-3","-19","1","-2","-1","3580625"
"19.24138","9","-3","-19","3","-4","-1","3580625"
"19.39655","-1","-3","-20","3","-4","-1","3580625"
"19.55172","-1","-3","-20","-3","3","-1","3580625"
"19.7069","2","-7","-22","-3","3","-1","3580625"
