Timer,AX,AY,AZ,GX,GY,GZ,A
"0","-4","0","-28","-3","3","-1","1734375"
"0","-4","0","-28","0","-1","-1","1734375"
"0","0","-2","-23","0","-1","-1","1734375"
"0","0","-2","-23","-4","-1","-1","1734375"
"0.09322","0","-2","-23","-4","-1","-1","1734375"
"0.18644","0","-2","-23","-3","0","-1","1734375"
"0.27966","-2","2","-23","-3","0","-1","1734375"
"0.37288","-2","2","-23","0","2","-1","1734375"
"0.4661","0","-4","-26","0","2","-1","1734375"
"0.55932","0","-4","-26","1","0","-1","1734375"
"0.65254","0","-4","-25","1","0","-1","1734375"
"0.74576","0","-4","-25","-2","-1","-1","1734375"
"0.83898","0","0","-24","-2","-1","-1","1734375"
"0.9322","0","0","-24","-2","-1","-1","1734375"
"1.02542","0","0","-24","-2","-1","-1","1734375"
"1.11864","0","0","-24","5","-2","-1","1734375"
"1.21186","4","0","-19","5","-2","-1","1734375"
"1.30508","4","0","-19","2","1","-1","1734375"
"1.39831","4","0","-19","2","1","-1","1734375"
"1.49153","4","0","-19","1","-2","-1","1734375"
"1.58475","-1","7","-28","1","-2","-1","1734375"
"1.67797","-1","7","-28","-2","0","-1","1734375"
"1.77119","1","5","-22","-2","0","-1","1734375"
"1.86441","1","5","-22","2","2","-1","1734375"
"1.95763","1","5","-22","2","2","-1","1734375"
"2.05085","1","5","-22","1","0","-1","1734375"
"2.14407","4","-1","-22","1","0","-1","1734375"
"2.23729","4","-1","-22","0","0","-1","1734375"
"2.33051","4","-1","-22","0","0","-1","1734375"
"2.42373","4","-1","-22","-1","1","-1","1734375"
"2.51695","-1","-2","-25","-1","1","-1","1734375"
"2.61017","-1","-2","-25","-1","0","-1","1734375"
"2.70339","-5","2","-29","-1","0","-1","1734375"
"2.79661","-5","2","-29","4","1","-1","1734375"
"2.88983","-5","2","-29","4","1","-1","1734375"
"2.98305","-5","2","-29","1","1","-1","1734375"
"3.07627","-1","0","-25","1","1","-1","1734375"
"3.16949","-1","0","-25","-2","3","-1","1734375"
"3.26271","-1","0","-25","-2","3","-1","1734375"
"3.35593","-1","0","-25","-1","-1","-1","1734375"
"3.44915","-2","6","-23","-1","-1","-1","1734375"
"3.54237","-2","6","-23","3","1","-1","1734375"
"3.63559","-1","0","-25","3","1","-1","1734375"
"3.72881","-1","0","-25","-2","0","-1","1734375"
"3.82203","-1","0","-25","-2","0","-1","1734375"
"3.91525","-1","0","-25","-3","-1","-1","1734375"
"4.00847","-6","0","-31","-3","-1","-1","1734375"
"4.10169","-6","0","-31","0","2","-1","1734375"
"4.19492","-3","3","-26","0","2","-1","1734375"
"4.28814","-3","3","-26","2","-1","-1","1734375"
"4.38136","-1","6","-27","2","-1","-1","1734375"
"4.47458","-1","6","-27","-1","1","-1","1734375"
"4.5678","0","4","-21","-1","1","-1","1734375"
"4.66102","0","4","-21","1","0","-1","1734375"
"4.75424","0","4","-21","1","0","-1","1734375"
"4.84746","0","4","-21","2","-2","-1","1734375"
"4.94068","-1","0","-29","2","-2","-1","1734375"
"5.0339","-1","0","-29","-2","0","-1","1734375"
"5.12712","-1","0","-29","-2","0","-1","1734375"
"5.22034","-1","0","-29","-3","-2","-1","1734375"
"5.31356","-3","1","-29","-3","-2","-1","1734375"
"5.40678","-3","1","-29","2","-1","-1","1734375"
"5.5","0","-2","-26","2","-1","-1","1734375"
"5.59322","0","-2","-26","-1","-1","-1","1734375"
"5.68644","0","-2","-26","-1","-1","-1","1734375"
"5.77966","0","-2","-26","-3","0","-1","1734375"
"5.87288","-3","-4","-25","-3","0","-1","1734375"
"5.9661","-3","-4","-25","-3","-2","-1","1734375"
"6.05932","1","-1","-23","-3","-2","-1","1734375"
"6.15254","1","-1","-23","-2","-2","-1","1734375"
"6.24576","3","-2","-23","-2","-2","-1","1734375"
"6.33898","3","-2","-23","-3","-1","-1","1734375"
"6.4322","-3","4","-28","-3","-1","-1","1734375"
"6.52542","-3","4","-28","0","-3","-1","1734375"
"6.61864","-3","4","-28","0","-3","-1","1734375"
"6.71186","-3","4","-28","6","-2","-1","1734375"
"6.80508","-2","3","-22","6","-2","-1","1734375"
"6.89831","-2","3","-22","-1","-2","-1","1734375"
"6.99153","-3","2","-24","-1","-2","-1","1734375"
"7.08475","-3","2","-24","1","-1","-1","1734375"
"7.17797","-2","0","-27","1","-1","-1","1734375"
"7.27119","-2","0","-27","-3","2","-1","1734375"
"7.36441","-4","4","-29","-3","2","-1","1734375"
"7.45763","-4","4","-29","3","2","-1","1734375"
"7.55085","1","1","-21","3","2","-1","1734375"
"7.64407","1","1","-21","1","-1","-1","1734375"
"7.73729","1","-1","-22","1","-1","-1","1734375"
"7.83051","1","-1","-22","-4","0","-1","1734375"
"7.92373","-5","1","-26","-4","0","-1","1734375"
"8.01695","-5","1","-26","-1","-2","-1","1734375"
"8.11017","-5","1","-26","-1","-2","-1","1734375"
"8.20339","-5","1","-26","-2","1","-1","1734375"
"8.29661","-6","-6","-26","-2","1","-1","1734375"
"8.38983","-6","-6","-26","1","-2","-1","1734375"
"8.48305","-1","-4","-24","1","-2","-1","1734375"
"8.57627","-1","-4","-24","1","-4","-1","1734375"
"8.66949","-2","0","-28","1","-4","-1","1734375"
"8.76271","-2","0","-28","2","0","-1","1734375"
"8.85593","-1","0","-23","2","0","-1","1734375"
"8.94915","-1","0","-23","0","2","-1","1734375"
"9.04237","0","-3","-24","0","2","-1","1734375"
"9.13559","0","-3","-24","1","1","-1","1734375"
"9.22881","-4","-1","-26","1","1","-1","1734375"
"9.32203","-4","-1","-26","1","1","-1","1734375"
"9.41525","-6","4","-24","1","1","-1","1734375"
"9.50847","-6","4","-24","4","0","-1","1734375"
"9.60169","-1","5","-25","4","0","-1","1734375"
"9.69492","-1","5","-25","1","0","-1","1734375"
"9.78814","-3","2","-26","1","0","-1","1734375"
"9.88136","-3","2","-26","0","-1","-1","1734375"
"9.97458","3","4","-22","0","-1","-1","1734375"
"10.0678","3","4","-22","4","-3","-1","1734375"
"10.16102","2","3","-24","4","-3","-1","1734375"
"10.25424","2","3","-24","1","0","-1","1734375"
"10.34746","-3","5","-29","1","0","-1","1734375"
"10.44068","-3","5","-29","-1","1","-1","1734375"
"10.5339","-3","4","-26","-1","1","-1","1734375"
"10.62712","-3","4","-26","-4","3","-1","1734375"
"10.72034","-3","1","-25","-4","3","-1","1734375"
"10.81356","-3","1","-25","-3","4","-1","1734375"
"10.90678","-3","3","-28","-3","4","-1","1734375"
"11","-3","3","-28","0","1","-1","1734375"
"11.09322","2","-1","-23","0","1","-1","1734375"
"11.18644","2","-1","-23","-2","-1","-1","1734375"
"11.27966","-1","-9","-23","-2","-1","-1","1734375"
"11.37288","-1","-9","-23","-4","1","-1","1734375"
"11.4661","-3","2","-25","-4","1","-1","1734375"
"11.55932","-3","2","-25","3","1","-1","1734375"
"11.65254","0","-2","-26","3","1","-1","1734375"
"11.74576","0","-2","-26","2","2","-1","1734375"
"11.83898","-5","-6","-26","2","2","-1","1734375"
"11.9322","-5","-6","-26","-1","1","-1","1734375"
"12.02542","-7","4","-30","-1","1","-1","1734375"
"12.11864","-7","4","-30","5","1","-1","1734375"
"12.21186","0","5","-29","5","1","-1","1734375"
"12.30508","0","5","-29","1","1","-1","1734375"
"12.39831","-3","-3","-26","1","1","-1","1734375"
"12.49153","-3","-3","-26","1","0","-1","1734375"
"12.58475","2","-1","-22","1","0","-1","1734375"
"12.67797","2","-1","-22","0","0","-1","1734375"
"12.77119","2","5","-23","0","0","-1","1734375"
"12.86441","2","5","-23","0","4","-1","1734375"
"12.95763","-4","-1","-27","0","4","-1","1734375"
"13.05085","-4","-1","-27","0","2","-1","1734375"
"13.14407","-1","1","-24","0","2","-1","1734375"
"13.23729","-1","1","-24","2","-1","-1","1734375"
"13.33051","0","7","-27","2","-1","-1","1734375"
"13.42373","0","7","-27","1","1","-1","1734375"
"13.51695","-6","1","-29","1","1","-1","1734375"
"13.61017","-6","1","-29","-5","2","-1","1734375"
"13.70339","0","0","-22","-5","2","-1","1734375"
"13.79661","0","0","-22","-3","1","-1","1734375"
"13.88983","-2","1","-21","-3","1","-1","1734375"
"13.98305","-2","1","-21","2","-1","-1","1734375"
"14.07627","-4","-5","-24","2","-1","-1","1734375"
"14.16949","-4","-5","-24","-2","2","-1","1734375"
"14.26271","-3","-7","-26","-2","2","-1","1734375"
"14.35593","-3","-7","-26","1","-1","-1","1734375"
"14.44915","-6","-1","-29","1","-1","-1","1734375"
"14.54237","-6","-1","-29","4","2","-1","1734375"
"14.63559","-3","-5","-25","4","2","-1","1734375"
"14.72881","-3","-5","-25","0","1","-1","1734375"
"14.82203","-3","-1","-25","0","1","-1","1734375"
"14.91525","-3","-1","-25","-1","1","-1","1734375"
"15.00847","-3","2","-22","-1","1","-1","1734375"
"15.10169","-3","2","-22","3","2","-1","1734375"
"15.19492","-1","3","-25","3","2","-1","1734375"
"15.28814","-1","3","-25","-1","0","-1","1734375"
"15.38136","4","-2","-19","-1","0","-1","1734375"
"15.47458","4","-2","-19","-2","0","-1","1734375"
"15.5678","-4","2","-28","-2","0","-1","1734375"
"15.66102","-4","2","-28","0","2","-1","1734375"
"15.75424","1","6","-27","0","2","-1","1734375"
"15.84746","1","6","-27","3","1","-1","1734375"
"15.94068","0","-1","-20","3","1","-1","1734375"
"16.0339","0","-1","-20","1","2","-1","1734375"
"16.12712","-1","1","-23","1","2","-1","1734375"
"16.22034","-1","1","-23","0","-1","-1","1734375"
