Timer,AX,AY,AZ,GX,GY,GZ,A
"0.19721","0","0","-28","-2","-1","1","2730625"
"0.39442","-1","2","-23","-2","-1","1","2730625"
"0.59163","-1","2","-23","0","-1","1","2730625"
"0.78884","-2","-1","-25","0","-1","1","2730625"
"0.98606","-2","-1","-25","-1","3","1","2730625"
"1.18327","-3","3","-23","-1","3","1","2730625"
"1.38048","-3","3","-23","0","2","1","2730625"
"1.57769","-1","0","-25","0","2","1","2730625"
"1.7749","-1","0","-25","4","-1","1","2730625"
"1.97211","-3","0","-25","4","-1","1","2730625"
"2.16932","-3","0","-25","2","0","1","2730625"
"2.36653","-1","2","-24","2","0","1","2730625"
"2.56375","-1","2","-24","1","0","1","2730625"
"2.76096","-1","-1","-25","1","0","1","2730625"
"2.95817","-1","-1","-25","6","-1","1","2730625"
"3.15538","-1","3","-25","6","-1","1","2730625"
"3.35259","-1","3","-25","0","0","1","2730625"
"3.5498","0","6","-26","0","0","1","2730625"
"3.74701","0","6","-26","0","0","1","2730625"
"3.94422","-2","0","-26","0","0","1","2730625"
"4.14143","-2","0","-26","-2","0","1","2730625"
"4.33865","-1","1","-24","-2","0","1","2730625"
"4.53586","-1","1","-24","1","1","1","2730625"
"4.73307","-2","2","-29","1","1","1","2730625"
"4.93028","-2","2","-29","-2","2","1","2730625"
"5.12749","-3","1","-23","-2","2","1","2730625"
"5.3247","-3","1","-23","0","3","1","2730625"
"5.52191","-4","8","-27","0","3","1","2730625"
"5.71912","-4","8","-27","1","-1","1","2730625"
"5.91633","-3","2","-28","1","-1","1","2730625"
"6.11355","-3","2","-28","1","-1","1","2730625"
"6.31076","-3","0","-25","1","-1","1","2730625"
"6.50797","-3","0","-25","0","0","1","2730625"
"6.70518","-5","0","-25","0","0","1","2730625"
"6.90239","-5","0","-25","-1","-2","1","2730625"
"7.0996","0","1","-25","-1","-2","1","2730625"
"7.29681","0","1","-25","1","-1","1","2730625"
"7.49402","-2","0","-25","1","-1","1","2730625"
"7.69124","-2","0","-25","0","-3","1","2730625"
"7.88845","-1","2","-26","0","-3","1","2730625"
"8.08566","-1","2","-26","5","0","1","2730625"
"8.28287","-2","-4","-24","5","0","1","2730625"
"8.48008","-2","-4","-24","-2","1","1","2730625"
"8.67729","-3","-1","-25","-2","1","1","2730625"
"8.8745","-3","-1","-25","-1","0","1","2730625"
"9.07171","-1","1","-28","-1","0","1","2730625"
"9.26892","-1","1","-28","0","1","1","2730625"
"9.46614","0","0","-22","0","1","1","2730625"
"9.66335","0","0","-22","0","1","1","2730625"
"9.86056","2","2","-25","0","1","1","2730625"
"10.05777","2","2","-25","-2","0","1","2730625"
"10.25498","-1","0","-23","-2","0","1","2730625"
"10.45219","-1","0","-23","-2","-1","1","2730625"
"10.6494","0","0","-24","-2","-1","1","2730625"
"10.84661","0","0","-24","3","0","1","2730625"
"11.04382","1","4","-23","3","0","1","2730625"
"11.24104","1","4","-23","3","1","1","2730625"
"11.43825","-3","2","-26","3","1","1","2730625"
"11.63546","-3","2","-26","-1","0","1","2730625"
"11.83267","-1","0","-25","-1","0","1","2730625"
"12.02988","-1","0","-25","-2","0","1","2730625"
"12.22709","-2","1","-25","-2","0","1","2730625"
"12.4243","-2","1","-25","-1","0","1","2730625"
"12.62151","-5","0","-25","-1","0","1","2730625"
"12.81873","-5","0","-25","1","-1","1","2730625"
"13.01594","-3","1","-26","1","-1","1","2730625"
"13.21315","-3","1","-26","-1","-3","1","2730625"
"13.41036","-4","0","-23","-1","-3","1","2730625"
"13.60757","-4","0","-23","-3","2","1","2730625"
"13.80478","-2","1","-26","-3","2","1","2730625"
"14.00199","-2","1","-26","-3","-1","1","2730625"
"14.1992","0","2","-25","-3","-1","1","2730625"
"14.39641","0","2","-25","5","-2","1","2730625"
"14.59363","1","3","-22","5","-2","1","2730625"
"14.79084","1","3","-22","0","-1","1","2730625"
"14.98805","0","0","-24","0","-1","1","2730625"
"15.18526","0","0","-24","0","1","1","2730625"
"15.38247","-2","-3","-25","0","1","1","2730625"
"15.57968","-2","-3","-25","0","0","1","2730625"
"15.77689","0","0","-25","0","0","1","2730625"
"15.9741","0","0","-25","2","-3","1","2730625"
"16.17131","-2","6","-27","2","-3","1","2730625"
"16.36853","-2","6","-27","-1","1","1","2730625"
"16.56574","0","0","-21","-1","1","1","2730625"
"16.76295","0","0","-21","-2","-2","1","2730625"
"16.96016","-1","-2","-24","-2","-2","1","2730625"
"17.15737","-1","-2","-24","0","0","1","2730625"
"17.35458","-2","1","-24","0","0","1","2730625"
"17.55179","-2","1","-24","2","0","1","2730625"
"17.749","-1","2","-25","2","0","1","2730625"
"17.94622","-1","2","-25","2","-1","1","2730625"
"18.14343","-1","3","-25","2","-1","1","2730625"
"18.34064","-1","3","-25","0","0","1","2730625"
"18.53785","-3","2","-23","0","0","1","2730625"
"18.73506","-3","2","-23","-2","-3","1","2730625"
"18.93227","-3","-1","-26","-2","-3","1","2730625"
"19.12948","-3","-1","-26","-4","3","1","2730625"
"19.32669","0","0","-23","-4","3","1","2730625"
"19.5239","0","0","-23","-2","-1","1","2730625"
"19.72112","0","0","-27","-2","-1","1","2730625"
"19.91833","0","0","-27","1","0","1","2730625"
"20.11554","-1","0","-26","1","0","1","2730625"
"20.31275","-1","0","-26","1","-1","1","2730625"
"20.50996","-2","0","-22","1","-1","1","2730625"
"20.70717","-2","0","-22","0","1","1","2730625"
"20.90438","-4","3","-23","0","1","1","2730625"
"21.10159","-4","3","-23","-1","0","1","2730625"
"21.2988","-1","1","-25","-1","0","1","2730625"
"21.49602","-1","1","-25","2","1","1","2730625"
"21.69323","-3","0","-28","2","1","1","2730625"
"21.89044","-3","0","-28","2","-2","1","2730625"
"22.08765","-3","1","-26","2","-2","1","2730625"
"22.28486","-3","1","-26","0","-1","1","2730625"
"22.48207","-4","1","-27","0","-1","1","2730625"
"22.67928","-4","1","-27","3","-2","1","2730625"
"22.87649","-3","0","-22","3","-2","1","2730625"
"23.07371","-3","0","-22","1","-3","1","2730625"
"23.27092","0","1","-26","1","-3","1","2730625"
"23.46813","0","1","-26","2","-3","1","2730625"
"23.66534","0","0","-29","2","-3","1","2730625"
"23.86255","0","0","-29","1","1","1","2730625"
"24.05976","0","0","-26","1","1","1","2730625"
"24.25697","0","0","-26","0","1","1","2730625"
"24.45418","1","2","-21","0","1","1","2730625"
"24.65139","1","2","-21","2","-3","1","2730625"
"24.84861","4","4","-23","2","-3","1","2730625"
"25.04582","4","4","-23","4","1","1","2730625"
"25.24303","3","0","-23","4","1","1","2730625"
"25.44024","3","0","-23","1","1","1","2730625"
"25.63745","0","0","-26","1","1","1","2730625"
"25.83466","0","0","-26","2","3","1","2730625"
"26.03187","-2","0","-22","2","3","1","2730625"
"26.22908","-2","0","-22","0","2","1","2730625"
"26.42629","-4","0","-24","0","2","1","2730625"
"26.62351","-4","0","-24","1","2","1","2730625"
"26.82072","-5","0","-25","1","2","1","2730625"
"27.01793","-5","0","-25","0","1","1","2730625"
"27.21514","-9","0","-28","0","1","1","2730625"
"27.41235","-9","0","-28","-1","1","1","2730625"
"27.60956","-8","0","-27","-1","1","1","2730625"
"27.80677","-8","0","-27","0","-1","1","2730625"
"28.00398","-7","0","-25","0","-1","1","2730625"
"28.2012","-7","0","-25","0","-2","1","2730625"
"28.39841","-5","0","-24","0","-2","1","2730625"
"28.59562","-5","0","-24","-1","-3","1","2730625"
"28.79283","-6","0","-23","-1","-3","1","2730625"
"28.99004","-6","0","-23","-2","-2","1","2730625"
"29.18725","-5","1","-26","-2","-2","1","2730625"
"29.38446","-5","1","-26","2","-3","1","2730625"
"29.58167","0","3","-25","2","-3","1","2730625"
"29.77888","0","3","-25","1","-1","1","2730625"
"29.9761","-1","3","-26","1","-1","1","2730625"
"30.17331","-1","3","-26","1","0","1","2730625"
"30.37052","2","4","-23","1","0","1","2730625"
"30.56773","2","4","-23","2","-4","1","2730625"
"30.76494","4","4","-23","2","-4","1","2730625"
"30.96215","4","4","-23","-4","-1","1","2730625"
"31.15936","0","0","-25","-4","-1","1","2730625"
"31.35657","0","0","-25","-2","1","1","2730625"
"31.55378","0","1","-23","-2","1","1","2730625"
"31.751","0","1","-23","-3","2","1","2730625"
"31.94821","0","4","-23","-3","2","1","2730625"
"32.14542","0","4","-23","-1","1","1","2730625"
"32.34263","1","3","-27","-1","1","1","2730625"
"32.53984","1","3","-27","-2","2","1","2730625"
"32.73705","-2","-3","-21","-2","2","1","2730625"
"32.93426","-2","-3","-21","-1","2","1","2730625"
"33.13147","-2","0","-26","-1","2","1","2730625"
"33.32869","-2","0","-26","3","0","1","2730625"
"33.5259","-2","1","-28","3","0","1","2730625"
"33.72311","-2","1","-28","2","0","1","2730625"
"33.92032","-3","-2","-23","2","0","1","2730625"
"34.11753","-3","-2","-23","-1","1","1","2730625"
"34.31474","-5","0","-23","-1","1","1","2730625"
"34.51195","-5","0","-23","1","0","1","2730625"
"34.70916","-4","2","-28","1","0","1","2730625"
"34.90637","-4","2","-28","0","-1","1","2730625"
"35.10359","-2","0","-22","0","-1","1","2730625"
"35.3008","-2","0","-22","-2","-1","1","2730625"
"35.49801","-2","3","-27","-2","-1","1","2730625"
"35.69522","-2","3","-27","2","2","1","2730625"
"35.89243","-1","2","-27","2","2","1","2730625"
"36.08964","-1","2","-27","-2","-1","1","2730625"
"36.28685","-3","2","-24","-2","-1","1","2730625"
"36.48406","-3","2","-24","1","-1","1","2730625"
"36.68127","-2","6","-22","1","-1","1","2730625"
"36.87849","-2","6","-22","2","2","1","2730625"
"37.0757","0","2","-23","2","2","1","2730625"
"37.27291","0","2","-23","-4","0","1","2730625"
"37.47012","-2","0","-26","-4","0","1","2730625"
"37.66733","-2","0","-26","-2","-2","1","2730625"
"37.86454","-1","2","-24","-2","-2","1","2730625"
"38.06175","-1","2","-24","2","0","1","2730625"
"38.25896","0","0","-22","2","0","1","2730625"
"38.45618","0","0","-22","-1","-2","1","2730625"
"38.65339","-1","1","-24","-1","-2","1","2730625"
"38.8506","-1","1","-24","1","-1","1","2730625"
"39.04781","-1","2","-24","1","-1","1","2730625"
"39.24502","-1","2","-24","0","-2","1","2730625"
"39.44223","0","1","-26","0","-2","1","2730625"
"39.63944","0","1","-26","2","-2","1","2730625"
"39.83665","-2","2","-25","2","-2","1","2730625"
"40.03386","-2","2","-25","1","0","1","2730625"
"40.23108","0","3","-23","1","0","1","2730625"
"40.42829","0","3","-23","0","-1","1","2730625"
"40.6255","-1","1","-23","0","-1","1","2730625"
"40.82271","-1","1","-23","2","-1","1","2730625"
"41.01992","-3","5","-26","2","-1","1","2730625"
"41.21713","-3","5","-26","0","0","1","2730625"
"41.41434","-2","2","-28","0","0","1","2730625"
