Timer,AX,AY,AZ,GX,GY,GZ,A
"11","-3","0","-26","-4","1","1","265875"
"22","3","12","-26","-4","1","1","265875"
"33","3","12","-26","-1","1","1","265875"
"44","-8","10","-21","-1","1","1","265875"
"55","-8","10","-21","2","0","1","265875"
"66","9","-4","-21","2","0","1","265875"
"77","9","-4","-21","-4","4","1","265875"
"88","-20","6","-31","-4","4","1","265875"
"99","-20","6","-31","0","1","1","265875"
"105.10526","0","5","-29","0","1","1","265875"
"110.21053","0","5","-29","4","3","1","265875"
"115.31579","-19","7","-34","4","3","1","265875"
"120.42105","-19","7","-34","0","0","1","265875"
"125.52632","12","5","-14","0","0","1","265875"
"130.63158","12","5","-14","2","0","1","265875"
"135.73684","-9","8","-26","2","0","1","265875"
"140.84211","-9","8","-26","1","4","1","265875"
"145.94737","-14","3","-37","1","4","1","265875"
"151.05263","-14","3","-37","0","5","1","265875"
"156.15789","-17","7","-33","0","5","1","265875"
"161.26316","-17","7","-33","-2","0","1","265875"
"166.36842","1","10","-21","-2","0","1","265875"
"171.47368","1","10","-21","3","3","1","265875"
"176.57895","1","8","-23","3","3","1","265875"
"181.68421","1","8","-23","0","2","1","265875"
"186.78947","3","-4","-20","0","2","1","265875"
"191.89474","3","-4","-20","-4","3","1","265875"
"197","-12","13","-36","-4","3","1","265875"
"204.84211","-12","13","-36","-5","3","1","265875"
"209.68421","10","13","-7","-5","3","1","265875"
"214.52632","10","13","-7","4","1","1","265875"
"219.36842","-6","6","-29","4","1","1","265875"
"224.21053","-6","6","-29","-3","1","1","265875"
"229.05263","-3","6","-26","-3","1","1","265875"
"233.89474","-3","6","-26","-6","2","1","265875"
"238.73684","-4","18","-23","-6","2","1","265875"
"243.57895","-4","18","-23","3","3","1","265875"
"248.42105","0","3","-26","3","3","1","265875"
"253.26316","0","3","-26","-2","2","1","265875"
"258.10526","-1","9","-23","-2","2","1","265875"
"262.94737","-1","9","-23","-8","4","1","265875"
"267.78947","-14","21","-30","-8","4","1","265875"
"272.63158","-14","21","-30","2","5","1","265875"
"277.47368","-2","-1","-20","2","5","1","265875"
"282.31579","-2","-1","-20","2","2","1","265875"
"287.15789","1","7","-25","2","2","1","265875"
"292","1","7","-25","-5","0","1","265875"
"300","-8","15","-26","-5","0","1","265875"
"300","-8","15","-26","2","1","1","265875"
"305.15789","-4","1","-24","2","1","1","265875"
"310.31579","-4","1","-24","2","3","1","265875"
"315.47368","-6","0","-22","2","3","1","265875"
"320.63158","-6","0","-22","-3","2","1","265875"
"325.78947","-5","2","-24","-3","2","1","265875"
"330.94737","-5","2","-24","1","-1","1","265875"
"336.10526","-1","8","-27","1","-1","1","265875"
"341.26316","-1","8","-27","-1","3","1","265875"
"346.42105","-3","7","-20","-1","3","1","265875"
"351.57895","-3","7","-20","2","2","1","265875"
"356.73684","-3","2","-14","2","2","1","265875"
"361.89474","-3","2","-14","-3","1","1","265875"
"367.05263","-8","16","-33","-3","1","1","265875"
"372.21053","-8","16","-33","0","0","1","265875"
"377.36842","-2","6","-19","0","0","1","265875"
"382.52632","-2","6","-19","4","-1","1","265875"
"387.68421","-5","2","-27","4","-1","1","265875"
"392.84211","-5","2","-27","-3","-1","1","265875"
"398","-6","4","-28","-3","-1","1","265875"
"404.89474","-6","4","-28","-2","-1","1","265875"
"409.78947","-1","10","-24","-2","-1","1","265875"
"414.68421","-1","10","-24","1","3","1","265875"
"419.57895","-4","8","-23","1","3","1","265875"
"424.47368","-4","8","-23","1","2","1","265875"
"429.36842","-8","5","-29","1","2","1","265875"
"434.26316","-8","5","-29","-5","-2","1","265875"
"439.15789","6","-5","-16","-5","-2","1","265875"
"444.05263","6","-5","-16","-7","-3","1","265875"
"448.94737","-15","-4","-37","-7","-3","1","265875"
"453.84211","-15","-4","-37","-9","2","1","265875"
"458.73684","-7","18","-28","-9","2","1","265875"
"463.63158","-7","18","-28","1","-2","1","265875"
"468.52632","-8","2","-23","1","-2","1","265875"
"473.42105","-8","2","-23","0","-1","1","265875"
"478.31579","-3","4","-25","0","-1","1","265875"
"483.21053","-3","4","-25","-8","-3","1","265875"
"488.10526","0","-1","-23","-8","-3","1","265875"
"493","0","-1","-23","-6","-2","1","265875"
"504.71429","0","12","-24","-6","-2","1","265875"
"509.42857","0","12","-24","-7","0","1","265875"
"514.14286","-4","12","-23","-7","0","1","265875"
"518.85714","-4","12","-23","2","-1","1","265875"
"523.57143","-9","-7","-26","2","-1","1","265875"
"528.28571","-9","-7","-26","-4","-2","1","265875"
"533","-2","16","-24","-4","-2","1","265875"
"537.71429","-2","16","-24","-4","-2","1","265875"
"542.42857","-3","6","-25","-4","-2","1","265875"
"547.14286","-3","6","-25","5","-1","1","265875"
"551.85714","-8","1","-24","5","-1","1","265875"
"556.57143","-8","1","-24","0","0","1","265875"
"561.28571","-4","4","-24","0","0","1","265875"
"566","-4","4","-24","0","1","1","265875"
"570.71429","-6","4","-23","0","1","1","265875"
"575.42857","-6","4","-23","-2","-2","1","265875"
"580.14286","-4","8","-29","-2","-2","1","265875"
"584.85714","-4","8","-29","-2","-2","1","265875"
"589.57143","-5","5","-26","-2","-2","1","265875"
"594.28571","-5","5","-26","-1","-3","1","265875"
"599","-6","1","-27","-1","-3","1","265875"
"604.89474","-6","1","-27","-4","-1","1","265875"
"609.78947","-3","2","-18","-4","-1","1","265875"
"614.68421","-3","2","-18","-3","-1","1","265875"
"619.57895","-4","8","-25","-3","-1","1","265875"
"624.47368","-4","8","-25","-3","-1","1","265875"
"629.36842","-8","6","-27","-3","-1","1","265875"
"634.26316","-8","6","-27","-3","0","1","265875"
"639.15789","-2","9","-24","-3","0","1","265875"
"644.05263","-2","9","-24","-3","-1","1","265875"
"648.94737","-10","3","-26","-3","-1","1","265875"
"653.84211","-10","3","-26","-4","-2","1","265875"
"658.73684","0","-1","-20","-4","-2","1","265875"
"663.63158","0","-1","-20","-5","-1","1","265875"
"668.52632","-3","6","-23","-5","-1","1","265875"
"673.42105","-3","6","-23","-5","-1","1","265875"
"678.31579","-9","4","-27","-5","-1","1","265875"
"683.21053","-9","4","-27","-3","-2","1","265875"
"688.10526","0","2","-22","-3","-2","1","265875"
"693","0","2","-22","-8","-2","1","265875"
"704.71429","-3","4","-22","-8","-2","1","265875"
"709.42857","-3","4","-22","-2","-3","1","265875"
"714.14286","-7","2","-25","-2","-3","1","265875"
"718.85714","-7","2","-25","-4","-3","1","265875"
"723.57143","-3","6","-26","-4","-3","1","265875"
"728.28571","-3","6","-26","-4","-3","1","265875"
"733","-4","4","-22","-4","-3","1","265875"
"737.71429","-4","4","-22","-2","0","1","265875"
"742.42857","-2","0","-25","-2","0","1","265875"
"747.14286","-2","0","-25","-7","-1","1","265875"
"751.85714","-7","6","-30","-7","-1","1","265875"
"756.57143","-7","6","-30","-7","-1","1","265875"
"761.28571","0","2","-18","-7","-1","1","265875"
"766","0","2","-18","-6","-1","1","265875"
"770.71429","0","2","-18","-6","-1","1","265875"
"775.42857","0","2","-18","-6","-1","1","265875"
"780.14286","-5","1","-26","-6","-1","1","265875"
"784.85714","-5","1","-26","-4","-3","1","265875"
"789.57143","-2","3","-25","-4","-3","1","265875"
"794.28571","-2","3","-25","-5","-2","1","265875"
"799","-2","4","-26","-5","-2","1","265875"
"804.89474","-2","4","-26","-5","-3","1","265875"
"809.78947","-3","0","-22","-5","-3","1","265875"
"814.68421","-3","0","-22","-4","-1","1","265875"
"819.57895","-3","0","-22","-4","-1","1","265875"
"824.47368","-3","0","-22","-4","-1","1","265875"
"829.36842","-4","1","-25","-4","-1","1","265875"
"834.26316","-4","1","-25","-5","-1","1","265875"
"839.15789","-6","7","-26","-5","-1","1","265875"
"844.05263","-6","7","-26","-2","-1","1","265875"
"848.94737","-2","5","-25","-2","-1","1","265875"
"853.84211","-2","5","-25","0","-1","1","265875"
"858.73684","-4","5","-25","0","-1","1","265875"
"863.63158","-4","5","-25","0","1","1","265875"
"868.52632","-4","5","-25","0","1","1","265875"
"873.42105","-4","5","-25","-1","-2","1","265875"
"878.31579","-5","3","-26","-1","-2","1","265875"
"883.21053","-5","3","-26","0","-3","1","265875"
"888.10526","-4","3","-22","0","-3","1","265875"
"893","-4","3","-22","1","-3","1","265875"
"904.6","-7","4","-24","1","-3","1","265875"
"909.2","-7","4","-24","0","-1","1","265875"
"913.8","-8","0","-26","0","-1","1","265875"
"918.4","-8","0","-26","-2","-1","1","265875"
"923","-8","0","-26","-2","-1","1","265875"
"927.6","-8","0","-26","-1","1","1","265875"
"932.2","-8","4","-21","-1","1","1","265875"
"936.8","-8","4","-21","2","0","1","265875"
"941.4","-9","2","-25","2","0","1","265875"
"946","-9","2","-25","-3","-2","1","265875"
"950.6","-3","2","-26","-3","-2","1","265875"
"955.2","-3","2","-26","0","-2","1","265875"
"959.8","-9","6","-27","0","-2","1","265875"
"964.4","-9","6","-27","-2","-2","1","265875"
"969","-9","6","-27","-2","-2","1","265875"
"973.6","-9","6","-27","-2","-2","1","265875"
"978.2","-4","4","-25","-2","-2","1","265875"
"982.8","-4","4","-25","-2","-1","1","265875"
"987.4","-3","3","-27","-2","-1","1","265875"
"992","-3","3","-27","0","-2","1","265875"
"1000","-5","3","-27","0","-2","1","265875"
"1004.94737","-5","3","-27","1","1","1","265875"
"1009.89474","-3","2","-24","1","1","1","265875"
"1014.84211","-3","2","-24","0","-2","1","265875"
"1019.78947","-3","2","-24","0","-2","1","265875"
"1024.73684","-3","2","-24","0","-2","1","265875"
"1029.68421","-3","3","-23","0","-2","1","265875"
"1034.63158","-3","3","-23","-2","-2","1","265875"
"1039.57895","-3","1","-25","-2","-2","1","265875"
"1044.52632","-3","1","-25","-2","1","1","265875"
"1049.47368","-3","1","-24","-2","1","1","265875"
"1054.42105","-3","1","-24","-1","0","1","265875"
"1059.36842","-3","2","-26","-1","0","1","265875"
"1064.31579","-3","2","-26","-4","-2","1","265875"
"1069.26316","-3","2","-26","-4","-2","1","265875"
"1074.21053","-3","2","-26","0","-1","1","265875"
"1079.15789","-7","-2","-24","0","-1","1","265875"
"1084.10526","-7","-2","-24","0","-2","1","265875"
"1089.05263","-1","0","-22","0","-2","1","265875"
"1094","-1","0","-22","1","-1","1","265875"
"1104.65","-4","4","-25","1","-1","1","265875"
"1109.3","-4","4","-25","0","1","1","265875"
"1113.95","-4","1","-24","0","1","1","265875"
"1118.6","-4","1","-24","2","-1","1","265875"
"1123.25","-4","1","-24","2","-1","1","265875"
"1127.9","-4","1","-24","-1","1","1","265875"
"1132.55","-5","3","-21","-1","1","1","265875"
"1137.2","-5","3","-21","-4","0","1","265875"
"1141.85","-3","3","-28","-4","0","1","265875"
