Timer,X,Y,Z
"0.72263","3027","2513","3824"
"1.44526","3027","2513","3824"
"2.16788","3027","2513","3824"
"2.89051","3027","2513","3824"
"3.61314","3027","2513","3824"
"4.33577","3027","2513","3824"
"5.05839","3027","2513","3824"
"5.78102","3027","2513","3824"
"6.50365","3027","2513","3824"
"7.22628","3027","2513","3824"
"7.94891","3027","2513","3824"
"8.67153","3027","2513","3824"
"9.39416","3027","2513","3824"
"10.11679","3027","2513","3824"
"10.83942","3027","2513","3824"
"11.56204","3027","2513","3824"
"12.28467","3027","2513","3824"
"13.0073","3027","2513","3824"
"13.72993","3027","2513","3824"
"14.45255","3027","2513","3824"
"15.17518","3027","2513","3824"
"15.89781","3027","2513","3824"
"16.62044","3027","2513","3824"
"17.34307","3027","2513","3824"
"18.06569","3027","2513","3824"
"18.78832","3027","2513","3824"
"19.51095","3027","2513","3824"
"20.23358","3027","2513","3824"
"20.9562","3027","2513","3824"
"21.67883","3027","2513","3824"
"22.40146","3027","2513","3824"
"23.12409","3027","2513","3824"
"23.84672","3027","2513","3824"
"24.56934","3027","2513","3824"
"25.29197","3027","2513","3824"
"26.0146","3027","2513","3824"
"26.73723","3027","2513","3824"
"27.45985","3027","2513","3824"
"28.18248","3027","2513","3824"
"28.90511","3027","2513","3824"
"29.62774","3027","2513","3824"
"30.35036","3027","2513","3824"
"31.07299","3027","2513","3824"
"31.79562","3027","2513","3824"
"32.51825","3027","2513","3824"
"33.24088","3027","2513","3824"
"33.9635","3027","2513","3824"
"34.68613","3027","2513","3824"
"35.40876","3027","2513","3824"
"36.13139","3027","2513","3824"
"36.85401","3027","2513","3824"
"37.57664","3027","2513","3824"
"38.29927","3027","2513","3824"
"39.0219","3027","2513","3824"
"39.74453","3027","2513","3824"
"40.46715","3027","2513","3824"
"41.18978","3027","2513","3824"
"41.91241","3027","2513","3824"
"42.63504","3027","2513","3824"
"43.35766","3027","2513","3824"
"44.08029","3027","2513","3824"
"44.80292","3027","2513","3824"
"45.52555","3027","2513","3824"
"46.24818","3027","2513","3824"
"46.9708","3027","2513","3824"
"47.69343","3027","2513","3824"
"48.41606","3027","2513","3824"
"49.13869","3027","2513","3824"
"49.86131","3027","2513","3824"
"50.58394","3027","2513","3824"
"51.30657","3027","2513","3824"
"52.0292","3027","2513","3824"
"52.75182","3027","2513","3824"
"53.47445","3027","2513","3824"
"54.19708","3027","2513","3824"
"54.91971","3027","2513","3824"
"55.64234","3027","2513","3824"
"56.36496","3027","2513","3824"
"57.08759","3027","2513","3824"
"57.81022","3027","2513","3824"
"58.53285","3027","2513","3824"
"59.25547","3027","2513","3824"
"59.9781","3027","2513","3824"
"60.70073","3027","2513","3824"
"61.42336","3027","2513","3824"
"62.14599","3027","2513","3824"
"62.86861","3027","2513","3824"
"63.59124","3027","2513","3824"
"64.31387","3027","2513","3824"
"65.0365","3027","2513","3824"
"65.75912","3027","2513","3824"
"66.48175","3027","2513","3824"
"67.20438","3027","2513","3824"
"67.92701","3027","2513","3824"
"68.64964","3027","2513","3824"
"69.37226","3027","2513","3824"
"70.09489","3027","2513","3824"
"70.81752","3027","2513","3824"
"71.54015","3027","2513","3824"
"72.26277","3027","2513","3824"
"72.9854","3027","2513","3824"
"73.70803","3027","2513","3824"
"74.43066","3027","2513","3824"
"75.15328","3027","2513","3824"
"75.87591","3027","2513","3824"
"76.59854","3027","2513","3824"
"77.32117","3027","2513","3824"
"78.0438","3027","2513","3824"
"78.76642","3027","2513","3824"
"79.48905","3027","2513","3824"
"80.21168","3027","2513","3824"
"80.93431","3027","2513","3824"
"81.65693","3027","2513","3824"
"82.37956","3027","2513","3824"
"83.10219","3027","2513","3824"
"83.82482","3027","2513","3824"
"84.54745","3027","2513","3824"
"85.27007","3027","2513","3824"
"85.9927","3027","2513","3824"
"86.71533","3027","2513","3824"
"87.43796","3027","2513","3824"
"88.16058","3027","2513","3824"
"88.88321","3027","2513","3824"
"89.60584","3027","2513","3824"
"90.32847","3027","2513","3824"
"91.05109","3027","2513","3824"
"91.77372","3027","2513","3824"
"92.49635","3027","2513","3824"
"93.21898","3027","2513","3824"
"93.94161","3027","2513","3824"
"94.66423","3027","2513","3824"
"95.38686","3027","2513","3824"
"96.10949","3027","2513","3824"
"96.83212","3027","2513","3824"
"97.55474","3027","2513","3824"
