Timer,AX,AY,AZ,GX,GY,GZ,A
"1.44776","1","-7","6","3","-2","1","26175"
"2.89552","1","-8","6","3","-2","1","26175"
"4.34328","1","-8","6","0","-2","1","26175"
"5.79104","0","0","2","0","-2","1","26175"
"7.23881","0","0","2","1","2","1","26175"
"8.68657","2","-3","7","1","2","1","26175"
"10.13433","2","-3","7","2","-1","1","26175"
"11.58209","3","-7","4","2","-1","1","26175"
"13.02985","3","-7","4","0","-1","1","26175"
"14.47761","4","-7","7","0","-1","1","26175"
"15.92537","4","-7","7","-1","-1","1","26175"
"17.37313","1","-8","8","-1","-1","1","26175"
"18.8209","1","-8","8","0","0","1","26175"
"20.26866","0","-3","2","0","0","1","26175"
"21.71642","0","-3","2","-1","0","1","26175"
"23.16418","2","-5","5","-1","0","1","26175"
"24.61194","2","-5","5","1","1","1","26175"
"26.0597","3","-5","5","1","1","1","26175"
"27.50746","3","-5","5","-1","-3","1","26175"
"28.95522","0","-2","5","-1","-3","1","26175"
"30.40299","0","-2","5","3","-2","1","26175"
"31.85075","3","-9","4","3","-2","1","26175"
"33.29851","3","-9","4","-2","0","1","26175"
"34.74627","2","-6","5","-2","0","1","26175"
"36.19403","2","-6","5","0","3","1","26175"
"37.64179","1","-2","5","0","3","1","26175"
"39.08955","1","-2","5","0","1","1","26175"
"40.53731","-1","1","0","0","1","1","26175"
"41.98507","-1","1","0","1","-3","1","26175"
"43.43284","3","-5","6","1","-3","1","26175"
"44.8806","3","-5","6","-2","2","1","26175"
"46.32836","1","-1","6","-2","2","1","26175"
"47.77612","1","-1","6","-2","2","1","26175"
"49.22388","0","-10","5","-2","2","1","26175"
"50.67164","0","-10","5","-2","1","1","26175"
"52.1194","-1","-3","1","-2","1","1","26175"
"53.56716","-1","-3","1","0","-1","1","26175"
"55.01493","8","-9","8","0","-1","1","26175"
"56.46269","8","-9","8","-1","0","1","26175"
"57.91045","6","3","2","-1","0","1","26175"
"59.35821","6","3","2","-1","0","1","26175"
"60.80597","0","-8","4","-1","0","1","26175"
"62.25373","0","-8","4","-1","0","1","26175"
"63.70149","4","-15","7","-1","0","1","26175"
"65.14925","4","-15","7","-2","-1","1","26175"
"66.59701","2","-11","2","-2","-1","1","26175"
"68.04478","2","-11","2","2","0","1","26175"
"69.49254","0","-2","4","2","0","1","26175"
"70.9403","0","-2","4","5","-1","1","26175"
"72.38806","0","-2","4","5","-1","1","26175"
"73.83582","0","-2","4","5","-1","1","26175"
"75.28358","-2","-3","3","5","-1","1","26175"
"76.73134","-2","-3","3","-2","2","1","26175"
"78.1791","-1","-4","3","-2","2","1","26175"
"79.62687","-1","-4","3","1","-2","1","26175"
"81.07463","1","-2","4","1","-2","1","26175"
"82.52239","1","-2","4","0","0","1","26175"
"83.97015","-4","0","5","0","0","1","26175"
"85.41791","-4","0","5","2","0","1","26175"
"86.86567","0","0","5","2","0","1","26175"
"88.31343","0","0","5","2","0","1","26175"
"89.76119","0","-1","4","2","0","1","26175"
"91.20896","0","-1","4","0","-1","1","26175"
"92.65672","-1","0","1","0","-1","1","26175"
"94.10448","-1","0","1","2","0","1","26175"
"95.55224","1","-2","4","2","0","1","26175"
"97","1","-2","4","0","-1","1","26175"
"104.95","4","-4","9","0","-1","1","26175"
"109.9","4","-4","9","0","-3","1","26175"
"114.85","3","-5","4","0","-3","1","26175"
"119.8","3","-5","4","0","-3","1","26175"
"124.75","-1","-2","3","0","-3","1","26175"
"129.7","-1","-2","3","-1","0","1","26175"
"134.65","4","-4","4","-1","0","1","26175"
"139.6","4","-4","4","-1","0","1","26175"
"144.55","11","-11","9","-1","0","1","26175"
"149.5","11","-11","9","1","-2","1","26175"
"154.45","7","-11","9","1","-2","1","26175"
"159.4","7","-11","9","-3","-1","1","26175"
"164.35","1","-11","4","-3","-1","1","26175"
"169.3","1","-11","4","-3","-1","1","26175"
"174.25","3","0","1","-3","-1","1","26175"
"179.2","3","0","1","2","3","1","26175"
"184.15","5","-3","5","2","3","1","26175"
"189.1","5","-3","5","1","-1","1","26175"
"194.05","0","-14","8","1","-1","1","26175"
"199","0","-14","8","1","-1","1","26175"
"204.9","-4","0","3","1","-1","1","26175"
"209.8","-4","0","3","-2","0","1","26175"
"214.7","-4","0","3","-2","0","1","26175"
"219.6","-4","0","3","3","2","1","26175"
"224.5","-1","-2","5","3","2","1","26175"
"229.4","-1","-2","5","0","-1","1","26175"
"234.3","-3","3","3","0","-1","1","26175"
"239.2","-3","3","3","2","-1","1","26175"
"244.1","-1","6","2","2","-1","1","26175"
"249","-1","6","2","2","-2","1","26175"
"253.9","8","0","11","2","-2","1","26175"
"258.8","8","0","11","-1","-2","1","26175"
"263.7","8","0","11","-1","-2","1","26175"
"268.6","8","0","11","-6","-2","1","26175"
"273.5","-4","-5","-2","-6","-2","1","26175"
"278.4","-4","-5","-2","-3","2","1","26175"
"283.3","18","-5","9","-3","2","1","26175"
"288.2","18","-5","9","-1","2","1","26175"
"293.1","12","4","7","-1","2","1","26175"
"298","12","4","7","1","-2","1","26175"
"305.05263","-8","-14","5","1","-2","1","26175"
"310.10526","-8","-14","5","4","-3","1","26175"
"315.15789","-8","-14","5","4","-3","1","26175"
"320.21053","-8","-14","5","-2","-1","1","26175"
"325.26316","-2","-7","1","-2","-1","1","26175"
"330.31579","-2","-7","1","1","0","1","26175"
"335.36842","3","2","2","1","0","1","26175"
"340.42105","3","2","2","1","-2","1","26175"
