Timer,AX,AY,AZ,GX,GY,GZ,A
"0","0","-9","-25","0","0","-1","358.375"
"0","-1","3","-28","0","0","-1","358.375"
"0","-1","3","-28","-2","0","-1","358.375"
"0","-3","-3","-28","-2","0","-1","358.375"
"0","-3","-3","-28","3","2","-1","358.375"
"0","-3","-3","-28","3","2","-1","358.375"
"0","-3","-3","-28","3","-2","-1","358.375"
"0.35985","-4","5","-31","3","-2","-1","358.375"
"0.7197","-4","5","-31","-4","-1","-1","358.375"
"1.07955","-4","5","-31","-4","-1","-1","358.375"
"1.43939","-4","5","-31","4","1","-1","358.375"
"1.79924","1","-5","-25","4","1","-1","358.375"
"2.15909","1","-5","-25","2","1","-1","358.375"
"2.51894","1","-5","-25","2","1","-1","358.375"
"2.87879","1","-5","-25","-3","0","-1","358.375"
"3.23864","-4","0","-27","-3","0","-1","358.375"
"3.59848","-4","0","-27","3","1","-1","358.375"
"3.95833","1","-4","-28","3","1","-1","358.375"
"4.31818","1","-4","-28","2","0","-1","358.375"
"4.67803","1","-4","-28","2","0","-1","358.375"
"5.03788","1","-4","-28","-1","0","-1","358.375"
"5.39773","-3","-1","-22","-1","0","-1","358.375"
"5.75758","-3","-1","-22","-2","1","-1","358.375"
"6.11742","1","-1","-33","-2","1","-1","358.375"
"6.47727","1","-1","-33","1","1","-1","358.375"
"6.83712","1","-1","-33","1","1","-1","358.375"
"7.19697","1","-1","-33","4","0","-1","358.375"
"7.55682","0","-9","-23","4","0","-1","358.375"
"7.91667","0","-9","-23","-2","-1","-1","358.375"
"8.27652","0","-9","-23","-2","-1","-1","358.375"
"8.63636","0","-9","-23","-2","0","-1","358.375"
"8.99621","-4","9","-22","-2","0","-1","358.375"
"9.35606","-4","9","-22","8","0","-1","358.375"
"9.71591","2","-7","-29","8","0","-1","358.375"
"10.07576","2","-7","-29","-1","1","-1","358.375"
"10.43561","0","-17","-29","-1","1","-1","358.375"
"10.79545","0","-17","-29","-6","1","-1","358.375"
"11.1553","-2","7","-28","-6","1","-1","358.375"
"11.51515","-2","7","-28","1","1","-1","358.375"
"11.875","-2","7","-28","1","1","-1","358.375"
"12.23485","-2","7","-28","3","2","-1","358.375"
"12.5947","3","-6","-27","3","2","-1","358.375"
"12.95455","3","-6","-27","-1","0","-1","358.375"
"13.31439","3","-5","-30","-1","0","-1","358.375"
"13.67424","3","-5","-30","-3","-1","-1","358.375"
"14.03409","-7","-5","-30","-3","-1","-1","358.375"
"14.39394","-7","-5","-30","3","1","-1","358.375"
"14.75379","1","0","-26","3","1","-1","358.375"
"15.11364","1","0","-26","4","-1","-1","358.375"
"15.47348","1","0","-26","4","-1","-1","358.375"
"15.83333","1","0","-26","-2","0","-1","358.375"
"16.19318","1","-10","-23","-2","0","-1","358.375"
"16.55303","1","-10","-23","-4","3","-1","358.375"
"16.91288","-6","1","-30","-4","3","-1","358.375"
"17.27273","-6","1","-30","0","4","-1","358.375"
"17.63258","-2","7","-30","0","4","-1","358.375"
"17.99242","-2","7","-30","0","2","-1","358.375"
"18.35227","1","-4","-24","0","2","-1","358.375"
"18.71212","1","-4","-24","-2","0","-1","358.375"
"19.07197","-6","-3","-32","-2","0","-1","358.375"
"19.43182","-6","-3","-32","-6","1","-1","358.375"
"19.79167","-2","6","-31","-6","1","-1","358.375"
"20.15152","-2","6","-31","2","0","-1","358.375"
"20.51136","-2","1","-26","2","0","-1","358.375"
"20.87121","-2","1","-26","-1","0","-1","358.375"
"21.23106","2","-6","-22","-1","0","-1","358.375"
"21.59091","2","-6","-22","0","2","-1","358.375"
"21.95076","0","1","-29","0","2","-1","358.375"
"22.31061","0","1","-29","-1","2","-1","358.375"
"22.67045","0","3","-29","-1","2","-1","358.375"
"23.0303","0","3","-29","0","2","-1","358.375"
"23.39015","1","0","-21","0","2","-1","358.375"
"23.75","1","0","-21","-2","0","-1","358.375"
"24.10985","0","-2","-27","-2","0","-1","358.375"
"24.4697","0","-2","-27","-1","3","-1","358.375"
"24.82955","-2","-1","-31","-1","3","-1","358.375"
"25.18939","-2","-1","-31","-1","2","-1","358.375"
"25.54924","0","-1","-28","-1","2","-1","358.375"
"25.90909","0","-1","-28","-3","2","-1","358.375"
"26.26894","0","-2","-28","-3","2","-1","358.375"
"26.62879","0","-2","-28","-3","4","-1","358.375"
"26.98864","-2","-4","-25","-3","4","-1","358.375"
"27.34848","-2","-4","-25","0","2","-1","358.375"
"27.70833","-2","2","-29","0","2","-1","358.375"
"28.06818","-2","2","-29","4","5","-1","358.375"
"28.42803","-3","-1","-32","4","5","-1","358.375"
"28.78788","-3","-1","-32","-1","5","-1","358.375"
"29.14773","-5","-10","-20","-1","5","-1","358.375"
"29.50758","-5","-10","-20","-1","-2","-1","358.375"
"29.86742","-6","9","-28","-1","-2","-1","358.375"
"30.22727","-6","9","-28","5","2","-1","358.375"
"30.58712","-4","13","-33","5","2","-1","358.375"
"30.94697","-4","13","-33","5","-1","-1","358.375"
"31.30682","-3","-16","-23","5","-1","-1","358.375"
"31.66667","-3","-16","-23","-3","-1","-1","358.375"
"32.02652","-5","5","-28","-3","-1","-1","358.375"
"32.38636","-5","5","-28","0","2","-1","358.375"
"32.74621","-7","10","-30","0","2","-1","358.375"
"33.10606","-7","10","-30","6","-1","-1","358.375"
"33.46591","0","3","-29","6","-1","-1","358.375"
"33.82576","0","3","-29","-2","-1","-1","358.375"
"34.18561","2","-2","-22","-2","-1","-1","358.375"
"34.54545","2","-2","-22","-3","0","-1","358.375"
"34.9053","-4","-4","-25","-3","0","-1","358.375"
"35.26515","-4","-4","-25","-3","0","-1","358.375"
"35.625","-3","0","-29","-3","0","-1","358.375"
"35.98485","-3","0","-29","0","2","-1","358.375"
"36.3447","3","-4","-22","0","2","-1","358.375"
"36.70455","3","-4","-22","1","0","-1","358.375"
"37.06439","0","-9","-28","1","0","-1","358.375"
"37.42424","0","-9","-28","-3","2","-1","358.375"
"37.78409","-3","-3","-28","-3","2","-1","358.375"
"38.14394","-3","-3","-28","0","-1","-1","358.375"
"38.50379","1","0","-27","0","-1","-1","358.375"
"38.86364","1","0","-27","1","1","-1","358.375"
"39.22348","0","-4","-28","1","1","-1","358.375"
"39.58333","0","-4","-28","-1","-1","-1","358.375"
"39.94318","-1","-5","-26","-1","-1","-1","358.375"
"40.30303","-1","-5","-26","-4","1","-1","358.375"
"40.66288","-5","-4","-30","-4","1","-1","358.375"
"41.02273","-5","-4","-30","-2","4","-1","358.375"
"41.38258","1","8","-27","-2","4","-1","358.375"
"41.74242","1","8","-27","4","2","-1","358.375"
"42.10227","1","-3","-23","4","2","-1","358.375"
"42.46212","1","-3","-23","1","2","-1","358.375"
"42.82197","-2","-8","-27","1","2","-1","358.375"
"43.18182","-2","-8","-27","-3","1","-1","358.375"
"43.54167","-3","1","-29","-3","1","-1","358.375"
"43.90152","-3","1","-29","2","1","-1","358.375"
"44.26136","2","-4","-27","2","1","-1","358.375"
"44.62121","2","-4","-27","1","1","-1","358.375"
"44.98106","-1","-5","-22","1","1","-1","358.375"
"45.34091","-1","-5","-22","-3","1","-1","358.375"
"45.70076","-1","-1","-24","-3","1","-1","358.375"
"46.06061","-1","-1","-24","-1","3","-1","358.375"
"46.42045","1","-4","-28","-1","3","-1","358.375"
"46.7803","1","-4","-28","1","0","-1","358.375"
"47.14015","-1","-2","-25","1","0","-1","358.375"
"47.5","-1","-2","-25","2","-1","-1","358.375"
"47.85985","-2","0","-23","2","-1","-1","358.375"
"48.2197","-2","0","-23","2","-3","-1","358.375"
"48.57955","-2","0","-29","2","-3","-1","358.375"
"48.93939","-2","0","-29","-3","-1","-1","358.375"
"49.29924","-3","0","-27","-3","-1","-1","358.375"
"49.65909","-3","0","-27","-2","-1","-1","358.375"
"50.01894","1","-1","-24","-2","-1","-1","358.375"
"50.37879","1","-1","-24","4","-3","-1","358.375"
"50.73864","-1","0","-25","4","-3","-1","358.375"
"51.09848","-1","0","-25","2","-1","-1","358.375"
"51.45833","0","3","-25","2","-1","-1","358.375"
"51.81818","0","3","-25","-1","-1","-1","358.375"
"52.17803","1","-2","-24","-1","-1","-1","358.375"
"52.53788","1","-2","-24","2","-3","-1","358.375"
"52.89773","-1","-5","-24","2","-3","-1","358.375"
"53.25758","-1","-5","-24","-3","1","-1","358.375"
"53.61742","-3","0","-31","-3","1","-1","358.375"
"53.97727","-3","0","-31","-2","0","-1","358.375"
"54.33712","2","1","-27","-2","0","-1","358.375"
"54.69697","2","1","-27","1","1","-1","358.375"
"55.05682","1","-5","-26","1","1","-1","358.375"
"55.41667","1","-5","-26","-2","0","-1","358.375"
"55.77652","-4","4","-29","-2","0","-1","358.375"
"56.13636","-4","4","-29","-1","-1","-1","358.375"
"56.49621","-1","3","-28","-1","-1","-1","358.375"
"56.85606","-1","3","-28","5","0","-1","358.375"
"57.21591","-1","-5","-28","5","0","-1","358.375"
"57.57576","-1","-5","-28","-2","2","-1","358.375"
"57.93561","0","-5","-25","-2","2","-1","358.375"
"58.29545","0","-5","-25","-3","-2","-1","358.375"
"58.6553","-2","6","-32","-3","-2","-1","358.375"
"59.01515","-2","6","-32","0","1","-1","358.375"
"59.375","-3","-5","-29","0","1","-1","358.375"
"59.73485","-3","-5","-29","-2","-1","-1","358.375"
"60.0947","0","-9","-28","-2","-1","-1","358.375"
"60.45455","0","-9","-28","-4","-1","-1","358.375"
"60.81439","-4","4","-29","-4","-1","-1","358.375"
"61.17424","-4","4","-29","3","0","-1","358.375"
"61.53409","-4","1","-30","3","0","-1","358.375"
"61.89394","-4","1","-30","1","0","-1","358.375"
"62.25379","0","-7","-28","1","0","-1","358.375"
"62.61364","0","-7","-28","-6","-1","-1","358.375"
"62.97348","1","1","-24","-6","-1","-1","358.375"
"63.33333","1","1","-24","0","-1","-1","358.375"
"63.69318","-4","4","-27","0","-1","-1","358.375"
"64.05303","-4","4","-27","6","-1","-1","358.375"
"64.41288","0","-2","-28","6","-1","-1","358.375"
"64.77273","0","-2","-28","-2","-1","-1","358.375"
"65.13258","0","-4","-30","-2","-1","-1","358.375"
"65.49242","0","-4","-30","-1","0","-1","358.375"
"65.85227","-2","-2","-25","-1","0","-1","358.375"
"66.21212","-2","-2","-25","1","-2","-1","358.375"
"66.57197","-2","3","-24","1","-2","-1","358.375"
"66.93182","-2","3","-24","2","-3","-1","358.375"
"67.29167","0","3","-32","2","-3","-1","358.375"
"67.65152","0","3","-32","2","-1","-1","358.375"
"68.01136","-1","-12","-25","2","-1","-1","358.375"
"68.37121","-1","-12","-25","-1","-1","-1","358.375"
"68.73106","-5","-1","-26","-1","-1","-1","358.375"
"69.09091","-5","-1","-26","-1","-3","-1","358.375"
"69.45076","-5","12","-29","-1","-3","-1","358.375"
"69.81061","-5","12","-29","4","-1","-1","358.375"
"70.17045","0","-12","-21","4","-1","-1","358.375"
"70.5303","0","-12","-21","1","-2","-1","358.375"
"70.89015","-2","-11","-23","1","-2","-1","358.375"
"71.25","-2","-11","-23","-5","-1","-1","358.375"
"71.60985","-5","5","-33","-5","-1","-1","358.375"
"71.9697","-5","5","-33","0","0","-1","358.375"
"72.32955","-3","9","-30","0","0","-1","358.375"
"72.68939","-3","9","-30","4","1","-1","358.375"
"73.04924","-1","-10","-24","4","1","-1","358.375"
"73.40909","-1","-10","-24","-1","1","-1","358.375"
"73.76894","-2","-5","-28","-1","1","-1","358.375"
"74.12879","-2","-5","-28","-1","1","-1","358.375"
"74.48864","-4","1","-28","-1","1","-1","358.375"
"74.84848","-4","1","-28","4","2","-1","358.375"
"75.20833","1","-3","-28","4","2","-1","358.375"
"75.56818","1","-3","-28","0","-2","-1","358.375"
"75.92803","-1","-5","-26","0","-2","-1","358.375"
"76.28788","-1","-5","-26","1","-1","-1","358.375"
"76.64773","-3","-4","-27","1","-1","-1","358.375"
"77.00758","-3","-4","-27","-2","2","-1","358.375"
"77.36742","-4","0","-30","-2","2","-1","358.375"
"77.72727","-4","0","-30","-1","0","-1","358.375"
"78.08712","0","3","-24","-1","0","-1","358.375"
"78.44697","0","3","-24","2","-3","-1","358.375"
"78.80682","-1","-3","-29","2","-3","-1","358.375"
"79.16667","-1","-3","-29","-1","1","-1","358.375"
"79.52652","-2","-4","-24","-1","1","-1","358.375"
"79.88636","-2","-4","-24","-3","-1","-1","358.375"
"80.24621","1","1","-28","-3","-1","-1","358.375"
"80.60606","1","1","-28","2","-2","-1","358.375"
"80.96591","0","0","-26","2","-2","-1","358.375"
"81.32576","0","0","-26","-1","0","-1","358.375"
"81.68561","-1","-5","-21","-1","0","-1","358.375"
"82.04545","-1","-5","-21","0","0","-1","358.375"
"82.4053","-1","3","-31","0","0","-1","358.375"
"82.76515","-1","3","-31","-1","1","-1","358.375"
