Timer,X,Y,Z
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"982","3556","2481","4439"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
"1040","3589","2463","4405"
