Timer,AX,AY,AZ,GX,GY,GZ,A
"0","-798303437551481","993158133617509","-263301542922662","279206277234653","185228103222732","196283613176189","0"
"0","-186082595499365","266981729807893","-523487075044493","29082659203962","192891773910431","198252749458005","0"
"0.08999","-151255698477111","224551164780693","-453416330811436","705938384895921","-645145252870411","-362297569474601","0"
"0.17998","243336473445994","534769002422463","-112754413574995","450903208722814","-557803387042114","-304795322468571","0"
"0.26997","120029189665916","45020461706453","-191785442320251","-74711702955503","301741813407309","-136541625483826","0"
"0.35996","-348921167514305","-169688054873415","-317985303329772","-420860012549601","202647739932863","-124709472045258","0"
"0.44995","-213849091255289","-119694848251892","-299122375007782","-167330790237298","-118762380769266","279014889064572","0"
"0.53994","-180746313081473","-101065505713521","-292973625617446","-1379980706754","-11270724199718","253934682471819","0"
"0.62993","-172633651960038","-941234595517009","-290969314494449","-408561434691759","235742283647452","-158073517351","0"
"0.71992","303184325961873","-58989387590564","-17313390953745","-361277966490595","159943522843725","-139720907416675","0"
"0.80991","149795385109818","-658969954648316","-204723032676155","960721800695821","-253417352626131","-12717637373469","0"
"0.8999","-273879914019928","-263754144411618","-33220221634442","54229379041024","-23625547850081","-118596247420576","0"
"0.98989","-157712109647326","-217483810929487","-303756681511552","317717472807198","396397535257667","-112725882354574","0"
"1.07988","813487152653276","113150905792138","-394926038023879","266447515884809","269064635647275","-10870891334484","0"
"1.16987","199365309585361","-33425080290494","-364644567281196","-495994032192102","150385382522206","157168705022962","0"
"1.25986","488594399265304","-115191461840983","-220851345774414","-279971842513364","134200900070302","139124039398358","0"
"1.34985","119742239755713","-105660960049487","-253978984009134","-15803463084094","123215154171936","-136352281233075","0"
"1.43984","293458214078486","-102109505261398","-264777619907933","-892052016383556","115758181474086","-124878204602902","0"
"1.52983","719192522085973","-100786087944265","-268297657661563","-148588715441372","-15354573498091","145377513711631","0"
"1.61982","-701793770665716","111263754164603","-302925674586175","-127426685808931","-136346260808944","994912869730357","0"
"1.70981","-473962088182293","602821986858505","-294213389817092","280719474851627","13957071864861","-25631813556565","0"
"1.7998","-671412404571733","-121451523912578","-308113735243944","158456645104439","126860176487183","-238542171387255","0"
"1.88979","-167439648381672","-891729423016139","-302644839093503","-42171580936326","-146009758505918","-948134422420274","0"
"1.97978","-543005287365085","855912872368036","-384563610090913","-368704455999951","-131230928272321","-964505002538524","0"
"2.06977","-435047011246452","507155874425543","-361266720497106","-195227957115006","143042936856059","-360697800598233","0"
"2.15976","-935066663983406","517229324711161","-219750267053231","-19730634325863","129217081918676","-341539464169436","0"
"2.24975","-757608946970333","820099899898955","-253620064724827","519287396126046","11983224052756","662622662196326","0"
"2.33974","-714118508829754","932961864353085","-264660622775785","423780315288019","113461911276037","453475910631187","0"
"2.42973","-703460092608159","975018848636049","-268259520036952","-60790351083123","109137800390862","-100529162373749","0"
"2.51972","122956959152902","261805009879331","-386614713163762","-343140962794473","106202640492846","-100362140329818","0"
"2.60971","603306712218327","223031074655447","-355195025718883","-450029297118337","-292152945371104","162879117663477","0"
"2.6997","-148059219458032","534054139959492","-277991955295455","-384686461820512","-262552426851551","143032281850652","0"
"2.78969","-891303579933428","449954055687503","-29282602460444","-606958750247514","41814547121157","-211367946692095","0"
"2.87968","241198140819186","-120874417319016","-146998848402991","-778141513488553","380195873459623","-144652873552632","0"
"2.96967","142153375595581","-826842978039866","-189463477218604","199629928096816","-419271357147211","130573522980921","0"
"3.05966","125844823670863","-359059152527973","-32048775592958","156237723324774","-284596881779031","120923456101338","0"
"3.14965","408303945159393","-384743765652227","-293197817832506","-118090916547384","-15143920680723","-172441910950399","0"
"3.23964","477527595486384","-394314903065131","-284302100512633","-666583266577005","-134916379592785","-118013248131641","0"
"3.32963","494492576965264","-397881500347851","-281402358257682","-376263699420255","140541291525663","-807641637570859","0"
"3.41962","-27827251376034","-186383374820078","-246976539424961","-21238812703538","127518992067604","-552721855439978","0"
"3.50961","144165251590735","-151010751674381","-255754734826076","142354524494354","118679595442525","-266909590104238","0"
"3.5996","-164668710598447","574536262452826","-342317638713131","123907695966128","11267950821161","-245790597052892","0"
"3.68959","-403561732479801","151359801554735","-320534599873959","-300582981774122","-235143633573178","-997740155536648","0"
"3.77958","156954227366883","-130822033478162","121813675899043","-169668922662697","-159612966028769","-998453441022993","0"
"3.86957","106408802798557","-105211959393879","600620591550519","133976147016417","121286720741402","316693180712489","0"
"3.95956","-27451287778109","-111942189251906","-651134504195078","119178385371254","114449196786371","216733801609196","0"
"4.04954","-157867233198803","-104450148179688","-495343051525969","-606941368417541","-418676348740154","146395984761245","0"
"4.13953","-129280309646191","-101658307233577","-444559619226966","-516811400387709","-380556227408919","131751798804395","0"
"4.22952","-122274371266499","-100617953104008","-42800571365716","-352759322563926","17380360831048","121729827106869","0"
"4.31951","212878371308201","-149051047529761","-878037459458685","-634654537672473","150097094473941","114871138136245","0"
"4.4095","105015907302291","-137099199543517","-176907908598821","351282665985663","-394478939709165","110177289878085","0"
"4.49949","-342600494892401","111458412512807","-473797950417471","285393946137033","-364131286758993","10696498333306","0"
"4.58948","-212300054753878","540811453725782","-410575373572823","-326011541232385","-792894728212078","-553050792336864","0"
"4.67947","258364583610501","815208016945405","-105381673578183","-27112925128952","-859419171984611","-504742640772498","0"
"4.76946","123712688411353","617459399884228","-175897502038437","621170246027818","305905706131756","-208555267588824","0"
"4.85945","296663085122999","-108358892081059","-29932535288346","524843120349318","271887652743106","-205854927675229","0"
"4.94944","233747988620332","-717469102092566","-279559202685943","-103743817194831","-154455894829834","190683521928631","0"
"5.03943","283763292737593","-581037882452015","-273116018973551","-58559874522737","-104842997957439","162060649385268","0"
"5.12942","296020790052481","-530198029647041","-27101573055437","-320161834947004","-711662978794928","109086736680051","0"
"5.21941","117648732879424","-213861211859999","-169889333905649","-267827290022533","-483069165565895","746551696901646","0"
"5.3094","892267606950175","-173797299617078","-196925102364911","192373940614639","260963132481707","51091402411403","0"
"5.39939","-198526762929138","-93773483301201","-38988120256486","152141963905234","241381117770224","349651793867373","0"
"5.48938","-109047938505785","-103953336174243","-342779217079148","-157674392870299","-361530968744891","133956372257146","0"
"5.57937","357258330883388","-26378810856294","-193503002397501","-132555243300109","-245403327981952","123238560525967","0"
"5.66936","120625548906574","-474713697370908","-224843346092494","312283817521773","511826594294449","-156598141218376","0"
"5.75935","453941243196405","-104152092840187","-251799670593645","263380415747191","475906687861393","-107170323007381","0"
