Timer,X,Y,Z
"945","13","1835","600"
"945","13","1835","600"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1007","12","1843","587"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1067","-23","1828","538"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1129","-1","1833","585"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1190","17","1845","620"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1252","-6","1842","571"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1309","18","1839","535"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1371","21","1827","512"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1432","-46","1821","551"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1493","-10","1861","591"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1555","-5","1813","559"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1616","-17","1822","580"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1674","-14","1842","615"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1735","-14","1802","524"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1796","-31","1806","562"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1858","-12","1826","559"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1915","-24","1842","593"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"1968","-82","1779","528"
"2030","-13","1835","601"
"2030","-13","1835","601"
"2030","-13","1835","601"
"2030","-13","1835","601"
"2030","-13","1835","601"
"2030","-13","1835","601"
"2030","-13","1835","601"
"2030","-13","1835","601"
