Timer,AX,AY,AZ,GX,GY,GZ
"1001","-12","5","-37","-21","2","2"
"1001","-12","5","-37","10","-3","3"
"1001","8","-23","-22","10","-3","3"
"1001","8","-23","-22","8","5","3"
"1001","2","-16","-26","8","5","3"
"1001","2","-16","-26","-11","-4","0"
"1001","5","18","-28","-11","-4","0"
"1001","5","18","-28","-4","-4","0"
"1001","5","18","-28","-4","-4","0"
"1001","5","18","-28","11","0","0"
"1001","-7","-16","-31","11","0","0"
"1001","-7","-16","-31","3","-4","1"
"1001","10","9","-27","3","-4","1"
"1001","10","9","-27","-12","0","-2"
"1002","-8","10","-35","-12","0","-2"
"1002","-8","10","-35","-1","-4","-1"
"1002","-3","0","-32","-1","-4","-1"
"1002","-3","0","-32","6","-2","-1"
"1002","-3","0","-32","6","-2","-1"
"1002","-3","0","-32","-7","1","-1"
"1002","-8","1","-35","-7","1","-1"
"1002","-8","1","-35","-16","-5","2"
"1002","6","9","-24","-16","-5","2"
"1002","6","9","-24","0","1","0"
"1002","-1","3","-33","0","1","0"
"1002","-1","3","-33","8","-4","-2"
"1002","2","-7","-30","8","-4","-2"
"1003","2","-7","-30","-2","-2","-1"
"1003","2","-7","-30","-2","-2","-1"
"1003","2","-7","-30","-3","-2","2"
"1003","-9","0","-36","-3","-2","2"
"1003","-9","0","-36","4","-5","-3"
"1003","9","3","-22","4","-5","-3"
"1003","9","3","-22","6","1","-3"
"1003","-11","9","-37","6","1","-3"
"1003","-11","9","-37","0","0","0"
"1003","-6","-1","-32","0","0","0"
"1003","-6","-1","-32","3","-1","0"
"1003","-6","-1","-32","3","-1","0"
"1003","-6","-1","-32","-3","2","-2"
"1003","-6","30","-35","-3","2","-2"
"1004","-6","30","-35","-6","-5","2"
"1004","4","36","-38","-6","-5","2"
"1004","4","36","-38","19","0","1"
"1004","3","-16","-32","19","0","1"
"1004","3","-16","-32","23","-2","1"
"1004","-10","-12","-37","23","-2","1"
"1004","-10","-12","-37","-16","0","0"
"1004","-10","-12","-37","-16","0","0"
"1004","-10","-12","-37","-19","1","1"
"1004","3","11","-31","-19","1","1"
"1004","3","11","-31","-3","2","-5"
"1004","-12","77","-44","-3","2","-5"
"1004","-12","77","-44","31","-6","6"
"1004","17","-55","-20","31","-6","6"
"1005","17","-55","-20","26","5","0"
"1005","-4","-49","-23","26","5","0"
"1005","-4","-49","-23","-34","-4","0"
"1005","-4","-49","-23","-34","-4","0"
"1005","-4","-49","-23","-33","-3","3"
"1005","0","6","-30","-33","-3","3"
