Timer,AX,AY,AZ,GX,GY,GZ
"1005","-4","3","-1","-1","0","-1"
"1013","-4","0","-1","-1","-2","-2"
"1025","-4","0","-1","1","0","0"
"1033","-3","0","-1","-2","0","0"
"1045","-2","1","-1","-3","0","0"
"1054","-3","2","-1","0","-1","-2"
"1066","-1","1","-1","-1","-1","-3"
"1074","-4","2","-1","1","-2","0"
"1082","-3","1","-1","0","0","1"
"1095","-4","0","-1","-1","2","0"
"1103","-3","1","-1","3","0","0"
"1115","-3","0","-1","3","-1","-1"
"1124","-2","0","-1","0","1","1"
"1136","-3","3","-1","1","0","-1"
"1144","-5","2","-1","0","1","0"
"1156","-4","2","-1","0","2","-1"
"1165","-3","2","-1","-1","3","1"
"1173","-5","3","-1","2","0","0"
"1185","-3","0","-1","1","1","0"
"1193","-4","0","-1","0","0","0"
"1206","-2","1","-1","1","-2","1"
"1214","-4","1","-1","0","0","1"
"1226","-4","0","-1","-2","1","0"
"1234","-4","2","-1","-1","-1","0"
"1246","-3","1","-1","-2","-1","-2"
"1255","-3","1","-1","1","-2","-2"
"1267","-3","0","-1","5","-2","1"
"1275","-5","0","-1","2","0","-1"
"1283","-5","1","-1","1","3","-1"
"1296","-3","2","-1","0","0","0"
"1304","-4","1","-1","3","1","-1"
"1316","-2","-1","-1","0","3","-1"
"1324","-3","2","-1","1","2","1"
"1336","-4","3","-1","-1","0","1"
"1345","-4","3","-1","1","-2","-1"
"1357","-4","2","-1","1","0","-2"
"1365","-2","1","-1","3","1","2"
"1377","-4","1","-1","-3","1","-2"
"1386","-3","1","-1","0","1","1"
"1394","-2","1","-1","0","1","2"
"1406","-5","3","-1","0","2","-2"
"1414","-5","3","-1","0","2","-2"
"1426","-2","0","-1","0","-1","0"
"1435","-4","1","-1","-1","0","-1"
"1447","-3","2","-1","-4","-2","-2"
"1455","-4","0","-1","-5","1","-1"
"1463","-3","0","-1","-5","1","-1"
"1476","-4","2","-1","-1","-1","-2"
"1484","-4","0","-1","-1","2","0"
"1496","-3","1","-1","2","1","0"
"1504","-4","1","-1","1","0","2"
"1517","-2","1","-1","1","0","2"
"1525","-3","2","-1","-1","-1","0"
"1537","-2","1","-1","-3","-1","-1"
"1546","-2","2","-1","-4","0","1"
"1557","-4","0","-1","-3","-1","1"
"1566","-2","4","-1","-3","-1","1"
"1574","-2","1","-1","-1","-1","-2"
"1587","-3","1","-1","0","1","-1"
"1595","-3","1","-1","0","0","-1"
"1607","-5","2","-1","2","-3","-1"
"1615","-5","2","-1","2","-3","-1"
"1627","-5","1","-1","-2","1","0"
"1636","-3","1","-1","0","2","0"
"1648","-4","0","-1","-3","-2","-1"
"1656","-3","2","-1","0","-1","0"
"1664","-3","2","-1","0","-1","0"
"1676","-1","2","-1","0","1","2"
"1685","-2","2","-1","-1","0","0"
"1697","-1","4","-1","0","-1","0"
"1705","-4","1","-1","0","-1","0"
"1713","-4","1","-1","0","-1","0"
"1726","-5","0","-1","-1","2","-1"
"1738","-1","0","-1","-2","1","-2"
"1746","-4","2","-1","1","0","0"
"1758","-3","1","-1","1","0","0"
"1763","-3","1","-1","3","-1","1"
"1775","-5","0","-1","-3","0","-2"
"1787","-4","0","-1","-5","0","-2"
"1795","-4","2","-1","0","1","0"
"1808","-3","2","-1","-1","4","1"
"1815","-3","2","-1","-1","2","-1"
"1828","-3","3","-1","-1","1","-2"
"1836","-4","1","-1","-2","1","-2"
"1848","-2","1","-1","-2","1","-2"
"1857","-1","0","-1","-1","1","0"
"1865","-1","0","-1","-3","0","1"
"1877","-4","0","-1","-1","-2","0"
"1886","-2","3","-1","-2","0","-1"
"1898","-3","2","-1","0","-1","-1"
"1906","-2","1","-1","-3","-2","-1"
"1914","-2","1","-1","-2","-1","-2"
"1927","-4","1","-1","1","-1","-1"
"1938","-3","2","-1","-3","-3","1"
"1947","-2","2","-1","-1","2","0"
"1955","0","2","-1","1","-2","1"
"1963","0","2","-1","-2","0","3"
"1976","-5","3","-1","-2","4","2"
"1988","-3","3","-1","4","2","-1"
"1996","-2","1","-1","-2","-1","0"
"2008","-2","0","-1","0","-1","1"
"2016","-2","0","-1","-2","2","-1"
"2029","-1","0","-1","-2","0","0"
"2037","-8","2","-1","1","0","2"
"2045","-4","1","-1","3","1","1"
"2057","-3","-2","-1","1","-2","1"
"2066","-3","-2","-1","-1","2","1"
"2078","-4","-2","-1","-3","0","-1"
"2086","0","0","-1","0","1","1"
"2098","-1","2","-1","2","-1","1"
"2106","-5","3","-1","2","2","2"
"2115","-5","3","-1","1","-1","2"
"2127","-5","0","-1","-1","1","0"
"2139","-3","2","-1","0","0","-1"
"2147","-2","2","-1","-3","2","0"
"2156","-4","3","-1","2","-2","1"
"2164","-4","3","-1","1","-1","1"
"2176","-4","6","-1","2","2","0"
"2188","-3","7","-1","-1","-2","2"
"2196","-5","0","-1","1","2","2"
"2209","-4","-1","-1","-4","1","-1"
"2213","-4","-1","-1","-4","2","0"
"2229","-5","1","-1","-3","2","0"
"2237","3","0","-1","3","0","1"
"2246","-3","-1","-1","1","0","-2"
"2258","0","-4","-1","0","-1","0"
"2266","0","-4","-1","-1","0","3"
"2279","-3","3","-1","0","0","-1"
"2287","-1","0","-1","2","1","1"
"2299","-4","-4","-1","0","-1","1"
"2307","-3","0","-1","-7","1","1"
"2315","-3","0","-1","-1","1","-1"
"2328","-6","6","-1","4","2","1"
"2336","-4","2","-1","5","1","3"
"2348","-4","4","-1","1","1","1"
"2357","-5","7","-1","2","1","2"
"2365","-5","7","-1","4","2","1"
"2377","-2","3","-1","0","0","0"
"2389","-4","1","-1","-4","1","-1"
"2397","-3","0","-1","-5","-2","-1"
"2409","-1","1","-1","-1","-1","1"
"2414","-1","1","-1","1","-1","1"
"2426","0","0","-1","2","0","1"
"2438","-3","-3","-1","1","-1","-1"
"2446","0","-5","-1","-2","-2","-2"
"2459","-5","-1","-1","-2","-2","-3"
"2467","-5","-1","-1","3","0","0"
"2479","-1","-3","-1","-1","0","-2"
"2487","-8","-1","-1","-2","1","-1"
"2500","-7","7","-1","-2","1","-2"
"2508","-3","7","-1","0","0","2"
"2516","-3","7","-1","6","1","-1"
"2528","-3","5","-1","2","1","-1"
"2537","-4","1","-1","-3","0","0"
"2549","-2","2","-1","-6","2","2"
"2557","-7","6","-1","-3","-2","-1"
"2565","-7","6","-1","0","3","-1"
"2578","-1","1","-1","0","-3","2"
"2590","-4","0","-1","-3","0","-2"
"2598","-2","-2","-1","-3","-1","-1"
"2610","-3","-3","-1","-2","1","-1"
"2614","-3","-3","-1","-2","3","2"
"2627","-2","-1","-1","5","0","0"
"2639","-6","0","-1","1","2","-1"
"2647","-5","2","-1","1","1","-1"
"2659","-2","-1","-1","-1","0","-3"
"2668","-2","-1","-1","-1","-1","-2"
"2680","-4","-1","-1","-2","-2","1"
"2688","0","0","-1","2","-2","-1"
"2700","0","0","-1","5","2","0"
"2708","-7","12","-1","4","1","1"
"2717","-7","12","-1","4","-1","-1"
"2725","0","6","-1","-1","1","0"
"2737","-2","-1","-1","-5","1","-1"
"2749","-2","-1","-1","-7","0","0"
"2758","0","0","-1","-1","-3","-3"
"2766","0","0","-1","0","1","-2"
"2778","0","0","-1","4","2","0"
"2790","-7","5","-1","2","0","-3"
"2798","0","3","-1","2","0","-1"
"2811","-5","-3","-1","3","0","-1"
"2815","-5","-3","-1","-2","2","-2"
"2827","-6","-7","-1","-3","1","1"
"2839","-4","-7","-1","4","0","1"
"2848","-2","2","-1","3","-1","1"
"2856","-3","8","-1","4","-1","0"
"2864","-3","8","-1","4","1","1"
"2876","0","4","-1","1","0","1"
"2889","-3","1","-1","-2","0","1"
"2897","-3","1","-1","-3","0","-2"
"2909","-3","3","-1","-2","-1","-2"
"2913","-4","1","-1","-1","1","-1"
"2921","-4","2","-1","1","0","0"
"2938","-7","2","-1","0","1","0"
"2946","-4","6","-1","-1","0","-1"
"2954","-4","-3","-1","-3","-1","2"
"2962","-1","-3","-1","-8","0","-1"
"2975","-2","0","-1","-1","-1","1"
"2983","-3","3","-1","0","-2","1"
"2995","0","4","-1","0","-2","1"
"3003","-2","3","-1","-1","0","2"
"3005","-1","-3","-1","-4","1","2"
