Timer,X,Y,Z
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"991","3485","1855","4007"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1052","3475","1851","3998"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1113","3488","1848","4048"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1175","3474","1856","4058"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1236","3462","1845","4054"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1297","3493","1834","4081"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1355","3483","1843","4046"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1416","3478","1847","4000"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1478","3491","1856","3934"
"1539","3484","1841","3974"
"1539","3484","1841","3974"
"1539","3484","1841","3974"
"1539","3484","1841","3974"
"1539","3484","1841","3974"
"1539","3484","1841","3974"
"1539","3484","1841","3974"
"1539","3484","1841","3974"
