Timer,X,Y,Z
"959","6242","4499","4673"
"1016","6263","4510","4633"
"1016","6263","4510","4633"
"1016","6263","4510","4633"
"1016","6263","4510","4633"
"1016","6263","4510","4633"
"1016","6263","4510","4633"
"1016","6263","4510","4633"
"1077","6212","4464","4663"
"1077","6212","4464","4663"
"1077","6212","4464","4663"
"1077","6212","4464","4663"
"1077","6212","4464","4663"
"1135","6220","4506","4648"
"1135","6220","4506","4648"
"1135","6220","4506","4648"
"1135","6220","4506","4648"
"1135","6220","4506","4648"
"1135","6220","4506","4648"
"1196","6242","4487","4689"
"1196","6242","4487","4689"
"1196","6242","4487","4689"
"1196","6242","4487","4689"
"1196","6242","4487","4689"
"1196","6242","4487","4689"
"1254","6176","4486","4625"
"1254","6176","4486","4625"
"1254","6176","4486","4625"
"1254","6176","4486","4625"
"1254","6176","4486","4625"
"1254","6176","4486","4625"
"1315","6271","4492","4710"
"1315","6271","4492","4710"
"1315","6271","4492","4710"
"1315","6271","4492","4710"
"1315","6271","4492","4710"
"1315","6271","4492","4710"
"1376","6265","4474","4662"
"1376","6265","4474","4662"
"1376","6265","4474","4662"
"1376","6265","4474","4662"
"1376","6265","4474","4662"
"1376","6265","4474","4662"
"1434","6258","4485","4703"
"1434","6258","4485","4703"
"1434","6258","4485","4703"
"1434","6258","4485","4703"
"1434","6258","4485","4703"
"1434","6258","4485","4703"
"1495","6250","4440","4685"
"1495","6250","4440","4685"
"1495","6250","4440","4685"
"1495","6250","4440","4685"
"1495","6250","4440","4685"
"1495","6250","4440","4685"
"1557","6241","4443","4696"
"1557","6241","4443","4696"
"1557","6241","4443","4696"
"1557","6241","4443","4696"
"1557","6241","4443","4696"
"1557","6241","4443","4696"
"1614","6252","4477","4683"
"1614","6252","4477","4683"
"1614","6252","4477","4683"
"1614","6252","4477","4683"
"1614","6252","4477","4683"
"1614","6252","4477","4683"
"1676","6258","4709","-173"
"1676","6258","4709","-173"
"1676","6258","4709","-173"
"1676","6258","4709","-173"
"1676","6258","4709","-173"
"1676","6258","4709","-173"
"1737","6214","4497","4672"
"1737","6214","4497","4672"
"1737","6214","4497","4672"
"1737","6214","4497","4672"
"1737","6214","4497","4672"
"1737","6214","4497","4672"
"1794","6279","4442","4675"
"1794","6279","4442","4675"
"1794","6279","4442","4675"
"1794","6279","4442","4675"
"1794","6279","4442","4675"
"1794","6279","4442","4675"
"1856","6289","4485","4676"
"1856","6289","4485","4676"
"1856","6289","4485","4676"
"1856","6289","4485","4676"
"1856","6289","4485","4676"
"1856","6289","4485","4676"
"1917","6263","4476","4689"
"1917","6263","4476","4689"
"1917","6263","4476","4689"
"1917","6263","4476","4689"
"1917","6263","4476","4689"
"1917","6263","4476","4689"
"1917","6263","4476","4689"
"1978","6198","4440","4695"
"1978","6198","4440","4695"
"1978","6198","4440","4695"
"1978","6198","4440","4695"
"1978","6198","4440","4695"
"1978","6198","4440","4695"
"2040","6097","4767","-175"
"2040","6097","4767","-175"
"2040","6097","4767","-175"
"2040","6097","4767","-175"
"2040","6097","4767","-175"
"2097","6185","4420","4795"
"2097","6185","4420","4795"
"2097","6185","4420","4795"
"2097","6185","4420","4795"
"2097","6185","4420","4795"
"2097","6185","4420","4795"
"2159","6149","4459","4744"
"2159","6149","4459","4744"
"2159","6149","4459","4744"
"2159","6149","4459","4744"
"2159","6149","4459","4744"
"2159","6149","4459","4744"
"2220","6187","4435","4692"
"2220","6187","4435","4692"
"2220","6187","4435","4692"
"2220","6187","4435","4692"
"2220","6187","4435","4692"
"2220","6187","4435","4692"
"2277","6202","4447","4690"
"2277","6202","4447","4690"
"2277","6202","4447","4690"
"2277","6202","4447","4690"
"2277","6202","4447","4690"
"2277","6202","4447","4690"
"2277","6202","4447","4690"
"2339","6167","4471","4724"
"2339","6167","4471","4724"
"2339","6167","4471","4724"
"2339","6167","4471","4724"
"2339","6167","4471","4724"
"2396","6218","4445","4840"
"2396","6218","4445","4840"
"2396","6218","4445","4840"
"2396","6218","4445","4840"
"2396","6218","4445","4840"
"2396","6218","4445","4840"
"2458","6192","4452","4780"
"2458","6192","4452","4780"
"2458","6192","4452","4780"
"2458","6192","4452","4780"
"2458","6192","4452","4780"
"2458","6192","4452","4780"
"2519","6219","4443","4723"
"2519","6219","4443","4723"
"2519","6219","4443","4723"
"2519","6219","4443","4723"
"2519","6219","4443","4723"
"2519","6219","4443","4723"
"2577","6129","4350","4950"
"2577","6129","4350","4950"
"2577","6129","4350","4950"
"2577","6129","4350","4950"
"2577","6129","4350","4950"
"2577","6129","4350","4950"
"2638","6109","4288","5042"
"2638","6109","4288","5042"
"2638","6109","4288","5042"
"2638","6109","4288","5042"
"2638","6109","4288","5042"
"2638","6109","4288","5042"
"2699","6150","4390","4852"
"2699","6150","4390","4852"
"2699","6150","4390","4852"
"2699","6150","4390","4852"
"2699","6150","4390","4852"
"2699","6150","4390","4852"
"2757","6242","4524","4546"
"2757","6242","4524","4546"
"2757","6242","4524","4546"
"2757","6242","4524","4546"
"2757","6242","4524","4546"
"2757","6242","4524","4546"
"2818","6246","4467","4632"
"2818","6246","4467","4632"
"2818","6246","4467","4632"
