Timer,X,Y,Z
"969","4239","4356","4668"
"969","4239","4356","4668"
"969","4239","4356","4668"
"1026","4243","4355","4645"
"1026","4243","4355","4645"
"1026","4243","4355","4645"
"1026","4243","4355","4645"
"1026","4243","4355","4645"
"1026","4243","4355","4645"
"1088","4250","4356","4611"
"1088","4250","4356","4611"
"1088","4250","4356","4611"
"1088","4250","4356","4611"
"1088","4250","4356","4611"
"1088","4250","4356","4611"
"1149","4274","4349","4672"
"1149","4274","4349","4672"
"1149","4274","4349","4672"
"1149","4274","4349","4672"
"1149","4274","4349","4672"
"1149","4274","4349","4672"
"1206","4229","4356","4692"
"1206","4229","4356","4692"
"1206","4229","4356","4692"
"1206","4229","4356","4692"
"1206","4229","4356","4692"
"1206","4229","4356","4692"
"1268","4219","4346","4649"
"1268","4219","4346","4649"
"1268","4219","4346","4649"
"1268","4219","4346","4649"
"1268","4219","4346","4649"
"1268","4219","4346","4649"
"1329","4250","4327","4707"
"1329","4250","4327","4707"
"1329","4250","4327","4707"
"1329","4250","4327","4707"
"1329","4250","4327","4707"
"1329","4250","4327","4707"
"1387","4271","4295","4732"
"1387","4271","4295","4732"
"1387","4271","4295","4732"
"1387","4271","4295","4732"
"1387","4271","4295","4732"
"1387","4271","4295","4732"
"1448","4243","4357","4659"
"1448","4243","4357","4659"
"1448","4243","4357","4659"
"1448","4243","4357","4659"
"1448","4243","4357","4659"
"1448","4243","4357","4659"
"1509","4249","4360","4642"
"1509","4249","4360","4642"
"1509","4249","4360","4642"
"1509","4249","4360","4642"
"1509","4249","4360","4642"
"1509","4249","4360","4642"
"1509","4249","4360","4642"
"1567","4221","4372","4674"
"1567","4221","4372","4674"
"1567","4221","4372","4674"
"1567","4221","4372","4674"
"1567","4221","4372","4674"
"1628","4106","4690","56"
"1628","4106","4690","56"
"1628","4106","4690","56"
"1628","4106","4690","56"
"1628","4106","4690","56"
"1628","4106","4690","56"
"1628","4106","4690","56"
"1690","4279","4359","4718"
"1690","4279","4359","4718"
"1690","4279","4359","4718"
"1690","4279","4359","4718"
"1690","4279","4359","4718"
"1690","4279","4359","4718"
"1751","4308","4302","4694"
"1751","4308","4302","4694"
"1751","4308","4302","4694"
"1751","4308","4302","4694"
"1751","4308","4302","4694"
"1751","4308","4302","4694"
"1808","4242","4301","4718"
"1808","4242","4301","4718"
"1808","4242","4301","4718"
"1808","4242","4301","4718"
"1808","4242","4301","4718"
"1808","4242","4301","4718"
"1870","4202","4388","4629"
"1870","4202","4388","4629"
"1870","4202","4388","4629"
"1870","4202","4388","4629"
"1870","4202","4388","4629"
"1870","4202","4388","4629"
"1931","4198","4386","4599"
"1931","4198","4386","4599"
"1931","4198","4386","4599"
"1931","4198","4386","4599"
"1931","4198","4386","4599"
"1931","4198","4386","4599"
"1989","4292","4342","4702"
"1989","4292","4342","4702"
"1989","4292","4342","4702"
"1989","4292","4342","4702"
"1989","4292","4342","4702"
"1989","4292","4342","4702"
"2050","3636","4374","1422"
"2050","3636","4374","1422"
"2050","3636","4374","1422"
"2050","3636","4374","1422"
"2050","3636","4374","1422"
"2050","3636","4374","1422"
"2112","4228","4387","4668"
"2112","4228","4387","4668"
